N,Database,Accession,Type
1,NCBI,SRR8079764,RUN
2,NCBI,SRR8079763,RUN
3,NCBI,SRR8079729,RUN
4,NCBI,SRR8079708,RUN
5,NCBI,SRR4048862,RUN
6,NCBI,SRR8079715,RUN
7,NCBI,SRR8079758,RUN
8,NCBI,SRR8079703,RUN
9,NCBI,SRR8079752,RUN
10,NCBI,SRR7401682,RUN
11,NCBI,SRR8079772,RUN
12,NCBI,SRR5990352,RUN
13,NCBI,SRR4048856,RUN
14,NCBI,SRR8079735,RUN
15,NCBI,SRR8079714,RUN
16,NCBI,SRR7401674,RUN
17,NCBI,SRR8088116,RUN
18,NCBI,SRR5990475,RUN
19,NCBI,SRR4048864,RUN
20,NCBI,SRR8079741,RUN
21,NCBI,SRR7401676,RUN
22,NCBI,SRR7401679,RUN
23,NCBI,SRR5235368,RUN
24,NCBI,SRR8079743,RUN
25,NCBI,SRR8079756,RUN
26,NCBI,SRR8079757,RUN
27,NCBI,SRR7401680,RUN
28,NCBI,SRR7401670,RUN
29,NCBI,SRR8079731,RUN
30,NCBI,SRR8079761,RUN
31,NCBI,SRR5235318,RUN
32,NCBI,SRR8079747,RUN
33,NCBI,SRR5235386,RUN
34,NCBI,SRR8079728,RUN
35,NCBI,SRR5235186,RUN
36,NCBI,SRR8079698,RUN
37,NCBI,SRR8079767,RUN
38,NCBI,SRR5990473,RUN
39,NCBI,SRR7401671,RUN
40,NCBI,SRR8079730,RUN
41,NCBI,SRR7401672,RUN
42,NCBI,SRR8088179,RUN
43,NCBI,SRR7401684,RUN
44,NCBI,SRR8079746,RUN
45,NCBI,SRR8079701,RUN
46,NCBI,SRR8079699,RUN
47,NCBI,SRR7401675,RUN
48,NCBI,SRR8079717,RUN
49,NCBI,SRR7401678,RUN
50,NCBI,SRR8079726,RUN
51,NCBI,SRR8079739,RUN
52,NCBI,SRR8079744,RUN
53,NCBI,SRR8079724,RUN
54,NCBI,SRR8079700,RUN
55,NCBI,SRR8079706,RUN
56,NCBI,SRR8079770,RUN
57,NCBI,SRR8079705,RUN
58,NCBI,SRR8079751,RUN
59,NCBI,SRR5235175,RUN
60,NCBI,SRR8079769,RUN
61,NCBI,SRR8079723,RUN
62,NCBI,SRR5990353,RUN
63,NCBI,SRR5235209,RUN
64,NCBI,SRR5235369,RUN
65,NCBI,SRR7401683,RUN
66,NCBI,SRR8079734,RUN
67,NCBI,SRR8079759,RUN
68,NCBI,SRR5990374,RUN
69,NCBI,SRR8079721,RUN
70,NCBI,SRR8079773,RUN
71,NCBI,SRR5235208,RUN
72,NCBI,SRR8079750,RUN
73,NCBI,SRR5235199,RUN
74,NCBI,SRR8079713,RUN
75,NCBI,SRR8079736,RUN
76,NCBI,SRR8079742,RUN
77,NCBI,SRR8079719,RUN
78,NCBI,SRR8079754,RUN
79,NCBI,SRR8088172,RUN
80,NCBI,SRR7401677,RUN
81,NCBI,SRR8079727,RUN
82,NCBI,SRR7401673,RUN
83,NCBI,SRR8079707,RUN
84,NCBI,SRR7401681,RUN
85,NCBI,SRR8088161,RUN
86,NCBI,SRR5990375,RUN
87,NCBI,SRR8079753,RUN
88,NCBI,SRR8088103,RUN
89,NCBI,SRR8079718,RUN
90,NCBI,SRR8079725,RUN
91,NCBI,SRR8079745,RUN
92,NCBI,SRR8079760,RUN
93,NCBI,SRR5235387,RUN
94,NCBI,SRR8079762,RUN
95,NCBI,SRR8079766,RUN
96,NCBI,SRR8079716,RUN
97,NCBI,SRR8079709,RUN
98,NCBI,SRR8079748,RUN
99,NCBI,SRR5990483,RUN
100,NCBI,SRR8079722,RUN
101,NCBI,SRR8079710,RUN
102,NCBI,SRR8079740,RUN
103,NCBI,SRR4048869,RUN
104,NCBI,SRR5235370,RUN
105,NCBI,SRR5235210,RUN
106,NCBI,SRR7401685,RUN
107,NCBI,SRR5235216,RUN
108,NCBI,SRR5235365,RUN
109,NCBI,SRR8079749,RUN
110,NCBI,SRR5990372,RUN
111,NCBI,SRR8079768,RUN
112,NCBI,SRR5990423,RUN
113,NCBI,SRR8079765,RUN
114,NCBI,SRR5990373,RUN
115,NCBI,SRR5235206,RUN
116,NCBI,SRR5990356,RUN
117,NCBI,SRR5235382,RUN
118,NCBI,SRR5235319,RUN
119,NCBI,SRR5235381,RUN
120,NCBI,SRR5235320,RUN
121,NCBI,SRR5990376,RUN
122,NCBI,SRR7401668,RUN
123,NCBI,SRR8079738,RUN
124,NCBI,SRR8079732,RUN
125,NCBI,SRR8079755,RUN
126,NCBI,SRR7401669,RUN
127,NCBI,SRR5235317,RUN
128,NCBI,SRR8079720,RUN
129,NCBI,SRR8088101,RUN
130,NCBI,SRR8071285,RUN
131,NCBI,SRR8071259,RUN
132,NCBI,SRR8071207,RUN
133,NCBI,SRR8070993,RUN
134,NCBI,SRR8071161,RUN
135,NCBI,SRR8071264,RUN
136,NCBI,SRR8071261,RUN
137,NCBI,SRR8071201,RUN
138,NCBI,SRR8079702,RUN
139,NCBI,SRR8071136,RUN
140,NCBI,SRR8071159,RUN
141,NCBI,SRR8071269,RUN
142,NCBI,SRR8071265,RUN
