N,Database,Accession,Type
1,NCBI,SRR5235428,RUN
2,NCBI,SRR8088181,RUN
3,NCBI,SRR8079822,RUN
4,NCBI,SRR8079844,RUN
5,NCBI,SRR5198587,RUN
6,NCBI,SRR5198674,RUN
7,NCBI,SRR8079839,RUN
8,NCBI,SRR8079879,RUN
9,NCBI,SRR8079842,RUN
10,NCBI,SRR4048829,RUN
11,NCBI,SRR8079804,RUN
12,NCBI,SRR5198639,RUN
13,NCBI,SRR8079904,RUN
14,NCBI,SRR8079871,RUN
15,NCBI,SRR8079867,RUN
16,NCBI,SRR5198665,RUN
17,NCBI,SRR5235391,RUN
18,NCBI,SRR8079869,RUN
19,NCBI,SRR8088113,RUN
20,NCBI,SRR5235392,RUN
21,NCBI,SRR8079893,RUN
22,NCBI,SRR8079801,RUN
23,NCBI,SRR8079889,RUN
24,NCBI,SRR5198685,RUN
25,NCBI,SRR8079936,RUN
26,NCBI,SRR8079851,RUN
27,NCBI,SRR8079942,RUN
28,NCBI,SRR8079932,RUN
29,NCBI,SRR8079847,RUN
30,NCBI,SRR8079917,RUN
31,NCBI,SRR8079819,RUN
32,NCBI,SRR8079843,RUN
33,NCBI,SRR5198534,RUN
34,NCBI,SRR8079848,RUN
35,NCBI,SRR5198538,RUN
36,NCBI,SRR5198637,RUN
37,NCBI,SRR8079866,RUN
38,NCBI,SRR5198496,RUN
39,NCBI,SRR8079840,RUN
40,NCBI,SRR8079837,RUN
41,NCBI,SRR4048837,RUN
42,NCBI,SRR8088130,RUN
43,NCBI,SRR8079818,RUN
44,NCBI,SRR8079814,RUN
45,NCBI,SRR8079905,RUN
46,NCBI,SRR8079944,RUN
47,NCBI,SRR8079799,RUN
48,NCBI,SRR8079861,RUN
49,NCBI,SRR8079835,RUN
50,NCBI,SRR8079829,RUN
51,NCBI,SRR8088137,RUN
52,NCBI,SRR8079921,RUN
53,NCBI,SRR8079856,RUN
54,NCBI,SRR8079849,RUN
55,NCBI,SRR8079877,RUN
56,NCBI,SRR8079902,RUN
57,NCBI,SRR5198564,RUN
58,NCBI,SRR8079895,RUN
59,NCBI,SRR4048884,RUN
60,NCBI,SRR8079922,RUN
61,NCBI,SRR8079824,RUN
62,NCBI,SRR8079862,RUN
63,NCBI,SRR8079875,RUN
64,NCBI,SRR8079880,RUN
65,NCBI,SRR8079943,RUN
66,NCBI,SRR8079816,RUN
67,NCBI,SRR8079925,RUN
68,NCBI,SRR8079934,RUN
69,NCBI,SRR8079896,RUN
70,NCBI,SRR8079826,RUN
71,NCBI,SRR8079821,RUN
72,NCBI,SRR8088155,RUN
73,NCBI,SRR8079929,RUN
74,NCBI,SRR4048840,RUN
75,NCBI,SRR5198648,RUN
76,NCBI,SRR8079897,RUN
77,NCBI,SRR8079836,RUN
78,NCBI,SRR8079933,RUN
79,NCBI,SRR8079941,RUN
80,NCBI,SRR5235401,RUN
81,NCBI,SRR8079914,RUN
82,NCBI,SRR8079915,RUN
83,NCBI,SRR8079908,RUN
84,NCBI,SRR8079901,RUN
85,NCBI,SRR8079910,RUN
86,NCBI,SRR8088126,RUN
87,NCBI,SRR8079883,RUN
88,NCBI,SRR8079845,RUN
89,NCBI,SRR5235260,RUN
90,NCBI,SRR8079890,RUN
91,NCBI,SRR8079874,RUN
92,NCBI,SRR8079806,RUN
93,NCBI,SRR8329864,RUN
94,NCBI,SRR4048851,RUN
95,NCBI,SRR8079868,RUN
96,NCBI,SRR5198530,RUN
97,NCBI,SRR8079888,RUN
98,NCBI,SRR5198687,RUN
99,NCBI,SRR8079926,RUN
100,NCBI,SRR8079841,RUN
101,NCBI,SRR8079945,RUN
102,NCBI,SRR4048886,RUN
103,NCBI,SRR8329892,RUN
104,NCBI,SRR8079852,RUN
105,NCBI,SRR8079913,RUN
106,NCBI,SRR5198488,RUN
107,NCBI,SRR5235388,RUN
108,NCBI,SRR8079860,RUN
109,NCBI,SRR8079797,RUN
110,NCBI,SRR8079894,RUN
111,NCBI,SRR8079903,RUN
112,NCBI,SRR4048838,RUN
113,NCBI,SRR8079796,RUN
114,NCBI,SRR5198585,RUN
115,NCBI,SRR8079918,RUN
116,NCBI,SRR8079900,RUN
117,NCBI,SRR8079912,RUN
118,NCBI,SRR8079930,RUN
119,NCBI,SRR8079872,RUN
120,NCBI,SRR8079850,RUN
121,NCBI,SRR8079820,RUN
122,NCBI,SRR8079899,RUN
123,NCBI,SRR5235241,RUN
124,NCBI,SRR8079939,RUN
125,NCBI,SRR8079938,RUN
126,NCBI,SRR5198537,RUN
127,NCBI,SRR8079815,RUN
128,NCBI,SRR8079817,RUN
129,NCBI,SRR8079907,RUN
130,NCBI,SRR8079853,RUN
131,NCBI,SRR8079887,RUN
132,NCBI,SRR8079813,RUN
133,NCBI,SRR5198608,RUN
134,NCBI,SRR5235395,RUN
135,NCBI,SRR5990454,RUN
136,NCBI,SRR8079924,RUN
137,NCBI,SRR5990456,RUN
138,NCBI,SRR8079931,RUN
139,NCBI,SRR8079855,RUN
140,NCBI,SRR8079823,RUN
141,NCBI,SRR5235409,RUN
142,NCBI,SRR8079935,RUN
143,NCBI,SRR8079916,RUN
144,NCBI,SRR8079876,RUN
145,NCBI,SRR4048866,RUN
146,NCBI,SRR8079885,RUN
147,NCBI,SRR5235322,RUN
148,NCBI,SRR8079940,RUN
149,NCBI,SRR5198686,RUN
150,NCBI,SRR8079800,RUN
151,NCBI,SRR8079798,RUN
152,NCBI,SRR8079827,RUN
153,NCBI,SRR8079863,RUN
154,NCBI,SRR8079911,RUN
155,NCBI,SRR8079831,RUN
156,NCBI,SRR8079832,RUN
157,NCBI,SRR8079864,RUN
158,NCBI,SRR8079807,RUN
159,NCBI,SRR5198517,RUN
160,NCBI,SRR8079830,RUN
161,NCBI,SRR8079805,RUN
162,NCBI,SRR8079803,RUN
163,NCBI,SRR8079825,RUN
164,NCBI,SRR8079838,RUN
165,NCBI,SRR8079927,RUN
166,NCBI,SRR5235393,RUN
167,NCBI,SRR5198638,RUN
168,NCBI,SRR8079834,RUN
169,NCBI,SRR8079881,RUN
170,NCBI,SRR8079898,RUN
171,NCBI,SRR8079891,RUN
172,NCBI,SRR8079858,RUN
173,NCBI,SRR8079854,RUN
174,NCBI,SRR8079886,RUN
175,NCBI,SRR8079859,RUN
176,NCBI,SRR8079884,RUN
177,NCBI,SRR8329865,RUN
178,NCBI,SRR8079808,RUN
179,NCBI,SRR5198562,RUN
180,NCBI,SRR4048843,RUN
181,NCBI,SRR8079937,RUN
182,NCBI,SRR8079828,RUN
183,NCBI,SRR8079928,RUN
184,NCBI,SRR8079920,RUN
185,NCBI,SRR5990426,RUN
186,NCBI,SRR8079878,RUN
187,NCBI,SRR8079892,RUN
188,NCBI,SRR8079865,RUN
189,NCBI,SRR8079909,RUN
190,NCBI,SRR8079919,RUN
191,NCBI,SRR8079873,RUN
192,NCBI,SRR8079857,RUN
193,NCBI,SRR5235242,RUN
194,NCBI,SRR8079882,RUN
195,NCBI,SRR8079764,RUN
196,NCBI,SRR8079763,RUN
197,NCBI,SRR8079729,RUN
198,NCBI,SRR8079708,RUN
199,NCBI,SRR4048862,RUN
200,NCBI,SRR8079715,RUN
201,NCBI,SRR8079758,RUN
202,NCBI,SRR8079703,RUN
203,NCBI,SRR8079752,RUN
204,NCBI,SRR7401682,RUN
205,NCBI,SRR8079772,RUN
206,NCBI,SRR5990352,RUN
207,NCBI,SRR4048856,RUN
208,NCBI,SRR8079735,RUN
209,NCBI,SRR8079714,RUN
210,NCBI,SRR7401674,RUN
211,NCBI,SRR8088116,RUN
212,NCBI,SRR5990475,RUN
213,NCBI,SRR4048864,RUN
214,NCBI,SRR8079741,RUN
215,NCBI,SRR7401676,RUN
216,NCBI,SRR7401679,RUN
217,NCBI,SRR5235368,RUN
218,NCBI,SRR8079743,RUN
219,NCBI,SRR8079756,RUN
220,NCBI,SRR8079757,RUN
221,NCBI,SRR7401680,RUN
222,NCBI,SRR7401670,RUN
223,NCBI,SRR8079731,RUN
224,NCBI,SRR8079761,RUN
225,NCBI,SRR5235318,RUN
226,NCBI,SRR8079747,RUN
227,NCBI,SRR5235386,RUN
228,NCBI,SRR8079728,RUN
229,NCBI,SRR5235186,RUN
230,NCBI,SRR8079698,RUN
231,NCBI,SRR8079767,RUN
232,NCBI,SRR5990473,RUN
233,NCBI,SRR7401671,RUN
234,NCBI,SRR8079730,RUN
235,NCBI,SRR7401672,RUN
236,NCBI,SRR8088179,RUN
237,NCBI,SRR7401684,RUN
238,NCBI,SRR8079746,RUN
239,NCBI,SRR8079701,RUN
240,NCBI,SRR8079699,RUN
241,NCBI,SRR7401675,RUN
242,NCBI,SRR8079717,RUN
243,NCBI,SRR7401678,RUN
244,NCBI,SRR8079726,RUN
245,NCBI,SRR8079739,RUN
246,NCBI,SRR8079744,RUN
247,NCBI,SRR8079724,RUN
248,NCBI,SRR8079700,RUN
249,NCBI,SRR8079706,RUN
250,NCBI,SRR8079770,RUN
251,NCBI,SRR8079705,RUN
252,NCBI,SRR8079751,RUN
253,NCBI,SRR5235175,RUN
254,NCBI,SRR8079769,RUN
255,NCBI,SRR8079723,RUN
256,NCBI,SRR5990353,RUN
257,NCBI,SRR5235209,RUN
258,NCBI,SRR5235369,RUN
259,NCBI,SRR7401683,RUN
260,NCBI,SRR8079734,RUN
261,NCBI,SRR8079759,RUN
262,NCBI,SRR5990374,RUN
263,NCBI,SRR8079721,RUN
264,NCBI,SRR8079773,RUN
265,NCBI,SRR5235208,RUN
266,NCBI,SRR8079750,RUN
267,NCBI,SRR5235199,RUN
268,NCBI,SRR8079713,RUN
269,NCBI,SRR8079736,RUN
270,NCBI,SRR8079742,RUN
271,NCBI,SRR8079719,RUN
272,NCBI,SRR8079754,RUN
273,NCBI,SRR8088172,RUN
274,NCBI,SRR7401677,RUN
275,NCBI,SRR8079727,RUN
276,NCBI,SRR7401673,RUN
277,NCBI,SRR8079707,RUN
278,NCBI,SRR7401681,RUN
279,NCBI,SRR8088161,RUN
280,NCBI,SRR5990375,RUN
281,NCBI,SRR8079753,RUN
282,NCBI,SRR8088103,RUN
283,NCBI,SRR8079718,RUN
284,NCBI,SRR8079725,RUN
285,NCBI,SRR8079745,RUN
286,NCBI,SRR8079760,RUN
287,NCBI,SRR5235387,RUN
288,NCBI,SRR8079762,RUN
289,NCBI,SRR8079766,RUN
290,NCBI,SRR8079716,RUN
291,NCBI,SRR8079709,RUN
292,NCBI,SRR8079748,RUN
293,NCBI,SRR5990483,RUN
294,NCBI,SRR8079722,RUN
295,NCBI,SRR8079710,RUN
296,NCBI,SRR8079740,RUN
297,NCBI,SRR4048869,RUN
298,NCBI,SRR5235370,RUN
299,NCBI,SRR5235210,RUN
300,NCBI,SRR7401685,RUN
301,NCBI,SRR5235216,RUN
302,NCBI,SRR5235365,RUN
303,NCBI,SRR8079749,RUN
304,NCBI,SRR5990372,RUN
305,NCBI,SRR8079768,RUN
306,NCBI,SRR5990423,RUN
307,NCBI,SRR8079765,RUN
308,NCBI,SRR5990373,RUN
309,NCBI,SRR5235206,RUN
310,NCBI,SRR5990356,RUN
311,NCBI,SRR5235382,RUN
312,NCBI,SRR5235319,RUN
313,NCBI,SRR5235381,RUN
314,NCBI,SRR5235320,RUN
315,NCBI,SRR5990376,RUN
316,NCBI,SRR7401668,RUN
317,NCBI,SRR8079738,RUN
318,NCBI,SRR8079732,RUN
319,NCBI,SRR8079755,RUN
320,NCBI,SRR7401669,RUN
321,NCBI,SRR5235317,RUN
322,NCBI,SRR8079720,RUN
323,NCBI,SRR8088101,RUN
324,NCBI,SRR8079795,RUN
