N,Database,Accession,Type
1,NCBI,SRR1661311,RUN
2,NCBI,SRR1661288,RUN
3,NCBI,SRR1661265,RUN
4,NCBI,SRR1661304,RUN
5,NCBI,SRR1661244,RUN
6,NCBI,SRR1661217,RUN
7,NCBI,SRR1661237,RUN
8,NCBI,SRR1661325,RUN
9,NCBI,SRR1661318,RUN
10,NCBI,SRR1661238,RUN
11,NCBI,SRR1661287,RUN
12,NCBI,SRR1661242,RUN
13,NCBI,SRR1661226,RUN
14,NCBI,SRR1661326,RUN
15,NCBI,SRR1661206,RUN
16,NCBI,SRR1661308,RUN
17,NCBI,SRR1661212,RUN
18,NCBI,SRR1661236,RUN
19,NCBI,SRR1661207,RUN
20,NCBI,SRR1661295,RUN
21,NCBI,SRR1661233,RUN
22,NCBI,SRR1661296,RUN
23,NCBI,SRR1661331,RUN
24,NCBI,SRR1661321,RUN
25,NCBI,SRR1661234,RUN
26,NCBI,SRR1661300,RUN
27,NCBI,SRR1661282,RUN
28,NCBI,SRR1661250,RUN
29,NCBI,SRR1661279,RUN
30,NCBI,SRR1661251,RUN
31,NCBI,SRR1661281,RUN
32,NCBI,SRR1661294,RUN
33,NCBI,SRR1661299,RUN
34,NCBI,SRR1661246,RUN
35,NCBI,SRR1661269,RUN
36,NCBI,SRR1661205,RUN
37,NCBI,SRR1661210,RUN
38,NCBI,SRR1661272,RUN
39,NCBI,SRR1661257,RUN
40,NCBI,SRR1661280,RUN
41,NCBI,SRR1661228,RUN
42,NCBI,SRR1661215,RUN
43,NCBI,SRR1661218,RUN
44,NCBI,SRR1661203,RUN
45,NCBI,SRR1661298,RUN
46,NCBI,SRR1661267,RUN
47,NCBI,SRR1661320,RUN
48,NCBI,SRR1661330,RUN
49,NCBI,SRR1661214,RUN
50,NCBI,SRR1661220,RUN
51,NCBI,SRR1661290,RUN
52,NCBI,SRR1661240,RUN
53,NCBI,SRR1661270,RUN
54,NCBI,SRR1661243,RUN
55,NCBI,SRR1661316,RUN
56,NCBI,SRR1661219,RUN
57,NCBI,SRR1661249,RUN
58,NCBI,SRR1661260,RUN
59,NCBI,SRR1661273,RUN
60,NCBI,SRR1661231,RUN
61,NCBI,SRR1661264,RUN
62,NCBI,SRR1661271,RUN
63,NCBI,SRR1661232,RUN
64,NCBI,SRR1661291,RUN
65,NCBI,SRR1661297,RUN
66,NCBI,SRR1661262,RUN
67,NCBI,SRR1661255,RUN
68,NCBI,SRR1661224,RUN
69,NCBI,SRR1661301,RUN
70,NCBI,SRR1661324,RUN
71,NCBI,SRR1661293,RUN
72,NCBI,SRR1661247,RUN
73,NCBI,SRR1661254,RUN
74,NCBI,SRR1661278,RUN
75,NCBI,SRR1661302,RUN
76,NCBI,SRR1661312,RUN
77,NCBI,SRR1661306,RUN
78,NCBI,SRR1661253,RUN
79,NCBI,SRR1661209,RUN
80,NCBI,SRR1661292,RUN
81,NCBI,SRR1661252,RUN
82,NCBI,SRR1661285,RUN
83,NCBI,SRR1661283,RUN
84,NCBI,SRR1661204,RUN
85,NCBI,SRR1661266,RUN
86,NCBI,SRR1661307,RUN
87,NCBI,SRR1661263,RUN
88,NCBI,SRR1661211,RUN
89,NCBI,SRR1661259,RUN
90,NCBI,SRR1661275,RUN
91,NCBI,SRR1661289,RUN
92,NCBI,SRR1661208,RUN
93,NCBI,SRR1661310,RUN
94,NCBI,SRR1661222,RUN
95,NCBI,SRR1661313,RUN
96,NCBI,SRR1661303,RUN
97,NCBI,SRR1661227,RUN
98,NCBI,SRR1661319,RUN
99,NCBI,SRR1661317,RUN
100,NCBI,SRR1661225,RUN
101,NCBI,SRR1661328,RUN
102,NCBI,SRR1661268,RUN
103,NCBI,SRR1661213,RUN
104,NCBI,SRR1661256,RUN
105,NCBI,SRR1661329,RUN
106,NCBI,SRR1661305,RUN
107,NCBI,SRR1661309,RUN
108,NCBI,SRR1661239,RUN
109,NCBI,SRR1661248,RUN
110,NCBI,SRR1661230,RUN
111,NCBI,SRR1661223,RUN
112,NCBI,SRR1661322,RUN
113,NCBI,SRR1661315,RUN
114,NCBI,SRR1661284,RUN
115,NCBI,SRR1661258,RUN
116,NCBI,SRR1661274,RUN
117,NCBI,SRR1661241,RUN
118,NCBI,SRR1661314,RUN
119,NCBI,SRR1661235,RUN
120,NCBI,SRR1661286,RUN
121,NCBI,SRR1661189,RUN
122,NCBI,SRR1661185,RUN
123,NCBI,SRR1661202,RUN
124,NCBI,SRR1661153,RUN
125,NCBI,SRR1661199,RUN
126,NCBI,SRR1661181,RUN
127,NCBI,SRR1661158,RUN
128,NCBI,SRR1661188,RUN
129,NCBI,SRR1661161,RUN
