N,Database,Accession,Type
1,ENA,ERR049022,RUN
2,ENA,ERR234506,RUN
3,ENA,ERR029243,RUN
4,ENA,ERR049055,RUN
5,ENA,ERR234390,RUN
6,ENA,ERR234425,RUN
7,ENA,ERR029262,RUN
8,ENA,ERR029239,RUN
9,ENA,ERR049062,RUN
10,ENA,ERR049026,RUN
11,ENA,ERR029256,RUN
12,ENA,ERR049058,RUN
13,ENA,ERR234475,RUN
14,ENA,ERR234444,RUN
15,ENA,ERR234507,RUN
16,ENA,ERR234456,RUN
17,ENA,ERR049050,RUN
18,ENA,ERR049072,RUN
19,ENA,ERR234479,RUN
20,ENA,ERR234452,RUN
21,ENA,ERR234398,RUN
22,ENA,ERR234454,RUN
23,ENA,ERR234437,RUN
24,ENA,ERR029244,RUN
25,ENA,ERR234472,RUN
26,ENA,ERR029247,RUN
27,ENA,ERR049038,RUN
28,ENA,ERR049047,RUN
29,ENA,ERR049074,RUN
30,ENA,ERR049056,RUN
31,ENA,ERR049063,RUN
32,ENA,ERR049006,RUN
33,ENA,ERR049054,RUN
34,ENA,ERR234426,RUN
35,ENA,ERR234429,RUN
36,ENA,ERR234391,RUN
37,ENA,ERR234473,RUN
38,ENA,ERR049060,RUN
39,ENA,ERR234432,RUN
40,ENA,ERR049064,RUN
41,ENA,ERR234484,RUN
42,ENA,ERR049010,RUN
43,ENA,ERR234413,RUN
44,ENA,ERR049061,RUN
45,ENA,ERR029252,RUN
46,ENA,ERR029274,RUN
47,ENA,ERR029260,RUN
48,ENA,ERR048998,RUN
49,ENA,ERR234487,RUN
50,ENA,ERR234422,RUN
51,ENA,ERR234494,RUN
52,ENA,ERR049077,RUN
53,ENA,ERR234485,RUN
54,ENA,ERR029240,RUN
55,ENA,ERR049040,RUN
56,ENA,ERR234471,RUN
57,ENA,ERR049012,RUN
58,ENA,ERR234453,RUN
59,ENA,ERR049023,RUN
60,ENA,ERR049005,RUN
61,ENA,ERR234402,RUN
62,ENA,ERR049048,RUN
63,ENA,ERR234394,RUN
64,ENA,ERR029267,RUN
65,ENA,ERR234385,RUN
66,ENA,ERR234504,RUN
67,ENA,ERR234416,RUN
68,ENA,ERR049030,RUN
69,ENA,ERR234481,RUN
70,ENA,ERR234443,RUN
71,ENA,ERR234406,RUN
72,ENA,ERR029254,RUN
73,ENA,ERR234488,RUN
74,ENA,ERR234446,RUN
75,ENA,ERR049037,RUN
76,ENA,ERR234495,RUN
77,ENA,ERR049007,RUN
78,ENA,ERR234387,RUN
79,ENA,ERR234389,RUN
80,ENA,ERR234442,RUN
81,ENA,ERR029263,RUN
82,ENA,ERR029255,RUN
83,ENA,ERR234498,RUN
84,ENA,ERR049067,RUN
85,ENA,ERR234415,RUN
86,ENA,ERR049017,RUN
87,ENA,ERR234436,RUN
88,ENA,ERR049057,RUN
89,ENA,ERR234438,RUN
90,ENA,ERR234451,RUN
91,ENA,ERR234465,RUN
92,ENA,ERR049043,RUN
93,ENA,ERR049003,RUN
94,ENA,ERR234486,RUN
95,ENA,ERR049004,RUN
96,ENA,ERR049019,RUN
97,ENA,ERR234386,RUN
98,ENA,ERR049028,RUN
99,ENA,ERR234434,RUN
100,ENA,ERR029275,RUN
101,ENA,ERR029259,RUN
102,ENA,ERR029242,RUN
103,ENA,ERR049071,RUN
104,ENA,ERR049009,RUN
105,ENA,ERR049075,RUN
106,ENA,ERR049053,RUN
107,ENA,ERR234430,RUN
108,ENA,ERR234419,RUN
109,ENA,ERR234464,RUN
110,ENA,ERR049052,RUN
111,ENA,ERR049069,RUN
112,ENA,ERR234395,RUN
113,ENA,ERR049042,RUN
114,ENA,ERR234435,RUN
115,ENA,ERR049078,RUN
116,ENA,ERR234424,RUN
117,ENA,ERR234469,RUN
118,ENA,ERR234428,RUN
119,ENA,ERR029257,RUN
120,ENA,ERR234450,RUN
121,ENA,ERR049008,RUN
122,ENA,ERR049020,RUN
123,ENA,ERR234409,RUN
124,ENA,ERR049021,RUN
125,ENA,ERR234463,RUN
126,ENA,ERR234417,RUN
127,ENA,ERR029276,RUN
128,ENA,ERR234458,RUN
129,ENA,ERR234500,RUN
130,ENA,ERR234414,RUN
131,ENA,ERR234499,RUN
132,ENA,ERR029253,RUN
133,ENA,ERR029273,RUN
134,ENA,ERR234440,RUN
135,ENA,ERR049039,RUN
136,ENA,ERR029258,RUN
137,ENA,ERR234460,RUN
138,ENA,ERR234491,RUN
139,ENA,ERR234483,RUN
140,ENA,ERR234457,RUN
141,ENA,ERR049045,RUN
142,ENA,ERR234433,RUN
143,ENA,ERR029269,RUN
144,ENA,ERR234492,RUN
145,ENA,ERR234462,RUN
146,ENA,ERR049001,RUN
147,ENA,ERR234468,RUN
148,ENA,ERR234502,RUN
149,ENA,ERR234482,RUN
150,ENA,ERR049066,RUN
