N,Database,Accession,Type
1,ENA,ERR1143705,RUN
2,ENA,ERR1143661,RUN
3,ENA,ERR976930,RUN
4,ENA,ERR1143708,RUN
5,ENA,ERR976909,RUN
6,ENA,ERR976922,RUN
7,ENA,ERR976964,RUN
8,ENA,ERR1143694,RUN
9,ENA,ERR1143659,RUN
10,ENA,ERR976919,RUN
11,ENA,ERR976952,RUN
12,ENA,ERR1143690,RUN
13,ENA,ERR976956,RUN
14,ENA,ERR976955,RUN
15,ENA,ERR976905,RUN
16,ENA,ERR976901,RUN
17,ENA,ERR976914,RUN
18,ENA,ERR1143678,RUN
19,ENA,ERR976942,RUN
20,ENA,ERR1143681,RUN
21,ENA,ERR976911,RUN
22,ENA,ERR976913,RUN
23,ENA,ERR1143662,RUN
24,ENA,ERR976903,RUN
25,ENA,ERR976904,RUN
26,ENA,ERR976917,RUN
27,ENA,ERR1143686,RUN
28,ENA,ERR1143683,RUN
29,ENA,ERR1143672,RUN
30,ENA,ERR1143660,RUN
31,ENA,ERR1143668,RUN
32,ENA,ERR976912,RUN
33,ENA,ERR976962,RUN
34,ENA,ERR1143706,RUN
35,ENA,ERR1143691,RUN
36,ENA,ERR976940,RUN
37,ENA,ERR1143711,RUN
38,ENA,ERR1143658,RUN
39,ENA,ERR1143712,RUN
40,ENA,ERR1143657,RUN
41,ENA,ERR976945,RUN
42,ENA,ERR1143704,RUN
43,ENA,ERR976925,RUN
44,ENA,ERR976926,RUN
45,ENA,ERR976920,RUN
46,ENA,ERR1143671,RUN
47,ENA,ERR1143714,RUN
48,ENA,ERR1143703,RUN
49,ENA,ERR1143702,RUN
50,ENA,ERR1143670,RUN
51,ENA,ERR1143695,RUN
52,ENA,ERR976933,RUN
53,ENA,ERR1143664,RUN
54,ENA,ERR976946,RUN
55,ENA,ERR976908,RUN
56,ENA,ERR976934,RUN
57,ENA,ERR976953,RUN
58,ENA,ERR1143673,RUN
59,ENA,ERR976957,RUN
60,ENA,ERR976939,RUN
61,ENA,ERR976959,RUN
62,ENA,ERR1143663,RUN
63,ENA,ERR1143692,RUN
64,ENA,ERR1143667,RUN
65,ENA,ERR976929,RUN
66,ENA,ERR1143710,RUN
67,ENA,ERR1143679,RUN
68,ENA,ERR1143665,RUN
69,ENA,ERR1143682,RUN
70,ENA,ERR976918,RUN
71,ENA,ERR976960,RUN
72,ENA,ERR1143669,RUN
73,ENA,ERR976961,RUN
74,ENA,ERR976923,RUN
75,ENA,ERR1143688,RUN
76,ENA,ERR976943,RUN
77,ENA,ERR1143693,RUN
78,ENA,ERR1143685,RUN
79,ENA,ERR976941,RUN
80,ENA,ERR976950,RUN
81,ENA,ERR1143684,RUN
82,ENA,ERR976947,RUN
83,ENA,ERR1143674,RUN
84,ENA,ERR1143687,RUN
85,ENA,ERR976954,RUN
86,ENA,ERR976906,RUN
87,ENA,ERR976915,RUN
88,ENA,ERR1143698,RUN
89,ENA,ERR976907,RUN
90,ENA,ERR976936,RUN
91,ENA,ERR1143699,RUN
92,ENA,ERR1143676,RUN
93,ENA,ERR976958,RUN
94,ENA,ERR976921,RUN
95,ENA,ERR976910,RUN
96,ENA,ERR976935,RUN
97,ENA,ERR976927,RUN
98,ENA,ERR1143666,RUN
99,ENA,ERR976965,RUN
100,ENA,ERR1143701,RUN
101,ENA,ERR1143697,RUN
102,ENA,ERR976916,RUN
103,ENA,ERR1143700,RUN
104,ENA,ERR1143715,RUN
105,ENA,ERR976951,RUN
106,ENA,ERR976902,RUN
107,ENA,ERR976948,RUN
108,ENA,ERR1143675,RUN
109,ENA,ERR1143707,RUN
110,ENA,ERR976931,RUN
111,ENA,ERR976963,RUN
112,ENA,ERR976944,RUN
