N,Database,Accession,Type
1,ENA,ERR3201045,RUN
2,ENA,ERR3201180,RUN
3,ENA,ERR3201005,RUN
4,ENA,ERR3201189,RUN
5,ENA,ERR3201118,RUN
6,ENA,ERR3201216,RUN
7,ENA,ERR3201264,RUN
8,ENA,ERR3201155,RUN
9,ENA,ERR3201009,RUN
10,ENA,ERR3201251,RUN
11,ENA,ERR3201046,RUN
12,ENA,ERR3201171,RUN
13,ENA,ERR3201283,RUN
14,ENA,ERR3201130,RUN
15,ENA,ERR3201055,RUN
16,ENA,ERR3201165,RUN
17,ENA,ERR3201175,RUN
18,ENA,ERR3200914,RUN
19,ENA,ERR3200928,RUN
20,ENA,ERR3201205,RUN
21,ENA,ERR3201257,RUN
22,ENA,ERR3200916,RUN
23,ENA,ERR3201270,RUN
24,ENA,ERR3201252,RUN
25,ENA,ERR3201204,RUN
26,ENA,ERR3201238,RUN
27,ENA,ERR3201089,RUN
28,ENA,ERR3201110,RUN
29,ENA,ERR3201192,RUN
30,ENA,ERR3201284,RUN
31,ENA,ERR3201280,RUN
32,ENA,ERR3200876,RUN
33,ENA,ERR3201101,RUN
34,ENA,ERR3201113,RUN
35,ENA,ERR3201255,RUN
36,ENA,ERR3201286,RUN
37,ENA,ERR3200961,RUN
38,ENA,ERR3200942,RUN
39,ENA,ERR3201327,RUN
40,ENA,ERR3201338,RUN
41,ENA,ERR3201051,RUN
42,ENA,ERR3201090,RUN
43,ENA,ERR3200998,RUN
44,ENA,ERR3201314,RUN
45,ENA,ERR3201049,RUN
46,ENA,ERR3200868,RUN
47,ENA,ERR3200996,RUN
48,ENA,ERR3200980,RUN
49,ENA,ERR3200981,RUN
50,ENA,ERR3200924,RUN
51,ENA,ERR3201364,RUN
52,ENA,ERR3201262,RUN
53,ENA,ERR3200969,RUN
54,ENA,ERR3200960,RUN
55,ENA,ERR3201108,RUN
56,ENA,ERR3201320,RUN
57,ENA,ERR3201261,RUN
58,ENA,ERR3201351,RUN
59,ENA,ERR3201047,RUN
60,ENA,ERR3201291,RUN
61,ENA,ERR3201132,RUN
62,ENA,ERR3201188,RUN
63,ENA,ERR3201093,RUN
64,ENA,ERR3201122,RUN
65,ENA,ERR3201199,RUN
66,ENA,ERR3200870,RUN
67,ENA,ERR3201162,RUN
68,ENA,ERR3200888,RUN
69,ENA,ERR3200923,RUN
70,ENA,ERR3201000,RUN
71,ENA,ERR3201353,RUN
72,ENA,ERR3201198,RUN
73,ENA,ERR3201083,RUN
74,ENA,ERR3201355,RUN
75,ENA,ERR3200954,RUN
76,ENA,ERR3201150,RUN
77,ENA,ERR3201334,RUN
78,ENA,ERR3201318,RUN
79,ENA,ERR3201066,RUN
80,ENA,ERR3200957,RUN
81,ENA,ERR3201182,RUN
82,ENA,ERR3201183,RUN
83,ENA,ERR3201095,RUN
84,ENA,ERR3201365,RUN
85,ENA,ERR3201219,RUN
86,ENA,ERR3200926,RUN
87,ENA,ERR3201034,RUN
88,ENA,ERR3201096,RUN
89,ENA,ERR3200952,RUN
90,ENA,ERR3200874,RUN
91,ENA,ERR3201336,RUN
92,ENA,ERR3200979,RUN
93,ENA,ERR3201196,RUN
94,ENA,ERR3201184,RUN
95,ENA,ERR3201109,RUN
96,ENA,ERR3200913,RUN
97,ENA,ERR3201129,RUN
98,ENA,ERR3201086,RUN
99,ENA,ERR3200897,RUN
100,ENA,ERR3200995,RUN
101,ENA,ERR3200973,RUN
102,ENA,ERR3201250,RUN
103,ENA,ERR3201361,RUN
104,ENA,ERR3200958,RUN
105,ENA,ERR3201127,RUN
106,ENA,ERR3201294,RUN
107,ENA,ERR3201027,RUN
108,ENA,ERR3201035,RUN
109,ENA,ERR3201179,RUN
110,ENA,ERR3201120,RUN
111,ENA,ERR3201138,RUN
112,ENA,ERR3200877,RUN
113,ENA,ERR3200889,RUN
114,ENA,ERR3201295,RUN
115,ENA,ERR3200906,RUN
116,ENA,ERR3200901,RUN
117,ENA,ERR3201134,RUN
118,ENA,ERR3200993,RUN
119,ENA,ERR3201102,RUN
120,ENA,ERR3200946,RUN
121,ENA,ERR3201282,RUN
122,ENA,ERR3201226,RUN
123,ENA,ERR3201125,RUN
124,ENA,ERR3201016,RUN
125,ENA,ERR3201178,RUN
126,ENA,ERR3201023,RUN
127,ENA,ERR3201085,RUN
128,ENA,ERR3201319,RUN
129,ENA,ERR3201114,RUN
130,ENA,ERR3201233,RUN
131,ENA,ERR3200871,RUN
132,ENA,ERR3201267,RUN
133,ENA,ERR3200872,RUN
134,ENA,ERR3201145,RUN
135,ENA,ERR3201322,RUN
136,ENA,ERR3201078,RUN
137,ENA,ERR3201272,RUN
138,ENA,ERR3201308,RUN
139,ENA,ERR3201316,RUN
140,ENA,ERR3201136,RUN
141,ENA,ERR3201345,RUN
142,ENA,ERR3200908,RUN
143,ENA,ERR3201354,RUN
144,ENA,ERR3200919,RUN
145,ENA,ERR3201038,RUN
146,ENA,ERR3201211,RUN
147,ENA,ERR3201185,RUN
148,ENA,ERR3201191,RUN
149,ENA,ERR3201030,RUN
150,ENA,ERR3201203,RUN
151,ENA,ERR3201088,RUN
152,ENA,ERR3201111,RUN
153,ENA,ERR3201309,RUN
154,ENA,ERR3201024,RUN
155,ENA,ERR3200983,RUN
156,ENA,ERR3201329,RUN
157,ENA,ERR3201031,RUN
158,ENA,ERR3200896,RUN
159,ENA,ERR3201098,RUN
160,ENA,ERR3200865,RUN
161,ENA,ERR3201163,RUN
162,ENA,ERR3201042,RUN
163,ENA,ERR3200929,RUN
164,ENA,ERR3201289,RUN
165,ENA,ERR3200885,RUN
166,ENA,ERR3200910,RUN
167,ENA,ERR3201339,RUN
168,ENA,ERR3201273,RUN
169,ENA,ERR3201079,RUN
170,ENA,ERR3201037,RUN
171,ENA,ERR3200894,RUN
172,ENA,ERR3201153,RUN
173,ENA,ERR3201006,RUN
174,ENA,ERR3201222,RUN
175,ENA,ERR3201243,RUN
176,ENA,ERR3200966,RUN
177,ENA,ERR3201176,RUN
178,ENA,ERR3201062,RUN
179,ENA,ERR3201331,RUN
180,ENA,ERR3201069,RUN
181,ENA,ERR3200925,RUN
182,ENA,ERR3201239,RUN
183,ENA,ERR3200962,RUN
184,ENA,ERR3200884,RUN
185,ENA,ERR3201271,RUN
186,ENA,ERR3200991,RUN
187,ENA,ERR3201094,RUN
188,ENA,ERR3201164,RUN
189,ENA,ERR3201306,RUN
190,ENA,ERR3200992,RUN
191,ENA,ERR3201337,RUN
192,ENA,ERR3201156,RUN
193,ENA,ERR3201119,RUN
194,ENA,ERR3201099,RUN
195,ENA,ERR3200982,RUN
196,ENA,ERR3201200,RUN
197,ENA,ERR3201077,RUN
198,ENA,ERR3201247,RUN
199,ENA,ERR3201181,RUN
200,ENA,ERR3201225,RUN
201,ENA,ERR3201305,RUN
202,ENA,ERR3201274,RUN
203,ENA,ERR3201315,RUN
204,ENA,ERR3201258,RUN
205,ENA,ERR3200978,RUN
206,ENA,ERR3200964,RUN
207,ENA,ERR3200891,RUN
208,ENA,ERR3200972,RUN
209,ENA,ERR3201202,RUN
210,ENA,ERR3201070,RUN
211,ENA,ERR3201214,RUN
212,ENA,ERR3201310,RUN
213,ENA,ERR3201029,RUN
214,ENA,ERR3201124,RUN
215,ENA,ERR3201325,RUN
216,ENA,ERR3201276,RUN
217,ENA,ERR3201215,RUN
218,ENA,ERR3201033,RUN
219,ENA,ERR3201342,RUN
220,ENA,ERR3201100,RUN
221,ENA,ERR3201265,RUN
222,ENA,ERR3200917,RUN
223,ENA,ERR3200937,RUN
224,ENA,ERR3201281,RUN
225,ENA,ERR3201022,RUN
226,ENA,ERR3200873,RUN
227,ENA,ERR3201025,RUN
228,ENA,ERR3201236,RUN
229,ENA,ERR3201097,RUN
230,ENA,ERR3201323,RUN
231,ENA,ERR3201074,RUN
232,ENA,ERR3201052,RUN
233,ENA,ERR3200959,RUN
234,ENA,ERR3201335,RUN
235,ENA,ERR3201301,RUN
236,ENA,ERR3200947,RUN
237,ENA,ERR3201374,RUN
238,ENA,ERR3201073,RUN
239,ENA,ERR3201201,RUN
240,ENA,ERR3201092,RUN
241,ENA,ERR3201235,RUN
242,ENA,ERR3201220,RUN
243,ENA,ERR3201169,RUN
244,ENA,ERR3200892,RUN
