N,Database,Accession,Type
1,ENA,ERR449501,RUN
2,ENA,ERR449514,RUN
3,ENA,ERR349894,RUN
4,ENA,ERR388428,RUN
5,ENA,ERR388442,RUN
6,ENA,ERR349976,RUN
7,ENA,ERR349955,RUN
8,ENA,ERR388297,RUN
9,ENA,ERR388366,RUN
10,ENA,ERR349907,RUN
11,ENA,ERR388432,RUN
12,ENA,ERR485171,RUN
13,ENA,ERR363588,RUN
14,ENA,ERR388307,RUN
15,ENA,ERR363594,RUN
16,ENA,ERR449510,RUN
17,ENA,ERR363641,RUN
18,ENA,ERR388417,RUN
19,ENA,ERR388427,RUN
20,ENA,ERR363630,RUN
21,ENA,ERR388420,RUN
22,ENA,ERR349935,RUN
23,ENA,ERR349938,RUN
24,ENA,ERR449482,RUN
25,ENA,ERR349896,RUN
26,ENA,ERR388419,RUN
27,ENA,ERR449496,RUN
28,ENA,ERR388388,RUN
29,ENA,ERR363656,RUN
30,ENA,ERR388395,RUN
31,ENA,ERR388421,RUN
32,ENA,ERR388439,RUN
33,ENA,ERR388416,RUN
34,ENA,ERR363667,RUN
35,ENA,ERR363632,RUN
36,ENA,ERR449522,RUN
37,ENA,ERR363619,RUN
38,ENA,ERR349954,RUN
39,ENA,ERR349944,RUN
40,ENA,ERR388384,RUN
41,ENA,ERR388451,RUN
42,ENA,ERR449525,RUN
43,ENA,ERR349909,RUN
44,ENA,ERR388408,RUN
45,ENA,ERR363651,RUN
46,ENA,ERR388360,RUN
47,ENA,ERR349888,RUN
48,ENA,ERR349963,RUN
49,ENA,ERR363660,RUN
50,ENA,ERR363593,RUN
51,ENA,ERR388369,RUN
52,ENA,ERR349917,RUN
53,ENA,ERR363576,RUN
54,ENA,ERR449457,RUN
55,ENA,ERR388329,RUN
56,ENA,ERR363615,RUN
57,ENA,ERR449513,RUN
58,ENA,ERR388289,RUN
59,ENA,ERR349921,RUN
60,ENA,ERR363578,RUN
61,ENA,ERR449493,RUN
62,ENA,ERR388402,RUN
63,ENA,ERR363624,RUN
64,ENA,ERR388357,RUN
65,ENA,ERR363659,RUN
66,ENA,ERR388367,RUN
67,ENA,ERR363577,RUN
68,ENA,ERR388361,RUN
69,ENA,ERR363637,RUN
70,ENA,ERR349964,RUN
71,ENA,ERR449487,RUN
72,ENA,ERR363587,RUN
73,ENA,ERR388342,RUN
74,ENA,ERR388385,RUN
75,ENA,ERR363653,RUN
76,ENA,ERR388296,RUN
77,ENA,ERR363589,RUN
78,ENA,ERR349911,RUN
79,ENA,ERR449461,RUN
80,ENA,ERR388406,RUN
81,ENA,ERR363580,RUN
82,ENA,ERR363600,RUN
83,ENA,ERR349970,RUN
84,ENA,ERR349886,RUN
85,ENA,ERR388343,RUN
86,ENA,ERR388381,RUN
87,ENA,ERR388317,RUN
88,ENA,ERR388338,RUN
89,ENA,ERR363607,RUN
90,ENA,ERR363654,RUN
91,ENA,ERR388345,RUN
92,ENA,ERR363627,RUN
93,ENA,ERR388340,RUN
94,ENA,ERR388423,RUN
95,ENA,ERR349965,RUN
96,ENA,ERR449524,RUN
97,ENA,ERR363639,RUN
98,ENA,ERR388425,RUN
99,ENA,ERR388303,RUN
100,ENA,ERR349895,RUN
101,ENA,ERR388443,RUN
102,ENA,ERR363609,RUN
103,ENA,ERR388407,RUN
104,ENA,ERR449504,RUN
105,ENA,ERR363601,RUN
106,ENA,ERR388290,RUN
107,ENA,ERR449499,RUN
108,ENA,ERR363666,RUN
109,ENA,ERR449460,RUN
110,ENA,ERR388348,RUN
111,ENA,ERR388349,RUN
112,ENA,ERR363648,RUN
113,ENA,ERR363649,RUN
114,ENA,ERR363606,RUN
115,ENA,ERR388440,RUN
116,ENA,ERR388424,RUN
117,ENA,ERR388414,RUN
118,ENA,ERR388375,RUN
119,ENA,ERR349905,RUN
120,ENA,ERR363595,RUN
121,ENA,ERR388422,RUN
122,ENA,ERR388444,RUN
123,ENA,ERR363604,RUN
124,ENA,ERR388368,RUN
125,ENA,ERR349949,RUN
126,ENA,ERR349920,RUN
127,ENA,ERR363616,RUN
128,ENA,ERR388434,RUN
129,ENA,ERR449490,RUN
130,ENA,ERR349958,RUN
131,ENA,ERR388298,RUN
132,ENA,ERR388445,RUN
133,ENA,ERR349939,RUN
134,ENA,ERR449503,RUN
135,ENA,ERR388353,RUN
136,ENA,ERR449467,RUN
137,ENA,ERR363608,RUN
138,ENA,ERR388286,RUN
139,ENA,ERR349959,RUN
140,ENA,ERR449491,RUN
141,ENA,ERR363650,RUN
142,ENA,ERR388312,RUN
143,ENA,ERR449469,RUN
144,ENA,ERR388358,RUN
145,ENA,ERR449500,RUN
146,ENA,ERR363623,RUN
147,ENA,ERR363611,RUN
148,ENA,ERR449481,RUN
149,ENA,ERR449516,RUN
150,ENA,ERR388339,RUN
151,ENA,ERR388341,RUN
152,ENA,ERR388282,RUN
153,ENA,ERR388390,RUN
154,ENA,ERR388401,RUN
155,ENA,ERR449507,RUN
156,ENA,ERR349913,RUN
157,ENA,ERR363603,RUN
158,ENA,ERR485166,RUN
159,ENA,ERR349914,RUN
160,ENA,ERR349899,RUN
161,ENA,ERR449486,RUN
162,ENA,ERR388412,RUN
163,ENA,ERR363640,RUN
164,ENA,ERR349902,RUN
165,ENA,ERR349898,RUN
166,ENA,ERR388413,RUN
167,ENA,ERR363579,RUN
168,ENA,ERR349960,RUN
169,ENA,ERR388393,RUN
