N,Database,Accession,Type
1,ENA,ERR3326065,RUN
2,ENA,ERR3325899,RUN
3,ENA,ERR3326121,RUN
4,ENA,ERR3326046,RUN
5,ENA,ERR3325849,RUN
6,ENA,ERR3326132,RUN
7,ENA,ERR3325884,RUN
8,ENA,ERR3325767,RUN
9,ENA,ERR3325876,RUN
10,ENA,ERR3325781,RUN
11,ENA,ERR3325969,RUN
12,ENA,ERR3326038,RUN
13,ENA,ERR3325887,RUN
14,ENA,ERR3325910,RUN
15,ENA,ERR3325965,RUN
16,ENA,ERR3325722,RUN
17,ENA,ERR3325746,RUN
18,ENA,ERR3325809,RUN
19,ENA,ERR3325943,RUN
20,ENA,ERR3325906,RUN
21,ENA,ERR3326020,RUN
22,ENA,ERR3325829,RUN
23,ENA,ERR3325721,RUN
24,ENA,ERR3325744,RUN
25,ENA,ERR3325918,RUN
26,ENA,ERR3325916,RUN
27,ENA,ERR3325726,RUN
28,ENA,ERR3325925,RUN
29,ENA,ERR3326057,RUN
30,ENA,ERR3325816,RUN
31,ENA,ERR3325990,RUN
32,ENA,ERR3325808,RUN
33,ENA,ERR3326026,RUN
34,ENA,ERR3325797,RUN
35,ENA,ERR3325847,RUN
36,ENA,ERR3326003,RUN
37,ENA,ERR3325820,RUN
38,ENA,ERR3325861,RUN
39,ENA,ERR3325764,RUN
40,ENA,ERR3326103,RUN
41,ENA,ERR3325748,RUN
42,ENA,ERR3326053,RUN
43,ENA,ERR3326087,RUN
44,ENA,ERR3325804,RUN
45,ENA,ERR3326122,RUN
46,ENA,ERR3325886,RUN
47,ENA,ERR3325896,RUN
48,ENA,ERR3325773,RUN
49,ENA,ERR3326024,RUN
50,ENA,ERR3325939,RUN
51,ENA,ERR3325971,RUN
52,ENA,ERR3326061,RUN
53,ENA,ERR3325985,RUN
54,ENA,ERR3325759,RUN
55,ENA,ERR3325976,RUN
56,ENA,ERR3326021,RUN
57,ENA,ERR3325998,RUN
58,ENA,ERR3325890,RUN
59,ENA,ERR3325919,RUN
60,ENA,ERR3325983,RUN
61,ENA,ERR3325766,RUN
62,ENA,ERR3326049,RUN
63,ENA,ERR3326119,RUN
64,ENA,ERR3325828,RUN
65,ENA,ERR3326120,RUN
66,ENA,ERR3326124,RUN
67,ENA,ERR3326097,RUN
68,ENA,ERR3325801,RUN
69,ENA,ERR3325961,RUN
70,ENA,ERR3325895,RUN
71,ENA,ERR3326047,RUN
72,ENA,ERR3325936,RUN
73,ENA,ERR3325883,RUN
74,ENA,ERR3326066,RUN
75,ENA,ERR3325903,RUN
76,ENA,ERR3325923,RUN
77,ENA,ERR3325785,RUN
78,ENA,ERR3325921,RUN
79,ENA,ERR3325734,RUN
80,ENA,ERR3326014,RUN
81,ENA,ERR3325754,RUN
82,ENA,ERR3325827,RUN
83,ENA,ERR3326090,RUN
84,ENA,ERR3325877,RUN
85,ENA,ERR3325929,RUN
86,ENA,ERR3325848,RUN
87,ENA,ERR3325790,RUN
88,ENA,ERR3325875,RUN
89,ENA,ERR3325904,RUN
90,ENA,ERR3326002,RUN
91,ENA,ERR3325938,RUN
92,ENA,ERR3326137,RUN
93,ENA,ERR3325788,RUN
94,ENA,ERR3325824,RUN
95,ENA,ERR3325782,RUN
96,ENA,ERR3326100,RUN
97,ENA,ERR3326107,RUN
98,ENA,ERR3325991,RUN
99,ENA,ERR3325915,RUN
100,ENA,ERR3325742,RUN
101,ENA,ERR3325944,RUN
102,ENA,ERR3326082,RUN
103,ENA,ERR3326059,RUN
104,ENA,ERR3325902,RUN
105,ENA,ERR3325833,RUN
106,ENA,ERR3325737,RUN
107,ENA,ERR3326074,RUN
108,ENA,ERR3325859,RUN
109,ENA,ERR3325871,RUN
110,ENA,ERR3325913,RUN
111,ENA,ERR3325786,RUN
112,ENA,ERR3325966,RUN
113,ENA,ERR3325812,RUN
114,ENA,ERR3326094,RUN
115,ENA,ERR3325792,RUN
116,ENA,ERR3325869,RUN
117,ENA,ERR3326099,RUN
118,ENA,ERR3325798,RUN
119,ENA,ERR3325753,RUN
120,ENA,ERR3325770,RUN
121,ENA,ERR3326022,RUN
122,ENA,ERR3325738,RUN
123,ENA,ERR3326015,RUN
124,ENA,ERR3325769,RUN
125,ENA,ERR3325803,RUN
126,ENA,ERR3325723,RUN
127,ENA,ERR3326039,RUN
128,ENA,ERR3326127,RUN
129,ENA,ERR3325779,RUN
130,ENA,ERR3325760,RUN
131,ENA,ERR3325865,RUN
132,ENA,ERR3325954,RUN
133,ENA,ERR3325917,RUN
134,ENA,ERR3326034,RUN
135,ENA,ERR3326095,RUN
136,ENA,ERR3325911,RUN
137,ENA,ERR3325724,RUN
138,ENA,ERR3325882,RUN
139,ENA,ERR3325994,RUN
140,ENA,ERR3325905,RUN
141,ENA,ERR3325948,RUN
142,ENA,ERR3325880,RUN
143,ENA,ERR3326123,RUN
144,ENA,ERR3326064,RUN
145,ENA,ERR3325730,RUN
146,ENA,ERR3325771,RUN
147,ENA,ERR3325772,RUN
148,ENA,ERR3325893,RUN
149,ENA,ERR3325909,RUN
150,ENA,ERR3326106,RUN
151,ENA,ERR3325794,RUN
152,ENA,ERR3325952,RUN
153,ENA,ERR3326128,RUN
154,ENA,ERR3325881,RUN
155,ENA,ERR3325729,RUN
156,ENA,ERR3326035,RUN
157,ENA,ERR3326067,RUN
158,ENA,ERR3325745,RUN
159,ENA,ERR3325908,RUN
160,ENA,ERR3326131,RUN
161,ENA,ERR3325934,RUN
162,ENA,ERR3325973,RUN
163,ENA,ERR3325761,RUN
164,ENA,ERR3325763,RUN
165,ENA,ERR3325940,RUN
166,ENA,ERR3325941,RUN
167,ENA,ERR3325839,RUN
168,ENA,ERR3325968,RUN
169,ENA,ERR3325743,RUN
170,ENA,ERR3325800,RUN
171,ENA,ERR3325778,RUN
172,ENA,ERR3326069,RUN
173,ENA,ERR3325822,RUN
174,ENA,ERR3325751,RUN
175,ENA,ERR3326101,RUN
176,ENA,ERR3325870,RUN
177,ENA,ERR3325765,RUN
178,ENA,ERR3326109,RUN
179,ENA,ERR3326117,RUN
180,ENA,ERR3325789,RUN
181,ENA,ERR3325755,RUN
182,ENA,ERR3326045,RUN
183,ENA,ERR3326052,RUN
184,ENA,ERR3325795,RUN
185,ENA,ERR3325791,RUN
186,ENA,ERR3326143,RUN
187,ENA,ERR3326012,RUN
188,ENA,ERR3325891,RUN
189,ENA,ERR3325928,RUN
190,ENA,ERR3325933,RUN
191,ENA,ERR3326025,RUN
192,ENA,ERR3326126,RUN
193,ENA,ERR3325826,RUN
194,ENA,ERR3325979,RUN
195,ENA,ERR3325821,RUN
196,ENA,ERR3325811,RUN
197,ENA,ERR3325823,RUN
198,ENA,ERR3325907,RUN
199,ENA,ERR3325842,RUN
200,ENA,ERR3325950,RUN
201,ENA,ERR3325728,RUN
202,ENA,ERR3325874,RUN
203,ENA,ERR3325757,RUN
204,ENA,ERR3325867,RUN
205,ENA,ERR3325993,RUN
206,ENA,ERR3325813,RUN
207,ENA,ERR3325970,RUN
208,ENA,ERR3326083,RUN
209,ENA,ERR3325749,RUN
210,ENA,ERR3325741,RUN
211,ENA,ERR3325815,RUN
212,ENA,ERR3326118,RUN
213,ENA,ERR3325957,RUN
214,ENA,ERR3325900,RUN
215,ENA,ERR3326093,RUN
216,ENA,ERR3325894,RUN
217,ENA,ERR3326113,RUN
218,ENA,ERR3326140,RUN
219,ENA,ERR3325951,RUN
220,ENA,ERR3326134,RUN
221,ENA,ERR3326072,RUN
222,ENA,ERR3326110,RUN
223,ENA,ERR3325851,RUN
224,ENA,ERR3325947,RUN
225,ENA,ERR3326077,RUN
226,ENA,ERR3325756,RUN
227,ENA,ERR3325931,RUN
228,ENA,ERR3326068,RUN
229,ENA,ERR3326104,RUN
230,ENA,ERR3325783,RUN
231,ENA,ERR3325912,RUN
232,ENA,ERR3326091,RUN
233,ENA,ERR3325758,RUN
234,ENA,ERR3326096,RUN
235,ENA,ERR3325830,RUN
236,ENA,ERR3325775,RUN
237,ENA,ERR3325955,RUN
238,ENA,ERR3325817,RUN
239,ENA,ERR3325945,RUN
240,ENA,ERR3325787,RUN
241,ENA,ERR3325885,RUN
242,ENA,ERR3325858,RUN
243,ENA,ERR3325736,RUN
244,ENA,ERR3325784,RUN
245,ENA,ERR3325989,RUN
246,ENA,ERR3326129,RUN
247,ENA,ERR3325854,RUN
248,ENA,ERR3326040,RUN
249,ENA,ERR3325879,RUN
250,ENA,ERR3326130,RUN
251,ENA,ERR3325750,RUN
252,ENA,ERR3326051,RUN
253,ENA,ERR3326043,RUN
254,ENA,ERR3326013,RUN
255,ENA,ERR3325852,RUN
256,ENA,ERR3326141,RUN
257,ENA,ERR3325834,RUN
258,ENA,ERR3326005,RUN
259,ENA,ERR3326036,RUN
260,ENA,ERR3325735,RUN
261,ENA,ERR3325802,RUN
262,ENA,ERR3325868,RUN
263,ENA,ERR3325872,RUN
264,ENA,ERR3325963,RUN
265,ENA,ERR3325853,RUN
266,ENA,ERR3325814,RUN
267,ENA,ERR3325878,RUN
268,ENA,ERR3326056,RUN
269,ENA,ERR3325731,RUN
270,ENA,ERR3325914,RUN
271,ENA,ERR3326114,RUN
272,ENA,ERR3326071,RUN
273,ENA,ERR3325997,RUN
274,ENA,ERR3325832,RUN
275,ENA,ERR3326135,RUN
276,ENA,ERR3325774,RUN
277,ENA,ERR3325988,RUN
