N,Database,Accession,Type
1,ENA,ERR9837519,RUN
2,ENA,ERR9837270,RUN
3,ENA,ERR9837608,RUN
4,ENA,ERR9837457,RUN
5,ENA,ERR9837627,RUN
6,ENA,ERR9837427,RUN
7,ENA,ERR9837299,RUN
8,ENA,ERR9837502,RUN
9,ENA,ERR9837164,RUN
10,ENA,ERR9837311,RUN
11,ENA,ERR9837430,RUN
12,ENA,ERR9837537,RUN
13,ENA,ERR9837375,RUN
14,ENA,ERR9837196,RUN
15,ENA,ERR9837574,RUN
16,ENA,ERR9837383,RUN
17,ENA,ERR9837613,RUN
18,ENA,ERR9837437,RUN
19,ENA,ERR9837536,RUN
20,ENA,ERR9837275,RUN
21,ENA,ERR9837469,RUN
22,ENA,ERR9837567,RUN
23,ENA,ERR9837376,RUN
24,ENA,ERR9837253,RUN
25,ENA,ERR9837546,RUN
26,ENA,ERR9837340,RUN
27,ENA,ERR9837517,RUN
28,ENA,ERR9837252,RUN
29,ENA,ERR9837514,RUN
30,ENA,ERR9837352,RUN
31,ENA,ERR9837582,RUN
32,ENA,ERR9837561,RUN
33,ENA,ERR9837500,RUN
34,ENA,ERR9837178,RUN
35,ENA,ERR9837140,RUN
36,ENA,ERR9837503,RUN
37,ENA,ERR9837625,RUN
38,ENA,ERR9837272,RUN
39,ENA,ERR9837600,RUN
40,ENA,ERR9837384,RUN
41,ENA,ERR9837225,RUN
42,ENA,ERR9837475,RUN
43,ENA,ERR9837157,RUN
44,ENA,ERR9837448,RUN
45,ENA,ERR9837424,RUN
46,ENA,ERR9837146,RUN
47,ENA,ERR9837294,RUN
48,ENA,ERR9837591,RUN
49,ENA,ERR9837293,RUN
50,ENA,ERR9837566,RUN
51,ENA,ERR9837142,RUN
52,ENA,ERR9837617,RUN
53,ENA,ERR9837564,RUN
54,ENA,ERR9837199,RUN
55,ENA,ERR9837523,RUN
56,ENA,ERR9837379,RUN
57,ENA,ERR9837481,RUN
58,ENA,ERR9837432,RUN
59,ENA,ERR9837508,RUN
60,ENA,ERR9837192,RUN
61,ENA,ERR9837577,RUN
62,ENA,ERR9837285,RUN
63,ENA,ERR9837230,RUN
64,ENA,ERR9837386,RUN
65,ENA,ERR9837314,RUN
66,ENA,ERR9837322,RUN
67,ENA,ERR9837488,RUN
68,ENA,ERR9837218,RUN
69,ENA,ERR9837144,RUN
70,ENA,ERR9837412,RUN
71,ENA,ERR9837587,RUN
72,ENA,ERR9837606,RUN
73,ENA,ERR9837336,RUN
74,ENA,ERR9837389,RUN
75,ENA,ERR9837279,RUN
76,ENA,ERR9837163,RUN
77,ENA,ERR9837589,RUN
78,ENA,ERR9837450,RUN
79,ENA,ERR9837331,RUN
80,ENA,ERR9837465,RUN
81,ENA,ERR9837194,RUN
82,ENA,ERR9837185,RUN
83,ENA,ERR9837612,RUN
84,ENA,ERR9837506,RUN
85,ENA,ERR9837180,RUN
86,ENA,ERR9837174,RUN
87,ENA,ERR9837456,RUN
88,ENA,ERR9837366,RUN
89,ENA,ERR9837388,RUN
90,ENA,ERR9837618,RUN
91,ENA,ERR9837585,RUN
92,ENA,ERR9837539,RUN
93,ENA,ERR9837154,RUN
94,ENA,ERR9837290,RUN
95,ENA,ERR9837226,RUN
96,ENA,ERR9837540,RUN
97,ENA,ERR9837535,RUN
98,ENA,ERR9837470,RUN
99,ENA,ERR9837560,RUN
100,ENA,ERR9837207,RUN
101,ENA,ERR9837330,RUN
102,ENA,ERR9837147,RUN
103,ENA,ERR9837597,RUN
104,ENA,ERR9837177,RUN
105,ENA,ERR9837547,RUN
106,ENA,ERR9837556,RUN
107,ENA,ERR9837162,RUN
108,ENA,ERR9837477,RUN
109,ENA,ERR9837471,RUN
110,ENA,ERR9837419,RUN
111,ENA,ERR9837158,RUN
112,ENA,ERR9837590,RUN
113,ENA,ERR9837429,RUN
114,ENA,ERR9837410,RUN
115,ENA,ERR9837460,RUN
116,ENA,ERR9837239,RUN
117,ENA,ERR9837268,RUN
118,ENA,ERR9837368,RUN
119,ENA,ERR9837318,RUN
120,ENA,ERR9837592,RUN
121,ENA,ERR9837524,RUN
122,ENA,ERR9837205,RUN
123,ENA,ERR9837342,RUN
124,ENA,ERR9837382,RUN
125,ENA,ERR9837332,RUN
126,ENA,ERR9837467,RUN
127,ENA,ERR9837143,RUN
128,ENA,ERR9837373,RUN
129,ENA,ERR9837391,RUN
130,ENA,ERR9837428,RUN
131,ENA,ERR9837363,RUN
132,ENA,ERR9837425,RUN
133,ENA,ERR9837204,RUN
134,ENA,ERR9837371,RUN
135,ENA,ERR9837558,RUN
136,ENA,ERR9837595,RUN
137,ENA,ERR9837201,RUN
138,ENA,ERR9837221,RUN
139,ENA,ERR9837335,RUN
140,ENA,ERR9837518,RUN
141,ENA,ERR9837319,RUN
142,ENA,ERR9837486,RUN
143,ENA,ERR9837438,RUN
144,ENA,ERR9837570,RUN
145,ENA,ERR9837238,RUN
146,ENA,ERR9837354,RUN
147,ENA,ERR9837583,RUN
148,ENA,ERR9837378,RUN
149,ENA,ERR9837195,RUN
150,ENA,ERR9837444,RUN
151,ENA,ERR9837504,RUN
152,ENA,ERR9837153,RUN
153,ENA,ERR9837148,RUN
154,ENA,ERR9837211,RUN
155,ENA,ERR9837333,RUN
156,ENA,ERR9837374,RUN
157,ENA,ERR9837179,RUN
158,ENA,ERR9837246,RUN
159,ENA,ERR9837291,RUN
160,ENA,ERR9837209,RUN
161,ENA,ERR9837490,RUN
162,ENA,ERR9837550,RUN
163,ENA,ERR9837512,RUN
164,ENA,ERR9837513,RUN
165,ENA,ERR9837575,RUN
166,ENA,ERR9837622,RUN
167,ENA,ERR9837159,RUN
168,ENA,ERR9837241,RUN
169,ENA,ERR9837156,RUN
170,ENA,ERR9837213,RUN
171,ENA,ERR9837571,RUN
172,ENA,ERR9837337,RUN
173,ENA,ERR9837607,RUN
174,ENA,ERR9837411,RUN
175,ENA,ERR9837624,RUN
176,ENA,ERR9837551,RUN
177,ENA,ERR9837637,RUN
178,ENA,ERR9837224,RUN
179,ENA,ERR9837220,RUN
180,ENA,ERR9837454,RUN
181,ENA,ERR9837642,RUN
182,ENA,ERR9837464,RUN
183,ENA,ERR9837492,RUN
184,ENA,ERR9837562,RUN
185,ENA,ERR9837449,RUN
186,ENA,ERR9837487,RUN
187,ENA,ERR9837198,RUN
188,ENA,ERR9837599,RUN
189,ENA,ERR9837228,RUN
190,ENA,ERR9837338,RUN
191,ENA,ERR9837210,RUN
192,ENA,ERR9837505,RUN
193,ENA,ERR9837441,RUN
194,ENA,ERR9837461,RUN
195,ENA,ERR9837601,RUN
196,ENA,ERR9837421,RUN
197,ENA,ERR9837255,RUN
198,ENA,ERR9837615,RUN
199,ENA,ERR9837435,RUN
200,ENA,ERR9837191,RUN
201,ENA,ERR9837445,RUN
202,ENA,ERR9837181,RUN
203,ENA,ERR9837186,RUN
204,ENA,ERR9837559,RUN
205,ENA,ERR9837286,RUN
