N,Database,Accession,Type
1,ENA,ERR2172260,RUN
2,ENA,ERR2172284,RUN
3,ENA,ERR2172311,RUN
4,ENA,ERR2172281,RUN
5,ENA,ERR2172316,RUN
6,ENA,ERR2172271,RUN
7,ENA,ERR2172340,RUN
8,ENA,ERR2172306,RUN
9,ENA,ERR2172273,RUN
10,ENA,ERR2172272,RUN
11,ENA,ERR2172267,RUN
12,ENA,ERR2172350,RUN
13,ENA,ERR2172317,RUN
14,ENA,ERR2172263,RUN
15,ENA,ERR2172307,RUN
16,ENA,ERR2172262,RUN
17,ENA,ERR2172353,RUN
18,ENA,ERR2172352,RUN
19,ENA,ERR2172282,RUN
20,ENA,ERR2172291,RUN
21,ENA,ERR2172298,RUN
22,ENA,ERR2172292,RUN
23,ENA,ERR2172305,RUN
24,ENA,ERR2172278,RUN
25,ENA,ERR2172323,RUN
26,ENA,ERR2172300,RUN
27,ENA,ERR2172312,RUN
28,ENA,ERR2172326,RUN
29,ENA,ERR2172289,RUN
30,ENA,ERR2172285,RUN
31,ENA,ERR2172342,RUN
32,ENA,ERR2172336,RUN
33,ENA,ERR2172280,RUN
34,ENA,ERR2172325,RUN
35,ENA,ERR2172345,RUN
36,ENA,ERR2172294,RUN
37,ENA,ERR2172256,RUN
38,ENA,ERR2172330,RUN
39,ENA,ERR2172255,RUN
40,ENA,ERR2172261,RUN
41,ENA,ERR2172315,RUN
42,ENA,ERR2172349,RUN
43,ENA,ERR2172343,RUN
44,ENA,ERR2172319,RUN
45,ENA,ERR2172286,RUN
46,ENA,ERR2172295,RUN
47,ENA,ERR2172303,RUN
48,ENA,ERR2172299,RUN
49,ENA,ERR2172321,RUN
50,ENA,ERR2172309,RUN
51,ENA,ERR2172310,RUN
52,ENA,ERR2172341,RUN
53,ENA,ERR2172301,RUN
54,ENA,ERR2172314,RUN
55,ENA,ERR2172266,RUN
56,ENA,ERR2172335,RUN
57,ENA,ERR2172254,RUN
58,ENA,ERR2172274,RUN
59,ENA,ERR2172322,RUN
60,ENA,ERR2172302,RUN
61,ENA,ERR2172320,RUN
62,ENA,ERR2172334,RUN
63,ENA,ERR2172264,RUN
64,ENA,ERR2172293,RUN
65,ENA,ERR2172297,RUN
66,ENA,ERR2172275,RUN
67,ENA,ERR2172258,RUN
68,ENA,ERR2172290,RUN
69,ENA,ERR2172279,RUN
70,ENA,ERR2172346,RUN
71,ENA,ERR2172288,RUN
72,ENA,ERR2172259,RUN
73,ENA,ERR2172304,RUN
74,ENA,ERR2172338,RUN
75,ENA,ERR2172283,RUN
76,ENA,ERR2172296,RUN
77,ENA,ERR2172270,RUN
78,ENA,ERR2172308,RUN
79,ENA,ERR2172333,RUN
80,ENA,ERR2172318,RUN
81,ENA,ERR2172344,RUN
82,ENA,ERR2172313,RUN
83,ENA,ERR2172347,RUN
84,ENA,ERR2172276,RUN
85,ENA,ERR2172331,RUN
86,ENA,ERR2172327,RUN
87,ENA,ERR2172337,RUN
88,ENA,ERR2172257,RUN
89,ENA,ERR2172277,RUN
90,ENA,ERR2172354,RUN
91,ENA,ERR2172268,RUN
92,ENA,ERR2172287,RUN
93,ENA,ERR2172265,RUN
94,ENA,ERR2172351,RUN
95,ENA,ERR2172339,RUN
96,ENA,ERR2172348,RUN
97,ENA,ERR2172324,RUN
98,ENA,ERR2172332,RUN
99,ENA,ERR2172269,RUN
100,ENA,ERR2172329,RUN
