N,Database,Accession,Type
1,ENA,ERR3577308,RUN
2,ENA,ERR3577290,RUN
3,ENA,ERR3577310,RUN
4,ENA,ERR3577318,RUN
5,ENA,ERR3577315,RUN
6,ENA,ERR3577329,RUN
7,ENA,ERR3577333,RUN
8,ENA,ERR3577317,RUN
9,ENA,ERR3577328,RUN
10,ENA,ERR3577339,RUN
11,ENA,ERR3577300,RUN
12,ENA,ERR3577342,RUN
13,ENA,ERR3577327,RUN
14,ENA,ERR3577338,RUN
15,ENA,ERR3577341,RUN
16,ENA,ERR3577343,RUN
17,ENA,ERR3577305,RUN
18,ENA,ERR3577331,RUN
19,ENA,ERR3577296,RUN
20,ENA,ERR3577326,RUN
21,ENA,ERR3577304,RUN
22,ENA,ERR3577324,RUN
23,ENA,ERR3577298,RUN
24,ENA,ERR3577323,RUN
25,ENA,ERR3577289,RUN
26,ENA,ERR3577340,RUN
27,ENA,ERR3577291,RUN
28,ENA,ERR3577314,RUN
29,ENA,ERR3577332,RUN
30,ENA,ERR3577309,RUN
31,ENA,ERR3577320,RUN
32,ENA,ERR3577299,RUN
33,ENA,ERR3577334,RUN
34,ENA,ERR3577297,RUN
35,ENA,ERR3577312,RUN
36,ENA,ERR3577292,RUN
37,ENA,ERR3577345,RUN
38,ENA,ERR3577330,RUN
39,ENA,ERR3577302,RUN
40,ENA,ERR3577348,RUN
41,ENA,ERR3577321,RUN
42,ENA,ERR3577301,RUN
43,ENA,ERR3577335,RUN
44,ENA,ERR3577313,RUN
45,ENA,ERR3577306,RUN
46,ENA,ERR3577295,RUN
47,ENA,ERR3577344,RUN
48,ENA,ERR3577337,RUN
49,ENA,ERR3577322,RUN
50,ENA,ERR3577303,RUN
51,ENA,ERR3577325,RUN
52,ENA,ERR3577316,RUN
53,ENA,ERR3577347,RUN
54,ENA,ERR3577293,RUN
55,ENA,ERR3577319,RUN
56,ENA,ERR3577336,RUN
57,ENA,ERR3577346,RUN
58,ENA,ERR3577311,RUN
59,ENA,ERR3577368,RUN
60,ENA,ERR3577350,RUN
61,ENA,ERR3577371,RUN
62,ENA,ERR3577383,RUN
63,ENA,ERR3577377,RUN
64,ENA,ERR3577357,RUN
65,ENA,ERR3577380,RUN
66,ENA,ERR3577354,RUN
67,ENA,ERR3577384,RUN
68,ENA,ERR3577355,RUN
69,ENA,ERR3577361,RUN
70,ENA,ERR3577362,RUN
71,ENA,ERR3577360,RUN
72,ENA,ERR3577369,RUN
73,ENA,ERR3577390,RUN
74,ENA,ERR3577385,RUN
75,ENA,ERR3577356,RUN
76,ENA,ERR3577379,RUN
77,ENA,ERR3577367,RUN
78,ENA,ERR3577381,RUN
79,ENA,ERR3577370,RUN
80,ENA,ERR3577364,RUN
81,ENA,ERR3577372,RUN
82,ENA,ERR3577352,RUN
83,ENA,ERR3577382,RUN
84,ENA,ERR3577392,RUN
85,ENA,ERR3577391,RUN
86,ENA,ERR3577351,RUN
87,ENA,ERR3577386,RUN
88,ENA,ERR3577388,RUN
89,ENA,ERR3577358,RUN
90,ENA,ERR3577376,RUN
91,ENA,ERR3577389,RUN
92,ENA,ERR3577374,RUN
93,ENA,ERR3577349,RUN
94,ENA,ERR3577365,RUN
95,ENA,ERR3577373,RUN
96,ENA,ERR3577363,RUN
97,ENA,ERR3577353,RUN
98,ENA,ERR3577387,RUN
99,ENA,ERR3577359,RUN
100,ENA,ERR3577375,RUN
101,ENA,ERR3577665,RUN
102,ENA,ERR3577580,RUN
103,ENA,ERR3577490,RUN
104,ENA,ERR3577710,RUN
105,ENA,ERR3577445,RUN
106,ENA,ERR3577403,RUN
107,ENA,ERR3577728,RUN
108,ENA,ERR3577650,RUN
109,ENA,ERR3577689,RUN
110,ENA,ERR3577692,RUN
111,ENA,ERR3577613,RUN
112,ENA,ERR3577693,RUN
113,ENA,ERR3577732,RUN
114,ENA,ERR3577602,RUN
115,ENA,ERR3577461,RUN
116,ENA,ERR3577496,RUN
117,ENA,ERR3577397,RUN
118,ENA,ERR3577660,RUN
119,ENA,ERR3577678,RUN
120,ENA,ERR3577655,RUN
121,ENA,ERR3577651,RUN
122,ENA,ERR3577471,RUN
123,ENA,ERR3577511,RUN
124,ENA,ERR3577672,RUN
125,ENA,ERR3577484,RUN
126,ENA,ERR3577744,RUN
127,ENA,ERR3577590,RUN
128,ENA,ERR3577458,RUN
129,ENA,ERR3577545,RUN
130,ENA,ERR3577427,RUN
131,ENA,ERR3577574,RUN
132,ENA,ERR3577695,RUN
133,ENA,ERR3577411,RUN
134,ENA,ERR3577703,RUN
135,ENA,ERR3577553,RUN
136,ENA,ERR3577527,RUN
137,ENA,ERR3577418,RUN
138,ENA,ERR3577713,RUN
139,ENA,ERR3577706,RUN
140,ENA,ERR3577444,RUN
141,ENA,ERR3577731,RUN
142,ENA,ERR3577694,RUN
143,ENA,ERR3577617,RUN
144,ENA,ERR3577446,RUN
145,ENA,ERR3577534,RUN
146,ENA,ERR3577513,RUN
147,ENA,ERR3577696,RUN
148,ENA,ERR3577536,RUN
149,ENA,ERR3577681,RUN
150,ENA,ERR3577482,RUN
151,ENA,ERR3577601,RUN
152,ENA,ERR3577599,RUN
153,ENA,ERR3577583,RUN
154,ENA,ERR3577470,RUN
155,ENA,ERR3577499,RUN
156,ENA,ERR3577647,RUN
157,ENA,ERR3577459,RUN
158,ENA,ERR3577557,RUN
159,ENA,ERR3577453,RUN
160,ENA,ERR3577410,RUN
161,ENA,ERR3577686,RUN
162,ENA,ERR3577624,RUN
163,ENA,ERR3577532,RUN
164,ENA,ERR3577631,RUN
165,ENA,ERR3577724,RUN
166,ENA,ERR3577489,RUN
167,ENA,ERR3577708,RUN
168,ENA,ERR3577653,RUN
169,ENA,ERR3577430,RUN
170,ENA,ERR3577715,RUN
171,ENA,ERR3577432,RUN
172,ENA,ERR3577573,RUN
173,ENA,ERR3577530,RUN
174,ENA,ERR3577578,RUN
175,ENA,ERR3577396,RUN
176,ENA,ERR3577552,RUN
177,ENA,ERR3577663,RUN
178,ENA,ERR3577422,RUN
179,ENA,ERR3577518,RUN
180,ENA,ERR3577495,RUN
181,ENA,ERR3577492,RUN
182,ENA,ERR3577576,RUN
183,ENA,ERR3577515,RUN
184,ENA,ERR3577505,RUN
185,ENA,ERR3577431,RUN
186,ENA,ERR3577656,RUN
187,ENA,ERR3577625,RUN
188,ENA,ERR3577486,RUN
189,ENA,ERR3577711,RUN
190,ENA,ERR3577630,RUN
191,ENA,ERR3577462,RUN
192,ENA,ERR3577704,RUN
193,ENA,ERR3577683,RUN
194,ENA,ERR3577447,RUN
195,ENA,ERR3577512,RUN
196,ENA,ERR3577488,RUN
197,ENA,ERR3577569,RUN
198,ENA,ERR3577399,RUN
199,ENA,ERR3577680,RUN
200,ENA,ERR3577682,RUN
201,ENA,ERR3577658,RUN
202,ENA,ERR3577676,RUN
203,ENA,ERR3577504,RUN
204,ENA,ERR3577735,RUN
205,ENA,ERR3577684,RUN
206,ENA,ERR3577612,RUN
207,ENA,ERR3577400,RUN
208,ENA,ERR3577648,RUN
209,ENA,ERR3577594,RUN
210,ENA,ERR3577547,RUN
211,ENA,ERR3577420,RUN
212,ENA,ERR3577404,RUN
213,ENA,ERR3577581,RUN
214,ENA,ERR3577627,RUN
215,ENA,ERR3577701,RUN
216,ENA,ERR3577451,RUN
217,ENA,ERR3577626,RUN
218,ENA,ERR3577699,RUN
219,ENA,ERR3577668,RUN
220,ENA,ERR3577741,RUN
221,ENA,ERR3577472,RUN
222,ENA,ERR3577414,RUN
223,ENA,ERR3577433,RUN
224,ENA,ERR3577739,RUN
225,ENA,ERR3577564,RUN
226,ENA,ERR3577477,RUN
227,ENA,ERR3577540,RUN
228,ENA,ERR3577542,RUN
229,ENA,ERR3577439,RUN
230,ENA,ERR3577726,RUN
231,ENA,ERR3577559,RUN
232,ENA,ERR3577526,RUN
233,ENA,ERR3577588,RUN
234,ENA,ERR3577402,RUN
235,ENA,ERR3577407,RUN
236,ENA,ERR3577498,RUN
237,ENA,ERR3577425,RUN
238,ENA,ERR3577698,RUN
239,ENA,ERR3577480,RUN
240,ENA,ERR3577629,RUN
241,ENA,ERR3577616,RUN
242,ENA,ERR3577722,RUN
243,ENA,ERR3577469,RUN
244,ENA,ERR3577567,RUN
245,ENA,ERR3577606,RUN
246,ENA,ERR3577510,RUN
247,ENA,ERR3577507,RUN
248,ENA,ERR3577468,RUN
249,ENA,ERR3577691,RUN
250,ENA,ERR3577589,RUN
251,ENA,ERR3577611,RUN
252,ENA,ERR3577531,RUN
253,ENA,ERR3577500,RUN
254,ENA,ERR3577707,RUN
255,ENA,ERR3577408,RUN
256,ENA,ERR3577743,RUN
257,ENA,ERR3577635,RUN
258,ENA,ERR3577437,RUN
259,ENA,ERR3577503,RUN
260,ENA,ERR3577595,RUN
261,ENA,ERR3577535,RUN
262,ENA,ERR3577395,RUN
263,ENA,ERR3577677,RUN
264,ENA,ERR3577426,RUN
265,ENA,ERR3577406,RUN
266,ENA,ERR3577520,RUN
267,ENA,ERR3577529,RUN
268,ENA,ERR3577618,RUN
269,ENA,ERR3577733,RUN
270,ENA,ERR3577597,RUN
271,ENA,ERR3577479,RUN
272,ENA,ERR3577421,RUN
273,ENA,ERR3577664,RUN
274,ENA,ERR3577457,RUN
275,ENA,ERR3577519,RUN
276,ENA,ERR3577577,RUN
277,ENA,ERR3577562,RUN
278,ENA,ERR3577435,RUN
279,ENA,ERR3577423,RUN
280,ENA,ERR3577607,RUN
281,ENA,ERR3577393,RUN
282,ENA,ERR3577502,RUN
283,ENA,ERR3577541,RUN
284,ENA,ERR3577449,RUN
285,ENA,ERR3577614,RUN
286,ENA,ERR3577619,RUN
287,ENA,ERR3577497,RUN
288,ENA,ERR3577491,RUN
289,ENA,ERR3577549,RUN
290,ENA,ERR3577734,RUN
291,ENA,ERR3577620,RUN
292,ENA,ERR3577424,RUN
293,ENA,ERR3577609,RUN
294,ENA,ERR3577516,RUN
295,ENA,ERR3577572,RUN
296,ENA,ERR3577649,RUN
297,ENA,ERR3577634,RUN
298,ENA,ERR3577729,RUN
299,ENA,ERR3577560,RUN
300,ENA,ERR3577452,RUN
301,ENA,ERR3577474,RUN
302,ENA,ERR3577585,RUN
303,ENA,ERR3577556,RUN
304,ENA,ERR3577483,RUN
305,ENA,ERR3577524,RUN
306,ENA,ERR3577398,RUN
307,ENA,ERR3577721,RUN
308,ENA,ERR3577551,RUN
309,ENA,ERR3577548,RUN
310,ENA,ERR3577662,RUN
311,ENA,ERR3577600,RUN
312,ENA,ERR3577584,RUN
313,ENA,ERR3577725,RUN
314,ENA,ERR3577586,RUN
315,ENA,ERR3577736,RUN
316,ENA,ERR3577565,RUN
317,ENA,ERR3577456,RUN
318,ENA,ERR3577659,RUN
319,ENA,ERR3577632,RUN
320,ENA,ERR3577394,RUN
321,ENA,ERR3577610,RUN
322,ENA,ERR3577697,RUN
323,ENA,ERR3577591,RUN
324,ENA,ERR3577523,RUN
325,ENA,ERR3577539,RUN
326,ENA,ERR3577494,RUN
327,ENA,ERR3577670,RUN
328,ENA,ERR3577546,RUN
329,ENA,ERR3577467,RUN
330,ENA,ERR3577436,RUN
331,ENA,ERR3577493,RUN
332,ENA,ERR3577521,RUN
333,ENA,ERR3577641,RUN
334,ENA,ERR3577652,RUN
335,ENA,ERR3577643,RUN
336,ENA,ERR3577674,RUN
337,ENA,ERR3577412,RUN
338,ENA,ERR3577690,RUN
339,ENA,ERR3577605,RUN
340,ENA,ERR3577593,RUN
341,ENA,ERR3577442,RUN
342,ENA,ERR3577455,RUN
343,ENA,ERR3577501,RUN
344,ENA,ERR3577537,RUN
345,ENA,ERR3577533,RUN
346,ENA,ERR3577419,RUN
347,ENA,ERR3577566,RUN
348,ENA,ERR3577688,RUN
349,ENA,ERR3577623,RUN
350,ENA,ERR3577666,RUN
351,ENA,ERR3577675,RUN
352,ENA,ERR3577416,RUN
353,ENA,ERR3577712,RUN
354,ENA,ERR3577592,RUN
355,ENA,ERR3577508,RUN
356,ENA,ERR3577476,RUN
357,ENA,ERR3577645,RUN
358,ENA,ERR3577657,RUN
359,ENA,ERR3577622,RUN
360,ENA,ERR3577481,RUN
361,ENA,ERR3577465,RUN
362,ENA,ERR3577714,RUN
363,ENA,ERR3577522,RUN
364,ENA,ERR3577604,RUN
365,ENA,ERR3577716,RUN
366,ENA,ERR3577417,RUN
367,ENA,ERR3577633,RUN
368,ENA,ERR3577475,RUN
369,ENA,ERR3577438,RUN
370,ENA,ERR3577441,RUN
371,ENA,ERR3577615,RUN
372,ENA,ERR3577644,RUN
373,ENA,ERR3577687,RUN
374,ENA,ERR3577528,RUN
375,ENA,ERR3577709,RUN
376,ENA,ERR3577667,RUN
377,ENA,ERR3577671,RUN
378,ENA,ERR3577700,RUN
379,ENA,ERR3577679,RUN
380,ENA,ERR3577409,RUN
381,ENA,ERR3577429,RUN
382,ENA,ERR3577702,RUN
383,ENA,ERR3577463,RUN
384,ENA,ERR3577544,RUN
385,ENA,ERR3577730,RUN
386,ENA,ERR3577454,RUN
387,ENA,ERR3577434,RUN
388,ENA,ERR3577448,RUN
389,ENA,ERR3577571,RUN
390,ENA,ERR3577460,RUN
391,ENA,ERR3577538,RUN
392,ENA,ERR3577401,RUN
393,ENA,ERR3577525,RUN
394,ENA,ERR3577608,RUN
395,ENA,ERR3577563,RUN
396,ENA,ERR3577742,RUN
397,ENA,ERR3577464,RUN
398,ENA,ERR3577543,RUN
399,ENA,ERR3577554,RUN
400,ENA,ERR3577637,RUN
401,ENA,ERR3577737,RUN
402,ENA,ERR3577638,RUN
403,ENA,ERR3577509,RUN
404,ENA,ERR3577550,RUN
405,ENA,ERR3577654,RUN
406,ENA,ERR3577723,RUN
407,ENA,ERR3577561,RUN
408,ENA,ERR3577514,RUN
409,ENA,ERR3577466,RUN
410,ENA,ERR3577720,RUN
411,ENA,ERR3577579,RUN
412,ENA,ERR3577621,RUN
413,ENA,ERR3577640,RUN
414,ENA,ERR3577428,RUN
415,ENA,ERR3577661,RUN
416,ENA,ERR3577555,RUN
417,ENA,ERR3577506,RUN
418,ENA,ERR3577673,RUN
419,ENA,ERR3577740,RUN
420,ENA,ERR3577473,RUN
421,ENA,ERR3577405,RUN
422,ENA,ERR3577517,RUN
423,ENA,ERR3577485,RUN
424,ENA,ERR3577415,RUN
425,ENA,ERR3577685,RUN
426,ENA,ERR3577642,RUN
427,ENA,ERR3577639,RUN
428,ENA,ERR3577727,RUN
429,ENA,ERR3577628,RUN
430,ENA,ERR3577596,RUN
431,ENA,ERR3577705,RUN
432,ENA,ERR3577717,RUN
433,ENA,ERR3577568,RUN
434,ENA,ERR3577598,RUN
435,ENA,ERR3577646,RUN
436,ENA,ERR3577487,RUN
437,ENA,ERR3577413,RUN
438,ENA,ERR3577558,RUN
439,ENA,ERR3577587,RUN
440,ENA,ERR3577603,RUN
441,ENA,ERR3577718,RUN
442,ENA,ERR3577582,RUN
443,ENA,ERR3577719,RUN
444,ENA,ERR3577669,RUN
445,ENA,ERR3577570,RUN
446,ENA,ERR3577738,RUN
447,ENA,ERR3577575,RUN
448,ENA,ERR3577450,RUN
449,ENA,ERR3577440,RUN
450,ENA,ERR3577478,RUN
451,ENA,ERR3577892,RUN
452,ENA,ERR3578068,RUN
453,ENA,ERR3577905,RUN
454,ENA,ERR3577769,RUN
455,ENA,ERR3577887,RUN
456,ENA,ERR3577926,RUN
457,ENA,ERR3577980,RUN
458,ENA,ERR3577908,RUN
459,ENA,ERR3577830,RUN
460,ENA,ERR3578052,RUN
461,ENA,ERR3577763,RUN
462,ENA,ERR3578009,RUN
463,ENA,ERR3578070,RUN
464,ENA,ERR3577995,RUN
465,ENA,ERR3577915,RUN
466,ENA,ERR3577988,RUN
467,ENA,ERR3578022,RUN
468,ENA,ERR3578028,RUN
469,ENA,ERR3577951,RUN
470,ENA,ERR3578073,RUN
471,ENA,ERR3577758,RUN
472,ENA,ERR3577776,RUN
473,ENA,ERR3577909,RUN
474,ENA,ERR3577746,RUN
475,ENA,ERR3578094,RUN
476,ENA,ERR3577953,RUN
477,ENA,ERR3578063,RUN
478,ENA,ERR3577990,RUN
479,ENA,ERR3577768,RUN
480,ENA,ERR3577939,RUN
481,ENA,ERR3577978,RUN
482,ENA,ERR3577852,RUN
483,ENA,ERR3578036,RUN
484,ENA,ERR3578054,RUN
485,ENA,ERR3577835,RUN
486,ENA,ERR3578059,RUN
487,ENA,ERR3577803,RUN
488,ENA,ERR3577753,RUN
489,ENA,ERR3578049,RUN
490,ENA,ERR3578047,RUN
491,ENA,ERR3577850,RUN
492,ENA,ERR3578095,RUN
493,ENA,ERR3577853,RUN
494,ENA,ERR3578013,RUN
495,ENA,ERR3577863,RUN
496,ENA,ERR3577938,RUN
497,ENA,ERR3578038,RUN
498,ENA,ERR3577785,RUN
499,ENA,ERR3577994,RUN
500,ENA,ERR3577917,RUN
501,ENA,ERR3578058,RUN
502,ENA,ERR3577751,RUN
503,ENA,ERR3577930,RUN
504,ENA,ERR3577965,RUN
505,ENA,ERR3578092,RUN
506,ENA,ERR3577754,RUN
507,ENA,ERR3577757,RUN
508,ENA,ERR3577792,RUN
509,ENA,ERR3577922,RUN
510,ENA,ERR3577818,RUN
511,ENA,ERR3578019,RUN
512,ENA,ERR3578024,RUN
513,ENA,ERR3577844,RUN
514,ENA,ERR3577875,RUN
515,ENA,ERR3577860,RUN
516,ENA,ERR3578064,RUN
517,ENA,ERR3577884,RUN
518,ENA,ERR3578005,RUN
519,ENA,ERR3577809,RUN
520,ENA,ERR3577836,RUN
521,ENA,ERR3578079,RUN
522,ENA,ERR3577948,RUN
523,ENA,ERR3577991,RUN
524,ENA,ERR3578076,RUN
525,ENA,ERR3577979,RUN
526,ENA,ERR3577756,RUN
527,ENA,ERR3578015,RUN
528,ENA,ERR3577811,RUN
529,ENA,ERR3578080,RUN
530,ENA,ERR3577841,RUN
531,ENA,ERR3577833,RUN
