N,Database,Accession,Type
1,ENA,ERR3908656,RUN
2,ENA,ERR3894271,RUN
3,ENA,ERR3326165,RUN
4,ENA,ERR3894580,RUN
5,ENA,ERR3894187,RUN
6,ENA,ERR3894474,RUN
7,ENA,ERR3894200,RUN
8,ENA,ERR3326161,RUN
9,ENA,ERR3326163,RUN
10,ENA,ERR3894624,RUN
11,ENA,ERR3894297,RUN
12,ENA,ERR3894566,RUN
13,ENA,ERR3894245,RUN
14,ENA,ERR3894459,RUN
15,ENA,ERR3326172,RUN
16,ENA,ERR3894538,RUN
17,ENA,ERR3326183,RUN
18,ENA,ERR3894208,RUN
19,ENA,ERR3894290,RUN
20,ENA,ERR3894473,RUN
21,ENA,ERR3894558,RUN
22,ENA,ERR3894324,RUN
23,ENA,ERR3908654,RUN
24,ENA,ERR3894211,RUN
25,ENA,ERR3894081,RUN
26,ENA,ERR3908657,RUN
27,ENA,ERR3894348,RUN
28,ENA,ERR3908658,RUN
29,ENA,ERR3894310,RUN
30,ENA,ERR3894555,RUN
31,ENA,ERR3894199,RUN
32,ENA,ERR3894226,RUN
33,ENA,ERR3326160,RUN
34,ENA,ERR3894202,RUN
35,ENA,ERR3894347,RUN
36,ENA,ERR3894416,RUN
37,ENA,ERR3894530,RUN
38,ENA,ERR3894183,RUN
39,ENA,ERR3894197,RUN
40,ENA,ERR3894261,RUN
41,ENA,ERR3894379,RUN
42,ENA,ERR3894128,RUN
43,ENA,ERR3894336,RUN
44,ENA,ERR3894557,RUN
45,ENA,ERR3908661,RUN
46,ENA,ERR3894428,RUN
47,ENA,ERR3894179,RUN
48,ENA,ERR3894640,RUN
49,ENA,ERR3894384,RUN
50,ENA,ERR3908655,RUN
51,ENA,ERR3894375,RUN
52,ENA,ERR3894240,RUN
53,ENA,ERR3894219,RUN
54,ENA,ERR3894160,RUN
55,ENA,ERR3894265,RUN
56,ENA,ERR3894296,RUN
57,ENA,ERR3894606,RUN
58,ENA,ERR3894549,RUN
59,ENA,ERR3326186,RUN
60,ENA,ERR3894112,RUN
61,ENA,ERR3894188,RUN
62,ENA,ERR3894209,RUN
63,ENA,ERR3908659,RUN
64,ENA,ERR3894266,RUN
65,ENA,ERR3326154,RUN
66,ENA,ERR3894137,RUN
67,ENA,ERR3326184,RUN
68,ENA,ERR3894218,RUN
69,ENA,ERR3894143,RUN
70,ENA,ERR3894260,RUN
71,ENA,ERR3894479,RUN
72,ENA,ERR3894139,RUN
73,ENA,ERR3894212,RUN
74,ENA,ERR3894461,RUN
75,ENA,ERR3894340,RUN
76,ENA,ERR3894345,RUN
77,ENA,ERR3894358,RUN
78,ENA,ERR3894370,RUN
79,ENA,ERR3894522,RUN
80,ENA,ERR3894408,RUN
81,ENA,ERR3326168,RUN
82,ENA,ERR3894242,RUN
83,ENA,ERR3894178,RUN
84,ENA,ERR3894390,RUN
85,ENA,ERR3894116,RUN
86,ENA,ERR3894521,RUN
87,ENA,ERR3894270,RUN
88,ENA,ERR3326164,RUN
89,ENA,ERR3894366,RUN
90,ENA,ERR3894402,RUN
91,ENA,ERR3894280,RUN
92,ENA,ERR3894403,RUN
93,ENA,ERR3894241,RUN
94,ENA,ERR3894243,RUN
95,ENA,ERR3894328,RUN
96,ENA,ERR3894444,RUN
97,ENA,ERR3894307,RUN
98,ENA,ERR3894056,RUN
99,ENA,ERR3894305,RUN
100,ENA,ERR3326199,RUN
101,ENA,ERR3894433,RUN
102,ENA,ERR3894359,RUN
103,ENA,ERR3894556,RUN
104,ENA,ERR3326176,RUN
105,ENA,ERR3894221,RUN
106,ENA,ERR3908653,RUN
107,ENA,ERR3326189,RUN
108,ENA,ERR3894205,RUN
109,ENA,ERR3325613,RUN
110,ENA,ERR3326008,RUN
111,ENA,ERR3326042,RUN
112,ENA,ERR3326111,RUN
113,ENA,ERR3326115,RUN
114,ENA,ERR3326112,RUN
115,ENA,ERR3326055,RUN
116,ENA,ERR3325435,RUN
117,ENA,ERR3325898,RUN
118,ENA,ERR3325389,RUN
119,ENA,ERR3325189,RUN
120,ENA,ERR3325982,RUN
121,ENA,ERR3325440,RUN
122,ENA,ERR3325394,RUN
123,ENA,ERR3325901,RUN
124,ENA,ERR3325439,RUN
125,ENA,ERR3325958,RUN
126,ENA,ERR3325845,RUN
127,ENA,ERR3325967,RUN
128,ENA,ERR3326029,RUN
129,ENA,ERR3325857,RUN
130,ENA,ERR3326125,RUN
131,ENA,ERR3325516,RUN
132,ENA,ERR3325850,RUN
133,ENA,ERR3326041,RUN
