N,Database,Accession,Type
1,NCBI,SRR2736263,RUN
2,NCBI,SRR2736276,RUN
3,NCBI,SRR2736201,RUN
4,NCBI,SRR2736293,RUN
5,NCBI,SRR2736197,RUN
6,NCBI,SRR2736233,RUN
7,NCBI,SRR2736221,RUN
8,NCBI,SRR2736286,RUN
9,NCBI,SRR2736236,RUN
10,NCBI,SRR2736271,RUN
11,NCBI,SRR4343301,RUN
12,NCBI,SRR2736202,RUN
13,NCBI,SRR2736206,RUN
14,NCBI,SRR2736212,RUN
15,NCBI,SRR2736277,RUN
16,NCBI,SRR2736288,RUN
17,NCBI,SRR2736253,RUN
18,NCBI,SRR2736234,RUN
19,NCBI,SRR2736281,RUN
20,NCBI,SRR2736295,RUN
21,NCBI,SRR2736204,RUN
22,NCBI,SRR2736222,RUN
23,NCBI,SRR2736254,RUN
24,NCBI,SRR2736299,RUN
25,NCBI,SRR2736302,RUN
26,NCBI,SRR2736224,RUN
27,NCBI,SRR2736226,RUN
28,NCBI,SRR2736297,RUN
29,NCBI,SRR2736210,RUN
30,NCBI,SRR2736291,RUN
31,NCBI,SRR2736196,RUN
32,NCBI,SRR2736261,RUN
33,NCBI,SRR2736273,RUN
34,NCBI,SRR2736246,RUN
35,NCBI,SRR2736208,RUN
36,NCBI,SRR2736232,RUN
37,NCBI,SRR2736294,RUN
38,NCBI,SRR2736275,RUN
39,NCBI,SRR2736278,RUN
40,NCBI,SRR2736292,RUN
41,NCBI,SRR2736214,RUN
42,NCBI,SRR2736238,RUN
43,NCBI,SRR2736272,RUN
44,NCBI,SRR2736305,RUN
45,NCBI,SRR2736229,RUN
46,NCBI,SRR2736245,RUN
47,NCBI,SRR2736228,RUN
48,NCBI,SRR2736260,RUN
49,NCBI,SRR2736282,RUN
50,NCBI,SRR2736249,RUN
51,NCBI,SRR2736230,RUN
52,NCBI,SRR2736262,RUN
53,NCBI,SRR2736296,RUN
54,NCBI,SRR2736304,RUN
55,NCBI,SRR2736258,RUN
56,NCBI,SRR2736303,RUN
57,NCBI,SRR2736265,RUN
58,NCBI,SRR2736270,RUN
59,NCBI,SRR2736242,RUN
60,NCBI,SRR2736267,RUN
61,NCBI,SRR2736259,RUN
62,NCBI,SRR2736274,RUN
63,NCBI,SRR2736225,RUN
64,NCBI,SRR2736248,RUN
65,NCBI,SRR2736216,RUN
66,NCBI,SRR2736269,RUN
67,NCBI,SRR2736298,RUN
68,NCBI,SRR2736264,RUN
69,NCBI,SRR2736223,RUN
70,NCBI,SRR2736219,RUN
71,NCBI,SRR2736231,RUN
72,NCBI,SRR2736205,RUN
73,NCBI,SRR2736227,RUN
74,NCBI,SRR2736252,RUN
75,NCBI,SRR2736240,RUN
76,NCBI,SRR2736289,RUN
77,NCBI,SRR2736244,RUN
78,NCBI,SRR2736284,RUN
79,NCBI,SRR2736213,RUN
80,NCBI,SRR2736290,RUN
81,NCBI,SRR2736207,RUN
82,NCBI,SRR2736300,RUN
83,NCBI,SRR2736250,RUN
84,NCBI,SRR2736283,RUN
85,NCBI,SRR2736255,RUN
86,NCBI,SRR2736235,RUN
87,NCBI,SRR2736285,RUN
88,NCBI,SRR2736215,RUN
89,NCBI,SRR2736266,RUN
90,NCBI,SRR2736268,RUN
91,NCBI,SRR2736256,RUN
92,NCBI,SRR2736279,RUN
93,NCBI,SRR2736280,RUN
94,NCBI,SRR2736301,RUN
95,NCBI,SRR2736237,RUN
96,NCBI,SRR2736220,RUN
97,NCBI,SRR2736239,RUN
98,NCBI,SRR2736209,RUN
99,NCBI,SRR2736211,RUN
100,NCBI,SRR2736247,RUN
101,NCBI,SRR2736243,RUN
102,NCBI,SRR2736257,RUN
103,NCBI,SRR2736241,RUN
104,NCBI,SRR2736217,RUN
105,NCBI,SRR2736251,RUN
