N,Database,Accession,Type
1,DDBJ,DRR124781,RUN
2,DDBJ,DRR124762,RUN
3,DDBJ,DRR124876,RUN
4,DDBJ,DRR124717,RUN
5,DDBJ,DRR124738,RUN
6,DDBJ,DRR124778,RUN
7,DDBJ,DRR117991,RUN
8,DDBJ,DRR124751,RUN
9,DDBJ,DRR124884,RUN
10,DDBJ,DRR124727,RUN
11,DDBJ,DRR124777,RUN
12,DDBJ,DRR124823,RUN
13,DDBJ,DRR117994,RUN
14,DDBJ,DRR124779,RUN
15,DDBJ,DRR124826,RUN
16,DDBJ,DRR124829,RUN
17,DDBJ,DRR124851,RUN
18,DDBJ,DRR117974,RUN
19,DDBJ,DRR124798,RUN
20,DDBJ,DRR124860,RUN
21,DDBJ,DRR124806,RUN
22,DDBJ,DRR124742,RUN
23,DDBJ,DRR124844,RUN
24,DDBJ,DRR117963,RUN
25,DDBJ,DRR124877,RUN
26,DDBJ,DRR117987,RUN
27,DDBJ,DRR124771,RUN
28,DDBJ,DRR124792,RUN
29,DDBJ,DRR124699,RUN
30,DDBJ,DRR124825,RUN
31,DDBJ,DRR124704,RUN
32,DDBJ,DRR117977,RUN
33,DDBJ,DRR124776,RUN
34,DDBJ,DRR124839,RUN
35,DDBJ,DRR117988,RUN
36,DDBJ,DRR124840,RUN
37,DDBJ,DRR124706,RUN
38,DDBJ,DRR124816,RUN
39,DDBJ,DRR117968,RUN
40,DDBJ,DRR124885,RUN
41,DDBJ,DRR117978,RUN
42,DDBJ,DRR124691,RUN
43,DDBJ,DRR124708,RUN
44,DDBJ,DRR117961,RUN
45,DDBJ,DRR117995,RUN
46,DDBJ,DRR124854,RUN
47,DDBJ,DRR124710,RUN
48,DDBJ,DRR124768,RUN
49,DDBJ,DRR124866,RUN
50,DDBJ,DRR124725,RUN
51,DDBJ,DRR124726,RUN
52,DDBJ,DRR124739,RUN
53,DDBJ,DRR124757,RUN
54,DDBJ,DRR124855,RUN
55,DDBJ,DRR124688,RUN
56,DDBJ,DRR117955,RUN
57,DDBJ,DRR124867,RUN
58,DDBJ,DRR124845,RUN
59,DDBJ,DRR117956,RUN
60,DDBJ,DRR117970,RUN
61,DDBJ,DRR124849,RUN
62,DDBJ,DRR124714,RUN
63,DDBJ,DRR124729,RUN
64,DDBJ,DRR124787,RUN
