N,Database,Accession,Type
1,NCBI,SRR5827047,RUN
2,NCBI,SRR5827033,RUN
3,NCBI,SRR5827052,RUN
4,NCBI,SRR5827054,RUN
5,NCBI,SRR5827051,RUN
6,NCBI,SRR5827055,RUN
7,NCBI,SRR5827037,RUN
8,NCBI,SRR5827025,RUN
9,NCBI,SRR5827036,RUN
10,NCBI,SRR5827040,RUN
11,NCBI,SRR5827020,RUN
12,NCBI,SRR5827018,RUN
13,NCBI,SRR5827032,RUN
14,NCBI,SRR5827049,RUN
15,NCBI,SRR5827031,RUN
16,NCBI,SRR5827057,RUN
17,NCBI,SRR5827053,RUN
18,NCBI,SRR5827030,RUN
19,NCBI,SRR5827043,RUN
20,NCBI,SRR5827044,RUN
21,NCBI,SRR5827038,RUN
22,NCBI,SRR5827034,RUN
23,NCBI,SRR5827046,RUN
24,NCBI,SRR5827039,RUN
25,NCBI,SRR5827021,RUN
26,NCBI,SRR5827028,RUN
27,NCBI,SRR5827048,RUN
28,NCBI,SRR5827035,RUN
29,NCBI,SRR5827058,RUN
30,NCBI,SRR5827029,RUN
31,NCBI,SRR5827026,RUN
32,NCBI,SRR5827023,RUN
33,NCBI,SRR5827024,RUN
34,NCBI,SRR5827042,RUN
35,NCBI,SRR5827019,RUN
36,NCBI,SRR5827022,RUN
37,NCBI,SRR5827056,RUN
38,NCBI,SRR5827041,RUN
39,NCBI,SRR5827188,RUN
40,NCBI,SRR5827216,RUN
41,NCBI,SRR5827302,RUN
42,NCBI,SRR5827079,RUN
43,NCBI,SRR5827064,RUN
44,NCBI,SRR5827380,RUN
45,NCBI,SRR5827207,RUN
46,NCBI,SRR5827295,RUN
47,NCBI,SRR5827260,RUN
48,NCBI,SRR5827097,RUN
49,NCBI,SRR5827132,RUN
50,NCBI,SRR5827070,RUN
51,NCBI,SRR5827066,RUN
52,NCBI,SRR5827349,RUN
53,NCBI,SRR5827232,RUN
54,NCBI,SRR5827183,RUN
55,NCBI,SRR5827145,RUN
56,NCBI,SRR5827167,RUN
57,NCBI,SRR5827413,RUN
58,NCBI,SRR5827397,RUN
59,NCBI,SRR5827179,RUN
60,NCBI,SRR5827067,RUN
61,NCBI,SRR5827411,RUN
62,NCBI,SRR5827140,RUN
63,NCBI,SRR5827082,RUN
