N,Database,Accession,Type
1,ENA,ERR3623469,RUN
2,ENA,ERR3623458,RUN
3,ENA,ERR3623413,RUN
4,ENA,ERR3623439,RUN
5,ENA,ERR3623443,RUN
6,ENA,ERR3623388,RUN
7,ENA,ERR3623179,RUN
8,ENA,ERR3623133,RUN
9,ENA,ERR3623134,RUN
10,ENA,ERR3623410,RUN
11,ENA,ERR3623150,RUN
12,ENA,ERR3623234,RUN
13,ENA,ERR3623175,RUN
14,ENA,ERR3623452,RUN
15,ENA,ERR3623386,RUN
16,ENA,ERR3623176,RUN
17,ENA,ERR3623490,RUN
18,ENA,ERR3623220,RUN
19,ENA,ERR3623174,RUN
20,ENA,ERR3623426,RUN
21,ENA,ERR3623456,RUN
22,ENA,ERR3623135,RUN
23,ENA,ERR3623147,RUN
24,ENA,ERR3623154,RUN
25,ENA,ERR3623198,RUN
26,ENA,ERR3623473,RUN
27,ENA,ERR3623168,RUN
28,ENA,ERR3623360,RUN
29,ENA,ERR3623476,RUN
30,ENA,ERR3623224,RUN
31,ENA,ERR3623169,RUN
32,ENA,ERR3623411,RUN
33,ENA,ERR3623375,RUN
34,ENA,ERR3623163,RUN
35,ENA,ERR3623225,RUN
36,ENA,ERR3623185,RUN
37,ENA,ERR3623463,RUN
38,ENA,ERR3623489,RUN
39,ENA,ERR3623475,RUN
40,ENA,ERR3623178,RUN
41,ENA,ERR3623442,RUN
42,ENA,ERR3623423,RUN
43,ENA,ERR3623362,RUN
44,ENA,ERR3623196,RUN
45,ENA,ERR3623221,RUN
46,ENA,ERR3623378,RUN
47,ENA,ERR3623436,RUN
48,ENA,ERR3623151,RUN
49,ENA,ERR3623414,RUN
50,ENA,ERR3623127,RUN
51,ENA,ERR3623356,RUN
52,ENA,ERR3623129,RUN
53,ENA,ERR3623479,RUN
54,ENA,ERR3623441,RUN
55,ENA,ERR3623208,RUN
56,ENA,ERR3623383,RUN
57,ENA,ERR3623213,RUN
58,ENA,ERR3623165,RUN
59,ENA,ERR3623131,RUN
60,ENA,ERR3623232,RUN
61,ENA,ERR3623167,RUN
62,ENA,ERR3623194,RUN
63,ENA,ERR3623212,RUN
64,ENA,ERR3623138,RUN
65,ENA,ERR3623130,RUN
66,ENA,ERR3623440,RUN
67,ENA,ERR3623432,RUN
68,ENA,ERR3623368,RUN
69,ENA,ERR3623472,RUN
70,ENA,ERR3623199,RUN
71,ENA,ERR3623218,RUN
72,ENA,ERR3623430,RUN
73,ENA,ERR3623352,RUN
74,ENA,ERR3623222,RUN
75,ENA,ERR3623460,RUN
76,ENA,ERR3623195,RUN
77,ENA,ERR3623425,RUN
78,ENA,ERR3623470,RUN
79,ENA,ERR3623444,RUN
80,ENA,ERR3623158,RUN
81,ENA,ERR3623233,RUN
82,ENA,ERR3623210,RUN
83,ENA,ERR3623143,RUN
84,ENA,ERR3623162,RUN
85,ENA,ERR3623409,RUN
86,ENA,ERR3623200,RUN
87,ENA,ERR3623193,RUN
88,ENA,ERR3623424,RUN
89,ENA,ERR3623435,RUN
90,ENA,ERR3623484,RUN
91,ENA,ERR3623145,RUN
92,ENA,ERR3623217,RUN
93,ENA,ERR3623359,RUN
94,ENA,ERR3623428,RUN
95,ENA,ERR3623201,RUN
96,ENA,ERR3623132,RUN
97,ENA,ERR3623181,RUN
98,ENA,ERR3623139,RUN
99,ENA,ERR3623369,RUN
100,ENA,ERR3623353,RUN
101,ENA,ERR3623219,RUN
102,ENA,ERR3623370,RUN
103,ENA,ERR3623187,RUN
104,ENA,ERR3623455,RUN
105,ENA,ERR3623172,RUN
106,ENA,ERR3623159,RUN
107,ENA,ERR3623418,RUN
108,ENA,ERR3623146,RUN
109,ENA,ERR3623227,RUN
110,ENA,ERR3623445,RUN
111,ENA,ERR3623471,RUN
112,ENA,ERR3623433,RUN
113,ENA,ERR3623384,RUN
114,ENA,ERR3623420,RUN
115,ENA,ERR3623488,RUN
116,ENA,ERR3623381,RUN
117,ENA,ERR3623466,RUN
118,ENA,ERR3623192,RUN
119,ENA,ERR3623161,RUN
120,ENA,ERR3623390,RUN
121,ENA,ERR3623229,RUN
122,ENA,ERR3623211,RUN
123,ENA,ERR3623203,RUN
124,ENA,ERR3623235,RUN
125,ENA,ERR3623237,RUN
126,ENA,ERR3623197,RUN
127,ENA,ERR3623216,RUN
128,ENA,ERR3623474,RUN
129,ENA,ERR3623373,RUN
130,ENA,ERR3623457,RUN
131,ENA,ERR3623376,RUN
132,ENA,ERR3623371,RUN
133,ENA,ERR3623438,RUN
134,ENA,ERR3623355,RUN
135,ENA,ERR3623365,RUN
136,ENA,ERR3623449,RUN
137,ENA,ERR3623137,RUN
138,ENA,ERR3623350,RUN
139,ENA,ERR3623385,RUN
140,ENA,ERR3623361,RUN
141,ENA,ERR3623160,RUN
142,ENA,ERR3623480,RUN
143,ENA,ERR3623485,RUN
144,ENA,ERR3623171,RUN
145,ENA,ERR3623462,RUN
146,ENA,ERR3623367,RUN
147,ENA,ERR3623450,RUN
148,ENA,ERR3623366,RUN
149,ENA,ERR3623170,RUN
150,ENA,ERR3623214,RUN
151,ENA,ERR3623422,RUN
152,ENA,ERR3623464,RUN
153,ENA,ERR3623180,RUN
154,ENA,ERR3623184,RUN
155,ENA,ERR3623236,RUN
156,ENA,ERR3623372,RUN
157,ENA,ERR3623379,RUN
158,ENA,ERR3623166,RUN
159,ENA,ERR3623486,RUN
160,ENA,ERR3623358,RUN
161,ENA,ERR3623459,RUN
162,ENA,ERR3623136,RUN
163,ENA,ERR3623223,RUN
164,ENA,ERR3623351,RUN
165,ENA,ERR3623483,RUN
166,ENA,ERR3623173,RUN
167,ENA,ERR3623153,RUN
168,ENA,ERR3623478,RUN
169,ENA,ERR3623142,RUN
170,ENA,ERR3623206,RUN
171,ENA,ERR3623417,RUN
172,ENA,ERR3623186,RUN
173,ENA,ERR3623205,RUN
174,ENA,ERR3623230,RUN
175,ENA,ERR3623387,RUN
176,ENA,ERR3623434,RUN
177,ENA,ERR3623437,RUN
178,ENA,ERR3623215,RUN
179,ENA,ERR3623448,RUN
180,ENA,ERR3623190,RUN
181,ENA,ERR3623144,RUN
182,ENA,ERR3623189,RUN
183,ENA,ERR3623431,RUN
184,ENA,ERR3623188,RUN
185,ENA,ERR3623177,RUN
186,ENA,ERR3623380,RUN
187,ENA,ERR3623451,RUN
188,ENA,ERR3623487,RUN
189,ENA,ERR3623209,RUN
190,ENA,ERR3623429,RUN
191,ENA,ERR3623389,RUN
192,ENA,ERR3623454,RUN
193,ENA,ERR3623419,RUN
194,ENA,ERR3623182,RUN
195,ENA,ERR3623202,RUN
196,ENA,ERR3623164,RUN
197,ENA,ERR3623157,RUN
198,ENA,ERR3623447,RUN
199,ENA,ERR3623465,RUN
200,ENA,ERR3623415,RUN
201,ENA,ERR3623155,RUN
202,ENA,ERR3623231,RUN
203,ENA,ERR3623477,RUN
204,ENA,ERR3623468,RUN
205,ENA,ERR3623363,RUN
206,ENA,ERR3623391,RUN
207,ENA,ERR3623453,RUN
208,ENA,ERR3623382,RUN
209,ENA,ERR3623357,RUN
210,ENA,ERR3623191,RUN
211,ENA,ERR3623377,RUN
212,ENA,ERR3623482,RUN
213,ENA,ERR3623467,RUN
214,ENA,ERR3623204,RUN
215,ENA,ERR3623374,RUN
216,ENA,ERR3623416,RUN
217,ENA,ERR3623226,RUN
218,ENA,ERR3623446,RUN
219,ENA,ERR3623412,RUN
220,ENA,ERR3623354,RUN
221,ENA,ERR3623228,RUN
222,ENA,ERR3623152,RUN
223,ENA,ERR3623421,RUN
224,ENA,ERR3623183,RUN
225,ENA,ERR3623481,RUN
226,ENA,ERR3623364,RUN
227,ENA,ERR3623128,RUN
