N,Database,Accession,Type
1,NCBI,SRR3343479,RUN
2,NCBI,SRR3349596,RUN
3,NCBI,SRR3343481,RUN
4,NCBI,SRR3349227,RUN
5,NCBI,SRR3349288,RUN
6,NCBI,SRR3349206,RUN
7,NCBI,SRR3349193,RUN
8,NCBI,SRR3343511,RUN
9,NCBI,SRR3349244,RUN
10,NCBI,SRR3343616,RUN
11,NCBI,SRR3349329,RUN
12,NCBI,SRR3349610,RUN
13,NCBI,SRR3343657,RUN
14,NCBI,SRR3349521,RUN
15,NCBI,SRR3349632,RUN
16,NCBI,SRR3343502,RUN
17,NCBI,SRR3349318,RUN
18,NCBI,SRR3343618,RUN
19,NCBI,SRR3349298,RUN
20,NCBI,SRR3349588,RUN
21,NCBI,SRR3349538,RUN
22,NCBI,SRR3349286,RUN
23,NCBI,SRR3343510,RUN
24,NCBI,SRR3343496,RUN
25,NCBI,SRR3349332,RUN
26,NCBI,SRR3343600,RUN
27,NCBI,SRR3349230,RUN
28,NCBI,SRR3349604,RUN
29,NCBI,SRR3343642,RUN
30,NCBI,SRR3343546,RUN
31,NCBI,SRR3343662,RUN
32,NCBI,SRR3349575,RUN
33,NCBI,SRR3343682,RUN
34,NCBI,SRR3343519,RUN
35,NCBI,SRR3349265,RUN
36,NCBI,SRR3349143,RUN
37,NCBI,SRR3343542,RUN
38,NCBI,SRR3349577,RUN
39,NCBI,SRR3349219,RUN
40,NCBI,SRR3349150,RUN
41,NCBI,SRR3349138,RUN
42,NCBI,SRR3343501,RUN
43,NCBI,SRR3343485,RUN
44,NCBI,SRR3349643,RUN
45,NCBI,SRR3349280,RUN
46,NCBI,SRR3349210,RUN
47,NCBI,SRR3349301,RUN
48,NCBI,SRR3349342,RUN
49,NCBI,SRR3343566,RUN
50,NCBI,SRR3343659,RUN
51,NCBI,SRR3349279,RUN
52,NCBI,SRR3343548,RUN
53,NCBI,SRR3349532,RUN
54,NCBI,SRR3349202,RUN
55,NCBI,SRR3349247,RUN
56,NCBI,SRR3349619,RUN
57,NCBI,SRR3343651,RUN
58,NCBI,SRR3349290,RUN
59,NCBI,SRR3349267,RUN
60,NCBI,SRR3349194,RUN
