N,Database,Accession,Type
1,ENA,ERR449545,RUN
2,ENA,ERR502222,RUN
3,ENA,ERR502197,RUN
4,ENA,ERR439370,RUN
5,ENA,ERR439316,RUN
6,ENA,ERR779771,RUN
7,ENA,ERR502229,RUN
8,ENA,ERR439327,RUN
9,ENA,ERR439284,RUN
10,ENA,ERR502200,RUN
11,ENA,ERR502223,RUN
12,ENA,ERR502219,RUN
13,ENA,ERR439347,RUN
14,ENA,ERR449553,RUN
15,ENA,ERR439355,RUN
16,ENA,ERR439354,RUN
17,ENA,ERR779803,RUN
18,ENA,ERR449567,RUN
19,ENA,ERR502204,RUN
20,ENA,ERR502215,RUN
21,ENA,ERR449554,RUN
22,ENA,ERR502210,RUN
23,ENA,ERR439291,RUN
24,ENA,ERR502227,RUN
25,ENA,ERR502237,RUN
26,ENA,ERR439324,RUN
27,ENA,ERR439342,RUN
28,ENA,ERR779833,RUN
29,ENA,ERR449572,RUN
30,ENA,ERR502236,RUN
31,ENA,ERR449581,RUN
32,ENA,ERR439320,RUN
33,ENA,ERR439336,RUN
34,ENA,ERR439349,RUN
35,ENA,ERR779786,RUN
36,ENA,ERR502217,RUN
37,ENA,ERR449585,RUN
38,ENA,ERR449579,RUN
39,ENA,ERR779818,RUN
40,ENA,ERR779836,RUN
41,ENA,ERR449565,RUN
42,ENA,ERR449561,RUN
43,ENA,ERR502187,RUN
44,ENA,ERR439317,RUN
45,ENA,ERR439323,RUN
46,ENA,ERR439345,RUN
47,ENA,ERR779799,RUN
48,ENA,ERR439313,RUN
49,ENA,ERR439286,RUN
50,ENA,ERR439329,RUN
51,ENA,ERR449588,RUN
52,ENA,ERR779778,RUN
53,ENA,ERR439360,RUN
54,ENA,ERR449574,RUN
55,ENA,ERR502221,RUN
56,ENA,ERR449584,RUN
57,ENA,ERR439371,RUN
58,ENA,ERR449583,RUN
59,ENA,ERR439366,RUN
60,ENA,ERR449582,RUN
61,ENA,ERR449592,RUN
62,ENA,ERR502226,RUN
63,ENA,ERR449586,RUN
64,ENA,ERR502213,RUN
65,ENA,ERR502232,RUN
66,ENA,ERR502205,RUN
67,ENA,ERR449589,RUN
68,ENA,ERR502177,RUN
69,ENA,ERR439344,RUN
70,ENA,ERR775149,RUN
71,ENA,ERR449591,RUN
72,ENA,ERR779821,RUN
73,ENA,ERR439301,RUN
74,ENA,ERR439307,RUN
75,ENA,ERR439296,RUN
76,ENA,ERR502203,RUN
77,ENA,ERR502182,RUN
78,ENA,ERR439321,RUN
79,ENA,ERR502234,RUN
80,ENA,ERR502179,RUN
81,ENA,ERR502191,RUN
82,ENA,ERR449577,RUN
83,ENA,ERR502196,RUN
84,ENA,ERR502188,RUN
85,ENA,ERR775147,RUN
86,ENA,ERR439343,RUN
87,ENA,ERR439326,RUN
88,ENA,ERR449556,RUN
89,ENA,ERR502178,RUN
90,ENA,ERR439314,RUN
91,ENA,ERR439348,RUN
92,ENA,ERR439335,RUN
93,ENA,ERR439295,RUN
94,ENA,ERR449578,RUN
95,ENA,ERR449576,RUN
