N,Database,Accession,Type
1,NCBI,SRR8559662,RUN
2,NCBI,SRR8559506,RUN
3,NCBI,SRR8559184,RUN
4,NCBI,SRR8559383,RUN
5,NCBI,SRR8559462,RUN
6,NCBI,SRR8559562,RUN
7,NCBI,SRR8559212,RUN
8,NCBI,SRR8559401,RUN
9,NCBI,SRR8559423,RUN
10,NCBI,SRR8559414,RUN
11,NCBI,SRR8559367,RUN
12,NCBI,SRR8559293,RUN
13,NCBI,SRR8559195,RUN
14,NCBI,SRR8559194,RUN
15,NCBI,SRR8559601,RUN
16,NCBI,SRR8559305,RUN
17,NCBI,SRR8559217,RUN
18,NCBI,SRR8559534,RUN
19,NCBI,SRR8559206,RUN
20,NCBI,SRR8559339,RUN
21,NCBI,SRR8559169,RUN
22,NCBI,SRR8559584,RUN
23,NCBI,SRR8559645,RUN
24,NCBI,SRR8559310,RUN
25,NCBI,SRR8559424,RUN
26,NCBI,SRR8559550,RUN
27,NCBI,SRR8559569,RUN
28,NCBI,SRR8559461,RUN
29,NCBI,SRR8559434,RUN
30,NCBI,SRR8559558,RUN
31,NCBI,SRR8559527,RUN
32,NCBI,SRR8559291,RUN
33,NCBI,SRR8559600,RUN
34,NCBI,SRR8559491,RUN
35,NCBI,SRR8559481,RUN
36,NCBI,SRR8559515,RUN
37,NCBI,SRR8559557,RUN
38,NCBI,SRR8559615,RUN
39,NCBI,SRR8559382,RUN
40,NCBI,SRR8559581,RUN
41,NCBI,SRR8559436,RUN
42,NCBI,SRR8559547,RUN
43,NCBI,SRR8559213,RUN
44,NCBI,SRR8559513,RUN
45,NCBI,SRR8559408,RUN
46,NCBI,SRR8559356,RUN
47,NCBI,SRR8559509,RUN
48,NCBI,SRR8559473,RUN
49,NCBI,SRR8559324,RUN
50,NCBI,SRR8559592,RUN
51,NCBI,SRR8559641,RUN
52,NCBI,SRR8559287,RUN
53,NCBI,SRR8559560,RUN
54,NCBI,SRR8559230,RUN
55,NCBI,SRR8559359,RUN
56,NCBI,SRR8559267,RUN
57,NCBI,SRR8559280,RUN
58,NCBI,SRR8559276,RUN
59,NCBI,SRR8559412,RUN
60,NCBI,SRR8559335,RUN
61,NCBI,SRR8559543,RUN
62,NCBI,SRR8559635,RUN
63,NCBI,SRR8559507,RUN
64,NCBI,SRR8559357,RUN
65,NCBI,SRR8559181,RUN
66,NCBI,SRR8559590,RUN
67,NCBI,SRR8559376,RUN
68,NCBI,SRR8559275,RUN
69,NCBI,SRR8559319,RUN
70,NCBI,SRR8559435,RUN
71,NCBI,SRR8559566,RUN
72,NCBI,SRR8559173,RUN
73,NCBI,SRR8559551,RUN
74,NCBI,SRR8559238,RUN
