N,Database,Accession,Type
1,ENA,ERR035960,RUN
2,ENA,ERR035964,RUN
3,ENA,ERR035973,RUN
4,ENA,ERR035983,RUN
5,ENA,ERR036045,RUN
6,ENA,ERR036053,RUN
7,ENA,ERR036009,RUN
8,ENA,ERR036010,RUN
9,ENA,ERR035985,RUN
10,ENA,ERR035996,RUN
11,ENA,ERR036033,RUN
12,ENA,ERR036044,RUN
13,ENA,ERR036021,RUN
14,ENA,ERR036024,RUN
15,ENA,ERR036021,RUN
16,ENA,ERR036031,RUN
17,ENA,ERR036021,RUN
18,ENA,ERR036023,RUN
19,ENA,ERR035997,RUN
20,ENA,ERR036007,RUN
21,ENA,ERR035985,RUN
22,ENA,ERR035993,RUN
23,ENA,ERR023524,RUN
24,ENA,ERR023529,RUN
25,ENA,ERR033819,RUN
26,ENA,ERR033824,RUN
27,ENA,ERR035985,RUN
28,ENA,ERR035990,RUN
29,ENA,ERR035985,RUN
30,ENA,ERR035989,RUN
31,ENA,ERR023524,RUN
32,ENA,ERR023535,RUN
33,ENA,ERR036045,RUN
34,ENA,ERR036055,RUN
35,ENA,ERR036009,RUN
36,ENA,ERR036017,RUN
37,ENA,ERR036045,RUN
38,ENA,ERR036052,RUN
39,ENA,ERR036021,RUN
40,ENA,ERR036026,RUN
41,ENA,ERR035997,RUN
42,ENA,ERR036006,RUN
43,ENA,ERR023524,RUN
44,ENA,ERR023534,RUN
45,ENA,ERR036033,RUN
46,ENA,ERR036034,RUN
47,ENA,ERR036045,RUN
48,ENA,ERR036056,RUN
49,ENA,ERR035973,RUN
50,ENA,ERR035981,RUN
51,ENA,ERR035985,RUN
52,ENA,ERR035991,RUN
53,ENA,ERR036045,RUN
54,ENA,ERR036048,RUN
55,ENA,ERR023524,RUN
56,ENA,ERR023532,RUN
57,ENA,ERR036021,RUN
58,ENA,ERR036029,RUN
59,ENA,ERR036033,RUN
60,ENA,ERR036037,RUN
61,ENA,ERR036009,RUN
62,ENA,ERR036015,RUN
63,ENA,ERR035973,RUN
64,ENA,ERR035982,RUN
65,ENA,ERR023524,RUN
66,ENA,ERR023530,RUN
67,ENA,ERR033819,RUN
68,ENA,ERR033825,RUN
69,ENA,ERR035960,RUN
70,ENA,ERR035962,RUN
71,ENA,ERR023524,RUN
72,ENA,ERR023528,RUN
73,ENA,ERR033819,RUN
74,ENA,ERR033827,RUN
75,ENA,ERR036021,RUN
76,ENA,ERR036028,RUN
77,ENA,ERR036033,RUN
78,ENA,ERR036038,RUN
79,ENA,ERR036009,RUN
80,ENA,ERR036013,RUN
81,ENA,ERR035997,RUN
82,ENA,ERR035998,RUN
83,ENA,ERR023524,RUN
84,ENA,ERR023526,RUN
85,ENA,ERR035997,RUN
86,ENA,ERR036005,RUN
87,ENA,ERR035997,RUN
88,ENA,ERR036008,RUN
89,ENA,ERR035973,RUN
90,ENA,ERR035977,RUN
91,ENA,ERR035973,RUN
92,ENA,ERR035976,RUN
93,ENA,ERR036045,RUN
94,ENA,ERR036054,RUN
95,ENA,ERR036021,RUN
96,ENA,ERR036032,RUN
97,ENA,ERR023524,RUN
98,ENA,ERR023531,RUN
99,ENA,ERR036009,RUN
100,ENA,ERR036020,RUN
101,ENA,ERR023524,RUN
102,ENA,ERR023525,RUN
103,ENA,ERR036009,RUN
104,ENA,ERR036018,RUN
105,ENA,ERR036033,RUN
106,ENA,ERR036035,RUN
107,ENA,ERR036021,RUN
108,ENA,ERR036030,RUN
109,ENA,ERR036009,RUN
110,ENA,ERR036011,RUN
111,ENA,ERR035973,RUN
112,ENA,ERR035979,RUN
