N,Database,Accession,Type
1,ENA,ERR064920,RUN
2,ENA,ERR064913,RUN
3,ENA,ERR064941,RUN
4,ENA,ERR024680,RUN
5,ENA,ERR024688,RUN
6,ENA,ERR064919,RUN
7,ENA,ERR064946,RUN
8,ENA,ERR024667,RUN
9,ENA,ERR024674,RUN
10,ENA,ERR064914,RUN
11,ENA,ERR026647,RUN
12,ENA,ERR026650,RUN
13,ENA,ERR064929,RUN
14,ENA,ERR064921,RUN
15,ENA,ERR024680,RUN
16,ENA,ERR024683,RUN
17,ENA,ERR024969,RUN
18,ENA,ERR024974,RUN
19,ENA,ERR024982,RUN
20,ENA,ERR024986,RUN
21,ENA,ERR026660,RUN
22,ENA,ERR026668,RUN
23,ENA,ERR064955,RUN
24,ENA,ERR064916,RUN
25,ENA,ERR064953,RUN
26,ENA,ERR026647,RUN
27,ENA,ERR026649,RUN
28,ENA,ERR024969,RUN
29,ENA,ERR024978,RUN
30,ENA,ERR064934,RUN
31,ENA,ERR024962,RUN
32,ENA,ERR064915,RUN
33,ENA,ERR064944,RUN
34,ENA,ERR064932,RUN
35,ENA,ERR064940,RUN
36,ENA,ERR026002,RUN
37,ENA,ERR026012,RUN
38,ENA,ERR064938,RUN
39,ENA,ERR064909,RUN
40,ENA,ERR026660,RUN
41,ENA,ERR026665,RUN
42,ENA,ERR064906,RUN
43,ENA,ERR025795,RUN
44,ENA,ERR064958,RUN
45,ENA,ERR064948,RUN
46,ENA,ERR024994,RUN
47,ENA,ERR064931,RUN
48,ENA,ERR064899,RUN
49,ENA,ERR064927,RUN
50,ENA,ERR026698,RUN
51,ENA,ERR026705,RUN
52,ENA,ERR026647,RUN
53,ENA,ERR026658,RUN
54,ENA,ERR026685,RUN
55,ENA,ERR026688,RUN
56,ENA,ERR064942,RUN
57,ENA,ERR064900,RUN
58,ENA,ERR026698,RUN
59,ENA,ERR026710,RUN
60,ENA,ERR064901,RUN
61,ENA,ERR024993,RUN
62,ENA,ERR024667,RUN
63,ENA,ERR024679,RUN
64,ENA,ERR024680,RUN
65,ENA,ERR024689,RUN
66,ENA,ERR026647,RUN
67,ENA,ERR026656,RUN
68,ENA,ERR025794,RUN
69,ENA,ERR025800,RUN
70,ENA,ERR064898,RUN
71,ENA,ERR026002,RUN
72,ENA,ERR026008,RUN
73,ENA,ERR026660,RUN
74,ENA,ERR026666,RUN
75,ENA,ERR064926,RUN
76,ENA,ERR064907,RUN
77,ENA,ERR024964,RUN
78,ENA,ERR024967,RUN
79,ENA,ERR024667,RUN
80,ENA,ERR024672,RUN
81,ENA,ERR064902,RUN
82,ENA,ERR064950,RUN
83,ENA,ERR064952,RUN
84,ENA,ERR024680,RUN
85,ENA,ERR024684,RUN
86,ENA,ERR064957,RUN
87,ENA,ERR026660,RUN
88,ENA,ERR026662,RUN
89,ENA,ERR024667,RUN
90,ENA,ERR024668,RUN
91,ENA,ERR026647,RUN
92,ENA,ERR026651,RUN
93,ENA,ERR026647,RUN
94,ENA,ERR026652,RUN
95,ENA,ERR024969,RUN
96,ENA,ERR024979,RUN
97,ENA,ERR025802,RUN
98,ENA,ERR026698,RUN
99,ENA,ERR026707,RUN
100,ENA,ERR024980,RUN
101,ENA,ERR025794,RUN
102,ENA,ERR025801,RUN
103,ENA,ERR026698,RUN
104,ENA,ERR026708,RUN
105,ENA,ERR024985,RUN
106,ENA,ERR024989,RUN
107,ENA,ERR064912,RUN
108,ENA,ERR026002,RUN
109,ENA,ERR026009,RUN
110,ENA,ERR024667,RUN
111,ENA,ERR024675,RUN
112,ENA,ERR064949,RUN
113,ENA,ERR024969,RUN
114,ENA,ERR024977,RUN
115,ENA,ERR024968,RUN
116,ENA,ERR024969,RUN
117,ENA,ERR024976,RUN
118,ENA,ERR026002,RUN
119,ENA,ERR026003,RUN
120,ENA,ERR024680,RUN
121,ENA,ERR024691,RUN
122,ENA,ERR024680,RUN
123,ENA,ERR024692,RUN
124,ENA,ERR024971,RUN
125,ENA,ERR025805,RUN
126,ENA,ERR024984,RUN
127,ENA,ERR064922,RUN
128,ENA,ERR064928,RUN
129,ENA,ERR064933,RUN
130,ENA,ERR025794,RUN
131,ENA,ERR025799,RUN
132,ENA,ERR024667,RUN
133,ENA,ERR024673,RUN
134,ENA,ERR064917,RUN
135,ENA,ERR026002,RUN
136,ENA,ERR026011,RUN
137,ENA,ERR026002,RUN
138,ENA,ERR026010,RUN
139,ENA,ERR064918,RUN
140,ENA,ERR064923,RUN
141,ENA,ERR026698,RUN
142,ENA,ERR026709,RUN
143,ENA,ERR024973,RUN
144,ENA,ERR025794,RUN
145,ENA,ERR025798,RUN
146,ENA,ERR064930,RUN
147,ENA,ERR024680,RUN
148,ENA,ERR024681,RUN
149,ENA,ERR064903,RUN
150,ENA,ERR024972,RUN
151,ENA,ERR024981,RUN
152,ENA,ERR064951,RUN
153,ENA,ERR025794,RUN
154,ENA,ERR025796,RUN
155,ENA,ERR064925,RUN
156,ENA,ERR024680,RUN
157,ENA,ERR024687,RUN
158,ENA,ERR024983,RUN
159,ENA,ERR026660,RUN
160,ENA,ERR026669,RUN
161,ENA,ERR024963,RUN
162,ENA,ERR064943,RUN
163,ENA,ERR064937,RUN
164,ENA,ERR064904,RUN
165,ENA,ERR064935,RUN
166,ENA,ERR024680,RUN
167,ENA,ERR024685,RUN
168,ENA,ERR064956,RUN
169,ENA,ERR026698,RUN
170,ENA,ERR026706,RUN
171,ENA,ERR026647,RUN
172,ENA,ERR026655,RUN
173,ENA,ERR024982,RUN
174,ENA,ERR024988,RUN
175,ENA,ERR024667,RUN
176,ENA,ERR024671,RUN
177,ENA,ERR064910,RUN
178,ENA,ERR026698,RUN
179,ENA,ERR026703,RUN
180,ENA,ERR024667,RUN
181,ENA,ERR024678,RUN
182,ENA,ERR026660,RUN
183,ENA,ERR026664,RUN
184,ENA,ERR025803,RUN
185,ENA,ERR025804,RUN
186,ENA,ERR064945,RUN
187,ENA,ERR064939,RUN
188,ENA,ERR026002,RUN
189,ENA,ERR026007,RUN
190,ENA,ERR024982,RUN
191,ENA,ERR024990,RUN
192,ENA,ERR026660,RUN
193,ENA,ERR026667,RUN
194,ENA,ERR064947,RUN
195,ENA,ERR064908,RUN
196,ENA,ERR024991,RUN
197,ENA,ERR024958,RUN
198,ENA,ERR026647,RUN
199,ENA,ERR026653,RUN
200,ENA,ERR064959,RUN
201,ENA,ERR064954,RUN
202,ENA,ERR026698,RUN
203,ENA,ERR026701,RUN
204,ENA,ERR024680,RUN
205,ENA,ERR024682,RUN
206,ENA,ERR024982,RUN
207,ENA,ERR024992,RUN
208,ENA,ERR064924,RUN
