N,Database,Accession,Type
1,ENA,ERR044590,RUN
2,ENA,ERR017180,RUN
3,ENA,ERR017187,RUN
4,NCBI,SRR521639,RUN
5,ENA,ERR017289,RUN
6,ENA,ERR017290,RUN
7,ENA,ERR017252,RUN
8,ENA,ERR017263,RUN
9,NCBI,SRR521634,RUN
10,ENA,ERR017168,RUN
11,ENA,ERR017171,RUN
12,ENA,ERR017264,RUN
13,ENA,ERR017273,RUN
14,ENA,ERR017216,RUN
15,ENA,ERR017221,RUN
16,ENA,ERR044598,RUN
17,ENA,ERR017204,RUN
18,ENA,ERR017214,RUN
19,ENA,ERR044568,RUN
20,ENA,ERR017289,RUN
21,ENA,ERR017294,RUN
22,ENA,ERR017240,RUN
23,ENA,ERR017245,RUN
24,ENA,ERR044599,RUN
25,ENA,ERR045052,RUN
26,ENA,ERR017264,RUN
27,ENA,ERR017266,RUN
28,NCBI,SRR521649,RUN
29,ENA,ERR017204,RUN
30,ENA,ERR017209,RUN
31,ENA,ERR017252,RUN
32,ENA,ERR017254,RUN
33,ENA,ERR017204,RUN
34,ENA,ERR017207,RUN
35,ENA,ERR017192,RUN
36,ENA,ERR017202,RUN
37,ENA,ERR017204,RUN
38,ENA,ERR017208,RUN
39,ENA,ERR017276,RUN
40,ENA,ERR017284,RUN
41,ENA,ERR044589,RUN
42,NCBI,SRR521642,RUN
43,ENA,ERR017192,RUN
44,ENA,ERR017199,RUN
45,ENA,ERR044571,RUN
46,ENA,ERR044582,RUN
47,ENA,ERR017228,RUN
48,ENA,ERR017231,RUN
49,ENA,ERR044570,RUN
50,ENA,ERR044601,RUN
51,ENA,ERR045070,RUN
52,ENA,ERR045053,RUN
53,ENA,ERR044560,RUN
54,ENA,ERR017252,RUN
55,ENA,ERR017257,RUN
56,ENA,ERR044579,RUN
57,ENA,ERR017276,RUN
58,ENA,ERR017285,RUN
59,ENA,ERR045054,RUN
60,NCBI,SRR521646,RUN
61,ENA,ERR017180,RUN
62,ENA,ERR017189,RUN
63,ENA,ERR017264,RUN
64,ENA,ERR017267,RUN
65,ENA,ERR017264,RUN
66,ENA,ERR017272,RUN
67,ENA,ERR045061,RUN
68,ENA,ERR045072,RUN
69,ENA,ERR017180,RUN
70,ENA,ERR017181,RUN
71,ENA,ERR017192,RUN
72,ENA,ERR017201,RUN
73,ENA,ERR017204,RUN
74,ENA,ERR017210,RUN
75,ENA,ERR017216,RUN
76,ENA,ERR017225,RUN
77,ENA,ERR017276,RUN
78,ENA,ERR017277,RUN
79,ENA,ERR044567,RUN
80,ENA,ERR017204,RUN
81,ENA,ERR017211,RUN
82,ENA,ERR017252,RUN
83,ENA,ERR017259,RUN
84,ENA,ERR017180,RUN
85,ENA,ERR017190,RUN
86,ENA,ERR017168,RUN
87,ENA,ERR017179,RUN
88,ENA,ERR045059,RUN
89,ENA,ERR017228,RUN
90,ENA,ERR017238,RUN
91,ENA,ERR017276,RUN
92,ENA,ERR017286,RUN
93,ENA,ERR044596,RUN
94,ENA,ERR017192,RUN
95,ENA,ERR017198,RUN
96,ENA,ERR017252,RUN
97,ENA,ERR017253,RUN
98,ENA,ERR017276,RUN
99,ENA,ERR017287,RUN
100,ENA,ERR045065,RUN
101,ENA,ERR044563,RUN
102,ENA,ERR017168,RUN
103,ENA,ERR017170,RUN
104,ENA,ERR017216,RUN
105,ENA,ERR017227,RUN
106,ENA,ERR017240,RUN
107,ENA,ERR017251,RUN
108,ENA,ERR044575,RUN
109,ENA,ERR017252,RUN
110,ENA,ERR017256,RUN
111,ENA,ERR017228,RUN
112,ENA,ERR017233,RUN
113,NCBI,SRR521644,RUN
114,ENA,ERR017168,RUN
115,ENA,ERR017175,RUN
116,ENA,ERR017276,RUN
117,ENA,ERR017288,RUN
118,ENA,ERR017228,RUN
119,ENA,ERR017229,RUN
120,ENA,ERR017216,RUN
121,ENA,ERR017226,RUN
122,ENA,ERR045064,RUN
123,ENA,ERR017252,RUN
124,ENA,ERR017260,RUN
125,ENA,ERR045068,RUN
126,ENA,ERR045067,RUN
127,ENA,ERR044573,RUN
128,ENA,ERR017276,RUN
129,ENA,ERR017282,RUN
130,ENA,ERR045057,RUN
131,ENA,ERR017289,RUN
132,ENA,ERR017299,RUN
133,ENA,ERR045063,RUN
134,ENA,ERR017264,RUN
135,ENA,ERR017271,RUN
136,ENA,ERR045062,RUN
137,ENA,ERR017289,RUN
138,ENA,ERR017291,RUN
139,ENA,ERR017216,RUN
140,ENA,ERR017217,RUN
141,ENA,ERR044584,RUN
142,ENA,ERR017216,RUN
143,ENA,ERR017223,RUN
144,ENA,ERR044602,RUN
145,ENA,ERR017264,RUN
146,ENA,ERR017265,RUN
147,ENA,ERR017240,RUN
148,ENA,ERR017243,RUN
149,ENA,ERR017289,RUN
150,ENA,ERR017293,RUN
151,ENA,ERR045058,RUN
152,ENA,ERR044574,RUN
153,NCBI,SRR521648,RUN
154,ENA,ERR017192,RUN
155,ENA,ERR017200,RUN
156,ENA,ERR044592,RUN
157,ENA,ERR017192,RUN
158,ENA,ERR017196,RUN
159,ENA,ERR044583,RUN
160,ENA,ERR017204,RUN
161,ENA,ERR017213,RUN
162,ENA,ERR017228,RUN
163,ENA,ERR017230,RUN
164,ENA,ERR045069,RUN
165,ENA,ERR017264,RUN
166,ENA,ERR017269,RUN
167,ENA,ERR017192,RUN
168,ENA,ERR017194,RUN
169,ENA,ERR044587,RUN
170,ENA,ERR017168,RUN
171,ENA,ERR017174,RUN
172,ENA,ERR017252,RUN
173,ENA,ERR017262,RUN
174,NCBI,SRR521638,RUN
175,ENA,ERR017216,RUN
176,ENA,ERR017219,RUN
177,NCBI,SRR521635,RUN
178,ENA,ERR044580,RUN
179,ENA,ERR044562,RUN
180,ENA,ERR017289,RUN
181,ENA,ERR017292,RUN
182,ENA,ERR044581,RUN
183,ENA,ERR044566,RUN
184,ENA,ERR044597,RUN
185,ENA,ERR017276,RUN
186,ENA,ERR017278,RUN
187,ENA,ERR017180,RUN
188,ENA,ERR017186,RUN
189,ENA,ERR044576,RUN
190,ENA,ERR017289,RUN
191,ENA,ERR017298,RUN
192,ENA,ERR017252,RUN
193,ENA,ERR017258,RUN
194,ENA,ERR045066,RUN
195,ENA,ERR044564,RUN
196,NCBI,SRR521645,RUN
197,ENA,ERR017264,RUN
198,ENA,ERR017274,RUN
199,ENA,ERR045071,RUN
200,ENA,ERR017180,RUN
201,ENA,ERR017191,RUN
202,ENA,ERR017216,RUN
203,ENA,ERR017222,RUN
204,ENA,ERR017240,RUN
205,ENA,ERR017244,RUN
206,ENA,ERR044595,RUN
207,ENA,ERR017276,RUN
208,ENA,ERR017283,RUN
209,ENA,ERR017168,RUN
210,ENA,ERR017178,RUN
211,NCBI,SRR521633,RUN
212,ENA,ERR017276,RUN
213,ENA,ERR017281,RUN
214,ENA,ERR017276,RUN
215,ENA,ERR017279,RUN
216,NCBI,SRR521647,RUN
217,ENA,ERR017289,RUN
218,ENA,ERR017300,RUN
219,ENA,ERR017240,RUN
220,ENA,ERR017250,RUN
221,ENA,ERR017289,RUN
222,ENA,ERR017296,RUN
223,ENA,ERR017192,RUN
224,ENA,ERR017203,RUN
225,ENA,ERR044578,RUN
226,ENA,ERR044572,RUN
227,ENA,ERR045060,RUN
228,NCBI,SRR525285,RUN
229,ENA,ERR017168,RUN
230,ENA,ERR017177,RUN
231,ENA,ERR017180,RUN
232,ENA,ERR017185,RUN
233,ENA,ERR017228,RUN
234,ENA,ERR017234,RUN
235,ENA,ERR044591,RUN
236,ENA,ERR045056,RUN
237,ENA,ERR017240,RUN
238,ENA,ERR017242,RUN
239,ENA,ERR044593,RUN
240,ENA,ERR017168,RUN
241,ENA,ERR017172,RUN
242,NCBI,SRR521636,RUN
243,ENA,ERR017180,RUN
244,ENA,ERR017188,RUN
245,ENA,ERR017204,RUN
246,ENA,ERR017205,RUN
247,ENA,ERR017228,RUN
248,ENA,ERR017236,RUN
249,ENA,ERR017252,RUN
250,ENA,ERR017261,RUN
251,ENA,ERR017168,RUN
252,ENA,ERR017173,RUN
253,ENA,ERR017289,RUN
254,ENA,ERR017297,RUN
255,ENA,ERR017276,RUN
256,ENA,ERR017280,RUN
257,ENA,ERR017228,RUN
258,ENA,ERR017237,RUN
259,ENA,ERR044561,RUN
260,ENA,ERR017264,RUN
261,ENA,ERR017268,RUN
262,ENA,ERR017289,RUN
263,ENA,ERR017295,RUN
264,ENA,ERR017240,RUN
265,ENA,ERR017241,RUN
266,ENA,ERR044588,RUN
267,ENA,ERR017192,RUN
268,ENA,ERR017197,RUN
269,ENA,ERR017240,RUN
270,ENA,ERR017247,RUN
271,ENA,ERR017264,RUN
272,ENA,ERR017275,RUN
273,ENA,ERR044577,RUN
274,ENA,ERR045073,RUN
275,ENA,ERR044586,RUN
276,ENA,ERR017192,RUN
277,ENA,ERR017193,RUN
278,ENA,ERR017228,RUN
279,ENA,ERR017239,RUN
280,ENA,ERR044569,RUN
281,ENA,ERR017264,RUN
282,ENA,ERR017270,RUN
283,NCBI,SRR521643,RUN
284,ENA,ERR044565,RUN
285,NCBI,SRR521637,RUN
286,ENA,ERR017289,RUN
287,ENA,ERR017301,RUN
288,ENA,ERR017228,RUN
289,ENA,ERR017232,RUN
290,ENA,ERR017252,RUN
291,ENA,ERR017255,RUN
292,ENA,ERR017204,RUN
293,ENA,ERR017215,RUN
294,NCBI,SRR521641,RUN
295,ENA,ERR017204,RUN
296,ENA,ERR017206,RUN
297,ENA,ERR017168,RUN
298,ENA,ERR017169,RUN
299,ENA,ERR017240,RUN
300,ENA,ERR017249,RUN
301,ENA,ERR044594,RUN
302,ENA,ERR044600,RUN
303,ENA,ERR044585,RUN
