N,Database,Accession,Type
1,ENA,ERR053010,RUN
2,ENA,ERR053016,RUN
3,ENA,ERR030270,RUN
4,ENA,ERR030274,RUN
5,ENA,ERR030171,RUN
6,ENA,ERR030176,RUN
7,ENA,ERR030184,RUN
8,ENA,ERR030195,RUN
9,ENA,ERR030270,RUN
10,ENA,ERR030278,RUN
11,ENA,ERR030258,RUN
12,ENA,ERR030263,RUN
13,ENA,ERR030145,RUN
14,ENA,ERR030146,RUN
15,ENA,ERR030171,RUN
16,ENA,ERR030178,RUN
17,ENA,ERR030210,RUN
18,ENA,ERR030214,RUN
19,ENA,ERR053014,RUN
20,ENA,ERR030197,RUN
21,ENA,ERR030207,RUN
22,ENA,ERR030222,RUN
23,ENA,ERR030232,RUN
24,ENA,ERR030246,RUN
25,ENA,ERR030251,RUN
26,ENA,ERR029468,RUN
27,ENA,ERR029478,RUN
28,ENA,ERR030270,RUN
29,ENA,ERR030280,RUN
30,ENA,ERR030184,RUN
31,ENA,ERR030189,RUN
32,ENA,ERR030171,RUN
33,ENA,ERR030173,RUN
34,ENA,ERR029341,RUN
35,ENA,ERR029348,RUN
36,ENA,ERR053012,RUN
37,ENA,ERR030197,RUN
38,ENA,ERR030206,RUN
39,ENA,ERR030246,RUN
40,ENA,ERR030257,RUN
41,ENA,ERR030270,RUN
42,ENA,ERR030281,RUN
43,ENA,ERR053013,RUN
44,ENA,ERR030184,RUN
45,ENA,ERR030185,RUN
46,ENA,ERR030197,RUN
47,ENA,ERR030200,RUN
48,ENA,ERR029367,RUN
49,ENA,ERR029375,RUN
50,ENA,ERR030171,RUN
51,ENA,ERR030181,RUN
52,ENA,ERR030258,RUN
53,ENA,ERR030264,RUN
54,ENA,ERR030145,RUN
55,ENA,ERR030152,RUN
56,ENA,ERR029354,RUN
57,ENA,ERR029363,RUN
58,ENA,ERR029354,RUN
59,ENA,ERR029366,RUN
60,ENA,ERR053008,RUN
61,ENA,ERR031661,RUN
62,ENA,ERR031663,RUN
63,ENA,ERR053019,RUN
64,ENA,ERR030210,RUN
65,ENA,ERR030216,RUN
66,ENA,ERR030145,RUN
67,ENA,ERR030153,RUN
68,ENA,ERR030145,RUN
69,ENA,ERR030156,RUN
70,ENA,ERR029456,RUN
71,ENA,ERR029461,RUN
72,ENA,ERR030258,RUN
73,ENA,ERR030267,RUN
74,ENA,ERR030258,RUN
75,ENA,ERR030266,RUN
76,ENA,ERR030158,RUN
77,ENA,ERR030169,RUN
78,ENA,ERR030145,RUN
79,ENA,ERR030154,RUN
80,ENA,ERR030145,RUN
81,ENA,ERR030155,RUN
82,ENA,ERR030234,RUN
83,ENA,ERR030236,RUN
84,ENA,ERR030246,RUN
85,ENA,ERR030250,RUN
86,ENA,ERR030270,RUN
87,ENA,ERR030276,RUN
88,ENA,ERR053032,RUN
89,ENA,ERR029341,RUN
90,ENA,ERR029344,RUN
91,ENA,ERR030145,RUN
92,ENA,ERR030157,RUN
93,ENA,ERR029354,RUN
94,ENA,ERR029356,RUN
95,ENA,ERR053015,RUN
96,ENA,ERR030222,RUN
97,ENA,ERR030227,RUN
98,ENA,ERR030158,RUN
99,ENA,ERR030164,RUN
100,ENA,ERR030270,RUN
101,ENA,ERR030273,RUN
102,ENA,ERR053011,RUN
103,ENA,ERR029380,RUN
104,ENA,ERR029386,RUN
105,ENA,ERR030258,RUN
106,ENA,ERR030259,RUN
107,ENA,ERR029468,RUN
108,ENA,ERR029472,RUN
109,ENA,ERR030222,RUN
110,ENA,ERR030228,RUN
111,ENA,ERR029380,RUN
112,ENA,ERR029391,RUN
113,ENA,ERR053021,RUN
114,ENA,ERR030158,RUN
115,ENA,ERR030165,RUN
116,ENA,ERR030197,RUN
117,ENA,ERR030209,RUN
118,ENA,ERR031661,RUN
119,ENA,ERR031672,RUN
120,ENA,ERR029380,RUN
121,ENA,ERR029389,RUN
122,ENA,ERR029456,RUN
123,ENA,ERR029467,RUN
124,ENA,ERR030210,RUN
125,ENA,ERR030213,RUN
126,ENA,ERR029468,RUN
127,ENA,ERR029473,RUN
128,ENA,ERR030158,RUN
129,ENA,ERR030162,RUN
130,ENA,ERR030197,RUN
131,ENA,ERR030202,RUN
132,ENA,ERR030258,RUN
133,ENA,ERR030261,RUN
134,ENA,ERR030171,RUN
135,ENA,ERR030179,RUN
136,ENA,ERR029354,RUN
137,ENA,ERR029355,RUN
138,ENA,ERR030171,RUN
139,ENA,ERR030172,RUN
140,ENA,ERR029367,RUN
141,ENA,ERR029370,RUN
142,ENA,ERR029456,RUN
143,ENA,ERR029464,RUN
144,ENA,ERR030210,RUN
145,ENA,ERR030218,RUN
146,ENA,ERR029354,RUN
147,ENA,ERR029364,RUN
148,ENA,ERR029341,RUN
149,ENA,ERR029351,RUN
150,ENA,ERR030197,RUN
151,ENA,ERR030201,RUN
152,ENA,ERR030234,RUN
153,ENA,ERR030240,RUN
154,ENA,ERR030171,RUN
155,ENA,ERR030174,RUN
156,ENA,ERR029456,RUN
157,ENA,ERR029457,RUN
158,ENA,ERR030184,RUN
159,ENA,ERR030187,RUN
160,ENA,ERR030158,RUN
161,ENA,ERR030168,RUN
162,ENA,ERR029367,RUN
163,ENA,ERR029371,RUN
164,ENA,ERR030145,RUN
165,ENA,ERR030147,RUN
166,ENA,ERR030158,RUN
167,ENA,ERR030159,RUN
168,ENA,ERR053042,RUN
169,ENA,ERR031661,RUN
170,ENA,ERR031667,RUN
171,ENA,ERR030222,RUN
172,ENA,ERR030226,RUN
173,ENA,ERR053009,RUN
174,ENA,ERR029354,RUN
175,ENA,ERR029360,RUN
176,ENA,ERR029354,RUN
177,ENA,ERR029357,RUN
178,ENA,ERR053020,RUN
179,ENA,ERR030222,RUN
180,ENA,ERR030230,RUN
181,ENA,ERR053046,RUN
182,ENA,ERR029341,RUN
183,ENA,ERR029352,RUN
184,ENA,ERR029380,RUN
185,ENA,ERR029390,RUN
186,ENA,ERR030158,RUN
187,ENA,ERR030170,RUN
188,ENA,ERR029456,RUN
189,ENA,ERR029463,RUN
190,ENA,ERR030234,RUN
191,ENA,ERR030242,RUN
192,ENA,ERR030234,RUN
193,ENA,ERR030239,RUN
194,ENA,ERR030184,RUN
195,ENA,ERR030196,RUN
196,ENA,ERR029468,RUN
197,ENA,ERR029471,RUN
198,ENA,ERR030184,RUN
199,ENA,ERR030192,RUN
200,ENA,ERR029341,RUN
201,ENA,ERR029345,RUN
202,ENA,ERR029380,RUN
203,ENA,ERR029381,RUN
204,ENA,ERR030184,RUN
205,ENA,ERR030194,RUN
206,ENA,ERR030234,RUN
207,ENA,ERR030238,RUN
208,ENA,ERR030258,RUN
209,ENA,ERR030265,RUN
210,ENA,ERR031661,RUN
211,ENA,ERR031669,RUN
212,ENA,ERR053040,RUN
213,ENA,ERR053034,RUN
214,ENA,ERR030222,RUN
215,ENA,ERR030231,RUN
216,ENA,ERR030222,RUN
217,ENA,ERR030224,RUN
218,ENA,ERR030270,RUN
219,ENA,ERR030279,RUN
220,ENA,ERR031661,RUN
221,ENA,ERR031670,RUN
222,ENA,ERR029468,RUN
223,ENA,ERR029470,RUN
224,ENA,ERR029367,RUN
225,ENA,ERR029378,RUN
226,ENA,ERR053037,RUN
227,ENA,ERR030246,RUN
228,ENA,ERR030248,RUN
229,ENA,ERR030197,RUN
230,ENA,ERR030203,RUN
231,ENA,ERR030197,RUN
232,ENA,ERR030199,RUN
233,ENA,ERR029380,RUN
234,ENA,ERR029392,RUN
235,ENA,ERR030210,RUN
236,ENA,ERR030211,RUN
237,ENA,ERR053039,RUN
238,ENA,ERR029380,RUN
239,ENA,ERR029384,RUN
240,ENA,ERR029367,RUN
241,ENA,ERR029374,RUN
242,ENA,ERR031661,RUN
243,ENA,ERR031668,RUN
244,ENA,ERR030222,RUN
245,ENA,ERR030233,RUN
246,ENA,ERR053027,RUN
247,ENA,ERR030246,RUN
248,ENA,ERR030249,RUN
249,ENA,ERR029367,RUN
250,ENA,ERR029376,RUN
251,ENA,ERR030197,RUN
252,ENA,ERR030205,RUN
253,ENA,ERR030171,RUN
254,ENA,ERR030177,RUN
255,ENA,ERR029456,RUN
256,ENA,ERR029465,RUN
257,ENA,ERR030246,RUN
258,ENA,ERR030255,RUN
259,ENA,ERR030210,RUN
260,ENA,ERR030215,RUN
261,ENA,ERR030158,RUN
262,ENA,ERR030167,RUN
263,ENA,ERR030184,RUN
264,ENA,ERR030188,RUN
265,ENA,ERR030184,RUN
266,ENA,ERR030190,RUN
267,ENA,ERR030270,RUN
268,ENA,ERR030272,RUN
269,ENA,ERR030246,RUN
270,ENA,ERR030254,RUN
271,ENA,ERR030210,RUN
272,ENA,ERR030212,RUN
273,ENA,ERR030197,RUN
274,ENA,ERR030198,RUN
275,ENA,ERR053029,RUN
276,ENA,ERR029367,RUN
277,ENA,ERR029373,RUN
278,ENA,ERR029456,RUN
279,ENA,ERR029460,RUN
280,ENA,ERR029341,RUN
281,ENA,ERR029346,RUN
282,ENA,ERR029354,RUN
283,ENA,ERR029359,RUN
284,ENA,ERR030234,RUN
285,ENA,ERR030237,RUN
286,ENA,ERR029354,RUN
287,ENA,ERR029362,RUN
288,ENA,ERR030234,RUN
289,ENA,ERR030245,RUN
290,ENA,ERR030145,RUN
291,ENA,ERR030150,RUN
292,ENA,ERR030210,RUN
293,ENA,ERR030217,RUN
294,ENA,ERR030270,RUN
295,ENA,ERR030277,RUN
296,ENA,ERR030234,RUN
297,ENA,ERR030243,RUN
298,ENA,ERR029367,RUN
299,ENA,ERR029379,RUN
300,ENA,ERR029456,RUN
301,ENA,ERR029459,RUN
302,ENA,ERR053024,RUN
303,ENA,ERR053044,RUN
304,ENA,ERR029456,RUN
305,ENA,ERR029466,RUN
306,ENA,ERR029367,RUN
307,ENA,ERR029368,RUN
308,ENA,ERR030270,RUN
309,ENA,ERR030275,RUN
310,ENA,ERR030258,RUN
311,ENA,ERR030262,RUN
312,ENA,ERR030145,RUN
313,ENA,ERR030151,RUN
314,ENA,ERR029354,RUN
315,ENA,ERR029365,RUN
316,ENA,ERR029380,RUN
317,ENA,ERR029385,RUN
318,ENA,ERR030258,RUN
319,ENA,ERR030268,RUN
320,ENA,ERR029468,RUN
321,ENA,ERR029475,RUN
322,ENA,ERR030184,RUN
323,ENA,ERR030186,RUN
324,ENA,ERR029341,RUN
325,ENA,ERR029343,RUN
326,ENA,ERR029354,RUN
327,ENA,ERR029358,RUN
328,ENA,ERR029341,RUN
329,ENA,ERR029347,RUN
330,ENA,ERR053043,RUN
331,ENA,ERR030171,RUN
332,ENA,ERR030175,RUN
333,ENA,ERR030158,RUN
334,ENA,ERR030160,RUN
335,ENA,ERR030158,RUN
336,ENA,ERR030161,RUN
337,ENA,ERR029341,RUN
338,ENA,ERR029353,RUN
339,ENA,ERR030171,RUN
340,ENA,ERR030182,RUN
341,ENA,ERR031661,RUN
342,ENA,ERR031666,RUN
343,ENA,ERR030171,RUN
344,ENA,ERR030180,RUN
345,ENA,ERR053026,RUN
346,ENA,ERR031661,RUN
347,ENA,ERR031664,RUN
348,ENA,ERR053036,RUN
349,ENA,ERR030158,RUN
350,ENA,ERR030166,RUN
351,ENA,ERR030171,RUN
352,ENA,ERR030183,RUN
353,ENA,ERR053018,RUN
354,ENA,ERR029468,RUN
355,ENA,ERR029469,RUN
356,ENA,ERR029367,RUN
357,ENA,ERR029377,RUN
358,ENA,ERR030270,RUN
359,ENA,ERR030271,RUN
360,ENA,ERR029468,RUN
361,ENA,ERR029477,RUN
362,ENA,ERR030222,RUN
363,ENA,ERR030223,RUN
364,ENA,ERR029367,RUN
365,ENA,ERR029372,RUN
366,ENA,ERR053035,RUN
367,ENA,ERR053041,RUN
368,ENA,ERR031661,RUN
369,ENA,ERR031665,RUN
370,ENA,ERR030246,RUN
371,ENA,ERR030247,RUN
372,ENA,ERR053038,RUN
373,ENA,ERR030197,RUN
374,ENA,ERR030208,RUN
