N,Database,Accession,Type
1,ENA,ERR134683,RUN
2,ENA,ERR134836,RUN
3,ENA,ERR223152,RUN
4,ENA,ERR134654,RUN
5,ENA,ERR134745,RUN
6,ENA,ERR134782,RUN
7,ENA,ERR134637,RUN
8,ENA,ERR137961,RUN
9,ENA,ERR302797,RUN
10,ENA,ERR249312,RUN
11,ENA,ERR137982,RUN
12,ENA,ERR302818,RUN
13,ENA,ERR249327,RUN
14,ENA,ERR134813,RUN
15,ENA,ERR137984,RUN
16,ENA,ERR302820,RUN
17,ENA,ERR137977,RUN
18,ENA,ERR302813,RUN
19,ENA,ERR134792,RUN
20,ENA,ERR338634,RUN
21,ENA,ERR137971,RUN
22,ENA,ERR302807,RUN
23,ENA,ERR223151,RUN
24,ENA,ERR249328,RUN
25,ENA,ERR134797,RUN
26,ENA,ERR137965,RUN
27,ENA,ERR302801,RUN
28,ENA,ERR134791,RUN
29,ENA,ERR137947,RUN
30,ENA,ERR302783,RUN
31,ENA,ERR134750,RUN
32,ENA,ERR134801,RUN
33,ENA,ERR134783,RUN
34,ENA,ERR137967,RUN
35,ENA,ERR302803,RUN
36,ENA,ERR137992,RUN
37,ENA,ERR302828,RUN
38,ENA,ERR256875,RUN
39,ENA,ERR134648,RUN
40,ENA,ERR137983,RUN
41,ENA,ERR302819,RUN
42,ENA,ERR134638,RUN
43,ENA,ERR134741,RUN
44,ENA,ERR134618,RUN
45,ENA,ERR134641,RUN
46,ENA,ERR134723,RUN
47,ENA,ERR302841,RUN
48,ENA,ERR134767,RUN
49,ENA,ERR249316,RUN
50,ENA,ERR256889,RUN
51,ENA,ERR134619,RUN
52,ENA,ERR256877,RUN
53,ENA,ERR134764,RUN
54,ENA,ERR134789,RUN
55,ENA,ERR137966,RUN
56,ENA,ERR302802,RUN
57,ENA,ERR134647,RUN
58,ENA,ERR134770,RUN
59,ENA,ERR134768,RUN
60,ENA,ERR137907,RUN
61,ENA,ERR302743,RUN
62,ENA,ERR137969,RUN
63,ENA,ERR302805,RUN
64,ENA,ERR137974,RUN
65,ENA,ERR302810,RUN
66,ENA,ERR134860,RUN
67,ENA,ERR137976,RUN
68,ENA,ERR302812,RUN
69,ENA,ERR134733,RUN
70,ENA,ERR138000,RUN
71,ENA,ERR302836,RUN
72,ENA,ERR134805,RUN
73,ENA,ERR134810,RUN
74,ENA,ERR134820,RUN
75,ENA,ERR134817,RUN
76,ENA,ERR256891,RUN
77,ENA,ERR134821,RUN
78,ENA,ERR256879,RUN
79,ENA,ERR134842,RUN
80,ENA,ERR134780,RUN
81,ENA,ERR134682,RUN
82,ENA,ERR137978,RUN
83,ENA,ERR302814,RUN
84,ENA,ERR134847,RUN
85,ENA,ERR134844,RUN
86,ENA,ERR137922,RUN
87,ENA,ERR302758,RUN
88,ENA,ERR137996,RUN
89,ENA,ERR302832,RUN
90,ENA,ERR137945,RUN
91,ENA,ERR302781,RUN
92,ENA,ERR134837,RUN
93,ENA,ERR134635,RUN
94,ENA,ERR134799,RUN
95,ENA,ERR137993,RUN
96,ENA,ERR302829,RUN
97,ENA,ERR134670,RUN
98,ENA,ERR134742,RUN
99,ENA,ERR134774,RUN
100,ENA,ERR134707,RUN
101,ENA,ERR134653,RUN
102,ENA,ERR249322,RUN
103,ENA,ERR137980,RUN
104,ENA,ERR302816,RUN
105,ENA,ERR134852,RUN
106,ENA,ERR134784,RUN
107,ENA,ERR134862,RUN
108,ENA,ERR134622,RUN
109,ENA,ERR134614,RUN
110,ENA,ERR134854,RUN
111,ENA,ERR256883,RUN
112,ENA,ERR134616,RUN
113,ENA,ERR134830,RUN
114,ENA,ERR134709,RUN
115,ENA,ERR137953,RUN
116,ENA,ERR302789,RUN
117,ENA,ERR137908,RUN
118,ENA,ERR302744,RUN
119,ENA,ERR137933,RUN
