N,Database,Accession,Type
1,ENA,ERR377376,RUN
2,ENA,ERR377118,RUN
3,ENA,ERR377067,RUN
4,ENA,ERR343852,RUN
5,ENA,ERR377136,RUN
6,ENA,ERR377374,RUN
7,ENA,ERR377097,RUN
8,ENA,ERR377245,RUN
9,ENA,ERR377312,RUN
10,ENA,ERR377211,RUN
11,ENA,ERR377148,RUN
12,ENA,ERR377193,RUN
13,ENA,ERR388509,RUN
14,ENA,ERR377404,RUN
15,ENA,ERR377233,RUN
16,ENA,ERR343858,RUN
17,ENA,ERR377094,RUN
18,ENA,ERR377125,RUN
19,ENA,ERR377338,RUN
20,ENA,ERR377072,RUN
21,ENA,ERR377341,RUN
22,ENA,ERR377046,RUN
23,ENA,ERR388477,RUN
24,ENA,ERR377180,RUN
25,ENA,ERR388518,RUN
26,ENA,ERR377163,RUN
27,ENA,ERR377258,RUN
28,ENA,ERR377049,RUN
29,ENA,ERR343857,RUN
30,ENA,ERR377218,RUN
31,ENA,ERR377041,RUN
32,ENA,ERR377400,RUN
33,ENA,ERR377405,RUN
34,ENA,ERR377154,RUN
35,ENA,ERR377115,RUN
36,ENA,ERR377377,RUN
37,ENA,ERR377359,RUN
38,ENA,ERR377050,RUN
39,ENA,ERR343870,RUN
40,ENA,ERR388473,RUN
41,ENA,ERR343861,RUN
42,ENA,ERR473434,RUN
43,ENA,ERR377077,RUN
44,ENA,ERR377117,RUN
45,ENA,ERR471279,RUN
46,ENA,ERR377161,RUN
47,ENA,ERR471291,RUN
48,ENA,ERR343856,RUN
49,ENA,ERR377284,RUN
50,ENA,ERR377327,RUN
51,ENA,ERR377048,RUN
52,ENA,ERR377192,RUN
53,ENA,ERR377345,RUN
54,ENA,ERR377157,RUN
55,ENA,ERR377098,RUN
56,ENA,ERR377310,RUN
57,ENA,ERR388479,RUN
58,ENA,ERR377311,RUN
59,ENA,ERR377240,RUN
60,ENA,ERR471292,RUN
61,ENA,ERR377393,RUN
62,ENA,ERR377208,RUN
63,ENA,ERR377395,RUN
64,ENA,ERR377324,RUN
65,ENA,ERR377392,RUN
