N,Database,Accession,Type
1,ENA,ERR594549,RUN
2,ENA,ERR594544,RUN
3,ENA,ERR594548,RUN
4,ENA,ERR594546,RUN
5,ENA,ERR594545,RUN
6,ENA,ERR594551,RUN
7,ENA,ERR594553,RUN
8,ENA,ERR594554,RUN
9,ENA,ERR594557,RUN
10,ENA,ERR594556,RUN
11,ENA,ERR594555,RUN
12,ENA,ERR594558,RUN
13,ENA,ERR594560,RUN
14,ENA,ERR594561,RUN
15,ENA,ERR594542,RUN
16,ENA,ERR594562,RUN
17,ENA,ERR594564,RUN
18,ENA,ERR594563,RUN
19,ENA,ERR594565,RUN
20,ENA,ERR594552,RUN
21,ENA,ERR594547,RUN
22,ENA,ERR594543,RUN
23,ENA,ERR578473,RUN
24,ENA,ERR578472,RUN
25,ENA,ERR108649,RUN
26,ENA,ERR108652,RUN
27,ENA,ERR108648,RUN
28,ENA,ERR108653,RUN
29,ENA,ERR108654,RUN
30,ENA,ERR108655,RUN
31,ENA,ERR108660,RUN
32,ENA,ERR108656,RUN
33,ENA,ERR108658,RUN
34,ENA,ERR108659,RUN
35,ENA,ERR108663,RUN
36,ENA,ERR108665,RUN
37,ENA,ERR108664,RUN
38,ENA,ERR108666,RUN
39,ENA,ERR108667,RUN
40,ENA,ERR108669,RUN
41,ENA,ERR108670,RUN
42,ENA,ERR108668,RUN
43,ENA,ERR108672,RUN
44,ENA,ERR108676,RUN
45,ENA,ERR108671,RUN
46,ENA,ERR108677,RUN
47,ENA,ERR108678,RUN
48,ENA,ERR108679,RUN
49,ENA,ERR108681,RUN
50,ENA,ERR108680,RUN
51,ENA,ERR108685,RUN
52,ENA,ERR108684,RUN
53,ENA,ERR108686,RUN
54,ENA,ERR108688,RUN
55,ENA,ERR108689,RUN
56,ENA,ERR108687,RUN
57,ENA,ERR108690,RUN
58,ENA,ERR108691,RUN
59,ENA,ERR108692,RUN
60,ENA,ERR108693,RUN
61,ENA,ERR108694,RUN
62,ENA,ERR204245,RUN
63,ENA,ERR204246,RUN
64,ENA,ERR204248,RUN
65,ENA,ERR204247,RUN
66,ENA,ERR204250,RUN
67,ENA,ERR204249,RUN
68,ENA,ERR204244,RUN
69,ENA,ERR204254,RUN
70,ENA,ERR204251,RUN
71,ENA,ERR204252,RUN
72,ENA,ERR204253,RUN
73,ENA,ERR204255,RUN
74,ENA,ERR204258,RUN
75,ENA,ERR204257,RUN
76,ENA,ERR204256,RUN
77,ENA,ERR204259,RUN
78,ENA,ERR204260,RUN
79,ENA,ERR204261,RUN
80,ENA,ERR204263,RUN
81,ENA,ERR204265,RUN
82,ENA,ERR204262,RUN
83,ENA,ERR204264,RUN
84,ENA,ERR204266,RUN
85,ENA,ERR204267,RUN
86,ENA,ERR204269,RUN
87,ENA,ERR204271,RUN
88,ENA,ERR204270,RUN
89,ENA,ERR204273,RUN
90,ENA,ERR204275,RUN
91,ENA,ERR204272,RUN
92,ENA,ERR213219,RUN
93,ENA,ERR204274,RUN
94,ENA,ERR213221,RUN
95,ENA,ERR204276,RUN
96,ENA,ERR213220,RUN
97,ENA,ERR213223,RUN
98,ENA,ERR213222,RUN
99,ENA,ERR213224,RUN
