N,Database,Accession,Type
1,ENA,ERR2093236,RUN
2,ENA,ERR2093237,RUN
3,ENA,ERR2093239,RUN
4,ENA,ERR2093238,RUN
5,ENA,ERR2093241,RUN
6,ENA,ERR2093243,RUN
7,ENA,ERR2093242,RUN
8,ENA,ERR2093246,RUN
9,ENA,ERR2093247,RUN
10,ENA,ERR2093248,RUN
11,ENA,ERR2093249,RUN
12,ENA,ERR2093251,RUN
13,ENA,ERR2093253,RUN
14,ENA,ERR2093254,RUN
15,ENA,ERR2093255,RUN
16,ENA,ERR2093256,RUN
17,ENA,ERR2093257,RUN
18,ENA,ERR2093258,RUN
19,ENA,ERR2093259,RUN
20,ENA,ERR2093260,RUN
21,ENA,ERR2093261,RUN
22,ENA,ERR2093263,RUN
23,ENA,ERR2093265,RUN
24,ENA,ERR2093267,RUN
25,ENA,ERR2093270,RUN
26,ENA,ERR2093271,RUN
27,ENA,ERR2093273,RUN
28,ENA,ERR2093274,RUN
29,ENA,ERR2093276,RUN
30,ENA,ERR2093277,RUN
31,ENA,ERR2093279,RUN
32,ENA,ERR2093280,RUN
33,ENA,ERR2093281,RUN
34,ENA,ERR2093283,RUN
35,ENA,ERR2093284,RUN
36,ENA,ERR2093285,RUN
37,ENA,ERR2093286,RUN
38,ENA,ERR2093287,RUN
39,ENA,ERR2093288,RUN
40,ENA,ERR2093289,RUN
41,ENA,ERR2093290,RUN
42,ENA,ERR2093293,RUN
43,ENA,ERR2093295,RUN
44,ENA,ERR2093298,RUN
45,ENA,ERR2093303,RUN
46,ENA,ERR2093304,RUN
47,ENA,ERR2093305,RUN
48,ENA,ERR2093308,RUN
49,ENA,ERR2093310,RUN
50,ENA,ERR2093311,RUN
51,ENA,ERR2093315,RUN
52,ENA,ERR2093316,RUN
53,ENA,ERR2093318,RUN
54,ENA,ERR2093320,RUN
55,ENA,ERR2093323,RUN
56,ENA,ERR2093324,RUN
57,ENA,ERR2093325,RUN
58,ENA,ERR2093326,RUN
59,ENA,ERR2093327,RUN
60,ENA,ERR2093328,RUN
61,ENA,ERR2093329,RUN
62,ENA,ERR2093330,RUN
63,ENA,ERR2093332,RUN
64,ENA,ERR2093333,RUN
65,ENA,ERR2093334,RUN
66,ENA,ERR2093335,RUN
67,ENA,ERR2093240,RUN
68,ENA,ERR2093244,RUN
69,ENA,ERR2093245,RUN
70,ENA,ERR2093250,RUN
71,ENA,ERR2093252,RUN
72,ENA,ERR2093262,RUN
73,ENA,ERR2093264,RUN
74,ENA,ERR2093266,RUN
75,ENA,ERR2093268,RUN
76,ENA,ERR2093269,RUN
77,ENA,ERR2093272,RUN
78,ENA,ERR2093275,RUN
79,ENA,ERR2093278,RUN
80,ENA,ERR2093282,RUN
81,ENA,ERR2093291,RUN
82,ENA,ERR2093292,RUN
83,ENA,ERR2093294,RUN
84,ENA,ERR2093296,RUN
85,ENA,ERR2093297,RUN
86,ENA,ERR2093299,RUN
87,ENA,ERR2093301,RUN
88,ENA,ERR2093300,RUN
89,ENA,ERR2093302,RUN
90,ENA,ERR2093307,RUN
91,ENA,ERR2093306,RUN
92,ENA,ERR2093309,RUN
93,ENA,ERR2093312,RUN
94,ENA,ERR2093313,RUN
95,ENA,ERR2093314,RUN
96,ENA,ERR2093317,RUN
97,ENA,ERR2093319,RUN
98,ENA,ERR2093321,RUN
99,ENA,ERR2093322,RUN
100,ENA,ERR2093331,RUN
