N,Database,Accession,Type
1,ENA,ERR573932,RUN
2,ENA,ERR573934,RUN
3,ENA,ERR573941,RUN
4,ENA,ERR573942,RUN
5,ENA,ERR573944,RUN
6,ENA,ERR573943,RUN
7,ENA,ERR573938,RUN
8,ENA,ERR573945,RUN
9,ENA,ERR573948,RUN
10,ENA,ERR573947,RUN
11,ENA,ERR573950,RUN
12,ENA,ERR573952,RUN
13,ENA,ERR573954,RUN
14,ENA,ERR573949,RUN
15,ENA,ERR573955,RUN
16,ENA,ERR573959,RUN
17,ENA,ERR573957,RUN
18,ENA,ERR573956,RUN
19,ENA,ERR573960,RUN
20,ENA,ERR573961,RUN
21,ENA,ERR573962,RUN
22,ENA,ERR573964,RUN
23,ENA,ERR573969,RUN
24,ENA,ERR573968,RUN
25,ENA,ERR573966,RUN
26,ENA,ERR573973,RUN
27,ENA,ERR573971,RUN
28,ENA,ERR573972,RUN
29,ENA,ERR657370,RUN
30,ENA,ERR657374,RUN
31,ENA,ERR657372,RUN
32,ENA,ERR657371,RUN
33,ENA,ERR657378,RUN
34,ENA,ERR657381,RUN
35,ENA,ERR657379,RUN
36,ENA,ERR657382,RUN
37,ENA,ERR657389,RUN
38,ENA,ERR657394,RUN
39,ENA,ERR657385,RUN
40,ENA,ERR657393,RUN
41,ENA,ERR657396,RUN
42,ENA,ERR657401,RUN
43,ENA,ERR657407,RUN
44,ENA,ERR657408,RUN
45,ENA,ERR657403,RUN
46,ENA,ERR657410,RUN
47,ENA,ERR657413,RUN
48,ENA,ERR657414,RUN
49,ENA,ERR657415,RUN
50,ENA,ERR657420,RUN
51,ENA,ERR657422,RUN
52,ENA,ERR657417,RUN
53,ENA,ERR657423,RUN
54,ENA,ERR657424,RUN
55,ENA,ERR657421,RUN
56,ENA,ERR657429,RUN
57,ENA,ERR657434,RUN
58,ENA,ERR657428,RUN
59,ENA,ERR657427,RUN
60,ENA,ERR657437,RUN
61,ENA,ERR657435,RUN
62,ENA,ERR657444,RUN
63,ENA,ERR657449,RUN
64,ENA,ERR657442,RUN
65,ENA,ERR657448,RUN
66,ENA,ERR657450,RUN
67,ENA,ERR657451,RUN
68,ENA,ERR731345,RUN
69,ENA,ERR731352,RUN
70,ENA,ERR731346,RUN
71,ENA,ERR731351,RUN
72,ENA,ERR731355,RUN
73,ENA,ERR731357,RUN
74,ENA,ERR731358,RUN
75,ENA,ERR731360,RUN
76,ENA,ERR731364,RUN
77,ENA,ERR731361,RUN
78,ENA,ERR731359,RUN
79,ENA,ERR731363,RUN
80,ENA,ERR731370,RUN
81,ENA,ERR731367,RUN
82,ENA,ERR731372,RUN
83,ENA,ERR731371,RUN
84,ENA,ERR731368,RUN
85,ENA,ERR731373,RUN
86,ENA,ERR731375,RUN
87,ENA,ERR731374,RUN
88,ENA,ERR731378,RUN
89,ENA,ERR731380,RUN
90,ENA,ERR731379,RUN
91,ENA,ERR731382,RUN
92,ENA,ERR731384,RUN
93,ENA,ERR731386,RUN
94,ENA,ERR731387,RUN
95,ENA,ERR731388,RUN
96,ENA,ERR731391,RUN
97,ENA,ERR731392,RUN
98,ENA,ERR731390,RUN
99,ENA,ERR731396,RUN
100,ENA,ERR731395,RUN
101,ENA,ERR731394,RUN
102,ENA,ERR731397,RUN
103,ENA,ERR731399,RUN
104,ENA,ERR731401,RUN
105,ENA,ERR731398,RUN
106,ENA,ERR731404,RUN
107,ENA,ERR731405,RUN
108,ENA,ERR731406,RUN
109,ENA,ERR731403,RUN
110,ENA,ERR731408,RUN
111,ENA,ERR731409,RUN
112,ENA,ERR731407,RUN
113,ENA,ERR731413,RUN
114,ENA,ERR731410,RUN
115,ENA,ERR731414,RUN
116,ENA,ERR731415,RUN
117,ENA,ERR731418,RUN
118,ENA,ERR731416,RUN
119,ENA,ERR731421,RUN
120,ENA,ERR731424,RUN
121,ENA,ERR731422,RUN
122,ENA,ERR731432,RUN
123,ENA,ERR731426,RUN
124,ENA,ERR731430,RUN
125,ENA,ERR731433,RUN
126,ENA,ERR731434,RUN
127,ENA,ERR731435,RUN
128,ENA,ERR731438,RUN
