N,Database,Accession,Type
1,ENA,ERR2663488,RUN
2,ENA,ERR2663468,RUN
3,ENA,ERR2663495,RUN
4,ENA,ERR2663466,RUN
5,ENA,ERR2663478,RUN
6,ENA,ERR2663484,RUN
7,ENA,ERR2663470,RUN
8,ENA,ERR2663492,RUN
9,ENA,ERR2663472,RUN
10,ENA,ERR2663464,RUN
11,ENA,ERR2663491,RUN
12,ENA,ERR2663481,RUN
13,ENA,ERR2663476,RUN
14,ENA,ERR2663465,RUN
15,ENA,ERR2663483,RUN
16,ENA,ERR2663475,RUN
17,ENA,ERR2663477,RUN
18,ENA,ERR2663494,RUN
19,ENA,ERR2663490,RUN
20,ENA,ERR2663482,RUN
21,ENA,ERR2663480,RUN
22,ENA,ERR2663479,RUN
23,ENA,ERR2663496,RUN
24,ENA,ERR2663463,RUN
25,ENA,ERR2663461,RUN
26,ENA,ERR2663493,RUN
27,ENA,ERR2663471,RUN
28,ENA,ERR2663462,RUN
29,ENA,ERR2663485,RUN
30,ENA,ERR2663469,RUN
31,ENA,ERR2663473,RUN
32,ENA,ERR2663467,RUN
33,ENA,ERR2663489,RUN
34,ENA,ERR2663474,RUN
35,ENA,ERR2663486,RUN
36,ENA,ERR2663963,RUN
37,ENA,ERR2663948,RUN
38,ENA,ERR2663735,RUN
39,ENA,ERR2663731,RUN
40,ENA,ERR2663662,RUN
41,ENA,ERR2663565,RUN
42,ENA,ERR2663640,RUN
43,ENA,ERR2663831,RUN
44,ENA,ERR2663935,RUN
45,ENA,ERR2663692,RUN
46,ENA,ERR2663760,RUN
47,ENA,ERR2663765,RUN
48,ENA,ERR2663612,RUN
49,ENA,ERR2663808,RUN
50,ENA,ERR2663576,RUN
51,ENA,ERR2663653,RUN
52,ENA,ERR2663787,RUN
53,ENA,ERR2663717,RUN
54,ENA,ERR2663925,RUN
55,ENA,ERR2663588,RUN
56,ENA,ERR2663677,RUN
57,ENA,ERR2663815,RUN
58,ENA,ERR2663777,RUN
59,ENA,ERR2663826,RUN
60,ENA,ERR2663724,RUN
61,ENA,ERR2663657,RUN
62,ENA,ERR2663746,RUN
63,ENA,ERR2663712,RUN
64,ENA,ERR2663672,RUN
65,ENA,ERR2663679,RUN
66,ENA,ERR2663785,RUN
67,ENA,ERR2663927,RUN
68,ENA,ERR2663992,RUN
69,ENA,ERR2663515,RUN
70,ENA,ERR2663803,RUN
71,ENA,ERR2663786,RUN
72,ENA,ERR2663702,RUN
73,ENA,ERR2663899,RUN
74,ENA,ERR2663703,RUN
75,ENA,ERR2663989,RUN
76,ENA,ERR2663836,RUN
77,ENA,ERR2663767,RUN
78,ENA,ERR2663799,RUN
79,ENA,ERR2663650,RUN
80,ENA,ERR2663813,RUN
