N,Database,Accession,Type
1,ENA,ERR1788814,RUN
2,ENA,ERR1764376,RUN
3,ENA,ERR1788829,RUN
4,ENA,ERR1788841,RUN
5,ENA,ERR1764374,RUN
6,ENA,ERR1788823,RUN
7,ENA,ERR1788789,RUN
8,ENA,ERR1788825,RUN
9,ENA,ERR1788895,RUN
10,ENA,ERR1788846,RUN
11,ENA,ERR1788771,RUN
12,ENA,ERR1788739,RUN
13,ENA,ERR1788906,RUN
14,ENA,ERR1788745,RUN
15,ENA,ERR1788911,RUN
16,ENA,ERR1788896,RUN
17,ENA,ERR1788855,RUN
18,ENA,ERR1788874,RUN
19,ENA,ERR1788883,RUN
20,ENA,ERR1788853,RUN
21,ENA,ERR1788835,RUN
22,ENA,ERR1788840,RUN
23,ENA,ERR1788917,RUN
24,ENA,ERR1788804,RUN
25,ENA,ERR1764375,RUN
26,ENA,ERR1788816,RUN
27,ENA,ERR1788748,RUN
28,ENA,ERR1788881,RUN
29,ENA,ERR1788850,RUN
30,ENA,ERR1788807,RUN
31,ENA,ERR1764377,RUN
32,ENA,ERR1788877,RUN
33,ENA,ERR1788892,RUN
34,ENA,ERR1788778,RUN
35,ENA,ERR1788885,RUN
36,ENA,ERR1788824,RUN
37,ENA,ERR1788737,RUN
38,ENA,ERR1788880,RUN
39,ENA,ERR1788798,RUN
40,ENA,ERR1788758,RUN
41,ENA,ERR1788920,RUN
42,ENA,ERR1788782,RUN
43,ENA,ERR1788919,RUN
44,ENA,ERR1788848,RUN
45,ENA,ERR1788806,RUN
46,ENA,ERR1764373,RUN
47,ENA,ERR1788873,RUN
48,ENA,ERR1788857,RUN
49,ENA,ERR1788882,RUN
50,ENA,ERR1788898,RUN
51,ENA,ERR1788799,RUN
52,ENA,ERR1788756,RUN
53,ENA,ERR1788912,RUN
54,ENA,ERR1788903,RUN
55,ENA,ERR1788774,RUN
56,ENA,ERR1788755,RUN
57,ENA,ERR1788761,RUN
58,ENA,ERR1788767,RUN
59,ENA,ERR1788888,RUN
60,ENA,ERR1788744,RUN
61,ENA,ERR1788914,RUN
62,ENA,ERR1788907,RUN
63,ENA,ERR1788918,RUN
64,ENA,ERR1788868,RUN
65,ENA,ERR1788802,RUN
66,ENA,ERR1788923,RUN
67,ENA,ERR1788870,RUN
68,ENA,ERR1788796,RUN
69,ENA,ERR1788915,RUN
70,ENA,ERR1788922,RUN
71,ENA,ERR1788867,RUN
72,ENA,ERR1788925,RUN
73,ENA,ERR1788879,RUN
74,ENA,ERR1788887,RUN
75,ENA,ERR1788812,RUN
76,ENA,ERR1788876,RUN
77,ENA,ERR1788858,RUN
78,ENA,ERR1788743,RUN
79,ENA,ERR1788753,RUN
80,ENA,ERR1788854,RUN
81,ENA,ERR1788845,RUN
82,ENA,ERR1788926,RUN
83,ENA,ERR1788836,RUN
84,ENA,ERR1788787,RUN
85,ENA,ERR1788862,RUN
86,ENA,ERR1788797,RUN
87,ENA,ERR1788793,RUN
88,ENA,ERR1788860,RUN
89,ENA,ERR1788818,RUN
90,ENA,ERR1788826,RUN
91,ENA,ERR1788760,RUN
92,ENA,ERR1788878,RUN
93,ENA,ERR1788861,RUN
94,ENA,ERR1788762,RUN
95,ENA,ERR1788741,RUN
96,ENA,ERR1788768,RUN
97,ENA,ERR1788831,RUN
98,ENA,ERR1788859,RUN
99,ENA,ERR1788849,RUN
100,ENA,ERR1788851,RUN
101,ENA,ERR1788832,RUN
102,ENA,ERR1788766,RUN
103,ENA,ERR1788754,RUN
104,ENA,ERR1788905,RUN
105,ENA,ERR1788786,RUN
106,ENA,ERR1788815,RUN
107,ENA,ERR1788875,RUN
108,ENA,ERR1788770,RUN
109,ENA,ERR1788822,RUN
110,ENA,ERR1788834,RUN
111,ENA,ERR1788899,RUN
112,ENA,ERR1788866,RUN
113,ENA,ERR1788764,RUN
114,ENA,ERR1788869,RUN
115,ENA,ERR1788738,RUN
116,ENA,ERR1788837,RUN
117,ENA,ERR1788830,RUN
118,ENA,ERR1788901,RUN
119,ENA,ERR1764378,RUN
120,ENA,ERR1788893,RUN
121,ENA,ERR1788779,RUN
122,ENA,ERR1788773,RUN
123,ENA,ERR1788847,RUN
124,ENA,ERR1788827,RUN
125,ENA,ERR1788908,RUN
126,ENA,ERR1788805,RUN
127,ENA,ERR1788780,RUN
128,ENA,ERR1788897,RUN
129,ENA,ERR1788803,RUN
130,ENA,ERR1788775,RUN
131,ENA,ERR1788902,RUN
132,ENA,ERR1788844,RUN
133,ENA,ERR1788747,RUN
134,ENA,ERR1788884,RUN
135,ENA,ERR1788791,RUN
136,ENA,ERR1788740,RUN
137,ENA,ERR1788921,RUN
138,ENA,ERR1788871,RUN
139,ENA,ERR1788742,RUN
140,ENA,ERR1788811,RUN
141,ENA,ERR1788889,RUN
142,ENA,ERR1788763,RUN
143,ENA,ERR1788776,RUN
144,ENA,ERR1788788,RUN
145,ENA,ERR1788828,RUN
