N,Database,Accession,Type
1,ENA,ERR998478,RUN
2,ENA,ERR998480,RUN
3,ENA,ERR998494,RUN
4,ENA,ERR998520,RUN
5,ENA,ERR998470,RUN
6,ENA,ERR998564,RUN
7,ENA,ERR998536,RUN
8,ENA,ERR998574,RUN
9,ENA,ERR998581,RUN
10,ENA,ERR998590,RUN
11,ENA,ERR998584,RUN
12,ENA,ERR998595,RUN
13,ENA,ERR998600,RUN
14,ENA,ERR998610,RUN
15,ENA,ERR998604,RUN
16,ENA,ERR998612,RUN
17,ENA,ERR998614,RUN
18,ENA,ERR998619,RUN
19,ENA,ERR998627,RUN
20,ENA,ERR998633,RUN
21,ENA,ERR998628,RUN
22,ENA,ERR998638,RUN
23,ENA,ERR998636,RUN
24,ENA,ERR998643,RUN
25,ENA,ERR984707,RUN
26,ENA,ERR984703,RUN
27,ENA,ERR984710,RUN
28,ENA,ERR984708,RUN
29,ENA,ERR984712,RUN
30,ENA,ERR984711,RUN
31,ENA,ERR984713,RUN
32,ENA,ERR984721,RUN
33,ENA,ERR984740,RUN
34,ENA,ERR984739,RUN
35,ENA,ERR984737,RUN
36,ENA,ERR984742,RUN
37,ENA,ERR984741,RUN
38,ENA,ERR984744,RUN
39,ENA,ERR984743,RUN
40,ENA,ERR984746,RUN
41,ENA,ERR984748,RUN
42,ENA,ERR984749,RUN
43,ENA,ERR984750,RUN
44,ENA,ERR984753,RUN
45,ENA,ERR984754,RUN
46,ENA,ERR984755,RUN
47,ENA,ERR984760,RUN
48,ENA,ERR984759,RUN
49,ENA,ERR984761,RUN
50,ENA,ERR984765,RUN
51,ENA,ERR984763,RUN
52,ENA,ERR984767,RUN
53,ENA,ERR984766,RUN
54,ENA,ERR984771,RUN
55,ENA,ERR984768,RUN
56,ENA,ERR984778,RUN
57,ENA,ERR984776,RUN
58,ENA,ERR984774,RUN
59,ENA,ERR984779,RUN
60,ENA,ERR984781,RUN
61,ENA,ERR984782,RUN
62,ENA,ERR984789,RUN
63,ENA,ERR984783,RUN
64,ENA,ERR984788,RUN
65,ENA,ERR984791,RUN
66,ENA,ERR984790,RUN
67,ENA,ERR984795,RUN
68,ENA,ERR984793,RUN
69,ENA,ERR984797,RUN
70,ENA,ERR984798,RUN
71,ENA,ERR984804,RUN
72,ENA,ERR984802,RUN
73,ENA,ERR984814,RUN
74,ENA,ERR984820,RUN
75,ENA,ERR984826,RUN
76,ENA,ERR984824,RUN
77,ENA,ERR984828,RUN
78,ENA,ERR984827,RUN
79,ENA,ERR984834,RUN
80,ENA,ERR984832,RUN
81,ENA,ERR984836,RUN
82,ENA,ERR984841,RUN
83,ENA,ERR984835,RUN
84,ENA,ERR984842,RUN
85,ENA,ERR984843,RUN
86,ENA,ERR984846,RUN
87,ENA,ERR984844,RUN
88,ENA,ERR984848,RUN
89,ENA,ERR984850,RUN
90,ENA,ERR984855,RUN
91,ENA,ERR984851,RUN
92,ENA,ERR984852,RUN
93,ENA,ERR984858,RUN
94,ENA,ERR984856,RUN
95,ENA,ERR984859,RUN
96,ENA,ERR984860,RUN
97,ENA,ERR984862,RUN
98,ENA,ERR984866,RUN
99,ENA,ERR984868,RUN
100,ENA,ERR984867,RUN
101,ENA,ERR984869,RUN
102,ENA,ERR984870,RUN
103,ENA,ERR984872,RUN
104,ENA,ERR984875,RUN
105,ENA,ERR984874,RUN
106,ENA,ERR984876,RUN
107,ENA,ERR984879,RUN
108,ENA,ERR984882,RUN
109,ENA,ERR984881,RUN
110,ENA,ERR984885,RUN
111,ENA,ERR984891,RUN
112,ENA,ERR984895,RUN
113,ENA,ERR984894,RUN
114,ENA,ERR984915,RUN
115,ENA,ERR984917,RUN
116,ENA,ERR984909,RUN
117,ENA,ERR984926,RUN
118,ENA,ERR984932,RUN
119,ENA,ERR984933,RUN
120,ENA,ERR984936,RUN
121,ENA,ERR984938,RUN
122,ENA,ERR984942,RUN
123,ENA,ERR984947,RUN
124,ENA,ERR984946,RUN
125,ENA,ERR984951,RUN
126,ENA,ERR984950,RUN
127,ENA,ERR984949,RUN
128,ENA,ERR984955,RUN
129,ENA,ERR984957,RUN
130,ENA,ERR984968,RUN
131,ENA,ERR984958,RUN
132,ENA,ERR1010002,RUN
133,ENA,ERR1010003,RUN
134,ENA,ERR1010005,RUN
135,ENA,ERR1010006,RUN
136,ENA,ERR1010004,RUN
137,ENA,ERR1010007,RUN
138,ENA,ERR1010010,RUN
139,ENA,ERR1010013,RUN
140,ENA,ERR1010011,RUN
141,ENA,ERR1010016,RUN
142,ENA,ERR1010014,RUN
143,ENA,ERR1010015,RUN
144,ENA,ERR1010018,RUN
145,ENA,ERR1010020,RUN
146,ENA,ERR1010021,RUN
147,ENA,ERR1010019,RUN
148,ENA,ERR1010031,RUN
149,ENA,ERR1010024,RUN
150,ENA,ERR1010034,RUN
151,ENA,ERR1010033,RUN
152,ENA,ERR1010040,RUN
153,ENA,ERR1010041,RUN
154,ENA,ERR1010047,RUN
155,ENA,ERR1010044,RUN
156,ENA,ERR1010043,RUN
157,ENA,ERR1010050,RUN
158,ENA,ERR1010049,RUN
159,ENA,ERR1010053,RUN
160,ENA,ERR1010054,RUN
161,ENA,ERR1010060,RUN
162,ENA,ERR1010055,RUN
163,ENA,ERR1010066,RUN
164,ENA,ERR1010063,RUN
165,ENA,ERR1010076,RUN
166,ENA,ERR1010075,RUN
167,ENA,ERR1010068,RUN
168,ENA,ERR1010077,RUN
169,ENA,ERR1010080,RUN
170,ENA,ERR1010081,RUN
171,ENA,ERR1010084,RUN
172,ENA,ERR1010086,RUN
173,ENA,ERR1010088,RUN
174,ENA,ERR1010090,RUN
175,ENA,ERR1010089,RUN
176,ENA,ERR1010092,RUN
177,ENA,ERR1010093,RUN
178,ENA,ERR1010095,RUN
179,ENA,ERR1010094,RUN
180,ENA,ERR1010097,RUN
181,ENA,ERR1010096,RUN
182,ENA,ERR1010100,RUN
183,ENA,ERR1010098,RUN
184,ENA,ERR1010104,RUN
185,ENA,ERR1010105,RUN
186,ENA,ERR1010103,RUN
187,ENA,ERR1010110,RUN
188,ENA,ERR1010106,RUN
189,ENA,ERR1010111,RUN
190,ENA,ERR1010113,RUN
191,ENA,ERR1010114,RUN
192,ENA,ERR1010115,RUN
193,ENA,ERR1010121,RUN
