N,Database,Accession,Type
1,NCBI,SRR1957726,RUN
2,NCBI,SRR1957793,RUN
3,NCBI,SRR1957807,RUN
4,NCBI,SRR1957813,RUN
5,NCBI,SRR1957928,RUN
6,NCBI,SRR1958216,RUN
7,NCBI,SRR1957959,RUN
8,NCBI,SRR1958222,RUN
9,NCBI,SRR1957916,RUN
10,NCBI,SRR1957938,RUN
11,NCBI,SRR1958283,RUN
12,NCBI,SRR1958607,RUN
13,NCBI,SRR1959230,RUN
14,NCBI,SRR1958561,RUN
15,NCBI,SRR1958618,RUN
16,NCBI,SRR1958657,RUN
17,NCBI,SRR1959252,RUN
18,NCBI,SRR1959452,RUN
19,NCBI,SRR1959426,RUN
20,NCBI,SRR1959511,RUN
21,NCBI,SRR1959506,RUN
22,NCBI,SRR1960123,RUN
23,NCBI,SRR1962043,RUN
24,NCBI,SRR1960208,RUN
25,NCBI,SRR1960094,RUN
26,NCBI,SRR1963102,RUN
27,NCBI,SRR1963107,RUN
28,NCBI,SRR1963294,RUN
29,NCBI,SRR1963114,RUN
30,NCBI,SRR1963433,RUN
31,NCBI,SRR1963323,RUN
32,NCBI,SRR1963448,RUN
33,NCBI,SRR1963449,RUN
34,NCBI,SRR1963504,RUN
35,NCBI,SRR1963459,RUN
36,NCBI,SRR1965037,RUN
37,NCBI,SRR1965048,RUN
38,NCBI,SRR1965051,RUN
39,NCBI,SRR1965172,RUN
40,NCBI,SRR1965474,RUN
41,NCBI,SRR1965420,RUN
42,NCBI,SRR1965540,RUN
43,NCBI,SRR1965566,RUN
44,NCBI,SRR1965489,RUN
45,NCBI,SRR1965810,RUN
46,NCBI,SRR1965819,RUN
47,NCBI,SRR1965658,RUN
48,NCBI,SRR1965865,RUN
49,NCBI,SRR1965979,RUN
50,NCBI,SRR1966037,RUN
51,NCBI,SRR1966032,RUN
52,NCBI,SRR1966027,RUN
53,NCBI,SRR1966050,RUN
54,NCBI,SRR1966086,RUN
55,NCBI,SRR1966060,RUN
56,NCBI,SRR1966122,RUN
57,NCBI,SRR1966162,RUN
58,NCBI,SRR1966173,RUN
59,NCBI,SRR1966221,RUN
60,NCBI,SRR1966192,RUN
61,NCBI,SRR1966316,RUN
62,NCBI,SRR1966267,RUN
63,NCBI,SRR1966317,RUN
64,NCBI,SRR1966321,RUN
65,NCBI,SRR1966282,RUN
66,NCBI,SRR1966326,RUN
67,NCBI,SRR1966355,RUN
68,NCBI,SRR1966683,RUN
69,NCBI,SRR1966555,RUN
70,NCBI,SRR1966696,RUN
71,NCBI,SRR1966736,RUN
72,NCBI,SRR1966991,RUN
73,NCBI,SRR1967049,RUN
74,NCBI,SRR1967067,RUN
75,NCBI,SRR1967073,RUN
76,NCBI,SRR1967035,RUN
77,NCBI,SRR1967001,RUN
78,NCBI,SRR1967081,RUN
79,NCBI,SRR1967181,RUN
80,NCBI,SRR1967364,RUN
81,NCBI,SRR1967393,RUN
82,NCBI,SRR1967468,RUN
83,NCBI,SRR1967491,RUN
84,NCBI,SRR1967503,RUN
85,NCBI,SRR1967501,RUN
86,NCBI,SRR1967428,RUN
87,NCBI,SRR1967515,RUN
88,NCBI,SRR1967531,RUN
89,NCBI,SRR1967512,RUN
90,NCBI,SRR1967615,RUN
91,NCBI,SRR1967538,RUN
92,NCBI,SRR1967638,RUN
93,NCBI,SRR1967564,RUN
94,NCBI,SRR1967717,RUN
95,NCBI,SRR1967738,RUN
96,NCBI,SRR1967675,RUN
97,NCBI,SRR1967741,RUN
98,NCBI,SRR1967790,RUN
99,NCBI,SRR1967963,RUN
100,NCBI,SRR1967856,RUN
101,NCBI,SRR1967948,RUN
102,NCBI,SRR1967975,RUN
103,NCBI,SRR1967992,RUN
104,NCBI,SRR1968064,RUN
105,NCBI,SRR1968179,RUN
106,NCBI,SRR1968194,RUN
107,NCBI,SRR1968436,RUN
108,NCBI,SRR1968567,RUN
109,NCBI,SRR1968368,RUN
110,NCBI,SRR1968453,RUN
111,NCBI,SRR1968655,RUN
112,NCBI,SRR1968656,RUN
113,NCBI,SRR1968714,RUN
114,NCBI,SRR1968893,RUN
115,NCBI,SRR1968671,RUN
116,NCBI,SRR1968914,RUN
117,NCBI,SRR1969025,RUN
118,NCBI,SRR1969159,RUN
119,NCBI,SRR1969153,RUN
120,NCBI,SRR1969050,RUN
121,NCBI,SRR1969590,RUN
122,NCBI,SRR1969642,RUN
123,NCBI,SRR1969286,RUN
124,NCBI,SRR1969643,RUN
125,NCBI,SRR1969837,RUN
126,NCBI,SRR1969843,RUN
127,NCBI,SRR1969920,RUN
128,NCBI,SRR1969880,RUN
129,NCBI,SRR1969905,RUN
130,NCBI,SRR1970034,RUN
131,NCBI,SRR1970167,RUN
132,NCBI,SRR1970159,RUN
133,NCBI,SRR1970258,RUN
134,NCBI,SRR1970274,RUN
135,NCBI,SRR3048761,RUN
136,NCBI,SRR3048567,RUN
137,NCBI,SRR3048758,RUN
138,NCBI,SRR3048859,RUN
139,NCBI,SRR3048855,RUN
140,NCBI,SRR3048864,RUN
141,NCBI,SRR3048943,RUN
142,NCBI,SRR3048978,RUN
143,NCBI,SRR3048958,RUN
144,NCBI,SRR3049053,RUN
145,NCBI,SRR3048989,RUN
146,NCBI,SRR3049090,RUN
147,NCBI,SRR3049124,RUN
148,NCBI,SRR3049293,RUN
149,NCBI,SRR3049193,RUN
150,NCBI,SRR3049159,RUN
151,NCBI,SRR3049301,RUN
152,NCBI,SRR3049299,RUN
153,NCBI,SRR3049355,RUN
154,NCBI,SRR3049411,RUN
155,NCBI,SRR3049590,RUN
