N,Database,Accession,Type
1,ENA,ERR2933280,RUN
2,ENA,ERR3290556,RUN
3,ENA,ERR3290538,RUN
4,ENA,ERR2789285,RUN
5,ENA,ERR2789302,RUN
6,ENA,ERR3290588,RUN
7,ENA,ERR2933284,RUN
8,ENA,ERR2789278,RUN
9,ENA,ERR2789301,RUN
10,ENA,ERR2789289,RUN
11,ENA,ERR2789267,RUN
12,ENA,ERR3290542,RUN
13,ENA,ERR2789290,RUN
14,ENA,ERR2789308,RUN
15,ENA,ERR2789265,RUN
16,ENA,ERR3290571,RUN
17,ENA,ERR2933274,RUN
18,ENA,ERR2789209,RUN
19,ENA,ERR3290619,RUN
20,ENA,ERR2933281,RUN
21,ENA,ERR2789206,RUN
22,ENA,ERR2789212,RUN
23,ENA,ERR2789223,RUN
24,ENA,ERR2789237,RUN
25,ENA,ERR3290560,RUN
26,ENA,ERR2789251,RUN
27,ENA,ERR2933263,RUN
28,ENA,ERR2933265,RUN
29,ENA,ERR2789266,RUN
30,ENA,ERR2789235,RUN
31,ENA,ERR2933270,RUN
32,ENA,ERR3290565,RUN
33,ENA,ERR3290625,RUN
34,ENA,ERR2789264,RUN
35,ENA,ERR3290596,RUN
36,ENA,ERR3290585,RUN
37,ENA,ERR2789228,RUN
38,ENA,ERR2789303,RUN
39,ENA,ERR2933276,RUN
40,ENA,ERR2789311,RUN
41,ENA,ERR2789226,RUN
42,ENA,ERR2933282,RUN
43,ENA,ERR2789248,RUN
44,ENA,ERR2933292,RUN
45,ENA,ERR2789217,RUN
46,ENA,ERR3290549,RUN
47,ENA,ERR3290622,RUN
48,ENA,ERR2789220,RUN
49,ENA,ERR3290539,RUN
50,ENA,ERR2933267,RUN
51,ENA,ERR2789310,RUN
52,ENA,ERR3290608,RUN
53,ENA,ERR3290582,RUN
54,ENA,ERR3290609,RUN
55,ENA,ERR2789305,RUN
56,ENA,ERR3290554,RUN
57,ENA,ERR2789276,RUN
58,ENA,ERR2933290,RUN
59,ENA,ERR3290601,RUN
60,ENA,ERR2789296,RUN
61,ENA,ERR2789306,RUN
62,ENA,ERR3290572,RUN
63,ENA,ERR2789229,RUN
64,ENA,ERR3290621,RUN
65,ENA,ERR2789288,RUN
66,ENA,ERR2789241,RUN
67,ENA,ERR2789242,RUN
68,ENA,ERR3290563,RUN
69,ENA,ERR2789287,RUN
70,ENA,ERR2933279,RUN
71,ENA,ERR3290557,RUN
72,ENA,ERR2933268,RUN
73,ENA,ERR2789231,RUN
74,ENA,ERR2789224,RUN
75,ENA,ERR2789210,RUN
76,ENA,ERR2789240,RUN
77,ENA,ERR2789245,RUN
78,ENA,ERR2789253,RUN
79,ENA,ERR2789244,RUN
80,ENA,ERR2933286,RUN
81,ENA,ERR2789268,RUN
82,ENA,ERR2789230,RUN
83,ENA,ERR2789281,RUN
84,ENA,ERR2789252,RUN
85,ENA,ERR2789249,RUN
86,ENA,ERR2933264,RUN
87,ENA,ERR3290583,RUN
88,ENA,ERR2789236,RUN
89,ENA,ERR3290594,RUN
90,ENA,ERR2789238,RUN
91,ENA,ERR2789277,RUN
92,ENA,ERR3290587,RUN
93,ENA,ERR2933257,RUN
94,ENA,ERR3290592,RUN
95,ENA,ERR3290547,RUN
96,ENA,ERR3290573,RUN
97,ENA,ERR2789215,RUN
98,ENA,ERR2789246,RUN
99,ENA,ERR3290614,RUN
100,ENA,ERR3290569,RUN
101,ENA,ERR2933285,RUN
102,ENA,ERR3290541,RUN
103,ENA,ERR3290598,RUN
104,ENA,ERR3290580,RUN
105,ENA,ERR3290570,RUN
106,ENA,ERR2789219,RUN
