N,Database,Accession,Type
1,ENA,ERR4133955,RUN
2,ENA,ERR4133946,RUN
3,ENA,ERR119822,RUN
4,ENA,ERR4133982,RUN
5,ENA,ERR4133995,RUN
6,ENA,ERR4133991,RUN
7,ENA,ERR4133970,RUN
8,ENA,ERR028498,RUN
9,ENA,ERR4133993,RUN
10,ENA,ERR119825,RUN
11,ENA,ERR4133969,RUN
12,ENA,ERR4133938,RUN
13,ENA,ERR028492,RUN
14,ENA,ERR028497,RUN
15,ENA,ERR4133992,RUN
16,ENA,ERR4133959,RUN
17,ENA,ERR4133998,RUN
18,ENA,ERR4133950,RUN
19,ENA,ERR4133934,RUN
20,ENA,ERR119820,RUN
21,ENA,ERR4133976,RUN
22,ENA,ERR028516,RUN
23,ENA,ERR4133978,RUN
24,ENA,ERR028514,RUN
25,ENA,ERR4133965,RUN
26,ENA,ERR4133933,RUN
27,ENA,ERR4133916,RUN
28,ENA,ERR119819,RUN
29,ENA,ERR4133930,RUN
30,ENA,ERR026906,RUN
31,ENA,ERR4133987,RUN
32,ENA,ERR4133949,RUN
33,ENA,ERR4133911,RUN
34,ENA,ERR4133940,RUN
35,ENA,ERR4133920,RUN
36,ENA,ERR4133942,RUN
37,ENA,ERR4133977,RUN
38,ENA,ERR4133983,RUN
39,ENA,ERR4133974,RUN
40,ENA,ERR4133951,RUN
41,ENA,ERR4133956,RUN
42,ENA,ERR028509,RUN
43,ENA,ERR4133937,RUN
44,ENA,ERR4133986,RUN
45,ENA,ERR4133985,RUN
46,ENA,ERR4133954,RUN
47,ENA,ERR4133919,RUN
48,ENA,ERR4133996,RUN
49,ENA,ERR4133924,RUN
50,ENA,ERR4133936,RUN
51,ENA,ERR4133957,RUN
52,ENA,ERR4133964,RUN
53,ENA,ERR4133960,RUN
54,ENA,ERR4133958,RUN
55,ENA,ERR119824,RUN
56,ENA,ERR4133972,RUN
57,ENA,ERR119818,RUN
58,ENA,ERR4133980,RUN
59,ENA,ERR119823,RUN
60,ENA,ERR4133973,RUN
61,ENA,ERR4133971,RUN
62,ENA,ERR026897,RUN
63,ENA,ERR4133925,RUN
64,ENA,ERR4133981,RUN
65,ENA,ERR119821,RUN
66,ENA,ERR4133990,RUN
67,ENA,ERR4133939,RUN
68,ENA,ERR4133912,RUN
69,ENA,ERR4133984,RUN
70,ENA,ERR4133921,RUN
71,ENA,ERR4133989,RUN
72,ENA,ERR4133941,RUN
73,ENA,ERR4133945,RUN
74,ENA,ERR4133968,RUN
75,ENA,ERR4133923,RUN
76,ENA,ERR4134004,RUN
77,ENA,ERR4133947,RUN
78,ENA,ERR4133961,RUN
79,ENA,ERR4133963,RUN
80,ENA,ERR028511,RUN
81,ENA,ERR4133979,RUN
82,ENA,ERR4133988,RUN
83,ENA,ERR4133922,RUN
84,ENA,ERR026900,RUN
85,ENA,ERR4133915,RUN
86,ENA,ERR4133928,RUN
87,ENA,ERR4133935,RUN
88,ENA,ERR4133913,RUN
89,ENA,ERR4133944,RUN
90,ENA,ERR4133962,RUN
91,ENA,ERR4133975,RUN
92,ENA,ERR4134001,RUN
93,ENA,ERR4133914,RUN
94,ENA,ERR4133997,RUN
95,ENA,ERR4134003,RUN
96,ENA,ERR4133927,RUN
97,ENA,ERR4133932,RUN
98,ENA,ERR026903,RUN
99,ENA,ERR4133948,RUN
100,ENA,ERR4133931,RUN
101,ENA,ERR026905,RUN
102,ENA,ERR4133917,RUN
103,ENA,ERR4133943,RUN
104,ENA,ERR4133966,RUN
105,ENA,ERR4133967,RUN
106,ENA,ERR4133999,RUN
107,ENA,ERR4133929,RUN
108,ENA,ERR028501,RUN
109,ENA,ERR119817,RUN
110,ENA,ERR026896,RUN
111,ENA,ERR4134002,RUN
112,ENA,ERR4133952,RUN
113,ENA,ERR4133953,RUN
114,ENA,ERR4133926,RUN
115,ENA,ERR028512,RUN
116,ENA,ERR028513,RUN
