accession,description
ERZ1077395,"Antibiogram for study PRJEB23993, sample SAMEA104437454"
ERZ1077442,"Antibiogram for study PRJEB23993, sample SAMEA104437652"
ERZ1077473,"Antibiogram for study PRJEB23993, sample SAMEA104437719"
ERZ1077496,"Antibiogram for study PRJEB23993, sample SAMEA104437742"
ERZ2186441,"Antibiogram for study PRJEB44355, sample SAMEA8574808"
ERZ2186447,"Antibiogram for study PRJEB44355, sample SAMEA8574802"
ERZ2186455,"Antibiogram for study PRJEB44355, sample SAMEA8574811"
ERZ2186460,"Antibiogram for study PRJEB44355, sample SAMEA8574819"
ERZ794751,"Antibiogram for study PRJEB21997, sample SAMEA104188790"
ERZ794777,"Antibiogram for study PRJEB21997, sample SAMEA104188697"
ERZ794788,"Antibiogram for study PRJEB21997, sample SAMEA104188730"
ERZ794794,"Antibiogram for study PRJEB21997, sample SAMEA104188758"
ERZ794805,"Antibiogram for study PRJEB21997, sample SAMEA104188722"
ERZ794843,"Antibiogram for study PRJEB21997, sample SAMEA104188701"
ERZ1077469,"Antibiogram for study PRJEB23993, sample SAMEA104437715"
ERZ1077476,"Antibiogram for study PRJEB23993, sample SAMEA104437722"
ERZ2186450,"Antibiogram for study PRJEB44355, sample SAMEA8574820"
ERZ2186458,"Antibiogram for study PRJEB44355, sample SAMEA8574837"
ERZ794782,"Antibiogram for study PRJEB21997, sample SAMEA104188777"
ERZ794783,"Antibiogram for study PRJEB21997, sample SAMEA104188681"
ERZ794792,"Antibiogram for study PRJEB21997, sample SAMEA104188787"
ERZ794828,"Antibiogram for study PRJEB21997, sample SAMEA104188729"
ERZ794858,"Antibiogram for study PRJEB14873, sample SAMEA4350782"
ERZ2186446,"Antibiogram for study PRJEB44355, sample SAMEA8574846"
ERZ2186479,"Antibiogram for study PRJEB44355, sample SAMEA8574841"
ERZ1077403,"Antibiogram for study PRJEB23993, sample SAMEA104437462"
ERZ1077418,"Antibiogram for study PRJEB23993, sample SAMEA104437480"
ERZ1077434,"Antibiogram for study PRJEB23993, sample SAMEA104437644"
ERZ1077448,"Antibiogram for study PRJEB23993, sample SAMEA104437690"
ERZ1077460,"Antibiogram for study PRJEB23993, sample SAMEA104437702"
ERZ1077461,"Antibiogram for study PRJEB23993, sample SAMEA104437703"
ERZ1077465,"Antibiogram for study PRJEB23993, sample SAMEA104437711"
ERZ1077492,"Antibiogram for study PRJEB23993, sample SAMEA104437738"
ERZ1077505,"Antibiogram for study PRJEB23993, sample SAMEA104437751"
ERZ2186464,"Antibiogram for study PRJEB44355, sample SAMEA8574831"
ERZ2186472,"Antibiogram for study PRJEB44355, sample SAMEA8574812"
ERZ1077397,"Antibiogram for study PRJEB23993, sample SAMEA104437456"
ERZ1077430,"Antibiogram for study PRJEB23993, sample SAMEA104437639"
ERZ1077455,"Antibiogram for study PRJEB23993, sample SAMEA104437697"
ERZ1077470,"Antibiogram for study PRJEB23993, sample SAMEA104437716"
ERZ1077471,"Antibiogram for study PRJEB23993, sample SAMEA104437717"
ERZ1077480,"Antibiogram for study PRJEB23993, sample SAMEA104437726"
ERZ1077493,"Antibiogram for study PRJEB23993, sample SAMEA104437739"
ERZ2186459,"Antibiogram for study PRJEB44355, sample SAMEA8574839"
ERZ2186477,"Antibiogram for study PRJEB44355, sample SAMEA8574814"
ERZ2186482,"Antibiogram for study PRJEB44355, sample SAMEA8574806"
ERZ1077399,"Antibiogram for study PRJEB23993, sample SAMEA104437458"
ERZ1077407,"Antibiogram for study PRJEB23993, sample SAMEA104437466"
ERZ1077411,"Antibiogram for study PRJEB23993, sample SAMEA104437470"
ERZ1077437,"Antibiogram for study PRJEB23993, sample SAMEA104437647"
ERZ1077464,"Antibiogram for study PRJEB23993, sample SAMEA104437710"
ERZ1077466,"Antibiogram for study PRJEB23993, sample SAMEA104437712"
ERZ1077479,"Antibiogram for study PRJEB23993, sample SAMEA104437725"
ERZ2186469,"Antibiogram for study PRJEB44355, sample SAMEA8574825"
ERZ2186470,"Antibiogram for study PRJEB44355, sample SAMEA8574815"
ERZ1077394,"Antibiogram for study PRJEB23993, sample SAMEA104437453"
ERZ1077401,"Antibiogram for study PRJEB23993, sample SAMEA104437460"
ERZ1077413,"Antibiogram for study PRJEB23993, sample SAMEA104437472"
ERZ1077429,"Antibiogram for study PRJEB23993, sample SAMEA104437491"
ERZ1077435,"Antibiogram for study PRJEB23993, sample SAMEA104437645"
ERZ1077440,"Antibiogram for study PRJEB23993, sample SAMEA104437650"
ERZ1077457,"Antibiogram for study PRJEB23993, sample SAMEA104437699"
ERZ1077463,"Antibiogram for study PRJEB23993, sample SAMEA104437709"
ERZ2186467,"Antibiogram for study PRJEB44355, sample SAMEA8574804"
ERZ1077393,"Antibiogram for study PRJEB23993, sample SAMEA104437452"
ERZ1077406,"Antibiogram for study PRJEB23993, sample SAMEA104437465"
ERZ1077415,"Antibiogram for study PRJEB23993, sample SAMEA104437474"
ERZ1077425,"Antibiogram for study PRJEB23993, sample SAMEA104437487"
ERZ1077426,"Antibiogram for study PRJEB23993, sample SAMEA104437488"
ERZ1077427,"Antibiogram for study PRJEB23993, sample SAMEA104437489"
ERZ1077445,"Antibiogram for study PRJEB23993, sample SAMEA104437655"
ERZ1077453,"Antibiogram for study PRJEB23993, sample SAMEA104437695"
ERZ1077458,"Antibiogram for study PRJEB23993, sample SAMEA104437700"
ERZ1077475,"Antibiogram for study PRJEB23993, sample SAMEA104437721"
ERZ1077487,"Antibiogram for study PRJEB23993, sample SAMEA104437733"
ERZ1077489,"Antibiogram for study PRJEB23993, sample SAMEA104437735"
ERZ2186445,"Antibiogram for study PRJEB44355, sample SAMEA8574818"
ERZ2186456,"Antibiogram for study PRJEB44355, sample SAMEA8574821"
ERZ2186462,"Antibiogram for study PRJEB44355, sample SAMEA8574817"
ERZ2186481,"Antibiogram for study PRJEB44355, sample SAMEA8574829"
ERZ1077412,"Antibiogram for study PRJEB23993, sample SAMEA104437471"
ERZ1077420,"Antibiogram for study PRJEB23993, sample SAMEA104437482"
ERZ1077421,"Antibiogram for study PRJEB23993, sample SAMEA104437483"
ERZ1077449,"Antibiogram for study PRJEB23993, sample SAMEA104437691"
ERZ1077484,"Antibiogram for study PRJEB23993, sample SAMEA104437730"
ERZ1077494,"Antibiogram for study PRJEB23993, sample SAMEA104437740"
ERZ1077495,"Antibiogram for study PRJEB23993, sample SAMEA104437741"
ERZ1077500,"Antibiogram for study PRJEB23993, sample SAMEA104437746"
ERZ1077503,"Antibiogram for study PRJEB23993, sample SAMEA104437749"
ERZ2186434,"Antibiogram for study PRJEB44355, sample SAMEA8574809"
ERZ1077402,"Antibiogram for study PRJEB23993, sample SAMEA104437461"
ERZ1077428,"Antibiogram for study PRJEB23993, sample SAMEA104437490"
ERZ1077468,"Antibiogram for study PRJEB23993, sample SAMEA104437714"
ERZ2186452,"Antibiogram for study PRJEB44355, sample SAMEA8574803"
ERZ2186465,"Antibiogram for study PRJEB44355, sample SAMEA8574834"
ERZ1077404,"Antibiogram for study PRJEB23993, sample SAMEA104437463"
ERZ1077408,"Antibiogram for study PRJEB23993, sample SAMEA104437467"
ERZ1077431,"Antibiogram for study PRJEB23993, sample SAMEA104437641"
ERZ1077467,"Antibiogram for study PRJEB23993, sample SAMEA104437713"
ERZ1077501,"Antibiogram for study PRJEB23993, sample SAMEA104437747"
ERZ2186443,"Antibiogram for study PRJEB44355, sample SAMEA8574801"
ERZ2186466,"Antibiogram for study PRJEB44355, sample SAMEA8574816"
ERZ1077405,"Antibiogram for study PRJEB23993, sample SAMEA104437464"
ERZ1077436,"Antibiogram for study PRJEB23993, sample SAMEA104437646"
ERZ1077441,"Antibiogram for study PRJEB23993, sample SAMEA104437651"
