Run,Antibiogram,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Plasmid(s)_found,Platform,ReleaseDate,Sample Name,Sequence_Type,SRA Study,STRAIN,Host_disease,Host
SRR19575871,AMC-CRO-DOX-GEN-TGC-TOB,WGS,601,677145051,PRJNA756559,SAMN27524615,Pathogen.cl,483744370,NML,NML,31/07/2015,public,"realign,sra,fastq,wgmlst_sig","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627691,Canada,North America,Canada: NOVA SCOTIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02192,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-08T00:00:00Z,N16-02192,131,SRP378977,648,E. coli gastroenteritis,Homo sapiens
SRR19575872,AMC-CRO-DOX-GEN-SXT,WGS,601,539848157,PRJNA756559,SAMN27524633,Pathogen.cl,380530067,NML,NML,31/07/2016,public,"wgmlst_sig,sra,realign,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15627690,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-00943,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncFII(pHN7A8), IncI1, IncN, p0111",ILLUMINA,2022-08-08T00:00:00Z,N17-00943,131,SRP378977,58,E. coli gastroenteritis,Homo sapiens
SRR19575908,CRO-GEN-MXF-SXT,WGS,601,622678368,PRJNA756559,SAMN27524626,Pathogen.cl,429392297,NML,NML,31/07/2014,public,"sra,fastq,wgmlst_sig,realign","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX15627793,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-03031,PAIRED,RANDOM,GENOMIC,Escherichia coli,None,ILLUMINA,2022-08-08T00:00:00Z,N16-03031,5307,SRP378977,38,E. coli gastroenteritis,Homo sapiens
SRR19575909,CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,601,373416503,PRJNA756559,SAMN27524650,Pathogen.cl,262902619,NML,NML,31/07/2016,public,"realign,fastq,wgmlst_sig,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15627792,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-01004,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncQ1, p0111",ILLUMINA,2022-08-08T00:00:00Z,N17-01004,457,SRP378977,405,E. coli gastroenteritis,Homo sapiens
SRR19575910,CFZ-CRO-CIP-DOX-GEN-MXF-SXT,WGS,601,330108528,PRJNA756559,SAMN27524655,Pathogen.cl,234095942,NML,NML,31/07/2016,public,"realign,sra,wgmlst_sig,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15627791,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-01024,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N17-01024,10,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575911,CFZ-CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,601,431499256,PRJNA756559,SAMN27524593,Pathogen.cl,280486834,NML,NML,31/07/2014,public,"sra,realign,wgmlst_sig,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX15627790,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02102,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col156, IncFIA, IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N16-02102,Undetermined,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575912,CFZ-FOX-CRO-CIP-GEN-MXF-TOB,WGS,601,546942298,PRJNA756559,SAMN27524630,Pathogen.cl,376437481,NML,NML,31/07/2014,public,"sra,wgmlst_sig,realign,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15627789,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,human,Not collected,N16-03041,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107), IncX4",ILLUMINA,2022-08-08T00:00:00Z,N16-03041,4550,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575913,AMC-CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,371766284,PRJNA756559,SAMN27524649,Pathogen.cl,262413938,NML,NML,31/07/2016,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX15627788,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-01001,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107), IncI1",ILLUMINA,2022-08-08T00:00:00Z,N17-01001,1193,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575914,CFZ-CRO-CIP-DOX-GEN-MXF-SXT,WGS,601,441586298,PRJNA756559,SAMN27524610,Pathogen.cl,325472396,NML,NML,31/07/2015,public,"sra,fastq,realign,wgmlst_sig","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15627787,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02157,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107), IncI1",ILLUMINA,2022-08-08T00:00:00Z,N16-02157,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575915,DOX-GEN-SXT,WGS,601,536131011,PRJNA756559,SAMN27524614,Pathogen.cl,385246549,NML,NML,31/07/2015,public,"sra,wgmlst_sig,realign,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15627786,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02179,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncHI2, IncHI2A",ILLUMINA,2022-08-08T00:00:00Z,N16-02179,131,SRP378977,95,E. coli gastroenteritis,Homo sapiens
