ID,run_accession
SAMN04014848,SRR3112259
SAMN04014848,SRR6277524
SAMN04014848,SRR6277525
SAMN04014850,SRR3112260
SAMN04014850,SRR6277526
SAMN04014850,SRR6277527
SAMN04014857,SRR3112267
SAMN04014857,SRR3886560
SAMN04014859,SRR3112269
SAMN04014859,SRR6277539
SAMN04014859,SRR6277540
SAMN04014859,SRR6277541
SAMN04014862,SRR3112271
SAMN04014862,SRR6278376
SAMN04014862,SRR6278377
SAMN04014863,SRR3112272
SAMN04014863,SRR6278429
SAMN04014863,SRR6278430
SAMN04014864,SRR3112273
SAMN04014864,SRR6702942
SAMN04014865,SRR3112274
SAMN04014865,SRR6702943
SAMN04014866,SRR3112275
SAMN04014866,SRR6702944
SAMN04014867,SRR3290645
SAMN04014867,SRR6703110
SAMN04014869,SRR3112278
SAMN04014869,SRR6703112
SAMN04014870,SRR3290646
SAMN04014870,SRR7254052
SAMN04014870,SRR7254053
SAMN04014870,SRR7254054
SAMN04014870,SRR7254055
SAMN04014871,SRR3290647
SAMN04014871,SRR7904119
SAMN04014872,SRR3112281
SAMN04014872,SRR6703113
SAMN04014898,SRR3242010
SAMN04014898,SRR6807656
SAMN04014898,SRR6807657
SAMN04014900,SRR4025856
SAMN04014900,SRR5168217
SAMN04014900,SRR5168218
SAMN04014900,SRR5724737
SAMN04014903,SRR3290648
SAMN04014903,SRR6703155
SAMN04014903,SRR6703156
SAMN04014912,SRR3242014
SAMN04014915,SRR3242015
SAMN04014923,SRR3290652
SAMN04014923,SRR7252658
SAMN04014949,SRR3112343
SAMN04014949,SRR3666044
SAMN04014957,SRR3112282
SAMN04014957,SRR7819193
SAMN04014957,SRR7819194
SAMN04014957,SRR7819195
SAMN04014968,SRR3112287
SAMN04014968,SRR7819256
SAMN04014974,SRR3112291
SAMN04014974,SRR7012992
SAMN04014974,SRR7012993
SAMN04014975,SRR3242002
SAMN04014985,SRR3242003
SAMN04014988,SRR4025995
SAMN04014988,SRR5168494
SAMN04014988,SRR5168495
SAMN04014988,SRR5724799
SAMN04014996,SRR4026001
SAMN04014996,SRR5168512
SAMN04014996,SRR5168513
SAMN04014996,SRR5168514
SAMN04014996,SRR5746721
SAMN04014997,SRR4026002
SAMN04014997,SRR5168515
SAMN04014997,SRR5168516
SAMN04014997,SRR5724929
SAMN04014998,SRR3112298
SAMN04014998,SRR7254025
SAMN04015000,SRR4026004
SAMN04015000,SRR5168520
SAMN04015000,SRR5168521
SAMN04015000,SRR5746724
SAMN04015000,SRR5746725
SAMN04015002,SRR3112300
SAMN04015002,SRR7013051
SAMN04015002,SRR7013052
SAMEA3165293,ERR854938
SAMEA3165270,ERR854921
SAMEA3165649,ERR855352
SAMEA3165275,ERR854924
SAMEA3165272,ERR854922
SAMEA3165236,ERR854897
SAMEA3165292,ERR854937
SAMEA3165249,ERR854906
SAMEA3165250,ERR854907
SAMEA3165241,ERR854900
SAMEA3165668,ERR855365
SAMEA3165296,ERR854869
SAMEA3165653,ERR855355
SAMEA3165772,ERR855325
SAMEA3165655,ERR855356
SAMEA3165258,ERR854913
SAMEA3165656,ERR855357
SAMEA3165299,ERR854870
SAMEA3165243,ERR854902
SAMEA3165262,ERR854916
SAMEA3165238,ERR854898
SAMEA3165266,ERR854919
SAMEA3165660,ERR855360
SAMEA3165286,ERR854932
SAMEA3165245,ERR854903
SAMEA3165291,ERR854936
SAMEA3165239,ERR854899
SAMEA3165264,ERR854917
SAMEA3165648,ERR855351
SAMEA3165247,ERR854905
SAMEA3165280,ERR854928
SAMEA3165279,ERR854927
SAMEA3165651,ERR855353
SAMEA3165246,ERR854904
SAMEA3165657,ERR855358
SAMEA3165282,ERR854929
SAMEA3165257,ERR854912
SAMEA3165659,ERR855359
SAMEA3165252,ERR854908
SAMEA3165268,ERR854867
SAMEA3233712,ERR956689
SAMEA3233713,ERR956690
SAMEA3165771,ERR855324
SAMEA3165283,ERR854930
SAMEA3165287,ERR854933
SAMEA3165256,ERR854911
SAMEA3165254,ERR854910
SAMEA3165298,ERR854939
SAMEA3165269,ERR854920
SAMEA3165290,ERR854935
SAMN04901666,SRR4417596
SAMN04901666,SRR6799413
SAMN04901666,SRR6799414
SAMN04901680,SRR4417579
SAMN11953774,SRR13298332
SAMN11953775,SRR13298331
SAMN11953776,SRR13298330
SAMN11953777,SRR13298329
SAMN11953778,SRR13298328
SAMN07291507,SRR17415016
SAMN07291518,SRR6994968
SAMN07291518,SRR6994969
SAMN07291520,SRR6994970
SAMN07291520,SRR6994971
SAMN07291522,SRR6985673
SAMN07291522,SRR6985674
SAMN07291523,SRR6994972
SAMN07291523,SRR6994973
SAMN05379608,SRR13290286
SAMN05379608,SRR13290287
SAMN05379608,SRR13290288
SAMN05379608,SRR14890850
SAMN05379608,SRR14906880
SAMN05379608,SRR3883452
SAMN18754596,SRR14252435
SAMN05379609,SRR13510948
SAMN05379609,SRR3883453
SAMN05379609,SRR8664465
SAMN05379609,SRR8664466
SAMN05379609,SRR8664467
SAMN05379609,SRR8664468
SAMN05379610,SRR3883454
SAMN05379620,SRR3883465
SAMN05379621,SRR13269417
SAMN05379621,SRR3883466
SAMN05379624,SRR3883469
SAMN05379577,SRR3883438
SAMN18754597,SRR14252434
SAMN05379594,SRR13269419
SAMN05379594,SRR3883436
PRJNA421966,SRR7049630
SAMN14087043,SRR11092034
SAMN07291524,SRR6985728
SAMN07291524,SRR6985729
SAMN07291524,SRR6985730
SAMN07291556,SRR8526664
SAMN07291570,SRR8526663
SAMN07291571,SRR8526671
SAMN07291572,SRR8526667
SAMN07291573,SRR8526668
SAMN07291574,SRR8526659
SAMN07291575,SRR8526674
SAMN07291576,SRR8526673
SAMN07291577,SRR8526670
SAMN07291578,SRR8526669
SAMN07291579,SRR8526666
SAMN07291580,SRR8526665
SAMN07291581,SRR8526661
SAMN07291582,SRR8526675
SAMN07291583,SRR8526662
SAMN07291584,SRR8526672
SAMN07291585,SRR8526660
SAMN11953779,SRR13359480
SAMN11953780,SRR13298327
SAMN11953781,SRR13298326
SAMN11953783,SRR13298325
SAMN11953784,SRR13298324
SAMN11953944,SRR13302166
SAMN11953945,SRR13302165
SAMN11953947,SRR13302154
SAMN11953948,SRR13302145
SAMN11953949,SRR13302144
SAMN11953950,SRR13302143
SAMN11953951,SRR13302142
SAMN11953952,SRR13302141
SAMN11953953,SRR13302140
SAMN11953954,SRR13302139
SAMN11953955,SRR13302164
SAMN11953956,SRR13302163
SAMN11953957,SRR13302162
SAMN11953958,SRR13302161
SAMN11953959,SRR13302160
SAMN11953960,SRR13302159
SAMN11953961,SRR13302158
SAMN11953962,SRR13302157
SAMN11953963,SRR13302156
SAMN11953964,SRR13302155
SAMN11953965,SRR13302153
SAMN11953966,SRR13302152
SAMN11953967,SRR13302151
SAMN11953968,SRR13302150
SAMN11953969,SRR13302149
SAMN11953970,SRR13302148
SAMN11953971,SRR13302147
SAMN11953972,SRR13302146
SAMN11953785,SRR13298323
SAMN07688908,SRR6060733
SAMN11953977,SRR13357513
SAMN05170068,SRR3982131
SAMN11953985,SRR13302127
SAMN11953986,SRR13302126
SAMN11953987,SRR13302115
SAMN11953988,SRR13302106
SAMN11953989,SRR13302105
SAMN11953990,SRR13302104
SAMN11953991,SRR13302103
SAMN11953992,SRR13302102
SAMN11953993,SRR13302101
SAMN11953994,SRR13302100
SAMN11953995,SRR13302125
SAMN11953996,SRR13302124
SAMN11953997,SRR13302123
SAMN11953998,SRR13302122
SAMN11953999,SRR13302121
SAMN11954000,SRR13302120
SAMN11954001,SRR13302119
SAMN11954002,SRR13302118
SAMN11954003,SRR13302117
SAMN11954004,SRR13302116
SAMN11954005,SRR13302114
SAMN11954006,SRR13302113
SAMN11954007,SRR13302112
SAMN11954008,SRR13302111
SAMN11954009,SRR13302110
SAMN11954010,SRR13302109
SAMN11954011,SRR13302108
SAMN11954012,SRR13302107
SAMN11953911,SRR13302080
SAMN11953912,SRR13302048
SAMN11953913,SRR13302055
SAMN11953914,SRR13302057
SAMN11953915,SRR13302061
SAMN11953916,SRR13302062
SAMN11953917,SRR13302063
SAMN11953918,SRR13302064
SAMN11953919,SRR13302065
SAMN11953920,SRR13302066
SAMN11953921,SRR13302049
SAMN11953922,SRR13302067
SAMN11953923,SRR13302068
SAMN11953924,SRR13302069
SAMN11953925,SRR13302070
SAMN11953926,SRR13302050
SAMN11953927,SRR13302051
SAMN11953928,SRR13302052
SAMN11953929,SRR13302053
SAMN11953930,SRR13302054
SAMN11953931,SRR13302056
SAMN11953932,SRR13302071
SAMN11953934,SRR13302073
SAMN11953935,SRR13302074
SAMN11953936,SRR13302075
SAMN11953937,SRR13302076
SAMN11953938,SRR13302077
SAMN11953939,SRR13302078
SAMN11953940,SRR13302079
SAMN11953941,SRR13302058
SAMN11953942,SRR13302059
SAMN11953943,SRR13302060
SAMN10055345,SRR7825630
SAMN11953791,SRR13301978
SAMN11953792,SRR13301923
SAMN11953793,SRR13301956
SAMN11953794,SRR13301963
SAMN11953795,SRR13301970
SAMN11953796,SRR13301921
SAMN11953797,SRR13301950
SAMN11953798,SRR13301977
SAMN11953799,SRR13301976
SAMN11953800,SRR13301975
SAMN11953801,SRR13301924
SAMN11953802,SRR13301925
SAMN11953803,SRR13301926
SAMN11953804,SRR13301927
SAMN11953805,SRR13301928
SAMN11953806,SRR13301951
SAMN11953807,SRR13301952
SAMN11953808,SRR13301953
SAMN11953809,SRR13301954
SAMN11953810,SRR13301955
SAMN11953811,SRR13301957
SAMN11953812,SRR13301929
SAMN11953813,SRR13301930
SAMN11953814,SRR13301931
SAMN11953815,SRR13301932
SAMN11953816,SRR13301958
SAMN11953817,SRR13301959
SAMN11953818,SRR13301960
SAMN11953819,SRR13301961
SAMN11953820,SRR13301962
SAMN11953821,SRR13301964
SAMN11953822,SRR13301933
SAMN11953823,SRR13301934
SAMN11953824,SRR13301935
SAMN11953825,SRR13301936
SAMN11953826,SRR13301965
SAMN11953827,SRR13301966
SAMN11953828,SRR13301967
SAMN11953829,SRR13301968
SAMN11953830,SRR13301969
SAMN11953831,SRR13301971
SAMN11953832,SRR13301937
SAMN11953833,SRR13301938
SAMN11953834,SRR13301939
SAMN11953835,SRR13301940
SAMN11953836,SRR13301972
SAMN11953837,SRR13301973
SAMN11953838,SRR13301974
SAMN11953839,SRR13301919
SAMN11953840,SRR13301920
SAMN11953841,SRR13301922
SAMN11953842,SRR13301941
SAMN11953843,SRR13301942
SAMN11953844,SRR13301943
SAMN11953845,SRR13301944
SAMN11953846,SRR13301945
SAMN11953847,SRR13301946
SAMN11953848,SRR13301947
SAMN11953849,SRR13301948
SAMN11953850,SRR13301949
SAMN11953851,SRR13302008
SAMN11953852,SRR13302007
SAMN11953853,SRR13301996
SAMN11953854,SRR13301985
SAMN11953855,SRR13301984
SAMN11953856,SRR13301983
SAMN11953857,SRR13301982
SAMN11953858,SRR13301981
SAMN11953859,SRR13301980
SAMN11953860,SRR13301979
SAMN11953861,SRR13302006
SAMN11953862,SRR13302005
SAMN11953863,SRR13302004
SAMN11953864,SRR13302003
SAMN11953865,SRR13302002
SAMN11953866,SRR13302001
SAMN11953867,SRR13302000
SAMN11953868,SRR19032633
SAMN11953869,SRR13301998
SAMN11953870,SRR13301997
SAMN11953871,SRR13301995
SAMN11953872,SRR13301994
SAMN11953873,SRR13301993
SAMN11953874,SRR13301992
SAMN11953875,SRR13301991
SAMN11953876,SRR13301990
SAMN11953877,SRR13301989
SAMN11953878,SRR13301988
SAMN11953879,SRR13301987
SAMN11953880,SRR19032632
SAMN15646444,SRR12337755
SAMN15646443,SRR12337764
SAMN15646438,SRR12337819
SAMN15646445,SRR12337754
SAMN15646440,SRR12337797
SAMN11954023,SRR13300992
SAMN11954024,SRR13300991
SAMN11954026,SRR13300989
SAMN11954027,SRR13300988
SAMN11953881,SRR13302038
SAMN11953882,SRR13302037
SAMN11953883,SRR13302030
SAMN11953884,SRR13302023
SAMN11953885,SRR13302022
SAMN11953886,SRR13302017
SAMN11953887,SRR13302018
SAMN11953888,SRR13302019
SAMN11953889,SRR13302020
SAMN11953890,SRR13302021
SAMN11953891,SRR13302036
SAMN11953892,SRR13302009
SAMN11953893,SRR13302010
SAMN11953894,SRR13302011
SAMN11953895,SRR13302012
SAMN11953896,SRR13302035
SAMN11953897,SRR13302034
SAMN11953898,SRR13302033
SAMN11953899,SRR13302032
SAMN11953900,SRR13302031
SAMN11953901,SRR13302029
SAMN11953902,SRR13302013
SAMN11953903,SRR13302014
SAMN11953904,SRR13302015
SAMN11953905,SRR13302016
SAMN11953906,SRR13302028
SAMN11953907,SRR13302027
SAMN11953908,SRR13302026
SAMN11953909,SRR13302025
SAMN11953910,SRR13302024
SAMN11954013,SRR13301013
SAMN11954014,SRR13301012
SAMN11954015,SRR13301011
SAMN11954016,SRR13301010
SAMN13353058,SRR10512737
SAMN13352749,SRR10512658
SAMN13352746,SRR10512663
SAMN13280705,SRR10438245
SAMN13352762,SRR10512681
SAMN13352754,SRR10512684
SAMN13353403,SRR10512948
SAMN13352868,SRR10512702
SAMN11031523,SRR8650405
SAMN13280295,SRR10438108
SAMN13353159,SRR10512773
SAMN13352802,SRR10512698
SAMN13353394,SRR10512940
SAMN11031562,SRR8648079
SAMN11030960,SRR8645405
SAMN13280068,SRR10438104
SAMN13352797,SRR10512682
SAMN13352796,SRR10512687
SAMN13353398,SRR10512934
SAMN13280838,SRR10438606
SAMN13290973,SRR10448287
SAMN13279974,SRR10438092
SAMN13280788,SRR10438310
SAMN13352751,SRR10512657
SAMN13353131,SRR10512757
SAMN13279971,SRR10438087
SAMN13352747,SRR10512662
SAMN13280836,SRR10438607
SAMN13352794,SRR10512689
SAMN13352800,SRR10512696
SAMN04101988,SRR2485281
SAMN07559608,SRR5989065
