ID,run_accession
SAMN04014842,SRR3112254
SAMN04014842,SRR3659426
SAMN04014842,SRR3666076
SAMN04014843,SRR4025841
SAMN04014843,SRR5146438
SAMN04014843,SRR5146439
SAMN04014843,SRR5146440
SAMN04014843,SRR5146441
SAMN04014844,SRR3112255
SAMN04014844,SRR3663628
SAMN04014844,SRR3666077
SAMN04014845,SRR3112256
SAMN04014845,SRR3666067
SAMN04014845,SRR3666072
SAMN04014845,SRR5658733
SAMN04014846,SRR3112257
SAMN04014846,SRR3666073
SAMN04014846,SRR5658721
SAMN04014847,SRR3112258
SAMN04014847,SRR6277506
SAMN04014847,SRR6277507
SAMN04014849,SRR4025842
SAMN04014851,SRR3112261
SAMN04014851,SRR3886566
SAMN04014852,SRR3112262
SAMN04014852,SRR6277528
SAMN04014853,SRR3112263
SAMN04014853,SRR3666070
SAMN04014854,SRR3112264
SAMN04014854,SRR7817825
SAMN04014854,SRR7817826
SAMN04014855,SRR3112265
SAMN04014855,SRR6277532
SAMN04014855,SRR6277533
SAMN04014856,SRR3112266
SAMN04014856,SRR6277537
SAMN04014856,SRR6277538
SAMN04014858,SRR3112268
SAMN04014858,SRR6278363
SAMN04014858,SRR6278364
SAMN04014860,SRR3112270
SAMN04014860,SRR6278372
SAMN04014860,SRR6278373
SAMN04014860,SRR6278374
SAMN04014861,SRR4025843
SAMN04014868,SRR3112277
SAMN04014868,SRR6703111
SAMN04014873,SRR3242004
SAMN04014873,SRR6985634
SAMN04014873,SRR6985635
SAMN04014874,SRR3112302
SAMN04014874,SRR3666032
SAMN04014875,SRR3112303
SAMN04014875,SRR3886561
SAMN04014875,SRR3886580
SAMN04014876,SRR3112304
SAMN04014876,SRR3886555
SAMN04014876,SRR3886578
SAMN04014876,SRR3886579
SAMN04014877,SRR3112305
SAMN04014877,SRR3666034
SAMN04014878,SRR3112306
SAMN04014878,SRR3666029
SAMN04014879,SRR3242005
SAMN04014879,SRR6994963
SAMN04014879,SRR6994964
SAMN04014880,SRR3112307
SAMN04014880,SRR3666075
SAMN04014881,SRR3112308
SAMN04014881,SRR3666074
SAMN04014882,SRR3112309
SAMN04014882,SRR3666071
SAMN04014883,SRR3112310
SAMN04014883,SRR3666033
SAMN04014884,SRR3112311
SAMN04014884,SRR3886558
SAMN04014884,SRR3886581
SAMN04014885,SRR3112312
SAMN04014886,SRR3112313
SAMN04014886,SRR3666035
SAMN04014887,SRR3112314
SAMN04014887,SRR7817848
SAMN04014888,SRR4025850
SAMN04014888,SRR5167852
SAMN04014888,SRR5167853
SAMN04014888,SRR5742186
SAMN04014888,SRR5742187
SAMN04014889,SRR3112315
SAMN04014889,SRR3878674
SAMN04014890,SRR4025851
SAMN04014890,SRR5146462
SAMN04014890,SRR5146463
SAMN04014890,SRR5146464
SAMN04014891,SRR4025852
SAMN04014891,SRR5167854
SAMN04014891,SRR5167855
SAMN04014891,SRR5740325
SAMN04014891,SRR5740326
SAMN04014892,SRR3242006
SAMN04014893,SRR3242007
SAMN04014893,SRR6807653
SAMN04014893,SRR6807654
SAMN04014893,SRR6807655
SAMN04014894,SRR4025853
SAMN04014894,SRR5167856
SAMN04014894,SRR5167857
SAMN04014894,SRR5740335
SAMN04014894,SRR5740336
SAMN04014895,SRR3112316
SAMN04014895,SRR3886564
SAMN04014895,SRR3886584
SAMN04014896,SRR4025854
SAMN04014896,SRR5167858
SAMN04014896,SRR5167859
SAMN04014896,SRR5750769
SAMN04014896,SRR5750770
SAMN04014897,SRR3242008
SAMN04014897,SRR6703120
SAMN04014897,SRR6799415
SAMN04014897,SRR6799416
SAMN04014899,SRR4025855
SAMN04014899,SRR5168210
SAMN04014899,SRR5168211
SAMN04014899,SRR5749732
SAMN04014901,SRR3112317
SAMN04014901,SRR6703154
SAMN04014902,SRR4025857
SAMN04014902,SRR5168215
SAMN04014902,SRR5168216
SAMN04014902,SRR5740774
SAMN04014902,SRR5740776
SAMN04014904,SRR3242011
SAMN04014904,SRR6703157
SAMN04014904,SRR6703158
SAMN04014905,SRR3290649
SAMN04014905,SRR3666066
SAMN04014906,SRR4025858
SAMN04014906,SRR5168219
SAMN04014906,SRR5168220
SAMN04014906,SRR5740793
SAMN04014906,SRR5740794
SAMN04014907,SRR3112320
SAMN04014907,SRR6703159
SAMN04014907,SRR6703160
SAMN04014908,SRR3290650
SAMN04014908,SRR7817909
SAMN04014909,SRR3242012
SAMN04014909,SRR5168221
SAMN04014909,SRR5168222
SAMN04014909,SRR5740848
SAMN04014909,SRR5740849
SAMN04014910,SRR4025859
SAMN04014910,SRR5168223
SAMN04014910,SRR5168224
SAMN04014910,SRR5740850
SAMN04014911,SRR3242013
SAMN04014911,SRR6799410
SAMN04014911,SRR6799411
SAMN04014911,SRR6799412
SAMN04014913,SRR3290651
SAMN04014913,SRR6702940
SAMN04014913,SRR6702941
SAMN04014914,SRR3112323
SAMN04014914,SRR7819368
SAMN04014914,SRR7819369
SAMN04014916,SRR3112324
SAMN04014916,SRR7818144
SAMN04014917,SRR3112325
SAMN04014917,SRR7818145
SAMN04014918,SRR3112326
SAMN04014918,SRR6703161
SAMN04014919,SRR3242016
SAMN04014919,SRR6703494
SAMN04014920,SRR3112327
SAMN04014920,SRR7012899
SAMN04014921,SRR3112328
SAMN04014921,SRR6817614
SAMN04014922,SRR3112329
SAMN04014922,SRR6817615
SAMN04014924,SRR3242017
SAMN04014924,SRR6818604
SAMN04014925,SRR3242018
SAMN04014926,SRR3112331
SAMN04014926,SRR7252659
SAMN04014927,SRR3112332
SAMN04014927,SRR7818146
SAMN04014928,SRR3290653
SAMN04014928,SRR7252660
SAMN04014929,SRR3242022
SAMN04014929,SRR6818605
SAMN04014930,SRR3112334
SAMN04014930,SRR7818258
SAMN04014931,SRR3112335
SAMN04014931,SRR3886562
SAMN04014931,SRR3886563
SAMN04014931,SRR3886565
SAMN04014932,SRR3242023
SAMN04014932,SRR6818689
SAMN04014933,SRR3112336
SAMN04014933,SRR3666068
SAMN04014934,SRR3242024
SAMN04014934,SRR6818706
SAMN04014935,SRR3112337
SAMN04014935,SRR3886583
SAMN04014936,SRR3242025
SAMN04014936,SRR6818871
SAMN04014936,SRR6818872
SAMN04014936,SRR6818873
SAMN04014936,SRR6818874
SAMN04014936,SRR6818875
SAMN04014937,SRR4025860
SAMN04014937,SRR6818716
SAMN04014938,SRR3112338
SAMN04014938,SRR7818323
SAMN04014939,SRR4025861
SAMN04014939,SRR5168231
SAMN04014939,SRR5168232
