ID,run_accession
SAMD00126459,DRR148222
SAMD00126467,DRR148230
SAMD00126466,DRR148229
SAMD00126457,DRR148220
SAMD00126460,DRR148223
SAMD00126463,DRR148226
SAMD00126464,DRR148227
SAMD00126461,DRR148224
SAMD00126458,DRR148221
SAMD00126462,DRR148225
SAMD00126465,DRR148228
SAMEA103950018,ERR1912183
SAMEA103950019,ERR1912184
SAMEA103950020,ERR1912185
SAMEA103950021,ERR1912186
SAMEA103950022,ERR1912187
SAMEA103950023,ERR1912188
SAMEA103950024,ERR1912189
SAMEA103950025,ERR1912190
SAMEA103950026,ERR1912191
SAMEA103950027,ERR1912192
SAMEA103950028,ERR1912193
SAMEA103950029,ERR1912194
SAMEA103950030,ERR1912195
SAMEA103950031,ERR1912196
SAMEA103950032,ERR1912197
SAMEA103950033,ERR1912198
SAMEA103950034,ERR1912199
SAMEA103950035,ERR1912200
SAMEA103950036,ERR1912201
SAMEA103950037,ERR1912202
SAMEA103950038,ERR1912203
SAMEA103950039,ERR1912204
SAMEA103950040,ERR1912205
SAMEA103950041,ERR1912206
SAMEA103950042,ERR1912207
SAMEA103950043,ERR1912208
SAMEA103950044,ERR1912209
SAMEA103950048,ERR1912210
SAMEA103950049,ERR1912211
SAMEA103950050,ERR1912212
SAMEA103950051,ERR1912213
SAMEA103950052,ERR1912214
SAMEA103950053,ERR1912215
SAMEA103950054,ERR1912216
SAMEA103950056,ERR1912218
SAMEA103950057,ERR1912219
SAMEA103950058,ERR1912220
SAMEA103950059,ERR1912221
SAMEA103950060,ERR1912222
SAMEA103950061,ERR1912223
SAMEA103950062,ERR1912224
SAMEA103950063,ERR1912225
SAMEA103950064,ERR1912226
SAMEA103950065,ERR1912227
SAMEA103950066,ERR1912228
SAMEA103950067,ERR1912229
SAMEA103950068,ERR1912230
SAMEA103950069,ERR1912231
SAMEA103950070,ERR1912232
SAMEA103950071,ERR1912233
SAMEA103950072,ERR1912234
SAMEA103950073,ERR1912235
SAMEA103950074,ERR1912236
SAMEA103950075,ERR1912237
SAMEA103950076,ERR1912238
SAMEA104030496,ERR2099818
SAMEA104030497,ERR2099823
SAMEA104030498,ERR2099819
SAMEA104030499,ERR2099820
SAMEA104030500,ERR2099821
SAMEA104030501,ERR2099822
SAMEA104030502,ERR2003327
SAMEA104030503,ERR2003328
SAMEA104030504,ERR2003329
SAMEA104030505,ERR2003330
SAMEA104030506,ERR2003331
SAMEA104030507,ERR2003332
SAMEA104030508,ERR2003333
SAMEA104030509,ERR2003334
SAMEA104030510,ERR2003335
SAMEA104030511,ERR2003336
SAMEA104030512,ERR2003337
SAMEA104030513,ERR2003338
SAMEA104030514,ERR2003339
SAMEA104030515,ERR2003340
SAMEA104030516,ERR2003341
SAMEA104030517,ERR2003342
SAMEA104030518,ERR2003343
SAMEA104030519,ERR2003344
SAMEA104030520,ERR2003345
SAMEA104030521,ERR2003346
SAMEA104030522,ERR2003347
SAMEA104030523,ERR2003348
SAMEA104030524,ERR2003349
SAMEA104030525,ERR2003350
SAMEA104030526,ERR2003351
SAMEA104030527,ERR2003352
SAMEA104030528,ERR2003353
SAMEA104030529,ERR2003354
SAMEA104030530,ERR2003355
SAMEA104030531,ERR2003356
SAMEA104030532,ERR2003357
SAMEA104030533,ERR2003358
SAMEA104030534,ERR2003359
SAMEA104030535,ERR2003360
SAMEA104030536,ERR2003361
SAMEA104030537,ERR2003362
SAMEA104030538,ERR2003363
SAMEA104030539,ERR2003364
SAMEA104030540,ERR2003365
SAMEA104128270,ERR2010877
SAMEA104128271,ERR2010878
SAMEA104128272,ERR2010879
SAMEA104128273,ERR2010880
SAMEA104128274,ERR2010881
SAMEA104128275,ERR2010882
SAMEA104128276,ERR2010883
SAMEA104128277,ERR2010884
SAMEA104128278,ERR2010885
SAMEA104128279,ERR2010886
SAMEA104128280,ERR2010887
SAMEA104128281,ERR2010888
SAMEA104128282,ERR2010889
SAMEA104128283,ERR2010890
SAMEA104128284,ERR2010891
SAMEA104128285,ERR2010892
SAMEA104128286,ERR2010893
SAMEA104128287,ERR2010894
SAMEA104128288,ERR2010895
SAMEA104128289,ERR2010896
SAMEA104128290,ERR2010897
SAMEA104128291,ERR2010898
SAMEA104128292,ERR2010899
SAMEA104128293,ERR2010900
SAMEA104128294,ERR2010901
SAMEA104128295,ERR2010902
SAMEA104128296,ERR2010903
SAMEA104128297,ERR2010904
SAMEA104128298,ERR2010905
SAMEA104128299,ERR2010906
SAMEA104128300,ERR2010907
SAMEA104128301,ERR2010908
SAMEA104128302,ERR2010909
SAMEA104128303,ERR2010910
SAMEA104128304,ERR2010911
SAMEA104128305,ERR2010912
SAMEA104128306,ERR2010913
SAMEA104128307,ERR2010914
SAMEA104128308,ERR2010915
SAMEA104128309,ERR2010916
SAMEA104128310,ERR2010917
SAMEA104128311,ERR2010918
SAMEA104128312,ERR2010919
SAMEA104128313,ERR2010920
SAMEA104128314,ERR2010921
SAMEA104128315,ERR2010922
SAMEA104128316,ERR2010923
SAMEA104128317,ERR2010924
SAMEA104128318,ERR2010925
SAMEA104128319,ERR2010926
SAMEA104128320,ERR2010927
SAMEA104128321,ERR2010928
SAMEA104128322,ERR2010929
SAMEA104128323,ERR2010930
SAMEA104128324,ERR2010931
SAMEA104128325,ERR2010932
SAMEA104128326,ERR2010933
SAMEA104128327,ERR2010934
SAMEA104128328,ERR2010935
SAMEA104128329,ERR2010936
SAMEA104128330,ERR2010937
SAMEA104128331,ERR2010938
SAMEA104128332,ERR2010939
SAMEA104128333,ERR2010940
SAMEA104128334,ERR2010941
SAMEA104128335,ERR2010942
SAMEA104128336,ERR2010943
SAMEA104128337,ERR2010944
SAMEA104128338,ERR2010945
SAMEA104128339,ERR2010946
SAMEA104128340,ERR2010947
SAMEA104128341,ERR2010948
SAMEA104128342,ERR2010949
SAMEA104128343,ERR2010950
SAMEA104128344,ERR2010951
SAMEA104128345,ERR2010952
SAMEA104128346,ERR2010953
SAMEA104128347,ERR2010954
SAMEA104128348,ERR2010955
SAMEA104128349,ERR2010956
SAMEA104128350,ERR2010957
SAMEA104128351,ERR2010958
SAMEA104128352,ERR2010959
SAMEA104128353,ERR2010960
SAMEA104128354,ERR2010961
SAMEA104128355,ERR2010962
SAMEA104128356,ERR2010963
SAMEA104128357,ERR2010964
SAMEA104128358,ERR2010965
SAMEA104128359,ERR2010966
SAMEA104128360,ERR2010967
SAMEA104128361,ERR2010968
SAMEA104128362,ERR2010969
SAMEA104128363,ERR2010970
SAMEA104128364,ERR2010971
SAMEA104128365,ERR2010972
SAMEA104128366,ERR2010973
SAMEA104128367,ERR2010974
SAMEA104128368,ERR2010975
SAMEA104128369,ERR2010976
SAMEA104128370,ERR2010977
SAMEA104128371,ERR2010978
SAMEA104175498,ERR2044145
SAMEA104175504,ERR2044146
SAMEA104188715,ERR2060067
SAMN02777642,SRR1514746
SAMN02777645,SRR1514768
SAMN02777646,SRR1514724
SAMN02777647,SRR1514721
SAMN02777653,SRR1525269
SAMN02777669,SRR1637072
SAMN02777670,SRR1637052
SAMN02777674,SRR1636987
SAMN02777744,SRR1752833
SAMN02777772,SRR1783171
SAMN02777794,SRR1783204
SAMN02777824,SRR1805574
SAMN02777826,SRR1805653
SAMN02777827,SRR1813446
SAMN02777834,SRR1813455
SAMN03275952,SRR1946938
SAMN03275987,SRR1951843
SAMN03276083,SRR2070987
SAMN04224494,SRR3223755
SAMN02699187,SRR3664968
SAMN02699188,SRR3664970
SAMN02699189,SRR3664971
SAMN02699190,SRR3664974
SAMN02699191,SRR3664976
SAMN02699192,SRR3664978
SAMN02699193,SRR3664982
SAMN02699194,SRR3664984
SAMN02699195,SRR3664999
SAMN02699196,SRR3665000
SAMN02699197,SRR3665004
SAMN02699198,SRR3665011
SAMN02699199,SRR3665012
SAMN02699200,SRR3665016
SAMN02699201,SRR3665018
SAMN02699202,SRR3665021
SAMN02699203,SRR3665023
SAMN02699204,SRR3665024
SAMN02699205,SRR3665027
SAMN02699206,SRR3665029
SAMN02699207,SRR3665037
SAMN02699208,SRR3665038
SAMN02699209,SRR3665039
SAMN02699210,SRR3665042
SAMN02699211,SRR3665043
SAMN02699212,SRR3665044
SAMN02699213,SRR3665051
SAMN02699214,SRR3665054
SAMN02699215,SRR3665059
SAMN02699216,SRR3665064
SAMN02699217,SRR3665072
SAMN02699218,SRR3665078
SAMN02699219,SRR3665080
SAMN02699220,SRR3665082
SAMN02699221,SRR3665086
SAMN02699222,SRR3665088
SAMN02699223,SRR3665092
SAMN02699224,SRR3665094
SAMN02699225,SRR3665102
SAMN02699226,SRR3665105
SAMN02699227,SRR3665110
SAMN02699228,SRR3665114
SAMN02699229,SRR3665115
SAMN02699230,SRR3665119
SAMN02699231,SRR3665127
SAMN02699232,SRR3665129
SAMN02699233,SRR3665130
SAMN02699234,SRR3665132
SAMN02699235,SRR3665137
SAMN02699236,SRR3665144
SAMN02699237,SRR3665145
SAMN02699238,SRR3665146
SAMN02699239,SRR3665147
SAMN02699240,SRR3665149
SAMN02699241,SRR3665150
SAMN02699242,SRR3665153
SAMN02699243,SRR3665157
SAMN02699244,SRR3665171
SAMN02699245,SRR3665173
SAMN02699246,SRR3665177
SAMN02699247,SRR3665180
SAMN02699248,SRR3665183
SAMN02699249,SRR3665186
SAMN02699250,SRR3665187
SAMN02699251,SRR3665188
SAMN02699252,SRR3665190
SAMN02699253,SRR3665191
SAMN02699254,SRR3665199
SAMN02699255,SRR3665204
SAMN02699256,SRR3665208
SAMN02699257,SRR3665209
SAMN02699258,SRR3665217
SAMN02699259,SRR3665226
SAMN02699260,SRR3665227
SAMN02699261,SRR3665233
SAMN02699262,SRR3665235
SAMN02699263,SRR3665240
SAMN02699264,SRR3665260
SAMN02699265,SRR3665263
SAMN02699266,SRR3665270
SAMN02699267,SRR3665271
SAMN02699268,SRR3665278
SAMN02699269,SRR3665284
SAMN02699270,SRR3665291
SAMN02699271,SRR3665294
SAMN02699272,SRR3665303
SAMN02699273,SRR3665306
SAMN02699274,SRR3665309
SAMN02699275,SRR3665311
SAMN02699276,SRR3665313
SAMN02699277,SRR3665314
SAMN02699278,SRR3665316
SAMN02699279,SRR3664606
SAMN02699280,SRR3664609
SAMN02699281,SRR3664613
SAMN02699282,SRR3664616
SAMN02699283,SRR3664618
SAMN02699284,SRR3664619
SAMN02699285,SRR3664622
SAMN02699286,SRR3664626
SAMN02699287,SRR3664627
SAMN02699288,SRR3664628
SAMN02699289,SRR3664630
SAMN02699290,SRR3664631
SAMN02699291,SRR3664633
SAMN02699292,SRR3664639
SAMN02699293,SRR3664642
SAMN02699294,SRR3664643
SAMN02699295,SRR3664648
SAMN02699296,SRR3664650
SAMN02699297,SRR3664651
SAMN02699298,SRR3664660
SAMN02699299,SRR3664666
SAMN02699300,SRR3664667
SAMN02699301,SRR3664671
SAMN02699302,SRR3664674
SAMN02699303,SRR3664678
SAMN02699304,SRR3664682
SAMN02699305,SRR3664686
SAMN02699306,SRR3664700
SAMN02699307,SRR3664701
SAMN02699308,SRR3664718
SAMN02699309,SRR3664721
SAMN02699310,SRR3664726
SAMN02699311,SRR3664727
SAMN02699312,SRR3664733
SAMN02699313,SRR3664734
SAMN02699314,SRR3664736
SAMN02699315,SRR3664741
SAMN02699316,SRR3664743
SAMN02699317,SRR3664744
SAMN02699318,SRR3664752
SAMN02699319,SRR3664765
SAMN02699320,SRR3664770
SAMN02699321,SRR3664772
SAMN02699322,SRR3664783
SAMN02699323,SRR3664792
SAMN02699324,SRR3664796
SAMN02699325,SRR3664802
SAMN02699326,SRR3664803
SAMN02699327,SRR3664815
SAMN02699328,SRR3664816
SAMN02699329,SRR3664825
SAMN02699330,SRR3664830
SAMN02699331,SRR3664834
SAMN02699332,SRR3664836
SAMN02699333,SRR3664839
SAMN02699334,SRR3664843
SAMN02699335,SRR3664854
SAMN02699336,SRR3664859
SAMN02699337,SRR3664860
