sample_accession,run_accession
SAMN11959357,SRR9207848
SAMN11959358,SRR9207849
SAMN11959359,SRR9207853
SAMN11959360,SRR9207851
SAMN11959361,SRR9207846
SAMN11959353,SRR9207852
SAMN11959354,SRR9207850
SAMN11959355,SRR9207854
SAMN11959356,SRR9207855
SAMN10037179,SRR7821186
SAMN10037180,SRR7821185
SAMN10037181,SRR7821188
SAMN10037182,SRR7821187
SAMN10037183,SRR7821190
SAMN10037184,SRR7821189
SAMN10037185,SRR7821192
SAMN10037186,SRR7821191
SAMN10037187,SRR7821184
SAMN10037188,SRR7821183
SAMN10037189,SRR7821182
SAMN08362301,SRR6495259
SAMN08558051,SRR6743237
SAMN04452136,SRR3138692
SAMN04452138,SRR3138688
SAMN04452143,SRR3138689
SAMN04452145,SRR3138680
SAMN04489855,SRR3170074
SAMN04452146,SRR3138674
SAMN04452154,SRR3138690
SAMN04461483,SRR3147874
SAMN04461484,SRR3148207
SAMN04461469,SRR3148239
SAMN04461488,SRR3148211
SAMN04461491,SRR3148210
SAMN04461493,SRR3148206
SAMN04461495,SRR3147792
SAMN04461497,SRR3148209
SAMN04461499,SRR3147789
SAMN04495820,SRR3171607
SAMN04495827,SRR3171753
SAMN04495828,SRR3171752
SAMN04495836,SRR3171751
SAMN04495837,SRR3171755
SAMN04495840,SRR3171760
SAMN04495842,SRR3171759
SAMN04495843,SRR3171754
SAMN04514638,SRR3185259
SAMN04514640,SRR3185250
SAMN04514642,SRR3185261
SAMN04514648,SRR3185257
SAMN04514650,SRR3185262
SAMN04514651,SRR3185982
SAMN04508225,SRR3183466
SAMN04508227,SRR3183447
SAMN04508228,SRR3183485
SAMN04508230,SRR3183454
SAMN04508232,SRR3183464
SAMN04508233,SRR3183455
SAMN04508234,SRR3183480
SAMN04508239,SRR3183469
SAMN04508240,SRR3183456
SAMN04508243,SRR3183470
SAMN04508245,SRR3183465
SAMN04508246,SRR3183473
SAMN04508248,SRR3183460
SAMN04508249,SRR3183486
SAMN04508253,SRR3183450
SAMN04508254,SRR3183474
SAMN04508255,SRR3183461
SAMN04508257,SRR3183475
SAMN04521106,SRR3194379
SAMN04524176,SRR3196685
SAMN04524179,SRR3196681
SAMN04524181,SRR3196684
SAMN04524183,SRR3196680
SAMN04524188,SRR3196140
SAMN04524190,SRR3196688
SAMN04524193,SRR3196144
SAMN04524195,SRR3196145
SAMN04524196,SRR3196131
SAMN04524197,SRR3196682
SAMN04524199,SRR3196139
SAMN04528885,SRR3201103
SAMN04528886,SRR3201104
SAMN04528891,SRR3201109
SAMN04526072,SRR3199477
SAMN04528895,SRR3201113
SAMN04528896,SRR3201114
SAMN04528897,SRR3201115
SAMN04528901,SRR3201118
SAMN04528905,SRR3201122
SAMN04536997,SRR3209818
SAMN04536999,SRR3209761
SAMN04537000,SRR3209765
SAMN04537004,SRR3209821
SAMN04537005,SRR3209762
SAMN04537007,SRR3209768
SAMN04543681,SRR3215138
SAMN04543682,SRR3215110
SAMN04543685,SRR3215126
SAMN04543689,SRR3215129
SAMN04543692,SRR3215130
SAMN04543695,SRR3215122
SAMN04543699,SRR3215133
