ID,run_accession
SAMEA1317920,ERR119659
SAMEA1317922,ERR119668
SAMEA1317924,ERR119664
SAMEA1317927,ERR119660
SAMEA1317930,ERR119671
SAMEA1317931,ERR119670
SAMEA1317937,ERR119679
SAMEA1317939,ERR119657
SAMEA1465988,ERR110082
SAMEA1466008,ERR110081
SAMEA1466011,ERR110100
SAMEA1466028,ERR110102
SAMEA1466052,ERR110086
SAMEA1466056,ERR110067
SAMEA1466082,ERR110098
SAMEA1709744,ERR249288
SAMEA1709749,ERR249218
SAMEA1709843,ERR249297
SAMEA1709848,ERR249294
SAMEA1709886,ERR249292
SAMN00114925,SRR067595
SAMN00114927,SRR067597
SAMN00114927,SRR073130
SAMN00114928,SRR067599
SAMN00114928,SRR073131
SAMN00761203,SRR387244
SAMN00761214,SRR387295
SAMN00761216,SRR387297
SAMN00761220,SRR387301
SAMN00761221,SRR387302
SAMN00761222,SRR387303
SAMN00761224,SRR387305
SAMN00761225,SRR387306
SAMN00761226,SRR387307
SAMN00761227,SRR387308
SAMN00761228,SRR387309
SAMN00761229,SRR387310
SAMN00761237,SRR387318
SAMN00761238,SRR387319
SAMN00761242,SRR387323
SAMN00761243,SRR387324
SAMN00761247,SRR387328
SAMN00761249,SRR387330
SAMN02370992,SRR1006421
SAMN02371021,SRR1008836
SAMN02371021,SRR1008837
SAMN02371022,SRR1008838
SAMN02371022,SRR1008839
SAMN02371023,SRR1008840
SAMN02371023,SRR1201010
SAMN02371023,SRR1201011
SAMN02371023,SRR1201012
SAMN02371024,SRR1008841
SAMN02371025,SRR1008842
SAMN02371025,SRR1008843
SAMN02371026,SRR1008844
SAMN02371026,SRR1008845
SAMN02371027,SRR1008846
SAMN02371027,SRR1008847
SAMN02371027,SRR1008848
SAMN02371028,SRR1008849
SAMN02371028,SRR1008850
SAMN02371029,SRR1008851
SAMN02371029,SRR1008852
SAMN02371030,SRR1008853
SAMN02371031,SRR1008854
SAMN02371031,SRR1008855
SAMN02371032,SRR1008856
SAMN02371033,SRR1008857
SAMN02371033,SRR1201013
SAMN02371033,SRR1201014
SAMN02371033,SRR1201015
SAMN02371034,SRR1008858
SAMN02371035,SRR1008859
SAMN02371037,SRR1008861
SAMN02371038,SRR1008862
SAMN02371038,SRR1008863
SAMN02371039,SRR1008864
SAMN02371039,SRR1008865
SAMN02371040,SRR1008866
SAMN02371040,SRR1008867
SAMN02371041,SRR1008868
SAMN02371042,SRR1008869
SAMN02371043,SRR1008870
SAMN02371045,SRR1008872
SAMN02371045,SRR1008873
SAMN02371046,SRR1008874
SAMN02371047,SRR1008875
SAMN02371047,SRR1008876
SAMN02371048,SRR1008877
SAMN02371049,SRR1008878
SAMN02371050,SRR1008879
SAMN02371052,SRR1008882
SAMN02371053,SRR1008883
SAMN02371054,SRR1008884
SAMN02371055,SRR1008885
SAMN02371056,SRR1008886
SAMN02371057,SRR1008887
SAMN02371057,SRR1008888
SAMN02371057,SRR10997021
SAMN02371058,SRR1008889
SAMN02371059,SRR1008890
SAMN02371059,SRR1008891
SAMN02379548,SRR1014895
SAMN02380461,SRR1015203
SAMN02380461,SRR1015204
SAMN02380462,SRR1015205
SAMN02380463,SRR1015206
SAMN02380463,SRR1015207
SAMN02380496,SRR1015230
SAMN02380496,SRR1201007
SAMN02380496,SRR1201008
SAMN02380496,SRR1201009
SAMN02380497,SRR1015231
SAMN02380498,SRR1015232
SAMN02380498,SRR1015233
SAMN02380499,SRR1015234
SAMN02380500,SRR1015235
SAMN02380500,SRR1015236
SAMN02380502,SRR1015238
SAMN02380502,SRR1015239
SAMN02380504,SRR1015242
SAMN02380504,SRR1015243
SAMN02380506,SRR1015246
SAMN02380506,SRR1015247
SAMN02380507,SRR1015248
SAMN02380507,SRR1015249
SAMN02380507,SRR1015250
SAMN02380508,SRR1015262
SAMN02380508,SRR1015263
SAMN02380509,SRR1015264
SAMN02380510,SRR1015266
SAMN02380510,SRR1015267
SAMN02380511,SRR1015268
SAMN02380513,SRR1015270
SAMN02380514,SRR1015272
SAMN02380515,SRR1015273
SAMN02380515,SRR1015274
SAMN02380516,SRR1015275
SAMN02380521,SRR1015281
SAMN02380522,SRR1015283
SAMN02380522,SRR1015284
SAMN02380523,SRR1015287
SAMN02380523,SRR1015288
SAMN02380524,SRR1015289
SAMN02380524,SRR1015290
SAMN02380525,SRR1015291
SAMN02380525,SRR1015292
SAMN02380526,SRR1015295
SAMN02380527,SRR1015296
SAMN02380527,SRR1015297
SAMN02380528,SRR1015299
SAMN02380531,SRR1015318
SAMN02380532,SRR1015319
SAMN02380532,SRR1015320
SAMN02380532,SRR10997019
SAMN02384921,SRR1019231
SAMN02384922,SRR1019232
SAMN02384923,SRR1019233
SAMN02384924,SRR1019234
SAMN02384926,SRR1019243
SAMN02384927,SRR1019244
SAMN02384928,SRR1019245
SAMN02384929,SRR1019246
SAMN02385026,SRR1019249
SAMN02385027,SRR1019250
SAMN02385027,SRR1019251
SAMN02385028,SRR1019252
SAMN02385029,SRR1019253
SAMN02385032,SRR1019256
SAMN02385035,SRR1019260
SAMN02385036,SRR1019263
SAMN02385037,SRR1019264
SAMN02385039,SRR1019268
SAMN02385040,SRR1019269
SAMN02385041,SRR1019273
SAMN02385042,SRR1019274
SAMN02385042,SRR1201286
SAMN02385042,SRR1201287
SAMN02385045,SRR1019287
SAMN02385046,SRR1019288
SAMN02385047,SRR1019293
SAMN02385048,SRR1019298
SAMN02385049,SRR1019301
SAMN02404477,SRR1030397
SAMN02404477,SRR10997018
SAMN02404478,SRR1030398
SAMN02404479,SRR1030399
SAMN02404480,SRR1030400
SAMN02404481,SRR1030401
SAMN02404482,SRR1030402
SAMN02404483,SRR1030403
SAMN02404484,SRR1030404
SAMN02404484,SRR1201016
SAMN02404484,SRR1201017
SAMN02404484,SRR1201018
SAMN02404485,SRR1030405
SAMN02404486,SRR1030406
SAMN02404489,SRR1030410
SAMN02404490,SRR1030411
SAMN02404491,SRR1030412
SAMN02404492,SRR1030413
SAMN02404493,SRR1030418
SAMN02404494,SRR1030419
SAMN02404495,SRR1030420
SAMN02404495,SRR1030421
SAMN02404496,SRR1030454
SAMN02404496,SRR1201258
SAMN02404496,SRR1201259
SAMN02404496,SRR1201260
SAMN02404523,SRR1030455
SAMN02404523,SRR1030456
SAMN02404524,SRR1030457
SAMN02404525,SRR1030458
SAMN02404526,SRR1030459
SAMN02404529,SRR1030465
SAMN02404530,SRR1030466
SAMN02404531,SRR1030468
SAMN02404532,SRR1030469
SAMN02404532,SRR1030470
SAMN02404533,SRR1030471
SAMN02404534,SRR1030472
SAMN02404535,SRR1030473
SAMN02404536,SRR1030474
SAMN02404536,SRR1030475
SAMN02404537,SRR1030476
SAMN02404537,SRR1030477
SAMN02404540,SRR1030480
SAMN02404541,SRR1030481
SAMN02404542,SRR1030482
SAMN02404543,SRR1030484
SAMN02404544,SRR1030485
SAMN02404545,SRR1030486
SAMN02404545,SRR1030487
SAMN02404546,SRR1030488
SAMN02415037,SRR1033694
SAMN02415038,SRR1033695
SAMN02415039,SRR1033696
SAMN02415039,SRR10997017
SAMN02415040,SRR1033697
SAMN02415042,SRR1033699
SAMN02415044,SRR1033701
SAMN02415045,SRR1033702
SAMN02415046,SRR1033703
SAMN02415047,SRR1033704
SAMN02415048,SRR1033705
SAMN02415050,SRR1033707
SAMN02415052,SRR1033709
SAMN02415053,SRR1033710
SAMN02415054,SRR1033711
SAMN02415055,SRR1033712
SAMN02415056,SRR1033713
SAMN02415057,SRR1033714
SAMN02415059,SRR1033716
SAMN02415059,SRR1201019
SAMN02415059,SRR1201020
SAMN02415059,SRR1201021
SAMN02415060,SRR1033717
SAMN02415061,SRR1033718
SAMN02415062,SRR1033719
SAMN02415063,SRR1033720
SAMN02415065,SRR1033722
SAMN02415066,SRR1033723
SAMN02415067,SRR1033724
SAMN02415067,SRR1033725
SAMN02415068,SRR1033726
SAMN02415069,SRR1033727
