ID,run_accession
SAMN02360656,SRR1014018
SAMN02360656,SRR1014019
SAMN02360656,SRR1014020
SAMN02360656,SRR1014021
SAMN02360656,SRR1014022
SAMN02360656,SRR1014023
SAMN02360658,SRR1014545
SAMN02360658,SRR1014546
SAMN02360658,SRR1014547
SAMN02360658,SRR1014548
SAMN02360658,SRR1014549
SAMN02360658,SRR1014550
SAMN02360659,SRR1014539
SAMN02360659,SRR1014540
SAMN02360659,SRR1014541
SAMN02360659,SRR1014542
SAMN02360659,SRR1014543
SAMN02360659,SRR1014544
SAMN02360660,SRR1014468
SAMN02360660,SRR1014469
SAMN02360660,SRR1014470
SAMN02360660,SRR1014471
SAMN02360660,SRR1014472
SAMN02360660,SRR1014473
SAMN02360661,SRR1014456
SAMN02360661,SRR1014457
SAMN02360661,SRR1014458
SAMN02360661,SRR1014459
SAMN02360661,SRR1014460
SAMN02360661,SRR1014461
SAMN02360662,SRR1014462
SAMN02360662,SRR1014463
SAMN02360662,SRR1014464
SAMN02360662,SRR1014465
SAMN02360662,SRR1014466
SAMN02360662,SRR1014467
SAMN02360663,SRR1014474
SAMN02360663,SRR1014475
SAMN02360663,SRR1014476
SAMN02360663,SRR1014477
SAMN02360663,SRR1014478
SAMN02360663,SRR1014479
SAMN02360664,SRR1014586
SAMN02360664,SRR1014587
SAMN02360664,SRR1014588
SAMN02360664,SRR1014589
SAMN02360664,SRR1014590
SAMN02360664,SRR1014591
SAMN02360665,SRR1014574
SAMN02360665,SRR1014575
SAMN02360665,SRR1014576
SAMN02360665,SRR1014577
SAMN02360665,SRR1014578
SAMN02360665,SRR1014579
SAMN02360666,SRR1014562
SAMN02360666,SRR1014563
SAMN02360666,SRR1014564
SAMN02360666,SRR1014565
SAMN02360666,SRR1014566
SAMN02360666,SRR1014567
SAMN02360667,SRR1014498
SAMN02360667,SRR1014499
SAMN02360667,SRR1014500
SAMN02360667,SRR1014501
SAMN02360667,SRR1014502
SAMN02360667,SRR1014503
SAMN02360668,SRR1014568
SAMN02360668,SRR1014569
SAMN02360668,SRR1014570
SAMN02360668,SRR1014571
SAMN02360668,SRR1014572
SAMN02360668,SRR1014573
SAMN02360669,SRR1014006
SAMN02360669,SRR1014007
SAMN02360669,SRR1014008
SAMN02360669,SRR1014009
SAMN02360669,SRR1014010
SAMN02360669,SRR1014011
SAMN02360670,SRR1014012
SAMN02360670,SRR1014013
SAMN02360670,SRR1014014
SAMN02360670,SRR1014015
SAMN02360670,SRR1014016
SAMN02360670,SRR1014017
SAMN02360671,SRR1014556
SAMN02360671,SRR1014557
SAMN02360671,SRR1014558
SAMN02360671,SRR1014559
SAMN02360671,SRR1014560
SAMN02360671,SRR1014561
SAMN02360672,SRR1014580
SAMN02360672,SRR1014581
SAMN02360672,SRR1014582
SAMN02360672,SRR1014583
SAMN02360672,SRR1014584
SAMN02360672,SRR1014585
SAMN02360673,SRR1014205
SAMN02360673,SRR1014206
SAMN02360673,SRR1014207
SAMN02360673,SRR1014208
SAMN02360673,SRR1014209
SAMN02360673,SRR1014210
SAMN02360674,SRR1014211
SAMN02360674,SRR1014212
SAMN02360674,SRR1014213
SAMN02360674,SRR1014214
SAMN02360674,SRR1014215
SAMN02360674,SRR1014216
SAMN02360675,SRR1014217
SAMN02360675,SRR1014218
SAMN02360675,SRR1014219
SAMN02360675,SRR1014220
SAMN02360675,SRR1014221
SAMN02360675,SRR1014222
SAMN02360676,SRR1014223
SAMN02360676,SRR1014224
SAMN02360676,SRR1014225
SAMN02360676,SRR1014226
SAMN02360676,SRR1014227
SAMN02360676,SRR1014228
SAMN02360678,SRR1014235
SAMN02360678,SRR1014236
SAMN02360678,SRR1014237
SAMN02360678,SRR1014238
SAMN02360678,SRR1014239
SAMN02360678,SRR1014240
SAMN02360679,SRR1014241
SAMN02360679,SRR1014242
SAMN02360679,SRR1014243
SAMN02360679,SRR1014244
SAMN02360679,SRR1014245
SAMN02360679,SRR1014246
SAMN02360680,SRR1014248
SAMN02360680,SRR1014249
SAMN02360680,SRR1014250
SAMN02360680,SRR1014251
SAMN02360680,SRR1014252
SAMN02360680,SRR1014253
SAMN02360681,SRR1014264
SAMN02360681,SRR1014265
SAMN02360681,SRR1014266
SAMN02360681,SRR1014274
SAMN02360681,SRR1014282
SAMN02360681,SRR1014283
SAMN02360682,SRR1014285
SAMN02360682,SRR1014286
SAMN02360682,SRR1014287
SAMN02360682,SRR1014288
SAMN02360682,SRR1014289
SAMN02360682,SRR1014290
