ID,run_accession
SAMN02356616,SRR1010879
SAMN02356616,SRR1010880
SAMN02356616,SRR999475
SAMN02356616,SRR999476
SAMN02138541,SRR850714
SAMN02138541,SRR850715
SAMN02138541,SRR9901953
SAMN02138542,SRR850737
SAMN02138542,SRR850738
SAMN02138543,SRR12492532
SAMN02138543,SRR850772
SAMN02138543,SRR850773
SAMN02138544,SRR850774
SAMN02138544,SRR850775
SAMN02138545,SRR850776
SAMN02138545,SRR850777
SAMN02138546,SRR850778
SAMN02138546,SRR850779
SAMN02138546,SRR9901952
SAMN02138547,SRR12492531
SAMN02138547,SRR850780
SAMN02138547,SRR850781
SAMN02138548,SRR1185111
SAMN02138548,SRR1185218
SAMN02138548,SRR1185241
SAMN02138548,SRR1185273
SAMN02138548,SRR1185295
SAMN02138548,SRR850782
SAMN02138548,SRR850783
SAMN02138549,SRR850784
SAMN02138549,SRR850785
SAMN02138550,SRR850695
SAMN02138550,SRR850696
SAMN02138551,SRR1180836
SAMN02138551,SRR1180956
SAMN02138551,SRR1187749
SAMN02138551,SRR1187832
SAMN02138551,SRR850697
SAMN02138551,SRR850698
SAMN02138551,SRR850699
SAMN02138552,SRR850700
SAMN02138552,SRR850701
SAMN02138552,SRR867698
SAMN02138552,SRR960872
SAMN02138553,SRR850702
SAMN02138553,SRR850703
SAMN02138554,SRR1185266
SAMN02138554,SRR1185271
SAMN02138554,SRR1185297
SAMN02138554,SRR1185307
SAMN02138554,SRR1185315
SAMN02138554,SRR12492533
SAMN02138554,SRR850704
SAMN02138554,SRR850705
SAMN02138555,SRR850706
SAMN02138555,SRR850707
SAMN02138555,SRR850708
SAMN02138555,SRR850709
SAMN02138555,SRR9901957
SAMN02138556,SRR850710
SAMN02138556,SRR850711
SAMN02138556,SRR850712
SAMN02138556,SRR850713
SAMN02138562,SRR850716
SAMN02138562,SRR850717
SAMN02138562,SRR850718
SAMN02138562,SRR850719
SAMN02138563,SRR850720
SAMN02138563,SRR850721
SAMN02138563,SRR850722
SAMN02138563,SRR850723
SAMN02138564,SRR850724
SAMN02138564,SRR850725
SAMN02138564,SRR850726
SAMN02138564,SRR850727
SAMN02138565,SRR850728
SAMN02138565,SRR850729
SAMN02138565,SRR850730
SAMN02138565,SRR850731
SAMN02138566,SRR850733
SAMN02138566,SRR850734
SAMN02138566,SRR850735
SAMN02138566,SRR850736
SAMN02138573,SRR850739
SAMN02138573,SRR850740
SAMN02138573,SRR850741
SAMN02138573,SRR850742
SAMN02138574,SRR850743
SAMN02138574,SRR850744
SAMN02138574,SRR850745
SAMN02138574,SRR850746
SAMN02138577,SRR850764
SAMN02138577,SRR850765
SAMN02138577,SRR850766
SAMN02138577,SRR850767
SAMN02138577,SRR9901956
SAMN02138578,SRR850768
SAMN02138578,SRR850769
SAMN02138578,SRR850770
SAMN02138578,SRR850771
SAMN02138592,SRR1165447
SAMN02138592,SRR1165879
SAMN02138592,SRR854572
SAMN02138592,SRR854573
SAMN02138592,SRR9901960
SAMN02138600,SRR850687
SAMN02138600,SRR850688
SAMN02138600,SRR850689
SAMN02138600,SRR850690
SAMN02138600,SRR9901958
SAMN02138629,SRR850616
SAMN02138629,SRR850617
SAMN02138656,SRR850663
SAMN02138656,SRR850664
SAMN02138656,SRR850665
SAMN02138656,SRR850666
SAMN02138657,SRR850667
SAMN02138657,SRR850668
SAMN02138657,SRR850669
SAMN02138657,SRR850670
SAMN02138658,SRR850671
SAMN02138658,SRR850672
SAMN02138658,SRR850673
SAMN02138658,SRR850674
SAMN02138659,SRR850675
SAMN02138659,SRR850676
SAMN02138659,SRR850677
SAMN02138659,SRR850678
SAMN02138660,SRR850679
SAMN02138660,SRR850680
SAMN02138660,SRR850681
SAMN02138660,SRR850682
SAMN02138663,SRR850927
SAMN02138663,SRR850928
