ID,run_accession
SAMN02138650,SRR850803
SAMN02138650,SRR850804
SAMN02138650,SRR867699
SAMN02138650,SRR960873
SAMN07510203,SRR5936474
SAMN07510204,SRR5936475
SAMN07510205,SRR5936476
SAMN07510206,SRR5936477
SAMN07510207,SRR5936470
SAMN07510208,SRR5936471
SAMN07510209,SRR5936472
SAMN07510210,SRR5936473
SAMN07510211,SRR5936467
SAMN07510212,SRR5936468
SAMN07510213,SRR5936497
SAMN07510214,SRR5936498
SAMN07510215,SRR5936499
SAMN07510216,SRR5936500
SAMN07510217,SRR5936501
SAMN07510218,SRR5936502
SAMN07510219,SRR5936503
SAMN07510220,SRR5936504
SAMN07510221,SRR5936489
SAMN07510222,SRR5936490
SAMN07510223,SRR5936527
SAMN07510224,SRR5936526
SAMN07510225,SRR5936529
SAMN07510226,SRR5936528
SAMN07510227,SRR5936523
SAMN07510228,SRR5936522
SAMN07510229,SRR5936525
SAMN07510230,SRR5936524
SAMN07510231,SRR5936534
SAMN07510232,SRR5936533
SAMN07510233,SRR5936495
SAMN07510234,SRR5936496
SAMN07510235,SRR5936493
SAMN07510236,SRR5936494
SAMN07510237,SRR5936491
SAMN07510238,SRR5936492
SAMN07510239,SRR5936479
SAMN07510240,SRR5936483
SAMN07510241,SRR5936530
SAMN07510242,SRR5936535
SAMN07510243,SRR5936508
SAMN07510244,SRR5936484
SAMN07510245,SRR5936505
SAMN07510246,SRR5936521
SAMN07510247,SRR5936509
SAMN07510248,SRR5936507
SAMN07510249,SRR5936506
SAMN07510250,SRR5936513
SAMN07510251,SRR5936532
SAMN07510252,SRR5936531
SAMN07510253,SRR5936485
SAMN07510254,SRR5936486
SAMN07510255,SRR5936487
SAMN07510256,SRR5936488
SAMN07510257,SRR5936481
SAMN07510258,SRR5936482
SAMN07510259,SRR5936466
SAMN07510260,SRR5936469
SAMN07510261,SRR5936510
SAMN07510262,SRR5936480
SAMN07510263,SRR5936515
SAMN07510264,SRR5936514
SAMN07510265,SRR5936517
SAMN07510266,SRR5936516
SAMN07510267,SRR5936519
SAMN07510268,SRR5936518
SAMN07510269,SRR5936478
SAMN07510270,SRR5936520
SAMN07510271,SRR5936512
SAMN07510272,SRR5936511
SAMN10058834,SRR7828818
SAMN10058848,SRR7828800
SAMN10058849,SRR7828799
SAMN10058851,SRR7828801
SAMN10058852,SRR7828808
SAMN10058853,SRR7828807
SAMN10058854,SRR7828778
SAMN10058855,SRR7828779
SAMN10058856,SRR7828780
SAMN10058857,SRR7828781
SAMN10058858,SRR7828782
SAMN10058859,SRR7828783
SAMN10058861,SRR7828785
SAMN10058862,SRR7828775
SAMN10058865,SRR7828763
SAMN10058866,SRR7828762
SAMN10058867,SRR7828761
SAMN10058869,SRR7828759
SAMN10058870,SRR7828758
SAMN10058871,SRR7828757
SAMN10058872,SRR7828756
SAMN10058873,SRR7828755
SAMN10058874,SRR7828711
SAMN10058875,SRR7828716
SAMN10058876,SRR7828709
SAMN10058877,SRR7828710
