ID,run_accession
SAMN06437634,SRR5386597
SAMN10058836,SRR7828634
SAMN10058837,SRR7828631
SAMN10058838,SRR7828630
SAMN10058839,SRR7828629
SAMN10058840,SRR7828847
SAMN10058841,SRR7828843
SAMN10058842,SRR7828834
SAMN10058843,SRR7828830
SAMN10058844,SRR7828804
SAMN10058845,SRR7828803
SAMN10058846,SRR7828806
SAMN10058847,SRR7828805
SAMN10058850,SRR7828802
SAMN10058860,SRR7828784
SAMN10058863,SRR7828776
SAMN10058864,SRR7828764
SAMN10058880,SRR7828690
SAMN10058895,SRR7828673
SAMN10058908,SRR7828639
SAMN10058925,SRR7828849
SAMN10058933,SRR7828788
SAMN10058934,SRR7828769
SAMN10058954,SRR7828640
SAMN10058974,SRR7828647
SAMN10058975,SRR7828648
SAMN10058976,SRR7828649
SAMN10058977,SRR7828650
SAMN10058978,SRR7828651
SAMN10058979,SRR7828652
SAMN10058980,SRR7828653
SAMN10058993,SRR7828685
SAMN10058995,SRR7828702
SAMN10058996,SRR7828699
SAMN10059010,SRR7828735
SAMN10059011,SRR7828734
SAMN10059021,SRR7828720
SAMEA2273516,ERR486274
SAMEA2273526,ERR486749
SAMEA2273527,ERR486284
SAMEA2273528,ERR486285
SAMEA2273529,ERR486750
SAMEA2273532,ERR486288
SAMEA2273533,ERR486289
SAMEA2273534,ERR486290
SAMEA2273535,ERR486751
SAMEA2273536,ERR486291
SAMEA2273537,ERR486292
SAMEA2273539,ERR486294
SAMEA2273543,ERR486753
SAMEA2273545,ERR486298
SAMEA2273546,ERR486299
SAMEA2273549,ERR486302
SAMEA2273552,ERR486305
SAMEA2273557,ERR486310
SAMEA2273558,ERR486311
SAMEA2273559,ERR486312
SAMEA2273563,ERR486316
SAMEA2273564,ERR486754
SAMEA2273569,ERR486321
SAMEA2273570,ERR486322
SAMEA2273571,ERR486323
SAMEA2273574,ERR486326
SAMEA2273576,ERR486328
SAMEA2273577,ERR486755
SAMEA2273581,ERR486332
SAMEA2273582,ERR486333
SAMEA2273584,ERR486335
SAMEA2273585,ERR486336
SAMEA2273586,ERR486756
SAMEA2273587,ERR486337
SAMEA2273593,ERR486757
SAMEA2273594,ERR486758
SAMEA2273595,ERR486759
SAMEA2273596,ERR486343
SAMEA2273598,ERR486345
SAMEA2273599,ERR486346
SAMEA2273600,ERR486347
SAMEA2273602,ERR486349
SAMEA2273603,ERR486350
SAMEA2273604,ERR486351
SAMEA2273605,ERR486352
SAMEA2273606,ERR486353
SAMEA2273609,ERR486356
SAMEA2273611,ERR486358
SAMEA2273612,ERR486359
SAMEA2273613,ERR486760
SAMEA2273614,ERR486360
SAMEA2273615,ERR486361
SAMEA2273616,ERR486362
SAMEA2273619,ERR486365
SAMEA2273620,ERR486366
SAMEA2273621,ERR486761
SAMEA2273622,ERR486367
SAMEA2273624,ERR486369
SAMEA2273625,ERR486370
SAMEA2273626,ERR486762
SAMEA2273627,ERR486763
SAMEA2273629,ERR486372
SAMEA2273631,ERR486374
SAMEA2273632,ERR486375
SAMEA2273633,ERR486764
SAMEA2273634,ERR486376
SAMEA2273636,ERR486378
SAMEA2273637,ERR486379
SAMEA2273638,ERR474467
SAMEA2273640,ERR486766
SAMEA2273641,ERR486767
SAMEA2273642,ERR474468
SAMEA2273643,ERR474469
SAMEA2273644,ERR474470
SAMEA2273648,ERR474474
SAMEA2273649,ERR474475
SAMEA2273650,ERR474476
SAMEA2273651,ERR474477
SAMEA2273652,ERR486768
SAMEA2273653,ERR474478
SAMEA2273654,ERR486769
SAMEA2273655,ERR474479
SAMEA2273658,ERR474482
SAMEA2273659,ERR474483
SAMEA2273660,ERR474484
SAMEA2273661,ERR474485
SAMEA2273662,ERR486770
SAMEA2273663,ERR474486
SAMEA2273664,ERR474487
SAMEA2273666,ERR474489
SAMEA2273668,ERR486771
SAMEA2273669,ERR474490
SAMEA2273671,ERR474492
SAMEA2273672,ERR474493
SAMEA2273673,ERR474494
SAMEA2273675,ERR474496
SAMEA2273676,ERR474497
SAMEA2273677,ERR474498
SAMEA2273679,ERR486772
SAMEA2273680,ERR486773
SAMEA2273681,ERR474500
SAMEA2273682,ERR474501
SAMEA2273683,ERR474502
SAMEA2273684,ERR474503
SAMEA2273685,ERR474504
SAMEA2273688,ERR486774
SAMEA2273689,ERR474507
SAMEA2273690,ERR474508
SAMEA2273691,ERR474509
SAMEA2273692,ERR486775
SAMEA2273693,ERR486776
SAMEA2273694,ERR474510
SAMEA2273695,ERR486777
SAMEA2273696,ERR486778
SAMEA2273698,ERR474512
SAMEA2273699,ERR474513
SAMEA2273700,ERR474514
SAMEA2273702,ERR474516
SAMEA2273703,ERR474517
SAMEA2273704,ERR474518
SAMEA2273706,ERR474520
SAMEA2273708,ERR486779
SAMEA2273709,ERR474522
SAMEA2273710,ERR486780
SAMEA2273712,ERR474524
SAMEA2273713,ERR474525
SAMEA2273715,ERR474527
SAMEA2273716,ERR486781
SAMEA2273719,ERR474530
SAMEA2273720,ERR486782
SAMEA2273721,ERR474531
SAMEA2273722,ERR486783
SAMEA2273723,ERR486784
SAMEA2273724,ERR474532
SAMEA2273726,ERR474534
SAMEA2273727,ERR474535
SAMEA2273729,ERR486785
SAMEA2273730,ERR486786
SAMEA2273731,ERR486787
SAMEA2273732,ERR486788
SAMEA2273734,ERR486789
SAMEA2273735,ERR474538
SAMEA2273737,ERR474540
SAMEA2273738,ERR486790
SAMEA2273739,ERR486791
SAMEA2273740,ERR474541
SAMEA2273742,ERR474543
SAMEA2273743,ERR474544
SAMEA2273744,ERR474545
SAMEA2273745,ERR486792
SAMEA2273746,ERR486793
SAMEA2273748,ERR474547
SAMEA2273749,ERR474548
SAMEA2273751,ERR486794
SAMEA2273753,ERR474551
SAMEA2273754,ERR474552
SAMEA2273757,ERR474553
SAMEA2273763,ERR486798
SAMEA2273765,ERR474559
SAMEA2273767,ERR486381
SAMEA2273769,ERR486383
SAMEA2273773,ERR486799
SAMEA2273774,ERR486800
SAMEA2273775,ERR486387
SAMEA2273776,ERR486388
SAMEA2273777,ERR486389
SAMEA2273778,ERR486390
SAMEA2273779,ERR486391
SAMEA2273780,ERR486801
SAMEA2273781,ERR486392
SAMEA2273782,ERR486802
SAMEA2273783,ERR486393
SAMEA2273784,ERR486394
SAMEA2273786,ERR486396
SAMEA2273787,ERR486397
SAMEA2273788,ERR486803
SAMEA2273789,ERR486804
SAMEA2273790,ERR486398
SAMEA2273791,ERR486399
SAMEA2273792,ERR486400
SAMEA2273793,ERR486401
SAMEA2273794,ERR486402
SAMEA2273795,ERR486403
SAMEA2273796,ERR486404
SAMEA2273797,ERR486405
SAMEA2273798,ERR486406
SAMEA2273799,ERR486407
SAMEA2273800,ERR486408
SAMEA2273801,ERR486409
SAMEA2273802,ERR486410
SAMEA2273803,ERR486411
SAMEA2273804,ERR486412
SAMEA2273805,ERR486413
SAMEA2273806,ERR486414
SAMEA2273807,ERR486415
SAMEA2273808,ERR486416
SAMEA2273809,ERR486417
SAMEA2273810,ERR486418
SAMEA2273811,ERR486419
SAMEA2273812,ERR486420
SAMEA2273813,ERR486421
SAMEA2273814,ERR486422
SAMEA2273815,ERR486423
SAMEA2273816,ERR486424
SAMEA2273818,ERR486426
SAMEA2273819,ERR486427
SAMEA2273820,ERR486428
SAMEA2273821,ERR486429
SAMEA2273822,ERR486430
SAMEA2273823,ERR486431
SAMEA2273833,ERR486441
SAMEA2273847,ERR486455
SAMEA2273848,ERR486456
SAMEA2273849,ERR486457
SAMEA2273850,ERR486458
SAMEA2273851,ERR486459
SAMEA2273852,ERR486460
SAMEA2273853,ERR486461
SAMEA2273854,ERR486462
SAMEA2273855,ERR486463
SAMEA2273856,ERR486464
SAMEA2273857,ERR486465
SAMEA2273858,ERR486466
SAMEA2273859,ERR486467
SAMEA2273861,ERR486468
SAMEA2273862,ERR486469
SAMEA2273863,ERR486470
SAMEA2273865,ERR486472
SAMEA2273866,ERR486500
SAMEA2273867,ERR486501
SAMEA2273868,ERR486502
SAMEA2273870,ERR486504
SAMEA2273871,ERR486505
SAMEA2273872,ERR497024
SAMEA2273873,ERR486506
SAMEA2273874,ERR486507
SAMEA2273875,ERR486508
SAMEA2273877,ERR486510
SAMEA2273878,ERR486511
SAMEA2273879,ERR486512
SAMEA2273880,ERR486513
SAMEA2273881,ERR486514
SAMEA2273882,ERR486515
SAMEA2273884,ERR486517
SAMEA2273885,ERR486518
SAMEA2273886,ERR486519
SAMEA3531778,ERR1218724
SAMEA3531780,ERR1218725
SAMEA3531782,ERR1218726
SAMEA3531785,ERR1218727
SAMEA3531787,ERR1218565
SAMEA3531789,ERR1218728
SAMEA3531790,ERR1218729
SAMEA3531792,ERR1218730
SAMEA3531794,ERR1218731
SAMEA3531796,ERR1218732
SAMEA3531798,ERR1218733
SAMEA3531800,ERR1218734
SAMEA3531802,ERR1218566
SAMEA3531804,ERR1218735
SAMEA3531808,ERR1218737
SAMEA3531809,ERR1218738
SAMEA3531812,ERR1218567
SAMEA3531814,ERR1218568
SAMEA3531816,ERR1218569
SAMEA3531817,ERR1218739
SAMEA3531820,ERR1218740
SAMEA3531822,ERR1218741
SAMEA3531823,ERR1218570
SAMEA3531827,ERR1218742
SAMEA3531829,ERR1218743
SAMEA3531831,ERR1218744
SAMEA3531834,ERR1218745
SAMEA3531836,ERR1218571
SAMEA3531837,ERR1218572
SAMEA3531839,ERR1218746
SAMEA3531840,ERR1218573
SAMEA3531842,ERR1218574
SAMEA3531844,ERR1218747
SAMEA3531846,ERR1218575
SAMEA3531848,ERR1218748
SAMEA3531850,ERR1218749
SAMEA3531852,ERR1218750
SAMEA3531854,ERR1218751
SAMEA3531857,ERR1218752
SAMEA3531858,ERR1218753
SAMEA3531861,ERR1218754
SAMEA3531862,ERR1218755
SAMEA3531864,ERR1218756
SAMEA3531866,ERR1218757
SAMEA3531868,ERR1218758
SAMEA3531870,ERR1218759
SAMEA3531872,ERR1218760
SAMEA3531873,ERR1218761
SAMEA3531874,ERR1218762
SAMEA3531875,ERR1218763
SAMEA3531876,ERR1218576
SAMEA3531877,ERR1218764
SAMEA3531878,ERR1218765
SAMEA3531879,ERR1218766
SAMEA3531880,ERR1218767
SAMEA3531881,ERR1218768
SAMEA3531882,ERR1218769
SAMEA3531883,ERR1218770
SAMEA3531884,ERR1218771
SAMEA3531885,ERR1218772
SAMEA3531887,ERR1218773
SAMEA3531889,ERR1218775
SAMEA3531890,ERR1218776
SAMEA3531891,ERR1218777
SAMEA3531892,ERR1218577
SAMEA3531893,ERR1218578
SAMEA3531894,ERR1218778
SAMEA3531896,ERR1218579
SAMEA3531897,ERR1218580
SAMEA3531898,ERR1218779
SAMEA3531899,ERR1218780
SAMEA3531900,ERR1218781
SAMEA3531901,ERR1218782
SAMEA3531902,ERR1218783
SAMEA3531903,ERR1218784
SAMN01057606,SRR515498
SAMN01057607,SRR515499
SAMN01057609,SRR515502
SAMN01057611,SRR1505903
SAMN01057611,SRR1505904
SAMN01057611,SRR1505905
SAMN01057611,SRR1505906
SAMN01057611,SRR1505907
SAMN01057611,SRR1505908
SAMN01057611,SRR515504
SAMN01057613,SRR515506
SAMN01057614,SRR1427233
SAMN01057614,SRR1427234
SAMN01057614,SRR1427235
SAMN01057614,SRR1427236
SAMN01057614,SRR1427237
SAMN01057614,SRR1427238
SAMN01057614,SRR515512
SAMN01057614,SRR515513
SAMN01057620,SRR515515
SAMN01057621,SRR515516
SAMN01057635,SRR515551
SAMN01057638,SRR515555
SAMN01057640,SRR515586
SAMN01057641,SRR515594
SAMN01057646,SRR515625
SAMN01057650,SRR515629
SAMN01057657,SRR515906
SAMN01057711,SRR515970
SAMN01057711,SRR515971
SAMN02138557,SRR850980
SAMN02138557,SRR850981
SAMN02138557,SRR850982
SAMN02138557,SRR850983
SAMN02138558,SRR850984
SAMN02138558,SRR850985
SAMN02138558,SRR850986
SAMN02138558,SRR850987
SAMN02138559,SRR850988
SAMN02138559,SRR850989
SAMN02138559,SRR850990
SAMN02138559,SRR850991
SAMN02138561,SRR850996
SAMN02138561,SRR850997
SAMN02138561,SRR850998
SAMN02138561,SRR850999
SAMN02138569,SRR851000
SAMN02138569,SRR851001
SAMN02138569,SRR851002
SAMN02138569,SRR851003
SAMN02138570,SRR851005
SAMN02138570,SRR851006
SAMN02138570,SRR851007
SAMN02138570,SRR851008
SAMN02138571,SRR3955791
SAMN02138571,SRR3955792
SAMN02138571,SRR851009
SAMN02138571,SRR851010
SAMN02138571,SRR851011
SAMN02138571,SRR851012
SAMN02138572,SRR851013
SAMN02138572,SRR851014
SAMN02138572,SRR851015
SAMN02138572,SRR851016
SAMN02138575,SRR851017
SAMN02138575,SRR851018
SAMN02138575,SRR851019
SAMN02138575,SRR851020
SAMN02138576,SRR851021
SAMN02138576,SRR851022
SAMN02138576,SRR851023
SAMN02138576,SRR851024
SAMN02138579,SRR12492530
SAMN02138579,SRR851025
SAMN02138579,SRR851026
SAMN02138579,SRR851027
