ID,accession,run_accession
SAMN03105732,JTNL00000000,NA
SAMN03105746,JTMX00000000,NA
SAMN03105627,JTRM00000000,NA
SAMN03105607,JTSG00000000,NA
SAMN03105634,JTRF00000000,NA
SAMN03105546,JTUP00000000,NA
SAMN03105545,JTUQ00000000,NA
SAMN03105544,JTUR00000000,NA
SAMN03105733,JTNK00000000,NA
SAMN03105543,JTUS00000000,NA
SAMN03105542,JTUT00000000,NA
SAMN03105541,JTUU00000000,NA
SAMN03105616,JTRX00000000,NA
SAMN03105550,JTUL00000000,NA
SAMN03105547,JTUO00000000,NA
SAMN03105548,JTUN00000000,NA
SAMN03105639,JTRA00000000,NA
SAMN03105551,JTUK00000000,NA
SAMN03105549,JTUM00000000,NA
SAMN03105617,JTRW00000000,NA
SAMN03105552,JTUJ00000000,NA
SAMN03105554,JTUH00000000,NA
SAMN03105734,JTNJ00000000,NA
SAMN03105553,JTUI00000000,NA
SAMN03105613,JTSA00000000,NA
SAMN03105555,JTUG00000000,NA
SAMN03105608,JTSF00000000,NA
SAMN03105557,JTUE00000000,NA
SAMN03105556,JTUF00000000,NA
SAMN03105577,JTTK00000000,NA
SAMN03105576,JTTL00000000,NA
SAMN03105569,JTTS00000000,NA
SAMN03105743,JTNA00000000,NA
SAMN03105568,JTTT00000000,NA
SAMN03105567,JTTU00000000,NA
SAMN03105565,JTTW00000000,NA
SAMN03105566,JTTV00000000,NA
SAMN03105559,JTUC00000000,NA
SAMN03105558,JTUD00000000,NA
SAMN03105564,JTTX00000000,NA
SAMN03105562,JTTZ00000000,NA
SAMN03105563,JTTY00000000,NA
SAMN03105735,JTNI00000000,NA
SAMN03105561,JTUA00000000,NA
SAMN03105560,JTUB00000000,NA
SAMN03105738,JTNF00000000,NA
SAMN03105586,JTTB00000000,NA
SAMN03105585,JTTC00000000,NA
SAMN03105584,JTTD00000000,NA
SAMN03105582,JTTF00000000,NA
SAMN03105583,JTTE00000000,NA
SAMN03105750,JTMT00000000,NA
SAMN03105581,JTTG00000000,NA
SAMN03105721,JTNW00000000,NA
SAMN03105580,JTTH00000000,NA
SAMN03105579,JTTI00000000,NA
SAMN03105578,JTTJ00000000,NA
SAMN03105572,JTTP00000000,NA
SAMN03105571,JTTQ00000000,NA
SAMN03105736,JTNH00000000,NA
SAMN03105570,JTTR00000000,NA
SAMN03105739,JTNE00000000,NA
SAMN03105575,JTTM00000000,NA
SAMN03105574,JTTN00000000,NA
SAMN03105573,JTTO00000000,NA
SAMN03105599,JTSO00000000,NA
SAMN03105598,JTSP00000000,NA
SAMN03105597,JTSQ00000000,NA
SAMN03105596,JTSR00000000,NA
SAMN03105595,JTSS00000000,NA
SAMN03105722,JTNV00000000,NA
SAMN03105742,JTNB00000000,NA
SAMN03105594,JTST00000000,NA
SAMN03105592,JTSV00000000,NA
SAMN03105591,JTSW00000000,NA
SAMN03105593,JTSU00000000,NA
SAMN03105737,JTNG00000000,NA
SAMN03105590,JTSX00000000,NA
SAMN03105744,JTMZ00000000,NA
SAMN03105589,JTSY00000000,NA
SAMN03105588,JTSZ00000000,NA
SAMN03105587,JTTA00000000,NA
SAMN03105740,JTND00000000,NA
SAMN03105623,JTRQ00000000,NA
SAMN03105724,JTNT00000000,NA
SAMN03105622,JTRR00000000,NA
SAMN03105621,JTRS00000000,NA
SAMN03105620,JTRT00000000,NA
SAMN03105602,JTSL00000000,NA
SAMN03105601,JTSM00000000,NA
SAMN03105600,JTSN00000000,NA
SAMN03105747,JTMW00000000,NA
SAMN03105653,JTQM00000000,NA
SAMN03105652,JTQN00000000,NA
SAMN03105651,JTQO00000000,NA
SAMN03105641,JTQY00000000,NA
SAMN03105626,JTRN00000000,NA
SAMN03105625,JTRO00000000,NA
SAMN03105624,JTRP00000000,NA
SAMN03105669,JTPW00000000,NA
SAMN03105668,JTPX00000000,NA
SAMN03105727,JTNQ00000000,NA
SAMN03105667,JTPY00000000,NA
SAMN03105666,JTPZ00000000,NA
SAMN03105665,JTQA00000000,NA
SAMN03105663,JTQC00000000,NA
SAMN03105664,JTQB00000000,NA
SAMN03105728,JTNP00000000,NA
SAMN03105662,JTQD00000000,NA
SAMN03105672,JTPT00000000,NA
SAMN03105671,JTPU00000000,NA
SAMN03105670,JTPV00000000,NA
SAMN03105741,JTNC00000000,NA
SAMN03105675,JTPQ00000000,NA
SAMN03105726,JTNR00000000,NA
SAMN03105674,JTPR00000000,NA
SAMN03105673,JTPS00000000,NA
SAMN03105650,JTQP00000000,NA
SAMN03105729,JTNO00000000,NA
SAMN03105649,JTQQ00000000,NA
SAMN03105648,JTQR00000000,NA
SAMN03105647,JTQS00000000,NA
SAMN03105646,JTQT00000000,NA
SAMN03105749,JTMU00000000,NA
SAMN03105644,JTQV00000000,NA
SAMN03105642,JTQX00000000,NA
SAMN03105643,JTQW00000000,NA
SAMN03105751,JTMS00000000,NA
SAMN03105723,JTNU00000000,NA
SAMN03105657,JTQI00000000,NA
SAMN03105656,JTQJ00000000,NA
SAMN03105655,JTQK00000000,NA
SAMN03105654,JTQL00000000,NA
SAMN03105661,JTQE00000000,NA
SAMN03105660,JTQF00000000,NA
SAMN03105659,JTQG00000000,NA
SAMN03105658,JTQH00000000,NA
SAMN03105725,JTNS00000000,NA
SAMN03105678,JTPN00000000,NA
SAMN03105677,JTPO00000000,NA
SAMN03105676,JTPP00000000,NA
SAMN03105705,JTOM00000000,NA
SAMN03105704,JTON00000000,NA
SAMN03105703,JTOO00000000,NA
SAMN03105702,JTOP00000000,NA
SAMN03105686,JTPF00000000,NA
SAMN03105748,JTMV00000000,NA
SAMN03105684,JTPH00000000,NA
SAMN03105683,JTPI00000000,NA
SAMN03105682,JTPJ00000000,NA
SAMN03105681,JTPK00000000,NA
SAMN03105680,JTPL00000000,NA
SAMN03105679,JTPM00000000,NA
SAMN03105701,JTOQ00000000,NA
SAMN03105700,JTOR00000000,NA
SAMN03105699,JTOS00000000,NA
SAMN03105698,JTOT00000000,NA
SAMN03105697,JTOU00000000,NA
SAMN03105696,JTOV00000000,NA
SAMN03105695,JTOW00000000,NA
SAMN03105694,JTOX00000000,NA
SAMN03105693,JTOY00000000,NA
SAMN03105692,JTOZ00000000,NA
SAMN03105691,JTPA00000000,NA
SAMN03105690,JTPB00000000,NA
SAMN03105689,JTPC00000000,NA
SAMN03105687,JTPE00000000,NA
SAMN03105688,JTPD00000000,NA
SAMN03105685,JTPG00000000,NA
SAMN03105423,JTZI00000000,NA
SAMN03105493,JTWQ00000000,NA
SAMN03105422,JTZJ00000000,NA
SAMN03105421,JTZK00000000,NA
SAMN03105420,JTZL00000000,NA
SAMN03105419,JTZM00000000,NA
SAMN03105418,JTZN00000000,NA
SAMN03105417,JTZO00000000,NA
SAMN03105416,JTZP00000000,NA
SAMN03105529,JTVG00000000,NA
SAMN03105528,JTVH00000000,NA
SAMN03105527,JTVI00000000,NA
SAMN03105526,JTVJ00000000,NA
SAMN03105525,JTVK00000000,NA
SAMN03105524,JTVL00000000,NA
SAMN03105523,JTVM00000000,NA
