ID,run_accession
SAMN02356583,SRR1010950
SAMN02356583,SRR1010951
SAMN02356583,SRR999549
SAMN02356583,SRR999550
SAMN02356590,SRR1010952
SAMN02356590,SRR1010953
SAMN02356590,SRR999551
SAMN02356590,SRR999552
SAMN02581399,SRR1172925
SAMN02581399,SRR1172936
SAMN02581400,SRR1172725
SAMN02581400,SRR1173017
SAMN04014868,SRR3112277
SAMN04014868,SRR6703111
SAMN04014932,SRR3242023
SAMN04014932,SRR6818689
SAMN04014940,SRR3290654
SAMN04014940,SRR6818717
SAMN04014940,SRR6818718
SAMN04014963,SRR3112284
SAMN04014963,SRR7252692
SAMN04014964,SRR3112285
SAMN04014964,SRR7012901
SAMN04014965,SRR3112286
SAMN04014965,SRR7012980
SAMN04014971,SRR3112288
SAMN04014971,SRR7012982
SAMN04014971,SRR7012983
SAMN04014972,SRR3112289
SAMN04014972,SRR7253212
SAMN04014972,SRR7253213
SAMN06311524,SRR5237395
SAMEA2273887,ERR486520
SAMEA2273888,ERR486521
SAMEA2273889,ERR486522
SAMEA2273891,ERR486524
SAMEA2273892,ERR486525
SAMEA2273893,ERR486526
SAMEA2273895,ERR486527
SAMEA2273896,ERR486528
SAMEA2273897,ERR486529
SAMEA2273898,ERR486530
SAMEA2273899,ERR486531
SAMEA2273900,ERR486532
SAMEA2273901,ERR486533
SAMEA2273902,ERR486534
SAMEA2273903,ERR486535
SAMEA2273904,ERR486536
SAMEA2273905,ERR486537
SAMEA2273907,ERR486538
SAMEA2273908,ERR486806
SAMEA2273909,ERR486539
SAMEA2273910,ERR486540
SAMEA2273912,ERR486542
SAMEA2273913,ERR486543
SAMEA2273915,ERR486545
SAMEA2273916,ERR486546
SAMEA2273917,ERR486547
SAMEA2273919,ERR486549
SAMEA2273920,ERR486550
SAMEA2273922,ERR486552
SAMEA2273923,ERR486553
SAMEA2273924,ERR486554
SAMEA2273925,ERR486555
SAMEA2273926,ERR486807
SAMEA2273928,ERR486557
SAMEA2273929,ERR486558
SAMEA2273930,ERR486559
SAMEA2273931,ERR486560
SAMEA2273932,ERR486561
SAMEA2273934,ERR486562
SAMEA2273935,ERR486563
SAMEA2273936,ERR486564
SAMEA2273937,ERR486565
SAMEA2273938,ERR486566
SAMEA2273939,ERR486567
SAMEA2273940,ERR486568
SAMEA2273941,ERR486569
SAMEA2273942,ERR486570
SAMEA2273943,ERR486571
SAMEA2273944,ERR486572
SAMEA2273945,ERR486573
SAMEA2273946,ERR486808
SAMEA2273947,ERR486574
SAMEA2273948,ERR486575
SAMEA2273949,ERR486809
SAMEA2273950,ERR486576
SAMEA2273951,ERR486577
