ID,run_accession
SAMEA1021787,ERR053013
SAMEA1021807,ERR053015
SAMEA1021821,ERR053034
SAMEA1021823,ERR053014
SAMEA1021832,ERR053033
SAMEA1021848,ERR053017
SAMEA1021849,ERR053032
SAMEA1021856,ERR053016
SAMEA1021870,ERR053031
SAMEA1021876,ERR053020
SAMEA1021877,ERR053029
SAMEA1021900,ERR053018
SAMEA1021909,ERR053042
SAMEA1021910,ERR053027
SAMEA1021914,ERR053041
SAMEA1021915,ERR053046
SAMEA1021922,ERR053026
SAMEA1021934,ERR053025
SAMEA1021951,ERR053044
SAMEA1021952,ERR053024
SAMEA1021954,ERR053043
SAMEA1021970,ERR053037
SAMEA1021972,ERR053008
SAMEA1021973,ERR053023
SAMEA1021981,ERR053009
SAMEA1021986,ERR053036
SAMEA1021994,ERR053010
SAMEA1021995,ERR053035
SAMEA1021999,ERR053021
SAMEA1022003,ERR053011
SAMEA1022005,ERR053039
SAMEA1022012,ERR053022
SAMEA1022014,ERR053038
SAMEA1022020,ERR053012
SAMEA2335069,ERR410034
SAMEA2335071,ERR410036
SAMEA2335072,ERR410037
SAMEA2335073,ERR410038
SAMEA2335074,ERR410039
SAMEA2335075,ERR410040
SAMEA2335076,ERR410041
SAMEA2335077,ERR410042
SAMEA2335078,ERR410043
SAMEA2335079,ERR410044
SAMEA2335080,ERR410045
SAMEA2335081,ERR410046
SAMEA2335083,ERR410048
SAMEA2335085,ERR410050
SAMEA2335086,ERR410051
SAMEA2335087,ERR410052
SAMEA2335088,ERR410053
SAMEA2335090,ERR410055
SAMEA2335091,ERR410056
SAMEA2335092,ERR410057
SAMEA2335093,ERR410058
SAMEA2335094,ERR410059
SAMEA2335095,ERR410060
SAMEA2335096,ERR410061
SAMEA2335097,ERR410062
SAMEA2335098,ERR410063
SAMEA2335099,ERR410064
SAMEA2335100,ERR410065
SAMEA2335101,ERR410066
SAMEA2335102,ERR410067
SAMEA2335103,ERR410068
SAMEA2335104,ERR410069
SAMEA2335105,ERR410070
SAMEA2335106,ERR410071
SAMEA2335107,ERR410072
SAMEA2335108,ERR410073
SAMEA2335110,ERR410075
SAMEA2335111,ERR410076
SAMEA2335112,ERR410077
SAMEA2335114,ERR410079
SAMEA2335115,ERR410080
SAMEA2335116,ERR410081
SAMEA2335117,ERR410082
SAMEA2335118,ERR410083
SAMEA2335120,ERR410085
SAMEA2335121,ERR410086
SAMEA2335122,ERR410087
SAMEA2335123,ERR410088
SAMEA2335124,ERR410089
SAMEA2335126,ERR410091
SAMEA2335127,ERR410092
SAMEA2335128,ERR410093
SAMEA2335129,ERR410094
SAMEA2335130,ERR410095
SAMEA2335131,ERR410096
SAMEA2335132,ERR410097
SAMEA2335133,ERR410098
SAMEA2335134,ERR410099
SAMEA2335135,ERR410100
SAMEA2335136,ERR410101
SAMEA2335138,ERR410103
SAMEA2335139,ERR410104
SAMEA2335140,ERR410105
SAMEA2335141,ERR410106
SAMEA2335142,ERR410107
SAMEA2335143,ERR410108
SAMEA2335144,ERR410109
SAMEA2335145,ERR410110
SAMEA2335147,ERR410112
SAMEA2335148,ERR410113
SAMEA2335149,ERR410114
SAMEA2335150,ERR410115
SAMEA2335151,ERR410116
SAMEA2335152,ERR410117
SAMEA2335153,ERR410118
SAMEA2335154,ERR410119
SAMEA2335155,ERR410120
SAMEA2335156,ERR410121
SAMEA2335158,ERR410123
SAMEA2335159,ERR410124
SAMEA2335161,ERR410126
SAMEA2335162,ERR410127
SAMEA2335163,ERR410128
SAMEA2335164,ERR410129
SAMEA2335165,ERR410130
SAMEA2335166,ERR410131
SAMEA2335167,ERR410132
SAMEA2335168,ERR410133
SAMEA2335169,ERR410134
SAMEA2335170,ERR410135
SAMEA2339835,ERR418318
SAMEA2339836,ERR418319
SAMEA2339837,ERR418320
SAMEA2339839,ERR418322
SAMEA2339840,ERR418323
SAMEA2339841,ERR418324
SAMEA2339843,ERR418326
SAMEA2339844,ERR418327
SAMEA2339845,ERR418328
SAMEA2339846,ERR418329
SAMEA2339847,ERR418330
SAMEA2339848,ERR418331
SAMEA2339849,ERR418332
SAMEA2339850,ERR418333
SAMEA2339851,ERR418334
SAMEA2339852,ERR418335
SAMEA2339853,ERR418336
SAMEA2339854,ERR418337
SAMEA2339855,ERR418338
SAMEA2339856,ERR418339
SAMEA2339857,ERR418340
SAMEA2339858,ERR418341
SAMEA2339859,ERR418342
SAMEA2339860,ERR418343
SAMEA2339861,ERR418344
SAMEA2339862,ERR418345
SAMEA2339863,ERR418346
SAMEA2339864,ERR418347
SAMEA2339865,ERR418348
SAMEA2339866,ERR418349
SAMEA2339867,ERR418350
SAMEA2339868,ERR418351
SAMEA2339870,ERR418353
SAMEA2339871,ERR418354
SAMEA2339872,ERR418355
SAMEA2339873,ERR418356
SAMEA2339874,ERR418357
SAMEA2339875,ERR418358
SAMEA2339876,ERR418359
SAMEA2339878,ERR418361
SAMEA2339879,ERR418362
SAMEA2339880,ERR418363
SAMEA2339881,ERR418364
SAMEA2339882,ERR418365
SAMEA2339883,ERR418366
SAMEA2339884,ERR418367
SAMEA2339885,ERR418368
SAMEA2339886,ERR418369
SAMEA2339887,ERR418370
SAMEA2339888,ERR418371
SAMEA2339889,ERR418372
SAMEA2339890,ERR418373
SAMEA2339891,ERR418374
SAMEA2339892,ERR418375
SAMEA2339893,ERR418376
SAMEA2339894,ERR418377
SAMEA2339895,ERR418378
SAMEA2339897,ERR418380
SAMEA2339898,ERR418381
SAMEA2339899,ERR418382
SAMEA2339900,ERR418383
SAMEA2339902,ERR418385
SAMEA2339903,ERR418386
SAMEA2339904,ERR418387
SAMEA2339905,ERR418388
SAMEA2339906,ERR418389
SAMEA2339907,ERR418390
SAMEA2339908,ERR418391
SAMEA2339909,ERR418392
SAMEA2339910,ERR418393
SAMEA2339911,ERR418394
SAMEA2339912,ERR418395
SAMEA2339913,ERR418396
SAMEA2339914,ERR418397
SAMEA2339915,ERR418398
SAMEA2339916,ERR418399
SAMEA2339917,ERR418400
SAMEA2339918,ERR418401
SAMEA2339919,ERR418402
SAMEA2339920,ERR418403
SAMEA2339921,ERR418404
SAMEA2339922,ERR418405
SAMEA2339923,ERR418406
SAMEA2339924,ERR418407
SAMEA2339925,ERR418408
SAMEA2339926,ERR418409
SAMEA2339927,ERR418410
SAMEA2339930,ERR418413
SAMEA2339931,ERR418414
SAMEA2339932,ERR418415
SAMEA2339933,ERR418416
SAMEA2339934,ERR418417
SAMEA2339935,ERR418418
SAMEA2339936,ERR418419
SAMEA2339937,ERR418420
SAMEA2339938,ERR418421
SAMEA2339940,ERR418423
SAMEA2339941,ERR418424
SAMEA2339942,ERR418425
SAMEA2339943,ERR418426
SAMEA2339944,ERR418427
SAMEA2339945,ERR418428
SAMEA2339946,ERR418429
SAMEA2339947,ERR418430
SAMEA2339948,ERR418431
SAMEA2339949,ERR418432
SAMEA2339950,ERR418433
SAMEA2339953,ERR418436
SAMEA2339954,ERR418437
SAMEA2339955,ERR418438
SAMEA2339956,ERR418439
SAMEA2339957,ERR418440
