ID,run_accession
ERS034655,ERR044590
ERS002167,ERR017180
ERS002167,ERR017187
SRS351178,SRR521639
ERS002261,ERR017289
ERS002261,ERR017290
ERS002229,ERR017252
ERS002229,ERR017263
SRS351173,SRR521634
ERS002160,ERR017168
ERS002160,ERR017171
ERS002242,ERR017264
ERS002242,ERR017273
ERS002202,ERR017216
ERS002202,ERR017221
ERS034663,ERR044598
ERS002186,ERR017204
ERS002186,ERR017214
ERS034633,ERR044568
ERS002271,ERR017289
ERS002271,ERR017294
ERS002224,ERR017240
ERS002224,ERR017245
ERS034664,ERR044599
ERS034603,ERR045052
ERS002239,ERR017264
ERS002239,ERR017266
SRS351528,SRR521649
ERS002191,ERR017204
ERS002191,ERR017209
ERS002228,ERR017252
ERS002228,ERR017254
ERS002193,ERR017204
ERS002193,ERR017207
ERS002175,ERR017192
ERS002175,ERR017202
ERS002192,ERR017204
ERS002192,ERR017208
ERS002256,ERR017276
ERS002256,ERR017284
ERS034654,ERR044589
SRS351521,SRR521642
ERS002178,ERR017192
ERS002178,ERR017199
ERS034636,ERR044571
ERS034647,ERR044582
ERS002215,ERR017228
ERS002215,ERR017231
ERS034635,ERR044570
ERS034666,ERR044601
ERS034621,ERR045070
ERS034604,ERR045053
ERS034625,ERR044560
ERS002235,ERR017252
ERS002235,ERR017257
ERS034644,ERR044579
ERS002255,ERR017276
ERS002255,ERR017285
ERS034605,ERR045054
SRS351525,SRR521646
ERS002165,ERR017180
ERS002165,ERR017189
ERS002248,ERR017264
ERS002248,ERR017267
ERS002243,ERR017264
ERS002243,ERR017272
ERS034612,ERR045061
ERS034623,ERR045072
ERS002161,ERR017180
ERS002161,ERR017181
ERS002176,ERR017192
ERS002176,ERR017201
ERS002190,ERR017204
ERS002190,ERR017210
ERS002198,ERR017216
ERS002198,ERR017225
ERS002249,ERR017276
ERS002249,ERR017277
ERS034632,ERR044567
ERS002189,ERR017204
ERS002189,ERR017211
ERS002233,ERR017252
ERS002233,ERR017259
ERS002164,ERR017180
ERS002164,ERR017190
ERS002152,ERR017168
ERS002152,ERR017179
ERS034610,ERR045059
ERS002208,ERR017228
ERS002208,ERR017238
ERS002254,ERR017276
ERS002254,ERR017286
ERS034661,ERR044596
ERS002179,ERR017192
ERS002179,ERR017198
ERS002227,ERR017252
ERS002227,ERR017253
ERS002253,ERR017276
ERS002253,ERR017287
ERS034616,ERR045065
ERS034628,ERR044563
ERS002151,ERR017168
ERS002151,ERR017170
ERS002196,ERR017216
ERS002196,ERR017227
ERS002218,ERR017240
ERS002218,ERR017251
ERS034640,ERR044575
ERS002236,ERR017252
ERS002236,ERR017256
ERS002213,ERR017228
ERS002213,ERR017233
SRS351523,SRR521644
ERS002156,ERR017168
ERS002156,ERR017175
ERS002252,ERR017276
ERS002252,ERR017288
ERS002205,ERR017228
ERS002205,ERR017229
ERS002197,ERR017216
ERS002197,ERR017226
ERS034615,ERR045064
ERS002232,ERR017252
ERS002232,ERR017260
ERS034619,ERR045068
ERS034618,ERR045067
ERS034638,ERR044573
ERS002258,ERR017276
ERS002258,ERR017282
ERS034608,ERR045057
ERS002266,ERR017289
ERS002266,ERR017299
ERS034614,ERR045063
ERS002244,ERR017264
ERS002244,ERR017271
ERS034613,ERR045062
ERS002263,ERR017289
ERS002263,ERR017291
ERS002194,ERR017216
ERS002194,ERR017217
ERS034649,ERR044584
ERS002200,ERR017216
ERS002200,ERR017223
ERS034667,ERR044602
ERS002238,ERR017264
ERS002238,ERR017265
ERS002226,ERR017240
ERS002226,ERR017243
ERS002272,ERR017289
ERS002272,ERR017293
ERS034609,ERR045058
ERS034639,ERR044574
SRS351527,SRR521648
ERS002177,ERR017192
ERS002177,ERR017200
ERS034657,ERR044592
ERS002181,ERR017192
ERS002181,ERR017196
ERS034648,ERR044583
ERS002187,ERR017204
ERS002187,ERR017213
ERS002206,ERR017228
ERS002206,ERR017230
ERS034620,ERR045069
ERS002246,ERR017264
ERS002246,ERR017269
ERS002173,ERR017192
ERS002173,ERR017194
ERS034652,ERR044587
ERS002157,ERR017168
ERS002157,ERR017174
ERS002230,ERR017252
ERS002230,ERR017262
SRS351177,SRR521638
ERS002204,ERR017216
ERS002204,ERR017219
SRS351174,SRR521635
ERS034645,ERR044580
ERS034627,ERR044562
ERS002262,ERR017289
ERS002262,ERR017292
ERS034646,ERR044581
ERS034631,ERR044566
ERS034662,ERR044597
ERS002251,ERR017276
ERS002251,ERR017278
ERS002168,ERR017180
ERS002168,ERR017186
ERS034641,ERR044576
ERS002267,ERR017289
ERS002267,ERR017298
ERS002234,ERR017252
ERS002234,ERR017258
ERS034617,ERR045066
ERS034629,ERR044564
SRS351524,SRR521645
ERS002241,ERR017264
ERS002241,ERR017274
ERS034622,ERR045071
ERS002163,ERR017180
ERS002163,ERR017191
ERS002201,ERR017216
ERS002201,ERR017222
ERS002225,ERR017240
ERS002225,ERR017244
ERS034660,ERR044595
ERS002257,ERR017276
ERS002257,ERR017283
ERS002153,ERR017168
ERS002153,ERR017178
SRS351172,SRR521633
ERS002259,ERR017276
ERS002259,ERR017281
ERS002250,ERR017276
ERS002250,ERR017279
SRS351526,SRR521647
ERS002265,ERR017289
ERS002265,ERR017300
ERS002219,ERR017240
ERS002219,ERR017250
ERS002269,ERR017289
ERS002269,ERR017296
ERS002174,ERR017192
ERS002174,ERR017203
ERS034643,ERR044578
ERS034637,ERR044572
ERS034611,ERR045060
SRS351529,SRR525285
ERS002154,ERR017168
ERS002154,ERR017177
ERS002169,ERR017180
ERS002169,ERR017185
ERS002212,ERR017228
ERS002212,ERR017234
ERS034656,ERR044591
ERS034607,ERR045056
ERS002217,ERR017240
ERS002217,ERR017242
ERS034658,ERR044593
ERS002159,ERR017168
ERS002159,ERR017172
SRS351175,SRR521636
ERS002166,ERR017180
ERS002166,ERR017188
ERS002183,ERR017204
ERS002183,ERR017205
ERS002210,ERR017228
ERS002210,ERR017236
ERS002231,ERR017252
ERS002231,ERR017261
ERS002158,ERR017168
ERS002158,ERR017173
ERS002268,ERR017289
ERS002268,ERR017297
ERS002260,ERR017276
ERS002260,ERR017280
ERS002209,ERR017228
ERS002209,ERR017237
ERS034626,ERR044561
ERS002247,ERR017264
ERS002247,ERR017268
ERS002270,ERR017289
ERS002270,ERR017295
ERS002216,ERR017240
ERS002216,ERR017241
ERS034653,ERR044588
ERS002180,ERR017192
ERS002180,ERR017197
ERS002222,ERR017240
ERS002222,ERR017247
ERS002240,ERR017264
ERS002240,ERR017275
ERS034642,ERR044577
ERS034624,ERR045073
ERS034651,ERR044586
ERS002172,ERR017192
ERS002172,ERR017193
ERS002207,ERR017228
ERS002207,ERR017239
ERS034634,ERR044569
ERS002245,ERR017264
ERS002245,ERR017270
SRS351522,SRR521643
ERS034630,ERR044565
SRS351176,SRR521637
ERS002264,ERR017289
ERS002264,ERR017301
ERS002214,ERR017228
ERS002214,ERR017232
ERS002237,ERR017252
ERS002237,ERR017255
ERS002185,ERR017204
ERS002185,ERR017215
SRS351520,SRR521641
ERS002184,ERR017204
ERS002184,ERR017206
ERS002150,ERR017168
ERS002150,ERR017169
ERS002220,ERR017240
ERS002220,ERR017249
ERS034659,ERR044594
ERS034665,ERR044600
ERS034650,ERR044585
