ID,run_accession
ERS040906,ERR053010
ERS040912,ERR053016
ERS016651,ERR030270
ERS016651,ERR030274
ERS016534,ERR030171
ERS016534,ERR030176
ERS016556,ERR030184
ERS016556,ERR030195
ERS016655,ERR030270
ERS016655,ERR030278
ERS016637,ERR030258
ERS016637,ERR030263
ERS016506,ERR030145
ERS016506,ERR030146
ERS016541,ERR030171
ERS016541,ERR030178
ERS016574,ERR030210
ERS016574,ERR030214
ERS040910,ERR053014
ERS016569,ERR030197
ERS016569,ERR030207
ERS016613,ERR030222
ERS016613,ERR030232
ERS016634,ERR030246
ERS016634,ERR030251
ERS016599,ERR029468
ERS016599,ERR029478
ERS016656,ERR030270
ERS016656,ERR030280
ERS016550,ERR030184
ERS016550,ERR030189
ERS016546,ERR030171
ERS016546,ERR030173
ERS016468,ERR029341
ERS016468,ERR029348
ERS040908,ERR053012
ERS016568,ERR030197
ERS016568,ERR030206
ERS016633,ERR030246
ERS016633,ERR030257
ERS016657,ERR030270
ERS016657,ERR030281
ERS040909,ERR053013
ERS016549,ERR030184
ERS016549,ERR030185
ERS016571,ERR030197
ERS016571,ERR030200
ERS016494,ERR029367
ERS016494,ERR029375
ERS016544,ERR030171
ERS016544,ERR030181
ERS016638,ERR030258
ERS016638,ERR030264
ERS016516,ERR030145
ERS016516,ERR030152
ERS016478,ERR029354
ERS016478,ERR029363
ERS016487,ERR029354
ERS016487,ERR029366
ERS040904,ERR053008
ERS016670,ERR031661
ERS016670,ERR031663
ERS040915,ERR053019
ERS016576,ERR030210
ERS016576,ERR030216
ERS016517,ERR030145
ERS016517,ERR030153
ERS016520,ERR030145
ERS016520,ERR030156
ERS016585,ERR029456
ERS016585,ERR029461
ERS016646,ERR030258
ERS016646,ERR030267
ERS016645,ERR030258
ERS016645,ERR030266
ERS016530,ERR030158
ERS016530,ERR030169
ERS016518,ERR030145
ERS016518,ERR030154
ERS016519,ERR030145
ERS016519,ERR030155
ERS016626,ERR030234
ERS016626,ERR030236
ERS016629,ERR030246
ERS016629,ERR030250
ERS016653,ERR030270
ERS016653,ERR030276
ERS040928,ERR053032
ERS016471,ERR029341
ERS016471,ERR029344
ERS016521,ERR030145
ERS016521,ERR030157
ERS016488,ERR029354
ERS016488,ERR029356
ERS040911,ERR053015
ERS016610,ERR030222
