ID,run_accession
ERS093021,ERR134683
ERS092814,ERR134836
ERS092803,ERR223152
ERS092992,ERR134654
ERS093083,ERR134745
ERS092760,ERR134782
ERS092975,ERR134637
ERS092909,ERR137961
ERS092909,ERR302797
ERS195413,ERR249312
ERS092930,ERR137982
ERS092930,ERR302818
ERS195428,ERR249327
ERS092791,ERR134813
ERS092932,ERR137984
ERS092932,ERR302820
ERS092925,ERR137977
ERS092925,ERR302813
ERS092770,ERR134792
ERS092770,ERR338634
ERS092919,ERR137971
ERS092919,ERR302807
ERS092802,ERR223151
ERS195429,ERR249328
ERS092775,ERR134797
ERS092913,ERR137965
ERS092913,ERR302801
ERS092769,ERR134791
ERS092895,ERR137947
ERS092895,ERR302783
ERS093088,ERR134750
ERS092779,ERR134801
ERS092761,ERR134783
ERS092915,ERR137967
ERS092915,ERR302803
ERS092940,ERR137992
ERS092940,ERR302828
ERS195391,ERR256875
ERS092986,ERR134648
ERS092931,ERR137983
ERS092931,ERR302819
ERS092976,ERR134638
ERS093079,ERR134741
ERS092956,ERR134618
ERS092979,ERR134641
ERS093061,ERR134723
ERS093061,ERR302841
ERS093105,ERR134767
ERS195417,ERR249316
ERS195405,ERR256889
ERS092957,ERR134619
ERS195393,ERR256877
ERS093102,ERR134764
ERS092767,ERR134789
ERS092914,ERR137966
ERS092914,ERR302802
ERS092985,ERR134647
ERS093108,ERR134770
ERS093106,ERR134768
ERS092855,ERR137907
ERS092855,ERR302743
ERS092917,ERR137969
ERS092917,ERR302805
ERS092922,ERR137974
ERS092922,ERR302810
ERS092838,ERR134860
ERS092924,ERR137976
ERS092924,ERR302812
ERS093071,ERR134733
ERS092948,ERR138000
ERS092948,ERR302836
ERS092783,ERR134805
ERS092788,ERR134810
ERS092798,ERR134820
ERS092795,ERR134817
ERS195407,ERR256891
ERS092799,ERR134821
ERS195395,ERR256879
ERS092820,ERR134842
ERS092758,ERR134780
ERS093020,ERR134682
ERS092926,ERR137978
ERS092926,ERR302814
ERS092825,ERR134847
ERS092822,ERR134844
ERS092870,ERR137922
ERS092870,ERR302758
ERS092944,ERR137996
ERS092944,ERR302832
ERS092893,ERR137945
ERS092893,ERR302781
ERS092815,ERR134837
ERS092973,ERR134635
ERS092777,ERR134799
ERS092941,ERR137993
ERS092941,ERR302829
ERS093008,ERR134670
ERS093080,ERR134742
ERS093112,ERR134774
ERS093045,ERR134707
ERS092991,ERR134653
ERS195423,ERR249322
ERS092928,ERR137980
ERS092928,ERR302816
ERS092830,ERR134852
ERS092762,ERR134784
ERS092840,ERR134862
ERS092960,ERR134622
ERS092952,ERR134614
ERS092832,ERR134854
ERS195399,ERR256883
ERS092954,ERR134616
ERS092808,ERR134830
ERS093047,ERR134709
ERS092901,ERR137953
ERS092901,ERR302789
ERS092856,ERR137908
ERS092856,ERR302744
ERS092881,ERR137933
ERS092881,ERR302769
ERS093041,ERR134703
ERS092876,ERR137928
ERS092876,ERR302764
ERS092871,ERR137923
ERS092871,ERR302759
ERS092806,ERR134828
ERS092879,ERR137931
ERS092879,ERR302767
ERS092966,ERR134628
ERS093034,ERR134696
ERS093035,ERR134697
ERS092936,ERR137988
ERS092936,ERR302824
ERS093049,ERR134711
ERS092809,ERR134831
ERS092885,ERR137937
ERS092885,ERR302773
ERS093107,ERR134769
ERS092858,ERR137910
ERS092858,ERR302746
ERS092937,ERR137989
ERS092937,ERR302825
ERS092857,ERR137909
ERS092857,ERR302745
ERS092861,ERR137913
ERS092861,ERR302749
ERS092998,ERR134660
ERS093050,ERR134712
ERS093062,ERR134724
ERS093006,ERR134668
ERS093053,ERR134715
ERS093117,ERR134779
ERS092817,ERR134839
ERS093000,ERR134662
ERS092847,ERR134869
ERS092969,ERR134631
ERS092929,ERR137981
ERS092929,ERR302817
ERS093031,ERR134693
ERS092873,ERR137925
ERS092873,ERR302761
ERS093063,ERR134725
ERS093038,ERR134700
ERS092868,ERR137920
ERS092868,ERR302756
ERS092868,ERR338637
