run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR2004729	PRJEB21277	SAMEA104121140	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004729/WTCHG_377465_201106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004729/WTCHG_377465_201106_2.fastq.gz
ERR2004730	PRJEB21277	SAMEA104121141	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004730/WTCHG_377465_202118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004730/WTCHG_377465_202118_2.fastq.gz
ERR2004731	PRJEB21277	SAMEA104121142	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004731/WTCHG_377465_203130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004731/WTCHG_377465_203130_2.fastq.gz
ERR2004732	PRJEB21277	SAMEA104121143	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004732/WTCHG_377465_204142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004732/WTCHG_377465_204142_2.fastq.gz
ERR2004733	PRJEB21277	SAMEA104121144	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004733/WTCHG_377465_205154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004733/WTCHG_377465_205154_2.fastq.gz
ERR2004734	PRJEB21277	SAMEA104121145	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004734/WTCHG_377465_206166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004734/WTCHG_377465_206166_2.fastq.gz
ERR2004735	PRJEB21277	SAMEA104121146	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004735/WTCHG_377465_207178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004735/WTCHG_377465_207178_2.fastq.gz
ERR2004736	PRJEB21277	SAMEA104121147	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004736/WTCHG_377465_208190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004736/WTCHG_377465_208190_2.fastq.gz
ERR2004737	PRJEB21277	SAMEA104121148	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004737/WTCHG_377465_209107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004737/WTCHG_377465_209107_2.fastq.gz
ERR2004738	PRJEB21277	SAMEA104121149	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004738/WTCHG_377465_210119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004738/WTCHG_377465_210119_2.fastq.gz
ERR2004739	PRJEB21277	SAMEA104121150	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004739/WTCHG_377465_211131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004739/WTCHG_377465_211131_2.fastq.gz
ERR2004740	PRJEB21277	SAMEA104121151	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004740/WTCHG_377465_212143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004740/WTCHG_377465_212143_2.fastq.gz
ERR2004741	PRJEB21277	SAMEA104121152	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004741/WTCHG_377465_213155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004741/WTCHG_377465_213155_2.fastq.gz
ERR2004742	PRJEB21277	SAMEA104121153	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004742/WTCHG_377465_214167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004742/WTCHG_377465_214167_2.fastq.gz
ERR2004743	PRJEB21277	SAMEA104121154	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004743/WTCHG_377465_215179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004743/WTCHG_377465_215179_2.fastq.gz
ERR2004744	PRJEB21277	SAMEA104121155	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004744/WTCHG_377465_216191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004744/WTCHG_377465_216191_2.fastq.gz
ERR2004745	PRJEB21277	SAMEA104121156	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004745/WTCHG_377465_217108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004745/WTCHG_377465_217108_2.fastq.gz
ERR2004746	PRJEB21277	SAMEA104121157	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004746/WTCHG_377465_218120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004746/WTCHG_377465_218120_2.fastq.gz
ERR2004747	PRJEB21277	SAMEA104121158	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004747/WTCHG_377465_219132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004747/WTCHG_377465_219132_2.fastq.gz
ERR2004748	PRJEB21277	SAMEA104121159	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004748/WTCHG_377465_220144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004748/WTCHG_377465_220144_2.fastq.gz
ERR2004749	PRJEB21277	SAMEA104121160	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004749/WTCHG_377465_221156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004749/WTCHG_377465_221156_2.fastq.gz
ERR2004750	PRJEB21277	SAMEA104121161	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004750/WTCHG_377465_222168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004750/WTCHG_377465_222168_2.fastq.gz
ERR2004751	PRJEB21277	SAMEA104121162	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004751/WTCHG_377465_223180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004751/WTCHG_377465_223180_2.fastq.gz
ERR2004752	PRJEB21277	SAMEA104121163	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004752/WTCHG_377465_224192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004752/WTCHG_377465_224192_2.fastq.gz
ERR2004753	PRJEB21277	SAMEA104121164	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004753/WTCHG_377465_225109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004753/WTCHG_377465_225109_2.fastq.gz
ERR2004754	PRJEB21277	SAMEA104121165	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004754/WTCHG_377465_226121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004754/WTCHG_377465_226121_2.fastq.gz
ERR2004755	PRJEB21277	SAMEA104121166	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004755/WTCHG_377465_227133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004755/WTCHG_377465_227133_2.fastq.gz
ERR2004756	PRJEB21277	SAMEA104121167	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004756/WTCHG_377465_228145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004756/WTCHG_377465_228145_2.fastq.gz
ERR2004757	PRJEB21277	SAMEA104121168	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004757/WTCHG_377465_229157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004757/WTCHG_377465_229157_2.fastq.gz
ERR2004758	PRJEB21277	SAMEA104121169	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004758/WTCHG_377465_230169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004758/WTCHG_377465_230169_2.fastq.gz
ERR2004759	PRJEB21277	SAMEA104121170	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004759/WTCHG_377465_231181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004759/WTCHG_377465_231181_2.fastq.gz
ERR2004760	PRJEB21277	SAMEA104121171	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004760/WTCHG_377465_232193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004760/WTCHG_377465_232193_2.fastq.gz
ERR2004761	PRJEB21277	SAMEA104121172	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004761/WTCHG_377465_233110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004761/WTCHG_377465_233110_2.fastq.gz
ERR2004762	PRJEB21277	SAMEA104121173	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004762/WTCHG_377465_234122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004762/WTCHG_377465_234122_2.fastq.gz
ERR2004763	PRJEB21277	SAMEA104121174	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004763/WTCHG_377465_235134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004763/WTCHG_377465_235134_2.fastq.gz
ERR2004764	PRJEB21277	SAMEA104121175	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004764/WTCHG_377465_236146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004764/WTCHG_377465_236146_2.fastq.gz
ERR2004765	PRJEB21277	SAMEA104121176	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004765/WTCHG_377465_237158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004765/WTCHG_377465_237158_2.fastq.gz
ERR2004766	PRJEB21277	SAMEA104121177	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004766/WTCHG_377465_238170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004766/WTCHG_377465_238170_2.fastq.gz
ERR2004767	PRJEB21277	SAMEA104121178	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004767/WTCHG_377465_239182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR200/ERR2004767/WTCHG_377465_239182_2.fastq.gz
