run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR10367339	PRJNA646837	SAMEA3356970	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367339/INF102.fastq.gz
ERR10367340	PRJNA646837	SAMEA3356991	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367340/INF032.fastq.gz
ERR10367341	PRJNA646837	SAMEA3357003	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367341/INF119.fastq.gz
ERR10367342	PRJNA646837	SAMEA3357010	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367342/INF042.fastq.gz
ERR10367343	PRJNA646837	SAMEA3357013	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367343/INF044.fastq.gz
ERR10367344	PRJNA646837	SAMEA3357023	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367344/INF049.fastq.gz
ERR10367345	PRJNA646837	SAMEA3357035	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367345/INF134.fastq.gz
ERR10367346	PRJNA646837	SAMEA3357066	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367346/INF151.fastq.gz
ERR10367348	PRJNA646837	SAMEA3357077	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367348/INF157.fastq.gz
ERR10367349	PRJNA646837	SAMEA3357081	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367349/INF079.fastq.gz
ERR10367350	PRJNA646837	SAMEA3357086	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367350/INF161.fastq.gz
ERR10367351	PRJNA646837	SAMEA3357107	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367351/INF174.fastq.gz
ERR10367352	PRJNA646837	SAMEA3357113	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367352/INF177.fastq.gz
