Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,sub_species
SRR17179098,WGS,302,665121780,PRJNA787062,SAMN23768705,Pathogen.cl,256330874,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362742,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,116,Human blood sample,8.9806 N 38.7578 E,116,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,116,SRP349950,Not appllicable,
SRR17179099,WGS,302,1748886228,PRJNA787062,SAMN23768627,Pathogen.cl,590263204,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13362741,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,12,Human blood sample,7.0504 N 38.4955 E,12,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,12,SRP349950,Not appllicable,
SRR17179100,WGS,302,1388597208,PRJNA787062,SAMN23768767,Pathogen.cl,444686610,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362740,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,115,Human blood sample,8.9806 N 38.7578 E,115,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,115,SRP349950,Not appllicable,
SRR17179101,WGS,302,1000930680,PRJNA787062,SAMN23768766,Pathogen.cl,324918206,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362739,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,114,Human blood sample,8.9806 N 38.7578 E,114,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,114,SRP349950,Not appllicable,
SRR17179102,WGS,302,1728076012,PRJNA787062,SAMN23768765,Pathogen.cl,547303570,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX13362738,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,112,Human blood sample,8.9806 N 38.7578 E,112,PAIRED,RANDOM,GENOMIC,Klebsiella oxytoca,ILLUMINA,2022-07-18T00:00:00Z,112,SRP349950,Not appllicable,
SRR17179103,WGS,302,1252027070,PRJNA787062,SAMN23768764,Pathogen.cl,400001260,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362737,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,111,Human blood sample,8.9806 N 38.7578 E,111,PAIRED,RANDOM,GENOMIC,Serratia marcescens,ILLUMINA,2022-07-18T00:00:00Z,111,SRP349950,Not appllicable,
SRR17179104,WGS,302,1052858976,PRJNA787062,SAMN23768763,Pathogen.cl,339116793,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13362736,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,110,Human blood sample,8.9806 N 38.7578 E,110,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,110,SRP349950,Not appllicable,
SRR17179105,WGS,302,1682182884,PRJNA787062,SAMN23768762,Pathogen.cl,541481525,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362735,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,107,Human blood sample,8.9806 N 38.7578 E,107,PAIRED,RANDOM,GENOMIC,Klebsiella oxytoca,ILLUMINA,2022-07-18T00:00:00Z,107,SRP349950,Not appllicable,
SRR17179106,WGS,302,1367644750,PRJNA787062,SAMN23768761,Pathogen.cl,439487822,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13362734,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,106,Human blood sample,8.9806 N 38.7578 E,106,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,106,SRP349950,Not appllicable,
SRR17179107,WGS,302,1083450368,PRJNA787062,SAMN23768760,Pathogen.cl,354741038,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362733,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,104,Human blood sample,8.9806 N 38.7578 E,104,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,104,SRP349950,Not appllicable,
