run_accession,study_accession,secondary_study_accession,sample_accession,secondary_sample_accession,tax_id,scientific_name,submitted_ftp,sample_title,Sanger ID,Sample,Synonym,Group,Isolation-date,Country,Region,Latitude,Longitude,SCCmec from Velvet,spa-type,Hospital-origin,CIP,CLI,ERY,FUS,GEN,LIN,MFL,OXA,PEN,SXT,TET
ERR017169,PRJEB2096,ERP000150,SAMEA734677,ERS002150,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017169/4351_1#1.srf,Staphylococcus aureus; Staphylococcus aureus; Staphylococcus aureus,4351_1_1,98-26821,09-03576,ST22-A2,1998,UK,London,51.5002,-0.1262,IVh,t1275,+,R,S,S,S,S,S,R,R,R,S,S
ERR017170,PRJEB2096,ERP000150,SAMEA734676,ERS002151,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017170/4351_1#10.srf,Staphylococcus aureus; Staphylococcus aureus; Staphylococcus aureus,4351_1_10,98-24344,09-03574,ST22-A2,1998,UK,London,51.5002,-0.1262,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017171,PRJEB2096,ERP000150,SAMEA734757,ERS002160,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017171/4351_1#11.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_11,09-01245,299/07,ST22-A2,2007|09|08,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017172,PRJEB2096,ERP000150,SAMEA734680,ERS002159,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017172/4351_1#2.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_2,09-01246,295/07,ST22-A2,2007|08|10,Singapore,Singapore,1.3521,103.8198,IVh,t1214,+,R,S,R,S,S,S,R,R,R,S,R
ERR017173,PRJEB2096,ERP000150,SAMEA734681,ERS002158,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017173/4351_1#3.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_3,09-01247,314/07,ST22-A2,2007|10|09,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017174,PRJEB2096,ERP000150,SAMEA734674,ERS002157,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017174/4351_1#4.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_4,09-01248,323/07,ST22-A2,2007|10|17,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,R
ERR017175,PRJEB2096,ERP000150,SAMEA734675,ERS002156,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017175/4351_1#5.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_5,09-01249,345/07,ST22-A2,2007|10|22,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017177,PRJEB2096,ERP000150,SAMEA734672,ERS002154,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017177/4351_1#7.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_7,96-01678_H,09-03577,ST22-A2,1996|10,Germany,Berlin,52.5234,13.4114,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017178,PRJEB2096,ERP000150,SAMEA734678,ERS002153,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017178/4351_1#8.srf,Staphylococcus aureus; Staphylococcus aureus; Staphylococcus aureus,4351_1_8,98-10618,09-03575,ST22-A1,1998,UK,London,51.5002,-0.1262,IVh,t022,+,S,S,S,S,S,S,S,R,R,S,S
ERR017179,PRJEB2096,ERP000150,SAMEA734679,ERS002152,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017179/4351_1#9.srf,Staphylococcus aureus; Staphylococcus aureus,4351_1_9,09-01244,133/07,ST22-A2,2007|04|19,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017181,PRJEB2096,ERP000150,SAMEA734758,ERS002161,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017181/4351_2#1.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_1,09-01243,153/04,ST22-A2,2004|01|21,Singapore,Singapore,1.3521,103.8198,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017185,PRJEB2096,ERP000150,SAMEA734751,ERS002169,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017185/4351_2#3.srf,Staphylococcus aureus; Staphylococcus aureus; Staphylococcus aureus,4351_2_3,09-00980,SH/587,ST22-A1,1996,UK,Bristol,51.4553,-2.5919,IVh,t022,+,S,S,R,S,S,S,S,R,R,S,S
ERR017186,PRJEB2096,ERP000150,SAMEA734750,ERS002168,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017186/4351_2#4.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_4,09-00981,MID/MV7804,ST22-A2,1996,New Zealand,Auckland,-36.8485,174.7633,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017187,PRJEB2096,ERP000150,SAMEA734756,ERS002167,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017187/4351_2#5.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_5,09-00982,MID/MV7798,ST22-A2,1996,New Zealand,Auckland,-36.8485,174.7633,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017188,PRJEB2096,ERP000150,SAMEA734755,ERS002166,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017188/4351_2#6.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_6,09-00983,MID/MV7767,ST22-A2,1996,New Zealand,Auckland,-36.8485,174.7633,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017189,PRJEB2096,ERP000150,SAMEA734754,ERS002165,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017189/4351_2#7.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_7,09-00984,MID/MV7354,ST22-A2,1996,New Zealand,Auckland,-36.8485,174.7633,IVh,t032,+,R,S,R,S,S,S,R,R,R,S,S
ERR017190,PRJEB2096,ERP000150,SAMEA734753,ERS002164,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017190/4351_2#8.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_8,09-00985,98072V,non-ST22-A,1996,Australia,Perth,-31.9522,115.8589,MSSA,t005,+,S,S,S,S,S,S,S,S,S,S,S
ERR017191,PRJEB2096,ERP000150,SAMEA734760,ERS002163,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017191/4351_2#9.srf,Staphylococcus aureus; Staphylococcus aureus,4351_2_9,08-01674,045-85502,ST22-A2,2007|09|11,Germany,Cottbus,51.7607,14.3274,IVh,t432,+,R,R,R,S,S,S,R,R,R,S,S
ERR017193,PRJEB2096,ERP000150,SAMEA734730,ERS002172,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017193/4351_3#1.srf,Staphylococcus aureus; Staphylococcus aureus,4351_3_1,08-01673,045-85842,ST22-A2,2007|09|18,Germany,Cottbus,51.7607,14.3274,IVh,t531,+,R,S,S,S,S,S,R,R,R,S,S
ERR017194,PRJEB2096,ERP000150,SAMEA734729,ERS002173,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017194/4351_3#10.srf,Staphylococcus aureus; Staphylococcus aureus,4351_3_10,08-01672,045-93458,ST22-A2,2008|04|11,Germany,Cottbus,51.7607,14.3274,IVh,t032,+,R,S,S,S,S,S,R,R,R,S,S
ERR017196,PRJEB2096,ERP000150,SAMEA734794,ERS002181,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017196/4351_3#2.srf,Staphylococcus aureus; Staphylococcus aureus,4351_3_2,08-01530,500561,ST22-A2,2008|06|19,Germany,Bad Mergentheim,49.4902,9.7732,IVh,t025,+,R,S,S,S,S,S,R,R,R,S,S
ERR017197,PRJEB2096,ERP000150,SAMEA734793,ERS002180,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017197/4351_3#3.srf,Staphylococcus aureus; Staphylococcus aureus,4351_3_3,08-01666,045-95733,ST22-A2,2008|06|10,Germany,Cottbus,51.7607,14.3274,IVh,t1214,+,R,R,R,S,S,S,R,R,R,S,S
ERR017198,PRJEB2096,ERP000150,SAMEA734723,ERS002179,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR017/ERR017198/4351_3#4.srf,Staphylococcus aureus; Staphylococcus aureus,4351_3_4,08-01667,045-95519,ST22-A2,2008|06|04,Germany,Cottbus,51.7607,14.3274,IVh,t1214,+,R,R,R,S,S,S,R,R,R,S,S
