Strain,ISOLATE DATE (yearmonth),Hospital,EBI Study accession,Sample accession,Experiment accession,Run accession,ETH MIC (mg/ml)
5,200101,Muñiz,PRJEB7669,ERS652746,ERX701775,ERR757145,NA
6,200101,Muñiz,PRJEB7669,ERS652747,ERX701776,ERR757146,NA
11,200001,SanJuan de Dios (La Plata),PRJEB7669,ERS652748,ERX701777,ERR757147,5
16,200001,SanJuan de Dios,PRJEB7669,ERS652749,ERX701778,ERR757148,2.5
17,200012,Piñero(Capital Federal),PRJEB7669,ERS652750,ERX701779,ERR757149,NA
23,200011,EvitaLanus (Provincia de Buenos Aires),PRJEB7669,ERS652751,ERX701780,ERR757150,NA
27,200101,SanJuan de Dios,PRJEB7669,ERS652752,ERX701781,ERR757151,5
34,200099,Paroissien(Provincia de Buenos Aires),PRJEB7669,ERS652753,ERX701789,ERR757159,NA
36,199899,Muñiz,PRJEB7669,ERS652754,ERX701790,ERR757160,-
38,200099,Muñiz,PRJEB7669,ERS652755,ERX701791,ERR757161,NA
55,200099,Muñiz,PRJEB7669,ERS652756,ERX701782,ERR757152,NA
106,200105,Garrahan(Capital Federal),PRJEB7669,ERS652757,ERX701792,ERR757162,2.5
107,200107,Muñiz,PRJEB7669,ERS652758,ERX701793,ERR757163,-
108,200105,Muñiz,PRJEB7669,ERS652759,ERX701794,ERR757164,10
110,200106,Muñiz,PRJEB7669,ERS652760,ERX701795,ERR757165,-
112,200199,Muñiz,PRJEB7669,ERS652761,ERX701796,ERR757166,NA
120,199610,Fernandez(Capital Federal),PRJEB7669,ERS652762,ERX701797,ERR757167,NA
133,200107,Muñiz,PRJEB7669,ERS652763,ERX701798,ERR757168,NA
134,200108,Muñiz,PRJEB7669,ERS652764,ERX701799,ERR757169,-
135,200104,Muñiz,PRJEB7669,ERS652765,ERX701800,ERR757170,20
136,200104,Muñiz,PRJEB7669,ERS652766,ERX701801,ERR757171,NA
137,200108,Muñiz,PRJEB7669,ERS652767,ERX701802,ERR757172,NA
140,200102,Muñiz,PRJEB7669,ERS652768,ERX701803,ERR757173,NA
141,200107,Muñiz& Ferrer,PRJEB7669,ERS652769,ERX701804,ERR757174,"<1,25"
142,200110,Muñiz,PRJEB7669,ERS652770,ERX701805,ERR757175,NA
144,200101,Muñiz,PRJEB7669,ERS652771,ERX701806,ERR757176,NA
145,200106,Muñiz,PRJEB7669,ERS652772,ERX701807,ERR757177,NA
147,200102,Muñiz,PRJEB7669,ERS652773,ERX701808,ERR757178,NA
148,200102,Muñiz,PRJEB7669,ERS652774,ERX701809,ERR757179,NA
153,200108,Muñiz,PRJEB7669,ERS652775,ERX701810,ERR757180,NA
156,200101,Muñiz,PRJEB7669,ERS652776,ERX701811,ERR757181,NA
158,200105,Muñiz,PRJEB7669,ERS652777,ERX701812,ERR757182,NA
163,200104,Muñiz,PRJEB7669,ERS652778,ERX701813,ERR757183,NA
168,200103,Muñiz,PRJEB7669,ERS652779,ERX701814,ERR757184,40
