sample_set,comid,sra_accessions,species,Sequence Type (ST),Clol Complex (CC),Gentamicin,Penicillin,Trimethoprim,Erythromycin,Methicillin,Ciprofloxacin,Rifampicin,Tetracycline,Mupirocin,FusidicAcid,Clindamycin,Vancomycin,Clonal Complex (CC),study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
St_B1,C00001075,ERR410034,aureus,15,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc15,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001076,ERR410035,aureus,1094,NA,S,S,S,R,S,S,S,S,S,S,NA,S,cc1094,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001077,ERR410036,aureus,97,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc97,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001078,ERR410037,aureus,97,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc97,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001079,ERR410038,aureus,22,NA,S,R,S,S,S,S,S,R,S,S,NA,S,cc22,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001081,ERR410040,aureus,15,NA,S,R,S,S,S,S,S,R,S,S,NA,S,cc15,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001083,ERR410042,aureus,59,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc59,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001084,ERR410043,aureus,8,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc8,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001085,ERR410044,aureus,5,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc5,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001086,ERR410045,aureus,8,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc8,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001087,ERR410046,aureus,2437,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc5,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001088,ERR410047,aureus,39,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc39,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001089,ERR410048,aureus,30,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc30,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001090,ERR410049,aureus,34,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc34,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001091,ERR410050,aureus,8,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc8,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001093,ERR410052,aureus,15,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc15,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001094,ERR410053,aureus,2255,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc15,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001096,ERR410055,aureus,30,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc30,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001097,ERR410056,aureus,45,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc45,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001098,ERR410057,aureus,878,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc30,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001099,ERR410058,aureus,7,NA,S,S,S,S,S,S,S,S,S,S,NA,S,cc7,NA,NA,NA,NA,NA,NA,NA,NA,NA
St_B1,C00001100,ERR410059,aureus,34,NA,S,R,S,S,S,S,S,S,S,S,NA,S,cc34,NA,NA,NA,NA,NA,NA,NA,NA,NA
