Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,specific_host,body_site,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,Label,Host,Cystic_fibrosis,Infection_site,MEM,MIC_MEM,CAZ,MIC_CAZ,TOB,MIC_TOB,CIP,MIC_CIP
SRR1056046,RNA-Seq,214,611459418,PRJNA231236,SAMN02470300,407270368,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396860,Illumina Genome Analyzer IIx,PSAE1715,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc10,SRP034661,clinical isolate,Homo sapiens,respiratory tract,Germany,Europe,Germany: Freiburg,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,S,4,S,0.5,S,1
SRR1056047,RNA-Seq,214,561809064,PRJNA231236,SAMN02470301,376354699,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396861,Illumina Genome Analyzer IIx,PSAE1775,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc11,SRP034661,clinical isolate,Homo sapiens,respiratory tract,Germany,Europe,Germany: Ruedesheim,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,S,4,S,1,S,0.5
SRR1056048,RNA-Seq,214,488891988,PRJNA231236,SAMN02470302,328134478,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"sra,fastq",s3,s3.us-east-1,SRX396862,Illumina Genome Analyzer IIx,PSAE1807,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc12,SRP034661,clinical isolate,Homo sapiens,respiratory tract,Germany,Europe,Germany: Berlin,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,R,64,S,0.5,S,0.25
SRR1056049,RNA-Seq,214,500735818,PRJNA231236,SAMN02470303,333008519,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"sra,fastq",s3,s3.us-east-1,SRX396863,Illumina Genome Analyzer IIx,PSAE1829,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc13,SRP034661,clinical isolate,Homo sapiens,respiratory tract,Germany,Europe,Germany: Regensburg,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,S,4,S,0.5,I,2
SRR1056050,RNA-Seq,214,637791262,PRJNA231236,SAMN02470304,421066299,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396864,Illumina Genome Analyzer IIx,PSAE1695,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc15,SRP034661,clinical isolate,Homo sapiens,repiratory tract,Germany,Europe,Germany: Bremen,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,S,1,S,4,S,4,R,64
SRR1056051,RNA-Seq,214,819015878,PRJNA231236,SAMN02470305,534733927,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"sra,fastq",s3,s3.us-east-1,SRX396865,Illumina Genome Analyzer IIx,PSAE1655,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc2,SRP034661,clinical isolate,Homo sapiens,repiratory tract,Germany,Europe,Germany: Munich,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,S,4,S,1,I,2
SRR1056052,RNA-Seq,214,650242852,PRJNA231236,SAMN02470306,429239068,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"sra,fastq",s3,s3.us-east-1,SRX396866,Illumina Genome Analyzer IIx,PSAE1793,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc4,SRP034661,clinical isolate,Homo sapiens,respiratory tract,uncalculated,uncalculated,nd,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,R,>32,S,8,R,8,R,8
SRR1056053,RNA-Seq,214,481702016,PRJNA231236,SAMN02470307,316042352,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396867,Illumina Genome Analyzer IIx,PSAE1646,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc5,SRP034661,clinical isolate,Homo sapiens,urine,Germany,Europe,Germany: Munich,"Strain collection University of Freiburg\, Germany",NA,NA,nd,urine,R,16,S,4,S,2,I,2
SRR1056054,RNA-Seq,214,590866412,PRJNA231236,SAMN02470308,385496721,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396868,Illumina Genome Analyzer IIx,PSAE1660,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc6,SRP034661,clinical isolate,Homo sapiens,repiratory tract,Germany,Europe,Germany: Munich,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,R,16,S,8,S,1,I,2
SRR1056055,RNA-Seq,214,435707638,PRJNA231236,SAMN02470309,290852123,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396869,Illumina Genome Analyzer IIx,PSAE1657,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc7,SRP034661,clinical isolate,Homo sapiens,repiratory tract,Germany,Europe,Germany: Munich,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,R,16,S,8,S,0.5,I,2
SRR1056056,RNA-Seq,214,379527288,PRJNA231236,SAMN02470310,254104265,HELMHOLTZ CENTER FOR INFECTION RESEARCH,public,"fastq,sra",s3,s3.us-east-1,SRX396870,Illumina Genome Analyzer IIx,PSAE1659,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2015-06-17T00:00:00Z,clinical_pool_10_bc8,SRP034661,clinical isolate,Homo sapiens,repiratory tract,Germany,Europe,Germany: Munich,"Strain collection University of Freiburg\, Germany",NA,NA,nd,respiratory_tract,I,8,I,16,S,4,I,2
