Genome,Ampicillin,Cefazolin,Ceftriaxone,Cefuroxime,Ciprofloxacin,Gentamicin,Tobramycin,Short Read Archive,BioProject Accession,BioSample Accession,Run Accession,Original Study Accession
C00022105,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357496,SRR3050845,PRJNA306133
C00022106,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357497,SRR3050846,PRJNA306133
C00022107,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357498,SRR3050847,PRJNA306133
C00022108,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357499,SRR3050848,PRJNA306133
C00022109,0,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357500,SRR3050849,PRJNA306133
C00022110,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357501,SRR3050850,PRJNA306133
C00022119,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357510,SRR3050851,PRJNA306133
C00022112,1,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357503,SRR3050852,PRJNA306133
C00022113,1,1,0,0,0,1,1,NCBI,PRJNA306133,SAMN04357504,SRR3050853,PRJNA306133
C00022114,1,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357505,SRR3050854,PRJNA306133
C00022115,1,1,0,0,1,0,1,NCBI,PRJNA306133,SAMN04357506,SRR3050855,PRJNA306133
C00022116,1,1,0,0,1,0,0,NCBI,PRJNA306133,SAMN04357507,SRR3050856,PRJNA306133
C00022117,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357508,SRR3050857,PRJNA306133
C00022118,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357509,SRR3050858,PRJNA306133
C00022111,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357502,SRR3050859,PRJNA306133
C00022120,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357511,SRR3050860,PRJNA306133
C00022121,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357512,SRR3050861,PRJNA306133
C00022122,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357513,SRR3050862,PRJNA306133
C00022123,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357514,SRR3050863,PRJNA306133
C00022124,1,1,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357515,SRR3050864,PRJNA306133
C00022125,1,1,1,1,1,0,0,NCBI,PRJNA306133,SAMN04357516,SRR3050865,PRJNA306133
C00022126,0,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357517,SRR3050866,PRJNA306133
C00022127,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357518,SRR3050867,PRJNA306133
C00022128,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357519,SRR3050868,PRJNA306133
C00022129,1,1,0,1,1,0,0,NCBI,PRJNA306133,SAMN04357520,SRR3050869,PRJNA306133
C00026313,1,0,0,0,1,0,0,NCBI,PRJNA306133,SAMN04357521,SRR3050870,PRJNA306133
C00026314,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357522,SRR3050871,PRJNA306133
C00026315,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357523,SRR3050872,PRJNA306133
C00026316,1,1,0,1,1,0,0,NCBI,PRJNA306133,SAMN04357524,SRR3050873,PRJNA306133
C00026317,1,1,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357525,SRR3050874,PRJNA306133
C00026318,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357526,SRR3050875,PRJNA306133
C00026319,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357527,SRR3050876,PRJNA306133
C00026320,1,0,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357528,SRR3050877,PRJNA306133
C00026321,1,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357529,SRR3050878,PRJNA306133
C00026322,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357530,SRR3050879,PRJNA306133
C00026323,1,0,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357531,SRR3050880,PRJNA306133
C00026324,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357532,SRR3050881,PRJNA306133
C00026325,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357533,SRR3050882,PRJNA306133
C00026326,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357534,SRR3050883,PRJNA306133
C00026327,1,0,0,0,1,0,1,NCBI,PRJNA306133,SAMN04357535,SRR3050884,PRJNA306133
C00026328,1,1,0,0,1,0,0,NCBI,PRJNA306133,SAMN04357536,SRR3050885,PRJNA306133
C00026329,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357537,SRR3050886,PRJNA306133
C00026330,1,1,0,1,1,1,1,NCBI,PRJNA306133,SAMN04357538,SRR3050887,PRJNA306133
C00026331,1,1,1,1,1,0,0,NCBI,PRJNA306133,SAMN04357539,SRR3050888,PRJNA306133
C00026332,0,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357540,SRR3050889,PRJNA306133
C00026333,1,1,0,1,1,0,0,NCBI,PRJNA306133,SAMN04357541,SRR3050890,PRJNA306133
C00026334,1,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357542,SRR3050891,PRJNA306133
C00026335,1,1,0,0,1,0,1,NCBI,PRJNA306133,SAMN04357543,SRR3050892,PRJNA306133
