Genome,Cefazolin,Ceftriaxone,Cefuroxime,Ciprofloxacin,Gentamicin,Tobramycin,Short Read Archive,BioProject Accession,BioSample Accession,Run Accession,Original Study Accession
ac8a28_10,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357437,SRR3051086,PRJNA306133
ac8a28_11,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357438,SRR3051087,PRJNA306133
ac8a28_12,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357439,SRR3051088,PRJNA306133
ac8a28_13,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357440,SRR3051089,PRJNA306133
ac8a28_14,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357441,SRR3051090,PRJNA306133
ac8a28_15,1,1,1,1,1,1,NCBI,PRJNA306133,SAMN04357442,SRR3051091,PRJNA306133
ac8a28_16,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357443,SRR3051092,PRJNA306133
ac8a28_19,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357444,SRR3051093,PRJNA306133
ac8a28_20,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357445,SRR3051094,PRJNA306133
ac8a28_21,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357446,SRR3051095,PRJNA306133
ac8a28_22,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357447,SRR3051096,PRJNA306133
ac8a28_23,1,1,1,1,0,1,NCBI,PRJNA306133,SAMN04357448,SRR3051097,PRJNA306133
ac8a28_24,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357449,SRR3051098,PRJNA306133
ac8a28_25,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357450,SRR3051099,PRJNA306133
ac8a28_27,0,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357451,SRR3051100,PRJNA306133
ac8a28_28,1,1,1,1,1,1,NCBI,PRJNA306133,SAMN04357452,SRR3051101,PRJNA306133
ac8a28_29,0,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357453,SRR3051102,PRJNA306133
ac8a28_2,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357430,SRR3051103,PRJNA306133
ac8a28_31,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357454,SRR3051104,PRJNA306133
ac8a28_36,1,1,1,1,1,1,NCBI,PRJNA306133,SAMN04357494,SRR3051105,PRJNA306133
ac8a28_37,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357455,SRR3051106,PRJNA306133
ac8a28_38,1,1,1,0,1,1,NCBI,PRJNA306133,SAMN04357456,SRR3051107,PRJNA306133
ac8a28_39,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357457,SRR3051108,PRJNA306133
ac8a28_3,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357431,SRR3051109,PRJNA306133
ac8a28_40,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357458,SRR3051110,PRJNA306133
ac8a28_41,0,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357459,SRR3051111,PRJNA306133
ac8a28_44,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357460,SRR3051112,PRJNA306133
ac8a28_45,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357461,SRR3051113,PRJNA306133
ac8a28_47,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357462,SRR3051114,PRJNA306133
ac8a28_4,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357432,SRR3051115,PRJNA306133
ac8a28_50,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357463,SRR3051116,PRJNA306133
ac8a28_51,1,1,1,1,0,0,NCBI,PRJNA306133,SAMN04357464,SRR3051117,PRJNA306133
ac8a28_52,1,1,1,0,1,1,NCBI,PRJNA306133,SAMN04357465,SRR3051118,PRJNA306133
ac8a28_53,1,1,1,0,1,1,NCBI,PRJNA306133,SAMN04357466,SRR3051119,PRJNA306133
ac8a28_55,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357467,SRR3051120,PRJNA306133
ac8a28_56,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357468,SRR3051121,PRJNA306133
ac8a28_58,1,1,1,0,0,0,NCBI,PRJNA306133,SAMN04357469,SRR3051122,PRJNA306133
ac8a28_59,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357470,SRR3051123,PRJNA306133
ac8a28_5,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357433,SRR3051124,PRJNA306133
ac8a28_62,1,1,1,0,1,1,NCBI,PRJNA306133,SAMN04357495,SRR3051125,PRJNA306133
ac8a28_63,0,0,0,1,0,1,NCBI,PRJNA306133,SAMN04357471,SRR3051126,PRJNA306133
ac8a28_69,1,0,0,1,1,1,NCBI,PRJNA306133,SAMN04357472,SRR3051127,PRJNA306133
ac8a28_70,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357473,SRR3051128,PRJNA306133
ac8a28_73,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357474,SRR3051129,PRJNA306133
ac8a28_74,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357475,SRR3051130,PRJNA306133
ac8a28_75,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357476,SRR3051131,PRJNA306133
ac8a28_76,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357477,SRR3051132,PRJNA306133
ac8a28_78,1,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357478,SRR3051133,PRJNA306133
ac8a28_79,1,0,1,0,0,0,NCBI,PRJNA306133,SAMN04357479,SRR3051134,PRJNA306133
ac8a28_7,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357434,SRR3051135,PRJNA306133
ac8a28_80,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357480,SRR3051136,PRJNA306133
ac8a28_82,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357481,SRR3051137,PRJNA306133
ac8a28_83,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357482,SRR3051138,PRJNA306133
ac8a28_84,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357483,SRR3051139,PRJNA306133
ac8a28_85,0,0,0,0,0,0,NCBI,PRJNA306133,SAMN04357484,SRR3051140,PRJNA306133
