Assembly,Level,WGS,Accession number,Strain,Taxonomy,Strain name,MIC ciprofloxacin
GCA_003633515.1,Contig,QZXD00000000,SAMN09477940,VET-58,Pseudomonas aeruginosa,PA2_E4,0.125
GCA_003633345.1,Contig,QZXX00000000,SAMN09477960,HUM-387,Pseudomonas aeruginosa,PA2_C8,0.125
GCA_003633465.1,Contig,QZXN00000000,SAMN09477950,VET-124,Pseudomonas aeruginosa,PA4_H4,0.19
GCA_003633495.1,Contig,QZXH00000000,SAMN09477944,ENV-567,Pseudomonas aeruginosa,PA4_G3,0.125
GCA_003633445.1,Contig,QZXO00000000,SAMN09477951,ENV-454,Pseudomonas aeruginosa,PA4_H2,0.125
GCA_003633435.1,Contig,QZXP00000000,SAMN09477952,ENV-480,Pseudomonas aeruginosa,PA4_B3,0.19
GCA_003633405.1,Contig,QZXS00000000,SAMN09477955,ENV-568,Pseudomonas aeruginosa,PA4_H3,NA
GCA_003633395.1,Contig,QZXT00000000,SAMN09477956,ENV-569,Pseudomonas aeruginosa,PA4_A4,0.125
GCA_003633365.1,Contig,QZXV00000000,SAMN09477958,HUM-296,Pseudomonas aeruginosa,PA3_C8,0.125
GCA_003633335.1,Contig,QZXY00000000,SAMN09477961,ENV-245,Pseudomonas aeruginosa,PA2_D2,0.125
GCA_003633235.1,Contig,QZYK00000000,SAMN09477973,ENV-208,Pseudomonas aeruginosa,PA2_A2,0.125
GCA_003633295.1,Contig,QZXZ00000000,SAMN09477962,VET-27,Pseudomonas aeruginosa,PA3_G11,NA
GCA_003633285.1,Contig,QZYA00000000,SAMN09477963,HUM-227,Pseudomonas aeruginosa,PA3_C1,32
GCA_003633255.1,Contig,QZYB00000000,SAMN09477964,HUM-534,Pseudomonas aeruginosa,PA4_F2,0.094
GCA_003633245.1,Contig,QZYF00000000,SAMN09477968,HUM-301,Pseudomonas aeruginosa,PA3_G8,32
GCA_003633185.1,Contig,QZYV00000000,SAMN09477984,HUM-342,Pseudomonas aeruginosa,7P3,0.125
GCA_003633195.1,Contig,QZYP00000000,SAMN09477978,HUM-282,Pseudomonas aeruginosa,PA3_H6,NA
GCA_003633175.1,Contig,QZYY00000000,SAMN09477987,HUM-256,Pseudomonas aeruginosa,PA3_B4,0.5
GCA_003633135.1,Contig,QZZB00000000,SAMN09477990,HUM-236,Pseudomonas aeruginosa,PA3_B2,1
GCA_003633125.1,Contig,QZZC00000000,SAMN09477991,VET-24,Pseudomonas aeruginosa,6D9,NA
GCA_003633115.1,Contig,QZZD00000000,SAMN09477992,HUM-258,Pseudomonas aeruginosa,PA3_D4,NA
GCA_003633055.1,Contig,QZZK00000000,SAMN09477999,VET-61,Pseudomonas aeruginosa,PA2_H4,0.25
GCA_003633065.1,Contig,QZZI00000000,SAMN09477997,HUM-331,Pseudomonas aeruginosa,6.00E+05,0.25
