Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,Host_disease,Host,sub_species,Vancomycin
SRR7296770,WGS,302,527918348,PRJNA475751,SAMN09401208,Pathogen.cl,230612851,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199603,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,VRE32595,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32595,SRP150360,VRE32595,not collected,Homo sapiens,NA,R
SRR7296777,WGS,302,816386332,PRJNA475751,SAMN09401199,Pathogen.cl,373441620,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199596,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,VRE32586,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32586,SRP150360,VRE32586,not collected,Homo sapiens,NA,R
SRR7296778,WGS,302,585745006,PRJNA475751,SAMN09401200,Pathogen.cl,267533918,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199595,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,VRE32587,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32587,SRP150360,VRE32587,not collected,Homo sapiens,NA,R
SRR7296779,WGS,302,758837212,PRJNA475751,SAMN09401201,Pathogen.cl,345179095,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199594,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,urine,40.44 N 79.97 W,VRE32588,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32588,SRP150360,VRE32588,not collected,Homo sapiens,NA,R
SRR7296780,WGS,302,593388022,PRJNA475751,SAMN09401202,Pathogen.cl,269829730,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199593,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,tissue,40.44 N 79.97 W,VRE32589,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32589,SRP150360,VRE32589,not collected,Homo sapiens,NA,R
SRR7296781,WGS,302,776071748,PRJNA475751,SAMN09401203,Pathogen.cl,352385516,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199592,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,urine,40.44 N 79.97 W,VRE32590,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32590,SRP150360,VRE32590,not collected,Homo sapiens,NA,R
SRR7296782,WGS,302,605283802,PRJNA475751,SAMN09401204,Pathogen.cl,274285948,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199591,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,VRE32591,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32591,SRP150360,VRE32591,not collected,Homo sapiens,NA,R
SRR7296783,WGS,302,467192490,PRJNA475751,SAMN09401205,Pathogen.cl,214944901,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199590,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,urine,40.44 N 79.97 W,VRE32592,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32592,SRP150360,VRE32592,not collected,Homo sapiens,NA,R
SRR7296784,WGS,302,511015408,PRJNA475751,SAMN09401206,Pathogen.cl,234511189,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199589,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,urine,40.44 N 79.97 W,VRE32593,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32593,SRP150360,VRE32593,not collected,Homo sapiens,NA,R
SRR7296795,WGS,302,690095066,PRJNA475751,SAMN09401166,Pathogen.cl,293330402,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199578,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,urine,40.44 N 79.97 W,VRE32552,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-06-24T00:00:00Z,VRE32552,SRP150360,VRE32552,not collected,Homo sapiens,NA,R
