AccessionNo,AMIKACIN,CAPREOMYCIN,ETHAMBUTOL,ETHIONAMIDE,FLUOROQUINOLONES,ISONIAZID,KANAMYCIN,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
SRR671818,NA,0,1,0,0,1,0,NA,1,1
SRR2100533,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR228025,0,0,0,NA,0,1,NA,0,1,0
SRR671869,NA,0,0,NA,0,1,0,NA,1,1
SRR2100008,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100033,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101819,NA,NA,0,NA,NA,0,NA,NA,0,0
SRR2099956,0,0,0,NA,0,1,0,0,1,NA
ERR133851,NA,NA,0,NA,NA,0,NA,0,0,0
ERR046913,NA,NA,1,NA,1,0,NA,0,0,NA
SRR671852,NA,0,0,0,1,1,0,NA,1,1
ERR144574,0,0,1,NA,0,1,NA,0,1,1
SRR2100111,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100467,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR072042,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR133903,1,1,1,NA,0,1,NA,1,1,1
ERR688049,1,0,1,0,1,1,1,1,1,1
ERR137216,NA,NA,0,NA,NA,1,NA,1,0,1
SRR2101716,0,0,0,NA,0,0,0,0,0,0
SRR2101696,0,0,0,NA,0,0,0,0,0,0
SRR2101022,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100557,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100046,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR234684,0,0,0,NA,0,0,NA,0,0,0
SRR671755,NA,0,0,0,1,1,0,NA,1,0
ERR400451,NA,NA,0,NA,NA,0,NA,0,0,0
SRR2101290,NA,NA,0,NA,NA,0,NA,1,0,0
SRR2100078,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR067740,0,0,0,NA,0,1,NA,0,1,0
ERR040132,NA,0,0,0,0,1,0,0,1,0
ERR108468,NA,NA,0,NA,NA,0,NA,0,0,0
ERR227983,1,1,1,NA,0,0,NA,0,1,1
SRR2101262,NA,NA,0,NA,0,0,NA,1,0,NA
SRR2100884,0,0,NA,NA,0,1,0,1,1,NA
SRR2100390,NA,NA,NA,NA,NA,1,NA,0,1,NA
ERR133909,0,0,0,NA,0,1,NA,1,1,1
SRR2101606,0,0,0,NA,0,0,0,0,0,0
ERR047003,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR228058,NA,NA,0,NA,NA,1,NA,0,0,0
SRR2101749,0,0,0,NA,0,0,0,0,0,0
ERR072047,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100982,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046949,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046945,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR108460,NA,NA,0,NA,NA,0,NA,0,0,0
ERR133886,0,0,0,NA,0,1,NA,0,1,1
ERR046838,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR144621,NA,NA,0,NA,NA,0,NA,1,0,0
ERR038736,NA,0,1,0,0,1,0,0,1,0
SRR671752,NA,0,0,0,0,1,0,NA,1,1
SRR2101132,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046898,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100241,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
SRR2100375,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR229987,NA,NA,0,NA,NA,0,NA,0,0,0
ERR108488,0,0,0,NA,0,1,NA,1,1,1
SRR2101578,0,0,0,NA,0,0,0,0,0,0
ERR133831,0,0,1,NA,0,1,NA,0,1,1
ERR234561,NA,NA,0,NA,NA,0,NA,1,0,0
SRR2100969,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR117457,NA,NA,0,NA,NA,0,NA,0,0,0
ERR067665,0,0,1,NA,0,1,NA,0,1,1
ERR137251,NA,NA,0,NA,NA,0,NA,0,0,0
SRR2100248,NA,NA,0,NA,0,1,NA,0,0,NA
SRR2099937,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR671726,NA,1,1,0,1,1,1,NA,1,0
SRR2100386,NA,NA,0,NA,1,1,NA,0,0,NA
SRR2101225,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR108456,NA,NA,0,NA,NA,0,NA,0,0,0
SRR2100338,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR230007,0,0,1,NA,0,1,NA,0,1,1
SRR2100644,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR400526,NA,NA,0,NA,NA,0,NA,0,0,0
ERR025843,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR158575,NA,NA,0,NA,NA,0,NA,0,0,0
SRR2100205,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101260,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100837,0,0,0,NA,0,1,NA,0,0,NA
SRR2100015,NA,NA,0,NA,0,1,NA,0,0,NA
SRR2100485,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100531,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100409,NA,NA,0,NA,NA,0,NA,0,0,0
ERR137197,NA,NA,1,NA,NA,1,NA,0,0,0
SRR2100180,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101584,0,0,0,NA,0,0,0,0,0,0
SRR2100797,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046768,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101543,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
SRR2101169,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101318,0,0,0,NA,0,0,0,0,0,0
SRR2100298,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2101024,NA,NA,0,NA,0,1,NA,0,0,NA
ERR046853,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100563,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR133842,0,0,1,NA,0,1,NA,0,1,1
ERR144625,0,0,0,NA,0,1,NA,0,1,0
ERR038265,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100148,NA,NA,0,NA,0,1,NA,0,0,NA
ERR046921,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR133919,0,0,1,NA,0,1,NA,0,1,1
ERR234618,0,1,1,NA,0,1,NA,0,1,1
ERR133807,NA,NA,0,NA,NA,0,NA,0,0,0
ERR551419,NA,NA,0,NA,NA,0,NA,0,0,0
ERR144570,0,0,0,NA,0,1,NA,0,1,1
ERR688011,NA,NA,0,NA,NA,0,NA,0,0,0
ERR046799,NA,NA,0,NA,NA,0,NA,0,0,NA
SRR2100661,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046974,NA,NA,0,NA,NA,0,NA,0,0,NA
ERR046967,NA,NA,0,NA,0,0,NA,0,0,NA
SRR2100407,NA,NA,0,NA,NA,0,NA,0,0,0
ERR133898,NA,NA,0,NA,NA,0,NA,0,0,0
