Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,pubmed_id-0,pubmed_id-1,ReleaseDate,Sample Name,SRA Study,collected_by,Genotype,host_description,Isolate,STRAIN,NOTE,type-material,MEM
SRR5385471,WGS,247,366382060,PRJNA376414,SAMN06437512,Pathogen.cl,197955423,HOUSTON METHODIST HOSPITAL,2012-12-15,public,"fastq,sra",s3,s3.us-east-1,SRX2680496,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,wound,29.710689 N 95.400586 W,KPN553,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN553,SRP102664,Houston Methodist Hospital,STNF*; Capsule locus KL2,HMH:KPN:553,KPN553,NA,NA,NA,R
SRR5385698,WGS,270,941821778,PRJNA376414,SAMN06438007,Pathogen.cl,442097220,HOUSTON METHODIST HOSPITAL,2013-12-14,public,"sra,fastq",s3,s3.us-east-1,SRX2680723,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN1145,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN1145,SRP102664,Houston Methodist Hospital,ST37; Capsule locus KL105,HMH:KPN:1145,KPN1145,NA,NA,NA,R
SRR5386234,WGS,185,353526453,PRJNA376414,SAMN06437370,Pathogen.cl,295093466,HOUSTON METHODIST HOSPITAL,2012-08-24,public,"fastq,sra",s3,s3.us-east-1,SRX2681260,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,ULCER,29.710689 N 95.400586 W,KPN377,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN377,SRP102664,Houston Methodist Hospital,ST15; Capsule locus KL24,HMH:KPN:377,KPN377,NA,NA,NA,S
SRR5386274,WGS,185,465115420,PRJNA376414,SAMN06437331,Pathogen.cl,387786742,HOUSTON METHODIST HOSPITAL,2012-06-26,public,"fastq,sra",s3,s3.us-east-1,SRX2681299,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,wound,29.710689 N 95.400586 W,KPN332,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN332,SRP102664,Houston Methodist Hospital,ST14; Capsule locus KL16,HMH:KPN:332,KPN332,NA,NA,NA,S
SRR5386278,WGS,183,303106672,PRJNA376414,SAMN06437327,Pathogen.cl,255036849,HOUSTON METHODIST HOSPITAL,2012-06-18,public,"sra,fastq",s3,s3.us-east-1,SRX2681303,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN328,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN328,SRP102664,Houston Methodist Hospital,ST13; Capsule locus KL3,HMH:KPN:328,KPN328,NA,NA,NA,S
SRR5386321,WGS,186,244435537,PRJNA376414,SAMN06437284,Pathogen.cl,203556690,HOUSTON METHODIST HOSPITAL,2012-05-02,public,"fastq,sra",s3,s3.us-east-1,SRX2681346,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN283,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN283,SRP102664,Houston Methodist Hospital,ST15; Capsule locus KL24,HMH:KPN:283,KPN283,NA,NA,NA,S
SRR5386329,WGS,186,427103647,PRJNA376414,SAMN06437276,Pathogen.cl,351622881,HOUSTON METHODIST HOSPITAL,2012-04-15,public,"fastq,sra",s3,s3.us-east-1,SRX2681354,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN275,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN275,SRP102664,Houston Methodist Hospital,ST14; Capsule locus KL16,HMH:KPN:275,KPN275,NA,NA,NA,S
SRR5386349,WGS,187,402817004,PRJNA376414,SAMN06437256,Pathogen.cl,331388583,HOUSTON METHODIST HOSPITAL,2012-03-31,public,"sra,fastq",s3,s3.us-east-1,SRX2681374,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN254,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN254,SRP102664,Houston Methodist Hospital,ST15; Capsule locus KL24,HMH:KPN:254,KPN254,NA,NA,NA,S
SRR5386364,WGS,186,499268653,PRJNA376414,SAMN06437241,Pathogen.cl,410898907,HOUSTON METHODIST HOSPITAL,2012-03-18,public,"sra,fastq",s3,s3.us-east-1,SRX2681389,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN235,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN235,SRP102664,Houston Methodist Hospital,ST14; Capsule locus KL2,HMH:KPN:235,KPN235,NA,NA,NA,S
SRR5386368,WGS,187,382815442,PRJNA376414,SAMN06437237,Pathogen.cl,315619532,HOUSTON METHODIST HOSPITAL,2012-03-17,public,"fastq,sra",s3,s3.us-east-1,SRX2681393,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN231,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN231,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:231,KPN231,NA,NA,NA,S
